#: table_doi: 10.17182/hepdata.74824.v1/t25
#: name: Table 25
#: description: Moments YLM(LM=21) of the di-pion angular distribution for -T.

#: data_file: Table25.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=21,P=3_4) [MUB/GEV**3]",error +,error -
1.3050000000000002,1.3,1.31,1.826,0.2581,-0.2581
1.315,1.31,1.32,2.041,0.3313,-0.3313
1.3250000000000002,1.32,1.33,1.54,0.2468,-0.2468
1.335,1.33,1.34,1.7,0.2252,-0.2252
1.3450000000000002,1.34,1.35,1.712,0.2115,-0.2115
1.355,1.35,1.36,1.608,0.2062,-0.2062
1.3650000000000002,1.36,1.37,1.551,0.2018,-0.2018
1.375,1.37,1.38,1.649,0.1986,-0.1986
1.3849999999999998,1.38,1.39,1.529,0.1926,-0.1926
1.395,1.39,1.4,1.443,0.2141,-0.2141

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=21,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.0465,-0.1524,0.1524
0.415,0.41,0.42,-0.0072,-0.1974,0.1974
0.425,0.42,0.43,0.0645,0.1647,-0.1647
0.435,0.43,0.44,-0.0824,-0.1121,0.1121
0.445,0.44,0.45,-0.0161,-0.1287,0.1287
0.455,0.45,0.46,0.0251,0.1734,-0.1734
0.46499999999999997,0.46,0.47,0.021,0.1841,-0.1841
0.475,0.47,0.48,-0.0343,-0.1366,0.1366
0.485,0.48,0.49,0.0458,0.2572,-0.2572
0.495,0.49,0.5,-0.1322,-0.1029,0.1029
0.505,0.5,0.51,-0.0571,-0.2331,0.2331
0.515,0.51,0.52,-0.1961,-0.1468,0.1468
0.525,0.52,0.53,-0.206,-0.1234,0.1234
0.535,0.53,0.54,-0.1509,-0.3461,0.3461
0.545,0.54,0.55,-0.0688,-0.1714,0.1714
0.555,0.55,0.56,-0.3108,-0.127,0.127
0.565,0.56,0.57,-0.1973,-0.1786,0.1786
0.575,0.57,0.58,-0.4093,-0.1586,0.1586
0.585,0.58,0.59,-0.351,-0.169,0.169
0.595,0.59,0.6,-0.2699,-0.1928,0.1928
0.605,0.6,0.61,-0.4552,-0.2792,0.2792
0.615,0.61,0.62,-0.504,-0.3133,0.3133
0.625,0.62,0.63,-0.5093,-0.3975,0.3975
0.635,0.63,0.64,-0.735,-0.3135,0.3135
0.645,0.64,0.65,-0.513,-0.4397,0.4397
0.655,0.65,0.66,-0.9318,-0.6218,0.6218
0.665,0.66,0.67,-0.7374,-0.6219,0.6219
0.675,0.67,0.68,-0.7842,-0.7081,0.7081
0.685,0.68,0.69,-0.7148,-0.8633,0.8633
0.695,0.69,0.7,-0.7924,-1.004,1.004
0.705,0.7,0.71,-0.5174,-1.214,1.214
0.715,0.71,0.72,-0.1597,-0.7764,0.7764
0.725,0.72,0.73,0.5685,0.7993,-0.7993
0.735,0.73,0.74,0.5918,1.002,-1.002
0.745,0.74,0.75,1.222,1.125,-1.125
0.755,0.75,0.76,1.856,1.353,-1.353
0.765,0.76,0.77,2.351,1.224,-1.224
0.775,0.77,0.78,3.299,0.4668,-0.4668
0.785,0.78,0.79,2.857,0.559,-0.559
0.795,0.79,0.8,3.158,0.4817,-0.4817
0.805,0.8,0.81,3.26,0.3806,-0.3806
0.815,0.81,0.82,3.477,0.492,-0.492
0.825,0.82,0.83,3.548,0.4118,-0.4118
0.835,0.83,0.84,3.468,0.4113,-0.4113
0.845,0.84,0.85,3.279,0.4411,-0.4411
0.855,0.85,0.86,3.436,0.4116,-0.4116
0.865,0.86,0.87,3.201,0.4353,-0.4353
0.875,0.87,0.88,2.849,0.3668,-0.3668
0.885,0.88,0.89,2.993,0.398,-0.398
0.895,0.89,0.9,3.008,0.39,-0.39
0.905,0.9,0.91,2.73,0.4322,-0.4322
0.915,0.91,0.92,2.366,0.4154,-0.4154
0.925,0.92,0.93,2.653,0.4274,-0.4274
0.935,0.93,0.94,2.489,0.4897,-0.4897
0.945,0.94,0.95,2.383,0.4419,-0.4419
0.955,0.95,0.96,2.549,0.315,-0.315
0.965,0.96,0.97,2.298,0.4323,-0.4323
0.975,0.97,0.98,2.123,0.4575,-0.4575
0.985,0.98,0.99,2.175,0.3492,-0.3492
0.995,0.99,1.0,2.269,0.4056,-0.4056
1.005,1.0,1.01,2.0,0.2834,-0.2834
1.0150000000000001,1.01,1.02,2.03,0.4457,-0.4457
1.025,1.02,1.03,2.042,0.2859,-0.2859
1.0350000000000001,1.03,1.04,1.93,0.2977,-0.2977
1.045,1.04,1.05,1.946,0.3867,-0.3867
1.0550000000000002,1.05,1.06,1.99,0.4025,-0.4025
1.065,1.06,1.07,1.822,0.3178,-0.3178
1.0750000000000002,1.07,1.08,1.664,0.3248,-0.3248
1.085,1.08,1.09,1.851,0.338,-0.338
1.0950000000000002,1.09,1.1,2.044,0.2441,-0.2441
1.105,1.1,1.11,1.949,0.2294,-0.2294
1.1150000000000002,1.11,1.12,2.052,0.2923,-0.2923
1.125,1.12,1.13,1.746,0.2366,-0.2366
1.1349999999999998,1.13,1.14,1.972,0.2861,-0.2861
1.145,1.14,1.15,1.647,0.2175,-0.2175
1.1549999999999998,1.15,1.16,1.989,0.303,-0.303
1.165,1.16,1.17,1.772,0.2428,-0.2428
1.1749999999999998,1.17,1.18,1.853,0.3116,-0.3116
1.185,1.18,1.19,1.555,0.2145,-0.2145
1.1949999999999998,1.19,1.2,1.606,0.2443,-0.2443
1.205,1.2,1.21,1.68,0.2417,-0.2417
1.2149999999999999,1.21,1.22,1.683,0.2793,-0.2793
1.225,1.22,1.23,1.582,0.257,-0.257
1.2349999999999999,1.23,1.24,1.74,0.3085,-0.3085
1.245,1.24,1.25,1.604,0.2447,-0.2447
1.255,1.25,1.26,1.882,0.4622,-0.4622
1.2650000000000001,1.26,1.27,1.658,0.2461,-0.2461
1.275,1.27,1.28,1.861,0.2753,-0.2753
1.2850000000000001,1.28,1.29,1.772,0.2925,-0.2925
1.295,1.29,1.3,1.715,0.2447,-0.2447
1.3050000000000002,1.3,1.31,1.766,0.2753,-0.2753
1.315,1.31,1.32,1.466,0.2035,-0.2035
1.3250000000000002,1.32,1.33,1.617,0.2134,-0.2134
1.335,1.33,1.34,1.398,0.2014,-0.2014
1.3450000000000002,1.34,1.35,1.593,0.2402,-0.2402
1.355,1.35,1.36,1.544,0.2212,-0.2212
1.3650000000000002,1.36,1.37,1.462,0.2051,-0.2051
1.375,1.37,1.38,1.264,0.1969,-0.1969
1.3849999999999998,1.38,1.39,1.54,0.192,-0.192
1.395,1.39,1.4,1.577,0.2642,-0.2642

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=21,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.0519,-0.1802,0.1802
0.415,0.41,0.42,-0.0289,-0.1469,0.1469
0.425,0.42,0.43,-0.0024,-0.1507,0.1507
0.435,0.43,0.44,-0.07,-0.1771,0.1771
0.445,0.44,0.45,0.0506,0.3516,-0.3516
0.455,0.45,0.46,-0.0195,-0.1271,0.1271
0.46499999999999997,0.46,0.47,0.1234,0.2749,-0.2749
0.475,0.47,0.48,-0.0604,-0.2629,0.2629
0.485,0.48,0.49,-0.1085,-0.1782,0.1782
0.495,0.49,0.5,-0.137,-0.127,0.127
0.505,0.5,0.51,-0.0006,-0.1757,0.1757
0.515,0.51,0.52,0.103,0.367,-0.367
0.525,0.52,0.53,-0.2478,-0.1619,0.1619
0.535,0.53,0.54,-0.2119,-0.1961,0.1961
0.545,0.54,0.55,-0.2637,-0.2142,0.2142
0.555,0.55,0.56,-0.3619,-0.2857,0.2857
0.565,0.56,0.57,-0.2786,-0.1845,0.1845
0.575,0.57,0.58,-0.3447,-0.2987,0.2987
0.585,0.58,0.59,-0.5348,-0.3445,0.3445
0.595,0.59,0.6,-0.3887,-0.3323,0.3323
0.605,0.6,0.61,-0.4847,-0.443,0.443
0.615,0.61,0.62,-0.5317,-0.5386,0.5386
0.625,0.62,0.63,-0.7773,-0.5872,0.5872
0.635,0.63,0.64,-0.8288,-0.8152,0.8152
0.645,0.64,0.65,-0.4655,-0.5832,0.5832
0.655,0.65,0.66,-0.6656,-0.9198,0.9198
0.665,0.66,0.67,-0.7472,-1.118,1.118
0.675,0.67,0.68,-0.3597,-0.9918,0.9918
0.685,0.68,0.69,-0.69,-1.215,1.215
0.695,0.69,0.7,-0.7012,-1.606,1.606
0.705,0.7,0.71,-0.2877,-0.9209,0.9209
0.715,0.71,0.72,-0.2855,-1.767,1.767
0.725,0.72,0.73,0.2066,1.389,-1.389
0.735,0.73,0.74,0.461,1.951,-1.951
0.745,0.74,0.75,1.017,1.044,-1.044
0.755,0.75,0.76,1.178,1.639,-1.639
0.765,0.76,0.77,2.552,1.09,-1.09
0.775,0.77,0.78,2.846,1.057,-1.057
0.785,0.78,0.79,3.062,0.7694,-0.7694
0.795,0.79,0.8,2.806,0.7196,-0.7196
0.805,0.8,0.81,3.641,0.573,-0.573
0.815,0.81,0.82,3.475,0.6183,-0.6183
0.825,0.82,0.83,3.555,0.4649,-0.4649
0.835,0.83,0.84,3.201,0.7223,-0.7223
0.845,0.84,0.85,3.522,0.5243,-0.5243
0.855,0.85,0.86,3.743,0.4754,-0.4754
0.865,0.86,0.87,3.471,0.4639,-0.4639
0.875,0.87,0.88,3.269,0.4131,-0.4131
0.885,0.88,0.89,3.722,0.6107,-0.6107
0.895,0.89,0.9,3.178,0.3893,-0.3893
0.905,0.9,0.91,3.266,0.3983,-0.3983
0.915,0.91,0.92,3.072,0.4388,-0.4388
0.925,0.92,0.93,2.958,0.3651,-0.3651
0.935,0.93,0.94,2.701,0.3881,-0.3881
0.945,0.94,0.95,2.71,0.3182,-0.3182
0.955,0.95,0.96,2.861,0.3645,-0.3645
0.965,0.96,0.97,2.657,0.3412,-0.3412
0.975,0.97,0.98,2.679,0.419,-0.419
0.985,0.98,0.99,2.573,0.4772,-0.4772
0.995,0.99,1.0,2.179,0.4306,-0.4306
1.005,1.0,1.01,2.234,0.4423,-0.4423
1.0150000000000001,1.01,1.02,2.124,0.3747,-0.3747
1.025,1.02,1.03,1.954,0.3001,-0.3001
1.0350000000000001,1.03,1.04,2.19,0.3323,-0.3323
1.045,1.04,1.05,1.922,0.2622,-0.2622
1.0550000000000002,1.05,1.06,1.918,0.3756,-0.3756
1.065,1.06,1.07,1.953,0.2552,-0.2552
1.0750000000000002,1.07,1.08,1.876,0.4849,-0.4849
1.085,1.08,1.09,1.91,0.2851,-0.2851
1.0950000000000002,1.09,1.1,1.778,0.2604,-0.2604
1.105,1.1,1.11,2.443,1.012,-1.012
1.1150000000000002,1.11,1.12,1.986,0.2923,-0.2923
1.125,1.12,1.13,1.68,0.2297,-0.2297
1.1349999999999998,1.13,1.14,1.76,0.2248,-0.2248
1.145,1.14,1.15,1.897,0.2841,-0.2841
1.1549999999999998,1.15,1.16,1.603,0.2401,-0.2401
1.165,1.16,1.17,1.813,0.3146,-0.3146
1.1749999999999998,1.17,1.18,1.858,0.3693,-0.3693
1.185,1.18,1.19,1.854,0.4268,-0.4268
1.1949999999999998,1.19,1.2,1.722,0.3475,-0.3475
1.205,1.2,1.21,1.743,0.4107,-0.4107
1.2149999999999999,1.21,1.22,1.681,0.439,-0.439
1.225,1.22,1.23,1.609,0.2349,-0.2349
1.2349999999999999,1.23,1.24,1.565,0.2511,-0.2511
1.245,1.24,1.25,1.557,0.3083,-0.3083
1.255,1.25,1.26,1.584,0.265,-0.265
1.2650000000000001,1.26,1.27,1.615,0.2698,-0.2698
1.275,1.27,1.28,1.574,0.248,-0.248
1.2850000000000001,1.28,1.29,1.841,0.3316,-0.3316
1.295,1.29,1.3,1.621,0.2151,-0.2151
1.3050000000000002,1.3,1.31,1.674,0.266,-0.266
1.315,1.31,1.32,1.533,0.2101,-0.2101
1.3250000000000002,1.32,1.33,1.434,0.1871,-0.1871
1.335,1.33,1.34,1.648,0.2471,-0.2471
1.3450000000000002,1.34,1.35,1.652,0.3098,-0.3098
1.355,1.35,1.36,1.694,0.2783,-0.2783
1.3650000000000002,1.36,1.37,1.476,0.2003,-0.2003
1.375,1.37,1.38,1.278,0.1878,-0.1878
1.3849999999999998,1.38,1.39,1.673,0.2555,-0.2555
1.395,1.39,1.4,1.346,0.1834,-0.1834

