#: table_doi: 10.17182/hepdata.74824.v1/t25
#: name: Table 25
#: description: Moments YLM(LM=21) of the di-pion angular distribution for -T.

#: data_file: Table25.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=21,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.0043,-0.1135,0.1135
0.415,0.41,0.42,0.0868,0.0705,-0.0705
0.425,0.42,0.43,-0.0475,-0.1035,0.1035
0.435,0.43,0.44,-0.0455,-0.1241,0.1241
0.445,0.44,0.45,-0.11,-0.087,0.087
0.455,0.45,0.46,-0.0433,-0.1923,0.1923
0.46499999999999997,0.46,0.47,-0.1499,-0.1124,0.1124
0.475,0.47,0.48,-0.0869,-0.1265,0.1265
0.485,0.48,0.49,-0.0807,-0.1475,0.1475
0.495,0.49,0.5,-0.0623,-0.1676,0.1676
0.505,0.5,0.51,-0.1475,-0.1595,0.1595
0.515,0.51,0.52,-0.074,-0.1552,0.1552
0.525,0.52,0.53,-0.0512,-0.2077,0.2077
0.535,0.53,0.54,-0.0697,-0.1873,0.1873
0.545,0.54,0.55,-0.04,-0.1923,0.1923
0.555,0.55,0.56,-0.0987,-0.1855,0.1855
0.565,0.56,0.57,-0.1526,-0.1916,0.1916
0.575,0.57,0.58,-0.2325,-0.1761,0.1761
0.585,0.58,0.59,-0.1647,-0.2012,0.2012
0.595,0.59,0.6,-0.3103,-0.2916,0.2916
0.605,0.6,0.61,-0.2826,-0.1891,0.1891
0.615,0.61,0.62,-0.3249,-0.3663,0.3663
0.625,0.62,0.63,-0.2718,-0.2836,0.2836
0.635,0.63,0.64,-0.2372,-0.3104,0.3104
0.645,0.64,0.65,-0.2447,-0.4213,0.4213
0.655,0.65,0.66,-0.2281,-0.3541,0.3541
0.665,0.66,0.67,-0.0448,-0.4431,0.4431
0.675,0.67,0.68,0.0741,0.4993,-0.4993
0.685,0.68,0.69,0.0316,0.5728,-0.5728
0.695,0.69,0.7,0.0432,0.6339,-0.6339
0.705,0.7,0.71,0.4107,0.6769,-0.6769
0.715,0.71,0.72,0.3972,0.7193,-0.7193
0.725,0.72,0.73,0.7089,0.7607,-0.7607
0.735,0.73,0.74,1.27,0.6283,-0.6283
0.745,0.74,0.75,1.829,0.7498,-0.7498
0.755,0.75,0.76,2.322,0.7883,-0.7883
0.765,0.76,0.77,3.063,0.694,-0.694
0.775,0.77,0.78,2.979,0.772,-0.772
0.785,0.78,0.79,2.713,0.5456,-0.5456
0.795,0.79,0.8,2.986,0.5338,-0.5338
0.805,0.8,0.81,3.486,0.5162,-0.5162
0.815,0.81,0.82,3.219,0.5317,-0.5317
0.825,0.82,0.83,3.286,0.5437,-0.5437
0.835,0.83,0.84,3.202,0.4527,-0.4527
0.845,0.84,0.85,3.158,0.3762,-0.3762
0.855,0.85,0.86,2.881,0.424,-0.424
0.865,0.86,0.87,2.972,0.5221,-0.5221
0.875,0.87,0.88,2.751,0.4588,-0.4588
0.885,0.88,0.89,2.609,0.4236,-0.4236
0.895,0.89,0.9,2.66,0.4904,-0.4904
0.905,0.9,0.91,2.823,0.3993,-0.3993
0.915,0.91,0.92,2.51,0.3501,-0.3501
0.925,0.92,0.93,2.48,0.4148,-0.4148
0.935,0.93,0.94,2.54,0.351,-0.351
0.945,0.94,0.95,2.296,0.374,-0.374
0.955,0.95,0.96,2.464,0.3235,-0.3235
0.965,0.96,0.97,2.496,0.3322,-0.3322
0.975,0.97,0.98,2.313,0.333,-0.333
0.985,0.98,0.99,2.714,0.3076,-0.3076
0.995,0.99,1.0,2.4,0.3489,-0.3489
1.005,1.0,1.01,2.431,0.337,-0.337
1.0150000000000001,1.01,1.02,2.271,0.4104,-0.4104
1.025,1.02,1.03,2.284,0.2828,-0.2828
1.0350000000000001,1.03,1.04,2.211,0.2747,-0.2747
1.045,1.04,1.05,2.124,0.2611,-0.2611
1.0550000000000002,1.05,1.06,2.056,0.2624,-0.2624
1.065,1.06,1.07,2.221,0.2768,-0.2768
1.0750000000000002,1.07,1.08,2.048,0.2564,-0.2564
1.085,1.08,1.09,2.176,0.333,-0.333
1.0950000000000002,1.09,1.1,2.056,0.2331,-0.2331
1.105,1.1,1.11,2.117,0.2371,-0.2371
1.1150000000000002,1.11,1.12,2.101,0.2567,-0.2567
1.125,1.12,1.13,2.063,0.2399,-0.2399
1.1349999999999998,1.13,1.14,2.101,0.2387,-0.2387
1.145,1.14,1.15,2.167,0.2632,-0.2632
1.1549999999999998,1.15,1.16,1.963,0.264,-0.264
1.165,1.16,1.17,2.182,0.2702,-0.2702
1.1749999999999998,1.17,1.18,1.987,0.2449,-0.2449
1.185,1.18,1.19,2.283,0.3127,-0.3127
1.1949999999999998,1.19,1.2,2.334,0.3248,-0.3248
1.205,1.2,1.21,2.182,0.2631,-0.2631
1.2149999999999999,1.21,1.22,1.967,0.2439,-0.2439
1.225,1.22,1.23,1.947,0.2464,-0.2464
1.2349999999999999,1.23,1.24,2.076,0.2452,-0.2452
1.245,1.24,1.25,2.204,0.3211,-0.3211
1.255,1.25,1.26,2.061,0.2768,-0.2768
1.2650000000000001,1.26,1.27,2.184,0.2715,-0.2715
1.275,1.27,1.28,2.137,0.2815,-0.2815
1.2850000000000001,1.28,1.29,1.929,0.2306,-0.2306
1.295,1.29,1.3,1.999,0.2666,-0.2666
1.3050000000000002,1.3,1.31,1.947,0.2312,-0.2312
1.315,1.31,1.32,2.028,0.2339,-0.2339
1.3250000000000002,1.32,1.33,1.851,0.2207,-0.2207
1.335,1.33,1.34,2.024,0.2387,-0.2387
1.3450000000000002,1.34,1.35,1.859,0.2197,-0.2197
1.355,1.35,1.36,1.865,0.2214,-0.2214
1.3650000000000002,1.36,1.37,1.908,0.2238,-0.2238
1.375,1.37,1.38,1.761,0.2242,-0.2242
1.3849999999999998,1.38,1.39,1.68,0.2009,-0.2009
1.395,1.39,1.4,1.411,0.1707,-0.1707

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=21,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.1014,-0.1181,0.1181
0.415,0.41,0.42,0.096,0.2027,-0.2027
0.425,0.42,0.43,-0.0716,-0.1005,0.1005
0.435,0.43,0.44,0.007,0.1022,-0.1022
0.445,0.44,0.45,-0.0183,-0.1997,0.1997
0.455,0.45,0.46,-0.081,-0.1134,0.1134
0.46499999999999997,0.46,0.47,-0.1722,-0.0877,0.0877
0.475,0.47,0.48,-0.0573,-0.2369,0.2369
0.485,0.48,0.49,-0.2202,-0.1159,0.1159
0.495,0.49,0.5,-0.0716,-0.1799,0.1799
0.505,0.5,0.51,-0.1118,-0.2094,0.2094
0.515,0.51,0.52,-0.0255,-0.182,0.182
0.525,0.52,0.53,-0.1289,-0.1635,0.1635
0.535,0.53,0.54,-0.158,-0.1635,0.1635
0.545,0.54,0.55,-0.2194,-0.1339,0.1339
0.555,0.55,0.56,-0.1654,-0.1227,0.1227
0.565,0.56,0.57,-0.2242,-0.1424,0.1424
0.575,0.57,0.58,-0.3356,-0.1654,0.1654
0.585,0.58,0.59,-0.3028,-0.2256,0.2256
0.595,0.59,0.6,-0.3001,-0.23,0.23
0.605,0.6,0.61,-0.3889,-0.1323,0.1323
0.615,0.61,0.62,-0.3076,-0.2251,0.2251
0.625,0.62,0.63,-0.4021,-0.2275,0.2275
0.635,0.63,0.64,-0.4249,-0.214,0.214
0.645,0.64,0.65,-0.8238,-0.5418,0.5418
0.655,0.65,0.66,-0.6158,-0.3977,0.3977
0.665,0.66,0.67,-0.5833,-0.5349,0.5349
0.675,0.67,0.68,-0.6551,-0.5557,0.5557
0.685,0.68,0.69,-0.4247,-0.6073,0.6073
0.695,0.69,0.7,-0.3497,-0.7727,0.7727
0.705,0.7,0.71,-0.2605,-0.8747,0.8747
0.715,0.71,0.72,-0.0152,-0.7919,0.7919
0.725,0.72,0.73,0.6295,0.9157,-0.9157
0.735,0.73,0.74,1.07,1.059,-1.059
0.745,0.74,0.75,1.777,0.8507,-0.8507
0.755,0.75,0.76,2.579,0.9205,-0.9205
0.765,0.76,0.77,2.764,0.8595,-0.8595
0.775,0.77,0.78,3.342,0.6294,-0.6294
0.785,0.78,0.79,3.501,0.5486,-0.5486
0.795,0.79,0.8,3.416,0.5309,-0.5309
0.805,0.8,0.81,3.868,0.578,-0.578
0.815,0.81,0.82,3.569,0.5441,-0.5441
0.825,0.82,0.83,3.577,0.5119,-0.5119
0.835,0.83,0.84,3.482,0.4614,-0.4614
0.845,0.84,0.85,3.329,0.4302,-0.4302
0.855,0.85,0.86,3.194,0.4396,-0.4396
0.865,0.86,0.87,2.935,0.4956,-0.4956
0.875,0.87,0.88,2.956,0.4053,-0.4053
0.885,0.88,0.89,2.775,0.4889,-0.4889
0.895,0.89,0.9,2.65,0.4269,-0.4269
0.905,0.9,0.91,2.621,0.3508,-0.3508
0.915,0.91,0.92,2.598,0.4337,-0.4337
0.925,0.92,0.93,2.223,0.421,-0.421
0.935,0.93,0.94,2.427,0.5171,-0.5171
0.945,0.94,0.95,2.319,0.3883,-0.3883
0.955,0.95,0.96,2.276,0.4493,-0.4493
0.965,0.96,0.97,2.36,0.346,-0.346
0.975,0.97,0.98,2.377,0.3461,-0.3461
0.985,0.98,0.99,2.291,0.4571,-0.4571
0.995,0.99,1.0,2.212,0.4646,-0.4646
1.005,1.0,1.01,2.205,0.3838,-0.3838
1.0150000000000001,1.01,1.02,2.009,0.3812,-0.3812
1.025,1.02,1.03,1.966,0.3691,-0.3691
1.0350000000000001,1.03,1.04,2.273,0.3209,-0.3209
1.045,1.04,1.05,2.088,0.3454,-0.3454
1.0550000000000002,1.05,1.06,2.245,0.34,-0.34
1.065,1.06,1.07,1.937,0.3504,-0.3504
1.0750000000000002,1.07,1.08,2.1,0.3058,-0.3058
1.085,1.08,1.09,1.97,0.2961,-0.2961
1.0950000000000002,1.09,1.1,2.05,0.2577,-0.2577
1.105,1.1,1.11,1.807,0.3102,-0.3102
1.1150000000000002,1.11,1.12,2.036,0.2399,-0.2399
1.125,1.12,1.13,1.98,0.2546,-0.2546
1.1349999999999998,1.13,1.14,1.821,0.2472,-0.2472
1.145,1.14,1.15,1.833,0.221,-0.221
1.1549999999999998,1.15,1.16,1.848,0.2683,-0.2683
1.165,1.16,1.17,2.13,0.3484,-0.3484
1.1749999999999998,1.17,1.18,1.922,0.2432,-0.2432
1.185,1.18,1.19,2.104,0.3991,-0.3991
1.1949999999999998,1.19,1.2,1.647,0.2488,-0.2488
1.205,1.2,1.21,1.711,0.2258,-0.2258
1.2149999999999999,1.21,1.22,1.65,0.2207,-0.2207
1.225,1.22,1.23,2.118,0.3492,-0.3492
1.2349999999999999,1.23,1.24,1.821,0.2522,-0.2522
1.245,1.24,1.25,2.133,0.3941,-0.3941
1.255,1.25,1.26,1.859,0.2591,-0.2591
1.2650000000000001,1.26,1.27,2.015,0.3077,-0.3077
1.275,1.27,1.28,1.986,0.2576,-0.2576
1.2850000000000001,1.28,1.29,1.9,0.311,-0.311
1.295,1.29,1.3,1.975,0.2729,-0.2729
