#: table_doi: 10.17182/hepdata.74824.v1/t65
#: name: Table 65
#: description: Moments YLM(LM=40) of the di-pion angular distribution for -T.

#: data_file: Table65.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=40,P=3_4) [MUB/GEV**3]",error +,error -
1.0750000000000002,1.07,1.08,0.5628,0.1276,-0.1276
1.085,1.08,1.09,0.4432,0.1135,-0.1135
1.0950000000000002,1.09,1.1,0.5255,0.1627,-0.1627
1.105,1.1,1.11,0.482,0.1129,-0.1129
1.1150000000000002,1.11,1.12,0.6539,0.1744,-0.1744
1.125,1.12,1.13,0.5167,0.0992,-0.0992
1.1349999999999998,1.13,1.14,0.4432,0.1253,-0.1253
1.145,1.14,1.15,0.5433,0.133,-0.133
1.1549999999999998,1.15,1.16,0.4148,0.1214,-0.1214
1.165,1.16,1.17,0.5404,0.1384,-0.1384
1.1749999999999998,1.17,1.18,0.57,0.1375,-0.1375
1.185,1.18,1.19,0.5012,0.134,-0.134
1.1949999999999998,1.19,1.2,0.6412,0.1799,-0.1799
1.205,1.2,1.21,0.6218,0.1421,-0.1421
1.2149999999999999,1.21,1.22,0.5969,0.1661,-0.1661
1.225,1.22,1.23,0.5292,0.1689,-0.1689
1.2349999999999999,1.23,1.24,0.5657,0.1396,-0.1396
1.245,1.24,1.25,0.5596,0.1579,-0.1579
1.255,1.25,1.26,0.6269,0.1675,-0.1675
1.2650000000000001,1.26,1.27,0.5592,0.1777,-0.1777
1.275,1.27,1.28,0.5812,0.1594,-0.1594
1.2850000000000001,1.28,1.29,0.6048,0.1703,-0.1703
1.295,1.29,1.3,0.5752,0.1452,-0.1452
1.3050000000000002,1.3,1.31,0.6036,0.136,-0.136
1.315,1.31,1.32,0.6247,0.1533,-0.1533
1.3250000000000002,1.32,1.33,0.4625,0.1202,-0.1202
1.335,1.33,1.34,0.4321,0.1163,-0.1163
1.3450000000000002,1.34,1.35,0.4175,0.116,-0.116
1.355,1.35,1.36,0.3488,0.1116,-0.1116
1.3650000000000002,1.36,1.37,0.4207,0.1043,-0.1043
1.375,1.37,1.38,0.4071,0.0965,-0.0965
1.3849999999999998,1.38,1.39,0.2461,0.0973,-0.0973
1.395,1.39,1.4,0.377,0.091,-0.091

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=40,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0329,0.0213,-0.0213
0.415,0.41,0.42,0.052,0.0259,-0.0259
0.425,0.42,0.43,-0.0139,-0.0306,0.0306
0.435,0.43,0.44,0.0218,0.028,-0.028
0.445,0.44,0.45,0.0451,0.0338,-0.0338
0.455,0.45,0.46,-0.0204,-0.0295,0.0295
0.46499999999999997,0.46,0.47,0.0693,0.0427,-0.0427
0.475,0.47,0.48,0.0284,0.0376,-0.0376
0.485,0.48,0.49,0.0444,0.0443,-0.0443
0.495,0.49,0.5,0.0636,0.0426,-0.0426
0.505,0.5,0.51,0.0796,0.0455,-0.0455
0.515,0.51,0.52,0.0125,0.0378,-0.0378
0.525,0.52,0.53,-0.0109,-0.0372,0.0372
0.535,0.53,0.54,0.078,0.0472,-0.0472
0.545,0.54,0.55,0.0076,0.0455,-0.0455
0.555,0.55,0.56,0.0111,0.0427,-0.0427
0.565,0.56,0.57,0.0432,0.0521,-0.0521
0.575,0.57,0.58,0.0908,0.1404,-0.1404
0.585,0.58,0.59,0.1199,0.0573,-0.0573
0.595,0.59,0.6,-0.0363,-0.0429,0.0429
0.605,0.6,0.61,0.0167,0.0507,-0.0507
0.615,0.61,0.62,0.0023,0.0476,-0.0476
0.625,0.62,0.63,0.0375,0.0498,-0.0498
0.635,0.63,0.64,-0.0133,-0.0554,0.0554
0.645,0.64,0.65,-0.0787,-0.052,0.052
0.655,0.65,0.66,-0.0944,-0.052,0.052
0.665,0.66,0.67,-0.1724,-0.0697,0.0697
0.675,0.67,0.68,-0.2182,-0.0855,0.0855
0.685,0.68,0.69,-0.1705,-0.0865,0.0865
0.695,0.69,0.7,-0.2489,-0.0996,0.0996
0.705,0.7,0.71,-0.1872,-0.1032,0.1032
0.715,0.71,0.72,-0.2302,-0.0962,0.0962
0.725,0.72,0.73,-0.3298,-0.1384,0.1384
0.735,0.73,0.74,-0.2767,-0.1292,0.1292
0.745,0.74,0.75,-0.3631,-0.1336,0.1336
0.755,0.75,0.76,-0.3733,-0.1695,0.1695
0.765,0.76,0.77,-0.2564,-0.1464,0.1464
0.775,0.77,0.78,-0.2453,-0.1212,0.1212
0.785,0.78,0.79,0.0056,0.0991,-0.0991
0.795,0.79,0.8,-0.1818,-0.1403,0.1403
0.805,0.8,0.81,-0.2566,-0.1174,0.1174
0.815,0.81,0.82,0.0135,0.0796,-0.0796
0.825,0.82,0.83,-0.0123,-0.0821,0.0821
0.835,0.83,0.84,0.1682,0.0659,-0.0659
0.845,0.84,0.85,0.181,0.0677,-0.0677
0.855,0.85,0.86,0.1796,0.0624,-0.0624
0.865,0.86,0.87,0.2183,0.0619,-0.0619
0.875,0.87,0.88,0.2158,0.0654,-0.0654
0.885,0.88,0.89,0.2366,0.0675,-0.0675
0.895,0.89,0.9,0.2704,0.0597,-0.0597
0.905,0.9,0.91,0.267,0.0639,-0.0639
0.915,0.91,0.92,0.3146,0.0676,-0.0676
0.925,0.92,0.93,0.3404,0.0747,-0.0747
0.935,0.93,0.94,0.3566,0.0746,-0.0746
0.945,0.94,0.95,0.2941,0.0677,-0.0677
0.955,0.95,0.96,0.3034,0.0656,-0.0656
0.965,0.96,0.97,0.3281,0.0705,-0.0705
0.975,0.97,0.98,0.4795,0.0864,-0.0864
0.985,0.98,0.99,0.3885,0.0844,-0.0844
0.995,0.99,1.0,0.4456,0.1317,-0.1317
1.005,1.0,1.01,0.4328,0.1022,-0.1022
1.0150000000000001,1.01,1.02,0.4875,0.0823,-0.0823
1.025,1.02,1.03,0.3949,0.0846,-0.0846
1.0350000000000001,1.03,1.04,0.3949,0.1285,-0.1285
1.045,1.04,1.05,0.4675,0.1262,-0.1262
1.0550000000000002,1.05,1.06,0.4359,0.1906,-0.1906
1.065,1.06,1.07,0.4518,0.1079,-0.1079
1.0750000000000002,1.07,1.08,0.4641,0.1656,-0.1656
1.085,1.08,1.09,0.4726,0.077,-0.077
1.0950000000000002,1.09,1.1,0.4716,0.1234,-0.1234
1.105,1.1,1.11,0.4556,0.1117,-0.1117
1.1150000000000002,1.11,1.12,0.3292,0.1603,-0.1603
1.125,1.12,1.13,0.5003,0.1093,-0.1093
1.1349999999999998,1.13,1.14,0.3927,0.1203,-0.1203
1.145,1.14,1.15,0.6157,0.115,-0.115
1.1549999999999998,1.15,1.16,0.4896,0.1345,-0.1345
1.165,1.16,1.17,0.4339,0.1803,-0.1803
1.1749999999999998,1.17,1.18,0.5477,0.1217,-0.1217
1.185,1.18,1.19,0.4829,0.2015,-0.2015
1.1949999999999998,1.19,1.2,0.3553,0.1338,-0.1338
1.205,1.2,1.21,0.654,0.1558,-0.1558
1.2149999999999999,1.21,1.22,0.4982,0.111,-0.111
1.225,1.22,1.23,0.5165,0.1246,-0.1246
1.2349999999999999,1.23,1.24,0.7018,0.1892,-0.1892
1.245,1.24,1.25,0.3979,0.1725,-0.1725
1.255,1.25,1.26,0.6229,0.1829,-0.1829
1.2650000000000001,1.26,1.27,0.7425,0.1921,-0.1921
1.275,1.27,1.28,0.5776,0.2147,-0.2147
1.2850000000000001,1.28,1.29,0.6679,0.1668,-0.1668
1.295,1.29,1.3,0.6786,0.1814,-0.1814
1.3050000000000002,1.3,1.31,0.6516,0.213,-0.213
1.315,1.31,1.32,0.4446,0.1596,-0.1596
1.3250000000000002,1.32,1.33,0.4848,0.1437,-0.1437
1.335,1.33,1.34,0.5273,0.1315,-0.1315
1.3450000000000002,1.34,1.35,0.6612,0.1572,-0.1572
1.355,1.35,1.36,0.4147,0.108,-0.108
1.3650000000000002,1.36,1.37,0.4971,0.1967,-0.1967
1.375,1.37,1.38,0.4271,0.1325,-0.1325
1.3849999999999998,1.38,1.39,0.438,0.0996,-0.0996
1.395,1.39,1.4,0.3727,0.0988,-0.0988

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=40,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0339,0.0237,-0.0237
0.415,0.41,0.42,0.0379,0.0253,-0.0253
0.425,0.42,0.43,0.0175,0.0247,-0.0247
0.435,0.43,0.44,-0.0229,-0.0246,0.0246
0.445,0.44,0.45,-0.0126,-0.0211,0.0211
0.455,0.45,0.46,0.0144,0.0233,-0.0233
0.46499999999999997,0.46,0.47,0.0033,0.0264,-0.0264
0.475,0.47,0.48,0.0688,0.0384,-0.0384
0.485,0.48,0.49,0.0243,0.0289,-0.0289
0.495,0.49,0.5,0.0113,0.036,-0.036
0.505,0.5,0.51,0.0732,0.036,-0.036
0.515,0.51,0.52,0.0837,0.0502,-0.0502
0.525,0.52,0.53,0.0331,0.0368,-0.0368
0.535,0.53,0.54,0.0208,0.0349,-0.0349
0.545,0.54,0.55,0.0514,0.0427,-0.0427
0.555,0.55,0.56,0.0012,0.0412,-0.0412
0.565,0.56,0.57,0.0456,0.0464,-0.0464
0.575,0.57,0.58,0.0831,0.0444,-0.0444
0.585,0.58,0.59,0.0784,0.0433,-0.0433
0.595,0.59,0.6,0.0682,0.0509,-0.0509
0.605,0.6,0.61,0.0575,0.046,-0.046
0.615,0.61,0.62,0.0395,0.0429,-0.0429
0.625,0.62,0.63,-0.0428,-0.0557,0.0557
0.635,0.63,0.64,-0.0435,-0.0506,0.0506
0.645,0.64,0.65,0.0289,0.0527,-0.0527
0.655,0.65,0.66,-0.0466,-0.0522,0.0522
0.665,0.66,0.67,-0.0813,-0.0595,0.0595
0.675,0.67,0.68,-0.0364,-0.054,0.054
0.685,0.68,0.69,-0.1271,-0.0892,0.0892
0.695,0.69,0.7,-0.1294,-0.0685,0.0685
0.705,0.7,0.71,-0.0987,-0.0684,0.0684
0.715,0.71,0.72,-0.1335,-0.0761,0.0761
0.725,0.72,0.73,-0.2598,-0.0985,0.0985
0.735,0.73,0.74,-0.2373,-0.1137,0.1137
0.745,0.74,0.75,-0.0652,-0.0816,0.0816
0.755,0.75,0.76,-0.3457,-0.148,0.148
0.765,0.76,0.77,-0.3874,-0.1428,0.1428
0.775,0.77,0.78,-0.2907,-0.107,0.107
0.785,0.78,0.79,-0.3318,-0.1371,0.1371
0.795,0.79,0.8,-0.1701,-0.1012,0.1012
0.805,0.8,0.81,-0.2158,-0.0835,0.0835
0.815,0.81,0.82,-0.0644,-0.0985,0.0985
0.825,0.82,0.83,0.0354,0.0864,-0.0864
0.835,0.83,0.84,0.1097,0.0563,-0.0563
0.845,0.84,0.85,0.0586,0.063,-0.063
0.855,0.85,0.86,0.0833,0.0614,-0.0614
0.865,0.86,0.87,0.1103,0.0548,-0.0548
0.875,0.87,0.88,0.1402,0.0555,-0.0555
0.885,0.88,0.89,0.1507,0.0644,-0.0644
0.895,0.89,0.9,0.1741,0.0529,-0.0529
0.905,0.9,0.91,0.1401,0.0526,-0.0526
0.915,0.91,0.92,0.2184,0.0628,-0.0628
0.925,0.92,0.93,0.2795,0.0616,-0.0616
0.935,0.93,0.94,0.2732,0.0597,-0.0597
0.945,0.94,0.95,0.3358,0.0644,-0.0644
0.955,0.95,0.96,0.2523,0.0683,-0.0683
0.965,0.96,0.97,0.2663,0.0522,-0.0522
0.975,0.97,0.98,0.3618,0.0812,-0.0812
0.985,0.98,0.99,0.3319,0.0732,-0.0732
0.995,0.99,1.0,0.3444,0.069,-0.069
1.005,1.0,1.01,0.3505,0.0731,-0.0731
1.0150000000000001,1.01,1.02,0.3016,0.1053,-0.1053
1.025,1.02,1.03,0.3145,0.0642,-0.0642
1.0350000000000001,1.03,1.04,0.3946,0.0703,-0.0703
1.045,1.04,1.05,0.4813,0.0739,-0.0739
1.0550000000000002,1.05,1.06,0.3386,0.0797,-0.0797
1.065,1.06,1.07,0.398,0.1073,-0.1073
1.0750000000000002,1.07,1.08,0.3935,0.1133,-0.1133
1.085,1.08,1.09,0.3874,0.0956,-0.0956
1.0950000000000002,1.09,1.1,0.3947,0.0945,-0.0945
1.105,1.1,1.11,0.4009,0.1111,-0.1111
1.1150000000000002,1.11,1.12,0.4172,0.0829,-0.0829
1.125,1.12,1.13,0.2977,0.1338,-0.1338
1.1349999999999998,1.13,1.14,0.3341,0.0935,-0.0935
1.145,1.14,1.15,0.3957,0.1423,-0.1423
1.1549999999999998,1.15,1.16,0.3164,0.1057,-0.1057
1.165,1.16,1.17,0.3302,0.1012,-0.1012
1.1749999999999998,1.17,1.18,0.4467,0.1172,-0.1172
1.185,1.18,1.19,0.3478,0.1204,-0.1204
1.1949999999999998,1.19,1.2,0.3575,0.1054,-0.1054
1.205,1.2,1.21,0.3972,0.1421,-0.1421
1.2149999999999999,1.21,1.22,0.3226,0.1611,-0.1611
1.225,1.22,1.23,0.4827,0.1533,-0.1533
1.2349999999999999,1.23,1.24,0.3028,0.108,-0.108
1.245,1.24,1.25,0.3022,0.1004,-0.1004
1.255,1.25,1.26,0.3856,0.1461,-0.1461
1.2650000000000001,1.26,1.27,0.5459,0.1489,-0.1489
1.275,1.27,1.28,0.4854,0.149,-0.149
1.2850000000000001,1.28,1.29,0.5479,0.1451,-0.1451
1.295,1.29,1.3,0.5348,0.1631,-0.1631
1.3050000000000002,1.3,1.31,0.4305,0.1218,-0.1218
1.315,1.31,1.32,0.4665,0.1631,-0.1631
1.3250000000000002,1.32,1.33,0.508,0.1921,-0.1921
1.335,1.33,1.34,0.512,0.1611,-0.1611
1.3450000000000002,1.34,1.35,0.5084,0.1805,-0.1805
1.355,1.35,1.36,0.4364,0.1116,-0.1116
1.3650000000000002,1.36,1.37,0.6053,0.145,-0.145
1.375,1.37,1.38,0.6099,0.1242,-0.1242
1.3849999999999998,1.38,1.39,0.5058,0.1263,-0.1263
1.395,1.39,1.4,0.4944,0.0993,-0.0993

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=40,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.0081,-0.0199,0.0199
0.415,0.41,0.42,0.0248,0.0189,-0.0189
0.425,0.42,0.43,0.0262,0.0234,-0.0234
0.435,0.43,0.44,0.0295,0.0238,-0.0238
0.445,0.44,0.45,0.0191,0.0232,-0.0232
0.455,0.45,0.46,-0.0046,-0.0233,0.0233
0.46499999999999997,0.46,0.47,-0.0078,-0.0311,0.0311
0.475,0.47,0.48,0.0484,0.0287,-0.0287
0.485,0.48,0.49,0.0428,0.0256,-0.0256
0.495,0.49,0.5,0.0166,0.0356,-0.0356
0.505,0.5,0.51,0.023,0.0282,-0.0282
0.515,0.51,0.52,0.0222,0.0267,-0.0267
0.525,0.52,0.53,0.1126,0.0337,-0.0337
0.535,0.53,0.54,0.052,0.039,-0.039
0.545,0.54,0.55,0.0514,0.0421,-0.0421
0.555,0.55,0.56,0.0417,0.035,-0.035
0.565,0.56,0.57,0.0584,0.0376,-0.0376
0.575,0.57,0.58,0.1415,0.0522,-0.0522
0.585,0.58,0.59,0.0822,0.0512,-0.0512
0.595,0.59,0.6,0.0796,0.0388,-0.0388
0.605,0.6,0.61,0.1437,0.0461,-0.0461
0.615,0.61,0.62,0.1422,0.0553,-0.0553
0.625,0.62,0.63,0.1489,0.0535,-0.0535
0.635,0.63,0.64,0.1556,0.0603,-0.0603
0.645,0.64,0.65,0.0883,0.06,-0.06
0.655,0.65,0.66,0.0525,0.0579,-0.0579
0.665,0.66,0.67,-0.0492,-0.0562,0.0562
0.675,0.67,0.68,0.0823,0.0708,-0.0708
0.685,0.68,0.69,0.0096,0.0715,-0.0715
0.695,0.69,0.7,0.0126,0.0804,-0.0804
0.705,0.7,0.71,0.0286,0.0589,-0.0589
0.715,0.71,0.72,-0.0244,-0.0804,0.0804
0.725,0.72,0.73,0.012,0.0759,-0.0759
0.735,0.73,0.74,-0.1306,-0.0869,0.0869
0.745,0.74,0.75,-0.146,-0.0995,0.0995
0.755,0.75,0.76,-0.1812,-0.0854,0.0854
0.765,0.76,0.77,-0.1863,-0.0946,0.0946
0.775,0.77,0.78,-0.1849,-0.0904,0.0904
0.785,0.78,0.79,-0.0071,-0.1123,0.1123
0.795,0.79,0.8,-0.0905,-0.0817,0.0817
0.805,0.8,0.81,-0.0039,-0.0834,0.0834
0.815,0.81,0.82,-0.0053,-0.0707,0.0707
0.825,0.82,0.83,0.0291,0.0616,-0.0616
0.835,0.83,0.84,0.0512,0.0619,-0.0619
0.845,0.84,0.85,0.1153,0.0573,-0.0573
0.855,0.85,0.86,0.1197,0.0568,-0.0568
0.865,0.86,0.87,0.0253,0.0678,-0.0678
0.875,0.87,0.88,0.1575,0.0578,-0.0578
0.885,0.88,0.89,0.1094,0.0518,-0.0518
0.895,0.89,0.9,0.2029,0.0568,-0.0568
0.905,0.9,0.91,0.2074,0.0571,-0.0571
0.915,0.91,0.92,0.112,0.0565,-0.0565
0.925,0.92,0.93,0.2016,0.0597,-0.0597
0.935,0.93,0.94,0.2099,0.0649,-0.0649
0.945,0.94,0.95,0.2382,0.0628,-0.0628
0.955,0.95,0.96,0.1962,0.0722,-0.0722
0.965,0.96,0.97,0.2819,0.0686,-0.0686
0.975,0.97,0.98,0.3023,0.0773,-0.0773
0.985,0.98,0.99,0.2336,0.0669,-0.0669
0.995,0.99,1.0,0.2651,0.0756,-0.0756
1.005,1.0,1.01,0.3017,0.057,-0.057
1.0150000000000001,1.01,1.02,0.3553,0.0789,-0.0789
1.025,1.02,1.03,0.2635,0.0537,-0.0537
1.0350000000000001,1.03,1.04,0.2378,0.0842,-0.0842
1.045,1.04,1.05,0.4985,0.0698,-0.0698
1.0550000000000002,1.05,1.06,0.3106,0.078,-0.078
1.065,1.06,1.07,0.2767,0.0857,-0.0857
1.0750000000000002,1.07,1.08,0.3948,0.1032,-0.1032
1.085,1.08,1.09,0.1951,0.09,-0.09
1.0950000000000002,1.09,1.1,0.2583,0.1038,-0.1038
1.105,1.1,1.11,0.4632,0.0689,-0.0689
1.1150000000000002,1.11,1.12,0.4421,0.0756,-0.0756
1.125,1.12,1.13,0.3526,0.0837,-0.0837
1.1349999999999998,1.13,1.14,0.2967,0.0716,-0.0716
1.145,1.14,1.15,0.4004,0.1109,-0.1109
1.1549999999999998,1.15,1.16,0.4739,0.074,-0.074
1.165,1.16,1.17,0.3623,0.1561,-0.1561
1.1749999999999998,1.17,1.18,0.3179,0.0911,-0.0911
1.185,1.18,1.19,0.3901,0.0997,-0.0997
1.1949999999999998,1.19,1.2,0.6385,0.1258,-0.1258
1.205,1.2,1.21,0.2131,0.099,-0.099
1.2149999999999999,1.21,1.22,0.4296,0.1602,-0.1602
1.225,1.22,1.23,0.3506,0.1676,-0.1676
1.2349999999999999,1.23,1.24,0.4921,0.1659,-0.1659
1.245,1.24,1.25,0.3247,0.1099,-0.1099
1.255,1.25,1.26,0.2054,0.0699,-0.0699
1.2650000000000001,1.26,1.27,0.3748,0.16,-0.16
1.275,1.27,1.28,0.3492,0.1419,-0.1419
1.2850000000000001,1.28,1.29,0.2979,0.1007,-0.1007
1.295,1.29,1.3,0.3351,0.1107,-0.1107
1.3050000000000002,1.3,1.31,0.2772,0.1168,-0.1168
1.315,1.31,1.32,0.4151,0.1373,-0.1373
1.3250000000000002,1.32,1.33,0.4949,0.113,-0.113
1.335,1.33,1.34,0.4614,0.112,-0.112
1.3450000000000002,1.34,1.35,0.43,0.0861,-0.0861
1.355,1.35,1.36,0.5088,0.0818,-0.0818
1.3650000000000002,1.36,1.37,0.5153,0.0964,-0.0964
1.375,1.37,1.38,0.8147,0.241,-0.241
1.3849999999999998,1.38,1.39,0.4383,0.077,-0.077
1.395,1.39,1.4,0.7399,0.2356,-0.2356

