#: table_doi: 10.17182/hepdata.74824.v1/t65
#: name: Table 65
#: description: Moments YLM(LM=40) of the di-pion angular distribution for -T.

#: data_file: Table65.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=40,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0447,0.0331,-0.0331
0.415,0.41,0.42,-0.0072,-0.027,0.027
0.425,0.42,0.43,-0.0171,-0.0234,0.0234
0.435,0.43,0.44,-0.0155,-0.0283,0.0283
0.445,0.44,0.45,0.0023,0.0265,-0.0265
0.455,0.45,0.46,-0.0313,-0.0365,0.0365
0.46499999999999997,0.46,0.47,0.0384,0.043,-0.043
0.475,0.47,0.48,-0.0281,-0.0384,0.0384
0.485,0.48,0.49,0.0026,0.0583,-0.0583
0.495,0.49,0.5,-0.0207,-0.0357,0.0357
0.505,0.5,0.51,0.0063,0.0456,-0.0456
0.515,0.51,0.52,-0.0016,-0.0479,0.0479
0.525,0.52,0.53,0.0142,0.0815,-0.0815
0.535,0.53,0.54,0.0396,0.0515,-0.0515
0.545,0.54,0.55,0.0107,0.0536,-0.0536
0.555,0.55,0.56,0.0237,0.0537,-0.0537
0.565,0.56,0.57,-0.0711,-0.0631,0.0631
0.575,0.57,0.58,-0.0261,-0.0555,0.0555
0.585,0.58,0.59,-0.0089,-0.048,0.048
0.595,0.59,0.6,-0.1003,-0.0488,0.0488
0.605,0.6,0.61,-0.0872,-0.0579,0.0579
0.615,0.61,0.62,-0.0431,-0.0525,0.0525
0.625,0.62,0.63,-0.1725,-0.062,0.062
0.635,0.63,0.64,-0.1407,-0.0558,0.0558
0.645,0.64,0.65,-0.126,-0.0583,0.0583
0.655,0.65,0.66,-0.2636,-0.0892,0.0892
0.665,0.66,0.67,-0.1925,-0.074,0.074
0.675,0.67,0.68,-0.1984,-0.0709,0.0709
0.685,0.68,0.69,-0.3376,-0.1009,0.1009
0.695,0.69,0.7,-0.2992,-0.0767,0.0767
0.705,0.7,0.71,-0.3071,-0.0973,0.0973
0.715,0.71,0.72,-0.3323,-0.1037,0.1037
0.725,0.72,0.73,-0.4042,-0.1032,0.1032
0.735,0.73,0.74,-0.4225,-0.1498,0.1498
0.745,0.74,0.75,-0.399,-0.1363,0.1363
0.755,0.75,0.76,-0.2818,-0.1167,0.1167
0.765,0.76,0.77,-0.233,-0.1473,0.1473
0.775,0.77,0.78,-0.1672,-0.1919,0.1919
0.785,0.78,0.79,-0.1542,-0.1218,0.1218
0.795,0.79,0.8,-0.0124,-0.1549,0.1549
0.805,0.8,0.81,0.1039,0.1454,-0.1454
0.815,0.81,0.82,0.1196,0.0788,-0.0788
0.825,0.82,0.83,0.2886,0.0839,-0.0839
0.835,0.83,0.84,0.3838,0.0858,-0.0858
0.845,0.84,0.85,0.4035,0.0876,-0.0876
0.855,0.85,0.86,0.378,0.0749,-0.0749
0.865,0.86,0.87,0.2636,0.0684,-0.0684
0.875,0.87,0.88,0.2525,0.0684,-0.0684
0.885,0.88,0.89,0.44,0.083,-0.083
0.895,0.89,0.9,0.4774,0.0921,-0.0921
0.905,0.9,0.91,0.4655,0.0788,-0.0788
0.915,0.91,0.92,0.3559,0.0878,-0.0878
0.925,0.92,0.93,0.3353,0.0717,-0.0717
0.935,0.93,0.94,0.3845,0.0891,-0.0891
0.945,0.94,0.95,0.3894,0.0945,-0.0945
0.955,0.95,0.96,0.48,0.0974,-0.0974
0.965,0.96,0.97,0.5892,0.1125,-0.1125
0.975,0.97,0.98,0.5959,0.1278,-0.1278
0.985,0.98,0.99,0.6352,0.1267,-0.1267
0.995,0.99,1.0,0.6067,0.1511,-0.1511
1.005,1.0,1.01,0.4448,0.0989,-0.0989
1.0150000000000001,1.01,1.02,0.4708,0.0941,-0.0941
1.025,1.02,1.03,0.3817,0.1696,-0.1696
1.0350000000000001,1.03,1.04,0.4782,0.1181,-0.1181
1.045,1.04,1.05,0.571,0.1377,-0.1377
1.0550000000000002,1.05,1.06,0.5644,0.1934,-0.1934
1.065,1.06,1.07,0.5256,0.1227,-0.1227
