#: table_doi: 10.17182/hepdata.74824.v1/t94
#: name: Table 94
#: description: S wave cross section for -T.

#: data_file: Table94.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0945,0.073,-0.073
0.415,0.41,0.42,0.1068,0.0802,-0.0802
0.425,0.42,0.43,0.1225,0.0889,-0.0889
0.435,0.43,0.44,0.1412,0.0988,-0.0988
0.445,0.44,0.45,0.1626,0.1095,-0.1095
0.455,0.45,0.46,0.186,0.1206,-0.1206
0.46499999999999997,0.46,0.47,0.2107,0.1317,-0.1317
0.475,0.47,0.48,0.2362,0.1426,-0.1426
0.485,0.48,0.49,0.2617,0.1528,-0.1528
0.495,0.49,0.5,0.2865,0.1622,-0.1622
0.505,0.5,0.51,0.31,0.1705,-0.1705
0.515,0.51,0.52,0.3317,0.1776,-0.1776
0.525,0.52,0.53,0.3513,0.1835,-0.1835
0.535,0.53,0.54,0.3684,0.1881,-0.1881
0.545,0.54,0.55,0.3829,0.1916,-0.1916
0.555,0.55,0.56,0.3949,0.1941,-0.1941
0.565,0.56,0.57,0.4042,0.1959,-0.1959
0.575,0.57,0.58,0.4112,0.197,-0.197
0.585,0.58,0.59,0.4161,0.1977,-0.1977
0.595,0.59,0.6,0.419,0.1982,-0.1982
0.605,0.6,0.61,0.4204,0.1987,-0.1987
0.615,0.61,0.62,0.4205,0.1992,-0.1992
0.625,0.62,0.63,0.4195,0.2,-0.2
0.635,0.63,0.64,0.4179,0.2011,-0.2011
0.645,0.64,0.65,0.4159,0.2024,-0.2024
0.655,0.65,0.66,0.4136,0.204,-0.204
0.665,0.66,0.67,0.4115,0.2058,-0.2058
0.675,0.67,0.68,0.4095,0.2077,-0.2077
0.685,0.68,0.69,0.408,0.2097,-0.2097
0.695,0.69,0.7,0.407,0.2117,-0.2117
0.705,0.7,0.71,0.4066,0.2136,-0.2136
0.715,0.71,0.72,0.4069,0.2153,-0.2153
0.725,0.72,0.73,0.408,0.2168,-0.2168
0.735,0.73,0.74,0.4099,0.2181,-0.2181
0.745,0.74,0.75,0.4126,0.2191,-0.2191
0.755,0.75,0.76,0.4161,0.2198,-0.2198
0.765,0.76,0.77,0.4204,0.2202,-0.2202
0.775,0.77,0.78,0.4254,0.2202,-0.2202
0.785,0.78,0.79,0.4311,0.22,-0.22
0.795,0.79,0.8,0.4374,0.2194,-0.2194
0.805,0.8,0.81,0.4443,0.2186,-0.2186
0.815,0.81,0.82,0.4516,0.2175,-0.2175
0.825,0.82,0.83,0.4592,0.2163,-0.2163
0.835,0.83,0.84,0.467,0.215,-0.215
0.845,0.84,0.85,0.4748,0.2137,-0.2137
0.855,0.85,0.86,0.4826,0.2124,-0.2124
