#: table_doi: 10.17182/hepdata.74824.v1/t111
#: name: Table 111
#: description: P0 wave cross section for -T.

#: data_file: Table111.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1212,0.0352,-0.0352
0.415,0.41,0.42,0.1319,0.0356,-0.0356
0.425,0.42,0.43,0.1427,0.0359,-0.0359
0.435,0.43,0.44,0.1537,0.0361,-0.0361
0.445,0.44,0.45,0.165,0.0362,-0.0362
0.455,0.45,0.46,0.1767,0.0364,-0.0364
0.46499999999999997,0.46,0.47,0.1887,0.037,-0.037
0.475,0.47,0.48,0.2013,0.0379,-0.0379
0.485,0.48,0.49,0.2147,0.0394,-0.0394
0.495,0.49,0.5,0.2288,0.0417,-0.0417
0.505,0.5,0.51,0.2439,0.0448,-0.0448
0.515,0.51,0.52,0.2603,0.0489,-0.0489
0.525,0.52,0.53,0.2781,0.0539,-0.0539
0.535,0.53,0.54,0.2977,0.06,-0.06
0.545,0.54,0.55,0.3193,0.0671,-0.0671
0.555,0.55,0.56,0.3434,0.0752,-0.0752
0.565,0.56,0.57,0.3704,0.0844,-0.0844
0.575,0.57,0.58,0.4008,0.0945,-0.0945
0.585,0.58,0.59,0.4353,0.1058,-0.1058
0.595,0.59,0.6,0.4747,0.1183,-0.1183
0.605,0.6,0.61,0.5199,0.132,-0.132
0.615,0.61,0.62,0.5719,0.1471,-0.1471
0.625,0.62,0.63,0.6321,0.1639,-0.1639
0.635,0.63,0.64,0.702,0.1824,-0.1824
0.645,0.64,0.65,0.7833,0.2031,-0.2031
0.655,0.65,0.66,0.878,0.2262,-0.2262
0.665,0.66,0.67,0.9882,0.2522,-0.2522
0.675,0.67,0.68,1.1159,0.2815,-0.2815
0.685,0.68,0.69,1.2625,0.3146,-0.3146
0.695,0.69,0.7,1.428,0.3517,-0.3517
0.705,0.7,0.71,1.6101,0.3928,-0.3928
0.715,0.71,0.72,1.802,0.4371,-0.4371
0.725,0.72,0.73,1.9914,0.4828,-0.4828
0.735,0.73,0.74,2.1599,0.5266,-0.5266
0.745,0.74,0.75,2.2849,0.5639,-0.5639
0.755,0.75,0.76,2.3458,0.59,-0.59
0.765,0.76,0.77,2.3314,0.601,-0.601
0.775,0.77,0.78,2.2448,0.5962,-0.5962
0.785,0.78,0.79,2.1023,0.5773,-0.5773
0.795,0.79,0.8,1.9264,0.5483,-0.5483
0.805,0.8,0.81,1.7389,0.5137,-0.5137
0.815,0.81,0.82,1.5558,0.4771,-0.4771
0.825,0.82,0.83,1.3872,0.4414,-0.4414
0.835,0.83,0.84,1.2376,0.4082,-0.4082
0.845,0.84,0.85,1.1081,0.3783,-0.3783
0.855,0.85,0.86,0.9978,0.3522,-0.3522
0.865,0.86,0.87,0.9049,0.3297,-0.3297
0.875,0.87,0.88,0.8272,0.3107,-0.3107
0.885,0.88,0.89,0.7626,0.2949,-0.2949
0.895,0.89,0.9,0.7091,0.2821,-0.2821
0.905,0.9,0.91,0.6649,0.2718,-0.2718
0.915,0.91,0.92,0.6288,0.264,-0.264
0.925,0.92,0.93,0.5993,0.2582,-0.2582
0.935,0.93,0.94,0.5755,0.2542,-0.2542
0.945,0.94,0.95,0.5564,0.2518,-0.2518
0.955,0.95,0.96,0.5415,0.2509,-0.2509
0.965,0.96,0.97,0.5299,0.2511,-0.2511
0.975,0.97,0.98,0.5213,0.2524,-0.2524
0.985,0.98,0.99,0.5151,0.2547,-0.2547
0.995,0.99,1.0,0.511,0.2577,-0.2577
1.005,1.0,1.01,0.5086,0.2614,-0.2614
1.0150000000000001,1.01,1.02,0.5076,0.2657,-0.2657
1.025,1.02,1.03,0.5078,0.2704,-0.2704
1.0350000000000001,1.03,1.04,0.509,0.2756,-0.2756
1.045,1.04,1.05,0.5109,0.2811,-0.2811
1.0550000000000002,1.05,1.06,0.5133,0.2868,-0.2868
1.065,1.06,1.07,0.5161,0.2928,-0.2928
1.0750000000000002,1.07,1.08,0.5191,0.2989,-0.2989
1.085,1.08,1.09,0.5221,0.305,-0.305
1.0950000000000002,1.09,1.1,0.5251,0.3112,-0.3112
1.105,1.1,1.11,0.5279,0.3173,-0.3173
1.1150000000000002,1.11,1.12,0.5303,0.3232,-0.3232
1.125,1.12,1.13,0.5323,0.329,-0.329
1.1349999999999998,1.13,1.14,0.5338,0.3346,-0.3346
1.145,1.14,1.15,0.5347,0.3398,-0.3398
1.1549999999999998,1.15,1.16,0.5348,0.3448,-0.3448
1.165,1.16,1.17,0.5341,0.3492,-0.3492
1.1749999999999998,1.17,1.18,0.5326,0.3532,-0.3532
1.185,1.18,1.19,0.5302,0.3567,-0.3567
1.1949999999999998,1.19,1.2,0.5268,0.3596,-0.3596
1.205,1.2,1.21,0.5224,0.3618,-0.3618
1.2149999999999999,1.21,1.22,0.5169,0.3633,-0.3633
1.225,1.22,1.23,0.5104,0.364,-0.364
1.2349999999999999,1.23,1.24,0.5029,0.3639,-0.3639
1.245,1.24,1.25,0.4943,0.363,-0.363
1.255,1.25,1.26,0.4847,0.3611,-0.3611
1.2650000000000001,1.26,1.27,0.4742,0.3583,-0.3583
1.275,1.27,1.28,0.4627,0.3545,-0.3545
1.2850000000000001,1.28,1.29,0.4504,0.3496,-0.3496
1.295,1.29,1.3,0.4374,0.3438,-0.3438
1.3050000000000002,1.3,1.31,0.4238,0.3369,-0.3369
1.315,1.31,1.32,0.4097,0.3289,-0.3289
1.3250000000000002,1.32,1.33,0.3954,0.32,-0.32
1.335,1.33,1.34,0.3809,0.3101,-0.3101
1.3450000000000002,1.34,1.35,0.3665,0.2992,-0.2992
1.355,1.35,1.36,0.3526,0.2876,-0.2876
