#: table_doi: 10.17182/hepdata.74824.v1/t136
#: name: Table 136
#: description: D0 wave cross section for -T.

#: data_file: Table136.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0555,0.0384,-0.0384
0.415,0.41,0.42,0.0567,0.0414,-0.0414
0.425,0.42,0.43,0.0582,0.0446,-0.0446
0.435,0.43,0.44,0.0599,0.0478,-0.0478
0.445,0.44,0.45,0.0617,0.051,-0.051
0.455,0.45,0.46,0.0636,0.0542,-0.0542
0.46499999999999997,0.46,0.47,0.0656,0.0574,-0.0574
0.475,0.47,0.48,0.0676,0.0604,-0.0604
0.485,0.48,0.49,0.0695,0.0632,-0.0632
0.495,0.49,0.5,0.0714,0.0659,-0.0659
0.505,0.5,0.51,0.0732,0.0684,-0.0684
0.515,0.51,0.52,0.0749,0.0706,-0.0706
0.525,0.52,0.53,0.0765,0.0726,-0.0726
0.535,0.53,0.54,0.078,0.0743,-0.0743
0.545,0.54,0.55,0.0794,0.0757,-0.0757
0.555,0.55,0.56,0.0806,0.0769,-0.0769
0.565,0.56,0.57,0.0818,0.0778,-0.0778
0.575,0.57,0.58,0.0828,0.0784,-0.0784
0.585,0.58,0.59,0.0838,0.0789,-0.0789
0.595,0.59,0.6,0.0847,0.079,-0.079
0.605,0.6,0.61,0.0855,0.079,-0.079
0.615,0.61,0.62,0.0864,0.0788,-0.0788
0.625,0.62,0.63,0.0872,0.0785,-0.0785
0.635,0.63,0.64,0.0881,0.0781,-0.0781
0.645,0.64,0.65,0.089,0.0777,-0.0777
0.655,0.65,0.66,0.09,0.0773,-0.0773
0.665,0.66,0.67,0.0912,0.0769,-0.0769
0.675,0.67,0.68,0.0925,0.0767,-0.0767
0.685,0.68,0.69,0.094,0.0766,-0.0766
0.695,0.69,0.7,0.0957,0.0769,-0.0769
0.705,0.7,0.71,0.0976,0.0774,-0.0774
0.715,0.71,0.72,0.0999,0.0782,-0.0782
0.725,0.72,0.73,0.1024,0.0794,-0.0794
0.735,0.73,0.74,0.1054,0.0811,-0.0811
0.745,0.74,0.75,0.1086,0.0832,-0.0832
0.755,0.75,0.76,0.1123,0.0858,-0.0858
0.765,0.76,0.77,0.1164,0.0888,-0.0888
0.775,0.77,0.78,0.1209,0.0922,-0.0922
0.785,0.78,0.79,0.1259,0.096,-0.096
0.795,0.79,0.8,0.1313,0.1002,-0.1002
0.805,0.8,0.81,0.1372,0.1048,-0.1048
0.815,0.81,0.82,0.1436,0.1097,-0.1097
0.825,0.82,0.83,0.1505,0.1148,-0.1148
0.835,0.83,0.84,0.1578,0.1203,-0.1203
0.845,0.84,0.85,0.1656,0.1259,-0.1259
