#: table_doi: 10.17182/hepdata.74824.v1/t92
#: name: Table 92
#: description: S wave cross section for -T.

#: data_file: Table92.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2674,0.2184,-0.2184
0.415,0.41,0.42,0.2863,0.2274,-0.2274
0.425,0.42,0.43,0.307,0.2384,-0.2384
0.435,0.43,0.44,0.3289,0.2511,-0.2511
0.445,0.44,0.45,0.3515,0.2653,-0.2653
0.455,0.45,0.46,0.3739,0.2807,-0.2807
0.46499999999999997,0.46,0.47,0.3955,0.2968,-0.2968
0.475,0.47,0.48,0.4155,0.3131,-0.3131
0.485,0.48,0.49,0.4333,0.3291,-0.3291
0.495,0.49,0.5,0.4483,0.3445,-0.3445
0.505,0.5,0.51,0.4602,0.3587,-0.3587
0.515,0.51,0.52,0.4689,0.3718,-0.3718
0.525,0.52,0.53,0.4742,0.3834,-0.3834
0.535,0.53,0.54,0.4762,0.3936,-0.3936
0.545,0.54,0.55,0.4753,0.4024,-0.4024
0.555,0.55,0.56,0.4718,0.41,-0.41
0.565,0.56,0.57,0.4662,0.4166,-0.4166
0.575,0.57,0.58,0.4591,0.4223,-0.4223
0.585,0.58,0.59,0.451,0.4274,-0.4274
0.595,0.59,0.6,0.4425,0.432,-0.432
0.605,0.6,0.61,0.4341,0.4362,-0.4362
0.615,0.61,0.62,0.4266,0.4402,-0.4402
0.625,0.62,0.63,0.4202,0.4439,-0.4439
0.635,0.63,0.64,0.4156,0.4475,-0.4475
0.645,0.64,0.65,0.4131,0.4508,-0.4508
0.655,0.65,0.66,0.413,0.4537,-0.4537
0.665,0.66,0.67,0.4158,0.4562,-0.4562
0.675,0.67,0.68,0.4216,0.4583,-0.4583
0.685,0.68,0.69,0.4306,0.4598,-0.4598
0.695,0.69,0.7,0.443,0.4606,-0.4606
0.705,0.7,0.71,0.4588,0.4608,-0.4608
0.715,0.71,0.72,0.4782,0.4602,-0.4602
0.725,0.72,0.73,0.5012,0.459,-0.459
0.735,0.73,0.74,0.5276,0.457,-0.457
0.745,0.74,0.75,0.5576,0.4546,-0.4546
0.755,0.75,0.76,0.5909,0.4516,-0.4516
0.765,0.76,0.77,0.6275,0.4484,-0.4484
0.775,0.77,0.78,0.6671,0.445,-0.445
0.785,0.78,0.79,0.7096,0.4418,-0.4418
0.795,0.79,0.8,0.7548,0.4389,-0.4389
0.805,0.8,0.81,0.8023,0.4367,-0.4367
0.815,0.81,0.82,0.852,0.4354,-0.4354
0.825,0.82,0.83,0.9033,0.4354,-0.4354
0.835,0.83,0.84,0.956,0.4369,-0.4369
0.845,0.84,0.85,1.0097,0.4402,-0.4402
0.855,0.85,0.86,1.0637,0.4453,-0.4453
0.865,0.86,0.87,1.1177,0.4526,-0.4526
0.875,0.87,0.88,1.1709,0.4619,-0.4619
0.885,0.88,0.89,1.2227,0.4734,-0.4734
0.895,0.89,0.9,1.2722,0.4869,-0.4869
0.905,0.9,0.91,1.3185,0.5023,-0.5023
0.915,0.91,0.92,1.3603,0.5195,-0.5195
0.925,0.92,0.93,1.3959,0.5383,-0.5383
0.935,0.93,0.94,1.4231,0.5587,-0.5587
0.945,0.94,0.95,1.4382,0.581,-0.581
0.955,0.95,0.96,1.435,0.6058,-0.6058
0.965,0.96,0.97,1.3999,0.6344,-0.6344
0.975,0.97,0.98,1.2975,0.6689,-0.6689
0.985,0.98,0.99,1.0113,0.697,-0.697
0.995,0.99,1.0,0.737,0.5213,-0.5213
1.005,1.0,1.01,0.5718,0.3981,-0.3981
1.0150000000000001,1.01,1.02,0.4808,0.3332,-0.3332
1.025,1.02,1.03,0.4347,0.2923,-0.2923
1.0350000000000001,1.03,1.04,0.4209,0.2683,-0.2683
1.045,1.04,1.05,0.432,0.2581,-0.2581
1.0550000000000002,1.05,1.06,0.463,0.2594,-0.2594
1.065,1.06,1.07,0.51,0.2696,-0.2696
1.0750000000000002,1.07,1.08,0.5701,0.2866,-0.2866
1.085,1.08,1.09,0.6405,0.3082,-0.3082
1.0950000000000002,1.09,1.1,0.7191,0.3331,-0.3331
1.105,1.1,1.11,0.8036,0.3601,-0.3601
1.1150000000000002,1.11,1.12,0.8923,0.3883,-0.3883
1.125,1.12,1.13,0.9832,0.417,-0.417
1.1349999999999998,1.13,1.14,1.0748,0.4458,-0.4458
1.145,1.14,1.15,1.1654,0.474,-0.474
1.1549999999999998,1.15,1.16,1.2536,0.5014,-0.5014
1.165,1.16,1.17,1.338,0.5274,-0.5274
1.1749999999999998,1.17,1.18,1.4171,0.5519,-0.5519
1.185,1.18,1.19,1.4898,0.5743,-0.5743
1.1949999999999998,1.19,1.2,1.5549,0.5945,-0.5945
1.205,1.2,1.21,1.6114,0.6121,-0.6121
1.2149999999999999,1.21,1.22,1.6582,0.6269,-0.6269
1.225,1.22,1.23,1.6946,0.6386,-0.6386
1.2349999999999999,1.23,1.24,1.7199,0.6472,-0.6472
1.245,1.24,1.25,1.7334,0.6524,-0.6524
1.255,1.25,1.26,1.7347,0.6542,-0.6542
1.2650000000000001,1.26,1.27,1.7236,0.6525,-0.6525
1.275,1.27,1.28,1.6999,0.6474,-0.6474
1.2850000000000001,1.28,1.29,1.6636,0.639,-0.639
1.295,1.29,1.3,1.6151,0.6276,-0.6276
1.3050000000000002,1.3,1.31,1.5548,0.6134,-0.6134
1.315,1.31,1.32,1.4835,0.5969,-0.5969
1.3250000000000002,1.32,1.33,1.402,0.5785,-0.5785
1.335,1.33,1.34,1.3117,0.559,-0.559
1.3450000000000002,1.34,1.35,1.2141,0.5392,-0.5392
1.355,1.35,1.36,1.111,0.5203,-0.5203
1.3650000000000002,1.36,1.37,1.0044,0.5032,-0.5032
1.375,1.37,1.38,0.8971,0.4896,-0.4896
1.3849999999999998,1.38,1.39,0.7917,0.4807,-0.4807
1.395,1.39,1.4,0.6916,0.4782,-0.4782

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1837,0.123,-0.123
0.415,0.41,0.42,0.1806,0.1261,-0.1261
0.425,0.42,0.43,0.181,0.1308,-0.1308
0.435,0.43,0.44,0.1848,0.136,-0.136
0.445,0.44,0.45,0.1916,0.1409,-0.1409
0.455,0.45,0.46,0.201,0.1448,-0.1448
0.46499999999999997,0.46,0.47,0.2124,0.1475,-0.1475
0.475,0.47,0.48,0.2251,0.1488,-0.1488
0.485,0.48,0.49,0.2385,0.1491,-0.1491
0.495,0.49,0.5,0.2518,0.1487,-0.1487
0.505,0.5,0.51,0.2643,0.1483,-0.1483
0.515,0.51,0.52,0.2756,0.1485,-0.1485
0.525,0.52,0.53,0.2852,0.15,-0.15
0.535,0.53,0.54,0.2927,0.153,-0.153
0.545,0.54,0.55,0.2981,0.1577,-0.1577
0.555,0.55,0.56,0.3012,0.164,-0.164
0.565,0.56,0.57,0.3023,0.1716,-0.1716
0.575,0.57,0.58,0.3014,0.1799,-0.1799
0.585,0.58,0.59,0.299,0.1885,-0.1885
0.595,0.59,0.6,0.2953,0.197,-0.197
0.605,0.6,0.61,0.2908,0.2049,-0.2049
0.615,0.61,0.62,0.2858,0.2119,-0.2119
0.625,0.62,0.63,0.2809,0.2179,-0.2179
0.635,0.63,0.64,0.2765,0.2228,-0.2228
0.645,0.64,0.65,0.273,0.2265,-0.2265
0.655,0.65,0.66,0.2707,0.229,-0.229
0.665,0.66,0.67,0.2701,0.2305,-0.2305
0.675,0.67,0.68,0.2713,0.2311,-0.2311
0.685,0.68,0.69,0.2749,0.231,-0.231
0.695,0.69,0.7,0.2809,0.2305,-0.2305
0.705,0.7,0.71,0.2896,0.23,-0.23
0.715,0.71,0.72,0.3011,0.2298,-0.2298
0.725,0.72,0.73,0.3157,0.2303,-0.2303
0.735,0.73,0.74,0.3334,0.2321,-0.2321
0.745,0.74,0.75,0.3543,0.2354,-0.2354
0.755,0.75,0.76,0.3785,0.2406,-0.2406
0.765,0.76,0.77,0.406,0.2481,-0.2481
0.775,0.77,0.78,0.4368,0.258,-0.258
0.785,0.78,0.79,0.4708,0.2705,-0.2705
0.795,0.79,0.8,0.5081,0.2855,-0.2855
0.805,0.8,0.81,0.5485,0.3029,-0.3029
0.815,0.81,0.82,0.592,0.3226,-0.3226
