#: table_doi: 10.17182/hepdata.74824.v1/t178
#: name: Table 178
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table178.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0361,0.0185,-0.0185
0.415,0.41,0.42,0.0271,0.0197,-0.0197
0.425,0.42,0.43,0.0189,0.0223,-0.0223
0.435,0.43,0.44,0.012,0.0257,-0.0257
0.445,0.44,0.45,0.0064,0.0295,-0.0295
0.455,0.45,0.46,0.0021,0.0331,-0.0331
0.46499999999999997,0.46,0.47,-0.0008,0.0364,-0.0364
0.475,0.47,0.48,-0.0025,0.0392,-0.0392
0.485,0.48,0.49,-0.0032,0.0415,-0.0415
0.495,0.49,0.5,-0.0032,0.0432,-0.0432
0.505,0.5,0.51,-0.0025,0.0443,-0.0443
0.515,0.51,0.52,-0.0015,0.0448,-0.0448
0.525,0.52,0.53,-0.0002,0.0447,-0.0447
0.535,0.53,0.54,0.0012,0.0441,-0.0441
0.545,0.54,0.55,0.0025,0.043,-0.043
0.555,0.55,0.56,0.0037,0.0414,-0.0414
0.565,0.56,0.57,0.0047,0.0393,-0.0393
0.575,0.57,0.58,0.0054,0.0369,-0.0369
0.585,0.58,0.59,0.0058,0.0343,-0.0343
0.595,0.59,0.6,0.006,0.0313,-0.0313
0.605,0.6,0.61,0.0058,0.0283,-0.0283
0.615,0.61,0.62,0.0055,0.0251,-0.0251
0.625,0.62,0.63,0.005,0.022,-0.022
0.635,0.63,0.64,0.0044,0.0189,-0.0189
0.645,0.64,0.65,0.004,0.0161,-0.0161
0.655,0.65,0.66,0.0037,0.0136,-0.0136
0.665,0.66,0.67,0.0036,0.0116,-0.0116
0.675,0.67,0.68,0.0039,0.0101,-0.0101
0.685,0.68,0.69,0.0046,0.0092,-0.0092
0.695,0.69,0.7,0.0059,0.0088,-0.0088
0.705,0.7,0.71,0.0076,0.0086,-0.0086
0.715,0.71,0.72,0.0099,0.0086,-0.0086
0.725,0.72,0.73,0.0126,0.0085,-0.0085
0.735,0.73,0.74,0.0159,0.0083,-0.0083
0.745,0.74,0.75,0.0197,0.0079,-0.0079
0.755,0.75,0.76,0.0238,0.0075,-0.0075
0.765,0.76,0.77,0.0283,0.0069,-0.0069
0.775,0.77,0.78,0.0329,0.0064,-0.0064
0.785,0.78,0.79,0.0378,0.0061,-0.0061
0.795,0.79,0.8,0.0427,0.0061,-0.0061
0.805,0.8,0.81,0.0475,0.0064,-0.0064
0.815,0.81,0.82,0.0523,0.007,-0.007
0.825,0.82,0.83,0.0569,0.0079,-0.0079
0.835,0.83,0.84,0.0613,0.0091,-0.0091
0.845,0.84,0.85,0.0654,0.0104,-0.0104
0.855,0.85,0.86,0.0692,0.0119,-0.0119
