#: table_doi: 10.17182/hepdata.74824.v1/t122
#: name: Table 122
#: description: D wave cross section for -T.

#: data_file: Table122.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.3282,0.1234,-0.1234
0.415,0.41,0.42,0.3228,0.1197,-0.1197
0.425,0.42,0.43,0.32,0.1193,-0.1193
0.435,0.43,0.44,0.3195,0.1217,-0.1217
0.445,0.44,0.45,0.3212,0.1264,-0.1264
0.455,0.45,0.46,0.3249,0.1329,-0.1329
0.46499999999999997,0.46,0.47,0.3305,0.1409,-0.1409
0.475,0.47,0.48,0.3378,0.1502,-0.1502
0.485,0.48,0.49,0.3467,0.1606,-0.1606
0.495,0.49,0.5,0.357,0.1722,-0.1722
0.505,0.5,0.51,0.3687,0.1847,-0.1847
0.515,0.51,0.52,0.3814,0.1983,-0.1983
0.525,0.52,0.53,0.3952,0.2127,-0.2127
0.535,0.53,0.54,0.4099,0.2279,-0.2279
0.545,0.54,0.55,0.4254,0.2438,-0.2438
0.555,0.55,0.56,0.4416,0.2602,-0.2602
0.565,0.56,0.57,0.4583,0.277,-0.277
0.575,0.57,0.58,0.4755,0.2941,-0.2941
0.585,0.58,0.59,0.4931,0.3115,-0.3115
0.595,0.59,0.6,0.511,0.3288,-0.3288
0.605,0.6,0.61,0.529,0.346,-0.346
0.615,0.61,0.62,0.5471,0.363,-0.363
0.625,0.62,0.63,0.5653,0.3796,-0.3796
0.635,0.63,0.64,0.5835,0.3958,-0.3958
0.645,0.64,0.65,0.6015,0.4113,-0.4113
0.655,0.65,0.66,0.6193,0.4262,-0.4262
0.665,0.66,0.67,0.637,0.4402,-0.4402
0.675,0.67,0.68,0.6543,0.4534,-0.4534
0.685,0.68,0.69,0.6713,0.4656,-0.4656
0.695,0.69,0.7,0.688,0.4768,-0.4768
0.705,0.7,0.71,0.7043,0.4869,-0.4869
0.715,0.71,0.72,0.7201,0.4958,-0.4958
0.725,0.72,0.73,0.7355,0.5035,-0.5035
0.735,0.73,0.74,0.7504,0.51,-0.51
0.745,0.74,0.75,0.7649,0.5153,-0.5153
0.755,0.75,0.76,0.7788,0.5193,-0.5193
0.765,0.76,0.77,0.7922,0.5221,-0.5221
0.775,0.77,0.78,0.8052,0.5236,-0.5236
0.785,0.78,0.79,0.8176,0.5238,-0.5238
0.795,0.79,0.8,0.8295,0.5228,-0.5228
0.805,0.8,0.81,0.8409,0.5207,-0.5207
0.815,0.81,0.82,0.8518,0.5174,-0.5174
0.825,0.82,0.83,0.8623,0.5129,-0.5129
0.835,0.83,0.84,0.8722,0.5075,-0.5075
0.845,0.84,0.85,0.8816,0.501,-0.501
0.855,0.85,0.86,0.8906,0.4937,-0.4937
0.865,0.86,0.87,0.8991,0.4855,-0.4855
0.875,0.87,0.88,0.9071,0.4765,-0.4765
0.885,0.88,0.89,0.9146,0.4668,-0.4668
0.895,0.89,0.9,0.9216,0.4566,-0.4566
0.905,0.9,0.91,0.9282,0.4458,-0.4458
0.915,0.91,0.92,0.9343,0.4347,-0.4347
0.925,0.92,0.93,0.9398,0.4232,-0.4232
0.935,0.93,0.94,0.9449,0.4115,-0.4115
0.945,0.94,0.95,0.9493,0.3997,-0.3997
0.955,0.95,0.96,0.9532,0.3878,-0.3878
0.965,0.96,0.97,0.9566,0.376,-0.376
0.975,0.97,0.98,0.9593,0.3644,-0.3644
0.985,0.98,0.99,0.9613,0.3531,-0.3531
0.995,0.99,1.0,0.9626,0.3421,-0.3421
1.005,1.0,1.01,0.9632,0.3314,-0.3314
1.0150000000000001,1.01,1.02,0.9631,0.3213,-0.3213
1.025,1.02,1.03,0.9621,0.3117,-0.3117
1.0350000000000001,1.03,1.04,0.9604,0.3026,-0.3026
1.045,1.04,1.05,0.9578,0.2941,-0.2941
1.0550000000000002,1.05,1.06,0.9544,0.2863,-0.2863
1.065,1.06,1.07,0.9502,0.279,-0.279
1.0750000000000002,1.07,1.08,0.9452,0.2724,-0.2724
