#: table_doi: 10.17182/hepdata.74824.v1/t159
#: name: Table 159
#: description: F0 wave cross section for -T.

#: data_file: Table159.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0326,0.0115,-0.0115
0.415,0.41,0.42,0.0377,0.0133,-0.0133
0.425,0.42,0.43,0.0429,0.0151,-0.0151
0.435,0.43,0.44,0.0483,0.0171,-0.0171
0.445,0.44,0.45,0.0538,0.019,-0.019
0.455,0.45,0.46,0.0594,0.0211,-0.0211
0.46499999999999997,0.46,0.47,0.065,0.0231,-0.0231
0.475,0.47,0.48,0.0707,0.0252,-0.0252
0.485,0.48,0.49,0.0764,0.0273,-0.0273
0.495,0.49,0.5,0.0821,0.0294,-0.0294
0.505,0.5,0.51,0.0877,0.0315,-0.0315
0.515,0.51,0.52,0.0933,0.0336,-0.0336
0.525,0.52,0.53,0.0988,0.0358,-0.0358
0.535,0.53,0.54,0.1043,0.0379,-0.0379
0.545,0.54,0.55,0.1096,0.04,-0.04
0.555,0.55,0.56,0.1149,0.0421,-0.0421
0.565,0.56,0.57,0.12,0.0442,-0.0442
0.575,0.57,0.58,0.125,0.0463,-0.0463
0.585,0.58,0.59,0.1299,0.0483,-0.0483
0.595,0.59,0.6,0.1346,0.0504,-0.0504
0.605,0.6,0.61,0.1392,0.0524,-0.0524
0.615,0.61,0.62,0.1437,0.0544,-0.0544
0.625,0.62,0.63,0.1479,0.0564,-0.0564
0.635,0.63,0.64,0.1521,0.0584,-0.0584
0.645,0.64,0.65,0.156,0.0604,-0.0604
0.655,0.65,0.66,0.1598,0.0624,-0.0624
0.665,0.66,0.67,0.1635,0.0643,-0.0643
0.675,0.67,0.68,0.167,0.0663,-0.0663
0.685,0.68,0.69,0.1703,0.0682,-0.0682
0.695,0.69,0.7,0.1734,0.0701,-0.0701
0.705,0.7,0.71,0.1764,0.0721,-0.0721
0.715,0.71,0.72,0.1792,0.074,-0.074
0.725,0.72,0.73,0.1818,0.0759,-0.0759
0.735,0.73,0.74,0.1843,0.0778,-0.0778
0.745,0.74,0.75,0.1866,0.0797,-0.0797
0.755,0.75,0.76,0.1887,0.0816,-0.0816
0.765,0.76,0.77,0.1907,0.0836,-0.0836
0.775,0.77,0.78,0.1925,0.0855,-0.0855
0.785,0.78,0.79,0.1942,0.0874,-0.0874
0.795,0.79,0.8,0.1957,0.0893,-0.0893
0.805,0.8,0.81,0.1971,0.0913,-0.0913
0.815,0.81,0.82,0.1983,0.0932,-0.0932
0.825,0.82,0.83,0.1994,0.0952,-0.0952
0.835,0.83,0.84,0.2003,0.0971,-0.0971
0.845,0.84,0.85,0.2011,0.0991,-0.0991
0.855,0.85,0.86,0.2018,0.1011,-0.1011
0.865,0.86,0.87,0.2024,0.1031,-0.1031
0.875,0.87,0.88,0.2028,0.1051,-0.1051
0.885,0.88,0.89,0.2031,0.1071,-0.1071
0.895,0.89,0.9,0.2034,0.1091,-0.1091
0.905,0.9,0.91,0.2035,0.1112,-0.1112
0.915,0.91,0.92,0.2035,0.1132,-0.1132
0.925,0.92,0.93,0.2035,0.1153,-0.1153
0.935,0.93,0.94,0.2034,0.1173,-0.1173
0.945,0.94,0.95,0.2031,0.1194,-0.1194
0.955,0.95,0.96,0.2029,0.1215,-0.1215
0.965,0.96,0.97,0.2025,0.1235,-0.1235
0.975,0.97,0.98,0.2022,0.1256,-0.1256
0.985,0.98,0.99,0.2017,0.1277,-0.1277
0.995,0.99,1.0,0.2013,0.1298,-0.1298
1.005,1.0,1.01,0.2008,0.1319,-0.1319
1.0150000000000001,1.01,1.02,0.2003,0.1339,-0.1339
1.025,1.02,1.03,0.1998,0.136,-0.136
1.0350000000000001,1.03,1.04,0.1993,0.1381,-0.1381
1.045,1.04,1.05,0.1988,0.1401,-0.1401
1.0550000000000002,1.05,1.06,0.1983,0.1422,-0.1422
1.065,1.06,1.07,0.1978,0.1442,-0.1442
1.0750000000000002,1.07,1.08,0.1974,0.1462,-0.1462
1.085,1.08,1.09,0.1971,0.1482,-0.1482
1.0950000000000002,1.09,1.1,0.1968,0.1502,-0.1502
1.105,1.1,1.11,0.1966,0.1522,-0.1522
1.1150000000000002,1.11,1.12,0.1965,0.1542,-0.1542
1.125,1.12,1.13,0.1964,0.1561,-0.1561
1.1349999999999998,1.13,1.14,0.1965,0.1581,-0.1581
1.145,1.14,1.15,0.1967,0.16,-0.16
1.1549999999999998,1.15,1.16,0.197,0.1619,-0.1619
1.165,1.16,1.17,0.1975,0.1638,-0.1638
1.1749999999999998,1.17,1.18,0.1982,0.1657,-0.1657
1.185,1.18,1.19,0.199,0.1676,-0.1676
1.1949999999999998,1.19,1.2,0.2,0.1695,-0.1695
1.205,1.2,1.21,0.2012,0.1713,-0.1713
1.2149999999999999,1.21,1.22,0.2026,0.1732,-0.1732
1.225,1.22,1.23,0.2043,0.1751,-0.1751
1.2349999999999999,1.23,1.24,0.2062,0.177,-0.177
1.245,1.24,1.25,0.2083,0.179,-0.179
1.255,1.25,1.26,0.2108,0.181,-0.181
1.2650000000000001,1.26,1.27,0.2135,0.183,-0.183
1.275,1.27,1.28,0.2166,0.1851,-0.1851
1.2850000000000001,1.28,1.29,0.2199,0.1873,-0.1873
1.295,1.29,1.3,0.2237,0.1896,-0.1896
1.3050000000000002,1.3,1.31,0.2277,0.1919,-0.1919
1.315,1.31,1.32,0.2322,0.1944,-0.1944
1.3250000000000002,1.32,1.33,0.237,0.1971,-0.1971
1.335,1.33,1.34,0.2423,0.1999,-0.1999
1.3450000000000002,1.34,1.35,0.248,0.2029,-0.2029
1.355,1.35,1.36,0.2541,0.2061,-0.2061
1.3650000000000002,1.36,1.37,0.2608,0.2096,-0.2096
1.375,1.37,1.38,0.2679,0.2133,-0.2133
1.3849999999999998,1.38,1.39,0.2755,0.2173,-0.2173
1.395,1.39,1.4,0.2836,0.2216,-0.2216

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0294,0.0202,-0.0202
0.415,0.41,0.42,0.0339,0.0233,-0.0233
0.425,0.42,0.43,0.0387,0.0266,-0.0266
0.435,0.43,0.44,0.0436,0.0299,-0.0299
0.445,0.44,0.45,0.0486,0.0333,-0.0333
0.455,0.45,0.46,0.0537,0.0368,-0.0368
0.46499999999999997,0.46,0.47,0.0589,0.0403,-0.0403
0.475,0.47,0.48,0.0641,0.0438,-0.0438
0.485,0.48,0.49,0.0694,0.0473,-0.0473
0.495,0.49,0.5,0.0746,0.0509,-0.0509
0.505,0.5,0.51,0.0799,0.0544,-0.0544
0.515,0.51,0.52,0.0851,0.0578,-0.0578
0.525,0.52,0.53,0.0902,0.0613,-0.0613
0.535,0.53,0.54,0.0953,0.0647,-0.0647
0.545,0.54,0.55,0.1004,0.068,-0.068
0.555,0.55,0.56,0.1053,0.0712,-0.0712
0.565,0.56,0.57,0.1102,0.0744,-0.0744
0.575,0.57,0.58,0.115,0.0775,-0.0775
0.585,0.58,0.59,0.1196,0.0806,-0.0806
0.595,0.59,0.6,0.1242,0.0835,-0.0835
0.605,0.6,0.61,0.1286,0.0864,-0.0864
0.615,0.61,0.62,0.1329,0.0891,-0.0891
0.625,0.62,0.63,0.1371,0.0918,-0.0918
0.635,0.63,0.64,0.1412,0.0944,-0.0944
0.645,0.64,0.65,0.1451,0.0968,-0.0968
0.655,0.65,0.66,0.1489,0.0992,-0.0992
0.665,0.66,0.67,0.1526,0.1014,-0.1014
0.675,0.67,0.68,0.1561,0.1036,-0.1036
0.685,0.68,0.69,0.1595,0.1056,-0.1056
0.695,0.69,0.7,0.1627,0.1075,-0.1075
0.705,0.7,0.71,0.1658,0.1094,-0.1094
0.715,0.71,0.72,0.1688,0.1111,-0.1111
0.725,0.72,0.73,0.1716,0.1127,-0.1127
0.735,0.73,0.74,0.1742,0.1142,-0.1142
0.745,0.74,0.75,0.1768,0.1156,-0.1156
0.755,0.75,0.76,0.1791,0.1169,-0.1169
