#: table_doi: 10.17182/hepdata.74824.v1/t183
#: name: Table 183
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table183.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.3849999999999998,1.38,1.39,-0.1604,0.0179,-0.0179
1.395,1.39,1.4,-0.1649,0.0196,-0.0196

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0284,0.0292,-0.0292
0.415,0.41,0.42,-0.0254,0.0265,-0.0265
0.425,0.42,0.43,-0.0228,0.0241,-0.0241
0.435,0.43,0.44,-0.0203,0.0221,-0.0221
0.445,0.44,0.45,-0.0181,0.0204,-0.0204
0.455,0.45,0.46,-0.0161,0.019,-0.019
0.46499999999999997,0.46,0.47,-0.0142,0.0179,-0.0179
0.475,0.47,0.48,-0.0123,0.017,-0.017
0.485,0.48,0.49,-0.0105,0.0163,-0.0163
0.495,0.49,0.5,-0.0086,0.0157,-0.0157
0.505,0.5,0.51,-0.0067,0.0152,-0.0152
0.515,0.51,0.52,-0.0047,0.0149,-0.0149
0.525,0.52,0.53,-0.0026,0.0145,-0.0145
0.535,0.53,0.54,-0.0002,0.0142,-0.0142
0.545,0.54,0.55,0.0023,0.0139,-0.0139
0.555,0.55,0.56,0.005,0.0137,-0.0137
0.565,0.56,0.57,0.008,0.0134,-0.0134
0.575,0.57,0.58,0.0112,0.0131,-0.0131
0.585,0.58,0.59,0.0146,0.0129,-0.0129
0.595,0.59,0.6,0.0182,0.0127,-0.0127
0.605,0.6,0.61,0.0219,0.0124,-0.0124
0.615,0.61,0.62,0.0257,0.0122,-0.0122
0.625,0.62,0.63,0.0295,0.0121,-0.0121
0.635,0.63,0.64,0.0332,0.012,-0.012
0.645,0.64,0.65,0.0367,0.0119,-0.0119
0.655,0.65,0.66,0.04,0.012,-0.012
0.665,0.66,0.67,0.0429,0.012,-0.012
0.675,0.67,0.68,0.0452,0.0121,-0.0121
0.685,0.68,0.69,0.047,0.0122,-0.0122
0.695,0.69,0.7,0.0481,0.0122,-0.0122
0.705,0.7,0.71,0.0485,0.0123,-0.0123
0.715,0.71,0.72,0.048,0.0122,-0.0122
0.725,0.72,0.73,0.0466,0.012,-0.012
0.735,0.73,0.74,0.0443,0.0117,-0.0117
0.745,0.74,0.75,0.0411,0.0112,-0.0112
0.755,0.75,0.76,0.0371,0.0107,-0.0107
0.765,0.76,0.77,0.0323,0.0102,-0.0102
0.775,0.77,0.78,0.0268,0.0098,-0.0098
0.785,0.78,0.79,0.0206,0.0097,-0.0097
0.795,0.79,0.8,0.014,0.0098,-0.0098
0.805,0.8,0.81,0.007,0.0101,-0.0101
0.815,0.81,0.82,-0.0001,0.0104,-0.0104
0.825,0.82,0.83,-0.0074,0.0106,-0.0106
0.835,0.83,0.84,-0.0145,0.0108,-0.0108
0.845,0.84,0.85,-0.0215,0.0108,-0.0108
0.855,0.85,0.86,-0.0282,0.0107,-0.0107
0.865,0.86,0.87,-0.0345,0.0106,-0.0106
0.875,0.87,0.88,-0.0404,0.0103,-0.0103
0.885,0.88,0.89,-0.0458,0.01,-0.01
0.895,0.89,0.9,-0.0507,0.0098,-0.0098
0.905,0.9,0.91,-0.0552,0.0095,-0.0095
0.915,0.91,0.92,-0.0593,0.0094,-0.0094
0.925,0.92,0.93,-0.0629,0.0094,-0.0094
0.935,0.93,0.94,-0.0663,0.0097,-0.0097
0.945,0.94,0.95,-0.0693,0.0101,-0.0101
0.955,0.95,0.96,-0.0724,0.0107,-0.0107
0.965,0.96,0.97,-0.0757,0.0115,-0.0115
0.975,0.97,0.98,-0.0804,0.0128,-0.0128
0.985,0.98,0.99,-0.0896,0.0148,-0.0148
0.995,0.99,1.0,-0.0935,0.0158,-0.0158
1.005,1.0,1.01,-0.0981,0.0157,-0.0157
1.0150000000000001,1.01,1.02,-0.1022,0.0163,-0.0163
1.025,1.02,1.03,-0.1056,0.0172,-0.0172
1.0350000000000001,1.03,1.04,-0.1085,0.0182,-0.0182
1.045,1.04,1.05,-0.1107,0.0193,-0.0193
1.0550000000000002,1.05,1.06,-0.1124,0.0204,-0.0204
1.065,1.06,1.07,-0.1136,0.0215,-0.0215
1.0750000000000002,1.07,1.08,-0.1144,0.0225,-0.0225
1.085,1.08,1.09,-0.1149,0.0236,-0.0236
1.0950000000000002,1.09,1.1,-0.1151,0.0245,-0.0245
1.105,1.1,1.11,-0.1151,0.0254,-0.0254
1.1150000000000002,1.11,1.12,-0.1149,0.0262,-0.0262
1.125,1.12,1.13,-0.1145,0.0269,-0.0269
1.1349999999999998,1.13,1.14,-0.114,0.0274,-0.0274
1.145,1.14,1.15,-0.1133,0.0278,-0.0278
1.1549999999999998,1.15,1.16,-0.1126,0.0281,-0.0281
1.165,1.16,1.17,-0.1117,0.0282,-0.0282
1.1749999999999998,1.17,1.18,-0.1107,0.0281,-0.0281
1.185,1.18,1.19,-0.1096,0.0277,-0.0277
1.1949999999999998,1.19,1.2,-0.1083,0.0272,-0.0272
1.205,1.2,1.21,-0.1069,0.0265,-0.0265
1.2149999999999999,1.21,1.22,-0.1055,0.0256,-0.0256
1.225,1.22,1.23,-0.1041,0.0245,-0.0245
1.2349999999999999,1.23,1.24,-0.1029,0.0233,-0.0233
1.245,1.24,1.25,-0.1021,0.0221,-0.0221
1.255,1.25,1.26,-0.102,0.0209,-0.0209
1.2650000000000001,1.26,1.27,-0.1027,0.0199,-0.0199
1.275,1.27,1.28,-0.1045,0.0191,-0.0191
1.2850000000000001,1.28,1.29,-0.1074,0.0187,-0.0187
