#: table_doi: 10.17182/hepdata.74824.v1/t153
#: name: Table 153
#: description: Fm wave cross section for -T.

#: data_file: Table153.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0067,0.007,-0.007
0.415,0.41,0.42,0.0078,0.0081,-0.0081
0.425,0.42,0.43,0.0088,0.0091,-0.0091
0.435,0.43,0.44,0.0099,0.0102,-0.0102
0.445,0.44,0.45,0.0111,0.0113,-0.0113
0.455,0.45,0.46,0.0122,0.0124,-0.0124
0.46499999999999997,0.46,0.47,0.0134,0.0135,-0.0135
0.475,0.47,0.48,0.0145,0.0146,-0.0146
0.485,0.48,0.49,0.0156,0.0156,-0.0156
0.495,0.49,0.5,0.0168,0.0167,-0.0167
0.505,0.5,0.51,0.0179,0.0177,-0.0177
0.515,0.51,0.52,0.0191,0.0187,-0.0187
0.525,0.52,0.53,0.0202,0.0196,-0.0196
0.535,0.53,0.54,0.0213,0.0205,-0.0205
0.545,0.54,0.55,0.0223,0.0214,-0.0214
0.555,0.55,0.56,0.0234,0.0222,-0.0222
0.565,0.56,0.57,0.0244,0.023,-0.023
0.575,0.57,0.58,0.0254,0.0237,-0.0237
0.585,0.58,0.59,0.0264,0.0244,-0.0244
0.595,0.59,0.6,0.0273,0.025,-0.025
0.605,0.6,0.61,0.0282,0.0256,-0.0256
0.615,0.61,0.62,0.0291,0.0261,-0.0261
0.625,0.62,0.63,0.03,0.0266,-0.0266
0.635,0.63,0.64,0.0308,0.027,-0.027
0.645,0.64,0.65,0.0316,0.0274,-0.0274
0.655,0.65,0.66,0.0324,0.0277,-0.0277
0.665,0.66,0.67,0.0332,0.028,-0.028
0.675,0.67,0.68,0.0339,0.0282,-0.0282
0.685,0.68,0.69,0.0346,0.0284,-0.0284
0.695,0.69,0.7,0.0353,0.0286,-0.0286
0.705,0.7,0.71,0.0359,0.0287,-0.0287
0.715,0.71,0.72,0.0365,0.0287,-0.0287
0.725,0.72,0.73,0.0371,0.0287,-0.0287
0.735,0.73,0.74,0.0377,0.0287,-0.0287
0.745,0.74,0.75,0.0383,0.0287,-0.0287
0.755,0.75,0.76,0.0388,0.0287,-0.0287
0.765,0.76,0.77,0.0394,0.0286,-0.0286
0.775,0.77,0.78,0.0399,0.0285,-0.0285
0.785,0.78,0.79,0.0404,0.0285,-0.0285
0.795,0.79,0.8,0.0409,0.0284,-0.0284
0.805,0.8,0.81,0.0414,0.0283,-0.0283
0.815,0.81,0.82,0.0418,0.0283,-0.0283
0.825,0.82,0.83,0.0423,0.0283,-0.0283
0.835,0.83,0.84,0.0428,0.0283,-0.0283
0.845,0.84,0.85,0.0432,0.0284,-0.0284
0.855,0.85,0.86,0.0437,0.0286,-0.0286
0.865,0.86,0.87,0.0442,0.0288,-0.0288
0.875,0.87,0.88,0.0447,0.0291,-0.0291
0.885,0.88,0.89,0.0452,0.0295,-0.0295
0.895,0.89,0.9,0.0457,0.03,-0.03
0.905,0.9,0.91,0.0462,0.0306,-0.0306
0.915,0.91,0.92,0.0467,0.0314,-0.0314
0.925,0.92,0.93,0.0473,0.0322,-0.0322
0.935,0.93,0.94,0.0479,0.0331,-0.0331
0.945,0.94,0.95,0.0485,0.0342,-0.0342
0.955,0.95,0.96,0.0492,0.0354,-0.0354
0.965,0.96,0.97,0.0499,0.0367,-0.0367
0.975,0.97,0.98,0.0506,0.0381,-0.0381
0.985,0.98,0.99,0.0514,0.0396,-0.0396
0.995,0.99,1.0,0.0522,0.0412,-0.0412
1.005,1.0,1.01,0.0531,0.043,-0.043
1.0150000000000001,1.01,1.02,0.054,0.0448,-0.0448
1.025,1.02,1.03,0.055,0.0468,-0.0468
1.0350000000000001,1.03,1.04,0.0561,0.0488,-0.0488
1.045,1.04,1.05,0.0572,0.051,-0.051
1.0550000000000002,1.05,1.06,0.0584,0.0532,-0.0532
1.065,1.06,1.07,0.0597,0.0555,-0.0555
1.0750000000000002,1.07,1.08,0.0611,0.0579,-0.0579
1.085,1.08,1.09,0.0625,0.0604,-0.0604
1.0950000000000002,1.09,1.1,0.0641,0.063,-0.063
1.105,1.1,1.11,0.0657,0.0656,-0.0656
1.1150000000000002,1.11,1.12,0.0674,0.0683,-0.0683
1.125,1.12,1.13,0.0693,0.0711,-0.0711
1.1349999999999998,1.13,1.14,0.0713,0.074,-0.074
1.145,1.14,1.15,0.0734,0.0769,-0.0769
1.1549999999999998,1.15,1.16,0.0756,0.0799,-0.0799
1.165,1.16,1.17,0.0779,0.083,-0.083
1.1749999999999998,1.17,1.18,0.0804,0.0861,-0.0861
1.185,1.18,1.19,0.083,0.0893,-0.0893
1.1949999999999998,1.19,1.2,0.0858,0.0926,-0.0926
1.205,1.2,1.21,0.0887,0.096,-0.096
1.2149999999999999,1.21,1.22,0.0918,0.0994,-0.0994
1.225,1.22,1.23,0.0951,0.1029,-0.1029
1.2349999999999999,1.23,1.24,0.0985,0.1064,-0.1064
1.245,1.24,1.25,0.1021,0.1101,-0.1101
1.255,1.25,1.26,0.1059,0.1138,-0.1138
1.2650000000000001,1.26,1.27,0.1099,0.1176,-0.1176
1.275,1.27,1.28,0.1141,0.1215,-0.1215
1.2850000000000001,1.28,1.29,0.1185,0.1254,-0.1254
1.295,1.29,1.3,0.1232,0.1294,-0.1294
1.3050000000000002,1.3,1.31,0.128,0.1335,-0.1335
1.315,1.31,1.32,0.1331,0.1377,-0.1377
1.3250000000000002,1.32,1.33,0.1384,0.142,-0.142
1.335,1.33,1.34,0.144,0.1463,-0.1463
1.3450000000000002,1.34,1.35,0.1498,0.1508,-0.1508
1.355,1.35,1.36,0.1559,0.1553,-0.1553
1.3650000000000002,1.36,1.37,0.1623,0.1599,-0.1599
1.375,1.37,1.38,0.1689,0.1647,-0.1647
1.3849999999999998,1.38,1.39,0.1759,0.1695,-0.1695
1.395,1.39,1.4,0.1831,0.1745,-0.1745

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0263,0.0067,-0.0067
0.415,0.41,0.42,0.0303,0.0078,-0.0078
0.425,0.42,0.43,0.0344,0.0089,-0.0089
0.435,0.43,0.44,0.0386,0.01,-0.01
0.445,0.44,0.45,0.0429,0.0112,-0.0112
0.455,0.45,0.46,0.0472,0.0125,-0.0125
0.46499999999999997,0.46,0.47,0.0515,0.0137,-0.0137
0.475,0.47,0.48,0.0559,0.015,-0.015
0.485,0.48,0.49,0.0601,0.0163,-0.0163
0.495,0.49,0.5,0.0644,0.0177,-0.0177
0.505,0.5,0.51,0.0686,0.019,-0.019
0.515,0.51,0.52,0.0727,0.0203,-0.0203
0.525,0.52,0.53,0.0767,0.0217,-0.0217
0.535,0.53,0.54,0.0806,0.0231,-0.0231
0.545,0.54,0.55,0.0844,0.0245,-0.0245
0.555,0.55,0.56,0.0881,0.0258,-0.0258
0.565,0.56,0.57,0.0916,0.0272,-0.0272
0.575,0.57,0.58,0.095,0.0286,-0.0286
0.585,0.58,0.59,0.0983,0.03,-0.03
0.595,0.59,0.6,0.1015,0.0314,-0.0314
0.605,0.6,0.61,0.1044,0.0328,-0.0328
0.615,0.61,0.62,0.1073,0.0342,-0.0342
0.625,0.62,0.63,0.11,0.0356,-0.0356
0.635,0.63,0.64,0.1125,0.037,-0.037
0.645,0.64,0.65,0.1149,0.0384,-0.0384
0.655,0.65,0.66,0.1171,0.0398,-0.0398
0.665,0.66,0.67,0.1192,0.0413,-0.0413
0.675,0.67,0.68,0.1211,0.0427,-0.0427
0.685,0.68,0.69,0.1229,0.0441,-0.0441
0.695,0.69,0.7,0.1245,0.0455,-0.0455
0.705,0.7,0.71,0.126,0.0469,-0.0469
0.715,0.71,0.72,0.1273,0.0483,-0.0483
0.725,0.72,0.73,0.1285,0.0497,-0.0497
0.735,0.73,0.74,0.1295,0.0511,-0.0511
0.745,0.74,0.75,0.1304,0.0525,-0.0525
0.755,0.75,0.76,0.1312,0.0539,-0.0539
0.765,0.76,0.77,0.1319,0.0553,-0.0553
0.775,0.77,0.78,0.1325,0.0567,-0.0567
0.785,0.78,0.79,0.1329,0.0581,-0.0581
0.795,0.79,0.8,0.1333,0.0595,-0.0595
0.805,0.8,0.81,0.1335,0.0609,-0.0609
0.815,0.81,0.82,0.1337,0.0623,-0.0623
0.825,0.82,0.83,0.1337,0.0637,-0.0637
0.835,0.83,0.84,0.1337,0.065,-0.065
0.845,0.84,0.85,0.1337,0.0664,-0.0664
0.855,0.85,0.86,0.1335,0.0678,-0.0678
0.865,0.86,0.87,0.1334,0.0692,-0.0692
0.875,0.87,0.88,0.1332,0.0705,-0.0705
0.885,0.88,0.89,0.1329,0.0719,-0.0719
0.895,0.89,0.9,0.1326,0.0732,-0.0732
0.905,0.9,0.91,0.1324,0.0746,-0.0746
0.915,0.91,0.92,0.1321,0.0759,-0.0759
0.925,0.92,0.93,0.1318,0.0773,-0.0773
0.935,0.93,0.94,0.1316,0.0786,-0.0786
0.945,0.94,0.95,0.1314,0.08,-0.08
0.955,0.95,0.96,0.1312,0.0814,-0.0814
0.965,0.96,0.97,0.1311,0.0827,-0.0827
0.975,0.97,0.98,0.1311,0.0841,-0.0841
0.985,0.98,0.99,0.1311,0.0855,-0.0855
0.995,0.99,1.0,0.1312,0.0869,-0.0869
1.005,1.0,1.01,0.1315,0.0884,-0.0884
1.0150000000000001,1.01,1.02,0.1319,0.0899,-0.0899
1.025,1.02,1.03,0.1324,0.0914,-0.0914
1.0350000000000001,1.03,1.04,0.1331,0.093,-0.093
1.045,1.04,1.05,0.134,0.0946,-0.0946
1.0550000000000002,1.05,1.06,0.135,0.0963,-0.0963
1.065,1.06,1.07,0.1363,0.0981,-0.0981
1.0750000000000002,1.07,1.08,0.1377,0.1,-0.1
1.085,1.08,1.09,0.1394,0.1019,-0.1019
1.0950000000000002,1.09,1.1,0.1414,0.104,-0.104
1.105,1.1,1.11,0.1436,0.1062,-0.1062
1.1150000000000002,1.11,1.12,0.1462,0.1085,-0.1085
1.125,1.12,1.13,0.149,0.1109,-0.1109
1.1349999999999998,1.13,1.14,0.1522,0.1136,-0.1136
1.145,1.14,1.15,0.1557,0.1164,-0.1164
1.1549999999999998,1.15,1.16,0.1596,0.1194,-0.1194
1.165,1.16,1.17,0.1638,0.1226,-0.1226
1.1749999999999998,1.17,1.18,0.1685,0.126,-0.126
1.185,1.18,1.19,0.1736,0.1297,-0.1297
1.1949999999999998,1.19,1.2,0.1792,0.1336,-0.1336
1.205,1.2,1.21,0.1853,0.1379,-0.1379
1.2149999999999999,1.21,1.22,0.1918,0.1424,-0.1424
1.225,1.22,1.23,0.1989,0.1472,-0.1472
1.2349999999999999,1.23,1.24,0.2065,0.1524,-0.1524
1.245,1.24,1.25,0.2147,0.158,-0.158
1.255,1.25,1.26,0.2234,0.1639,-0.1639
1.2650000000000001,1.26,1.27,0.2328,0.1702,-0.1702
1.275,1.27,1.28,0.2429,0.1769,-0.1769
1.2850000000000001,1.28,1.29,0.2536,0.1841,-0.1841
1.295,1.29,1.3,0.265,0.1917,-0.1917
1.3050000000000002,1.3,1.31,0.2771,0.1997,-0.1997
1.315,1.31,1.32,0.29,0.2083,-0.2083
1.3250000000000002,1.32,1.33,0.3037,0.2173,-0.2173
1.335,1.33,1.34,0.3181,0.2268,-0.2268
1.3450000000000002,1.34,1.35,0.3335,0.2369,-0.2369
1.355,1.35,1.36,0.3496,0.2475,-0.2475
1.3650000000000002,1.36,1.37,0.3667,0.2586,-0.2586
1.375,1.37,1.38,0.3847,0.2703,-0.2703
1.3849999999999998,1.38,1.39,0.4036,0.2826,-0.2826
1.395,1.39,1.4,0.4236,0.2955,-0.2955

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0165,0.005,-0.005
0.415,0.41,0.42,0.0191,0.0058,-0.0058
0.425,0.42,0.43,0.0217,0.0067,-0.0067
0.435,0.43,0.44,0.0244,0.0076,-0.0076
0.445,0.44,0.45,0.0271,0.0086,-0.0086
0.455,0.45,0.46,0.0299,0.0095,-0.0095
0.46499999999999997,0.46,0.47,0.0327,0.0106,-0.0106
0.475,0.47,0.48,0.0355,0.0116,-0.0116
0.485,0.48,0.49,0.0383,0.0127,-0.0127
0.495,0.49,0.5,0.0411,0.0138,-0.0138
0.505,0.5,0.51,0.0439,0.0149,-0.0149
0.515,0.51,0.52,0.0466,0.016,-0.016
0.525,0.52,0.53,0.0493,0.0172,-0.0172
0.535,0.53,0.54,0.0519,0.0184,-0.0184
0.545,0.54,0.55,0.0545,0.0196,-0.0196
0.555,0.55,0.56,0.057,0.0208,-0.0208
0.565,0.56,0.57,0.0595,0.022,-0.022
0.575,0.57,0.58,0.0619,0.0233,-0.0233
0.585,0.58,0.59,0.0642,0.0245,-0.0245
0.595,0.59,0.6,0.0664,0.0258,-0.0258
0.605,0.6,0.61,0.0686,0.0271,-0.0271
0.615,0.61,0.62,0.0707,0.0284,-0.0284
0.625,0.62,0.63,0.0727,0.0297,-0.0297
0.635,0.63,0.64,0.0746,0.031,-0.031
0.645,0.64,0.65,0.0765,0.0323,-0.0323
0.655,0.65,0.66,0.0783,0.0337,-0.0337
0.665,0.66,0.67,0.0799,0.035,-0.035
0.675,0.67,0.68,0.0815,0.0364,-0.0364
0.685,0.68,0.69,0.0831,0.0377,-0.0377
0.695,0.69,0.7,0.0845,0.0391,-0.0391
0.705,0.7,0.71,0.0859,0.0405,-0.0405
0.715,0.71,0.72,0.0872,0.0418,-0.0418
0.725,0.72,0.73,0.0884,0.0432,-0.0432
0.735,0.73,0.74,0.0896,0.0446,-0.0446
0.745,0.74,0.75,0.0907,0.046,-0.046
0.755,0.75,0.76,0.0917,0.0474,-0.0474
0.765,0.76,0.77,0.0926,0.0488,-0.0488
0.775,0.77,0.78,0.0935,0.0502,-0.0502
0.785,0.78,0.79,0.0944,0.0516,-0.0516
0.795,0.79,0.8,0.0952,0.053,-0.053
0.805,0.8,0.81,0.0959,0.0544,-0.0544
0.815,0.81,0.82,0.0966,0.0558,-0.0558
0.825,0.82,0.83,0.0972,0.0572,-0.0572
0.835,0.83,0.84,0.0978,0.0586,-0.0586
0.845,0.84,0.85,0.0984,0.06,-0.06
0.855,0.85,0.86,0.099,0.0614,-0.0614
