#: table_doi: 10.17182/hepdata.74824.v1/t161
#: name: Table 161
#: description: F0 wave cross section for -T.

#: data_file: Table161.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0149,0.0048,-0.0048
0.415,0.41,0.42,0.0172,0.0056,-0.0056
0.425,0.42,0.43,0.0197,0.0064,-0.0064
0.435,0.43,0.44,0.0221,0.0073,-0.0073
0.445,0.44,0.45,0.0247,0.0081,-0.0081
0.455,0.45,0.46,0.0272,0.009,-0.009
0.46499999999999997,0.46,0.47,0.0299,0.01,-0.01
0.475,0.47,0.48,0.0325,0.0109,-0.0109
0.485,0.48,0.49,0.0351,0.0119,-0.0119
0.495,0.49,0.5,0.0377,0.0129,-0.0129
0.505,0.5,0.51,0.0404,0.0139,-0.0139
0.515,0.51,0.52,0.043,0.0149,-0.0149
0.525,0.52,0.53,0.0455,0.016,-0.016
0.535,0.53,0.54,0.0481,0.017,-0.017
0.545,0.54,0.55,0.0506,0.018,-0.018
0.555,0.55,0.56,0.053,0.0191,-0.0191
0.565,0.56,0.57,0.0555,0.0201,-0.0201
0.575,0.57,0.58,0.0578,0.0211,-0.0211
0.585,0.58,0.59,0.0601,0.0222,-0.0222
0.595,0.59,0.6,0.0623,0.0232,-0.0232
0.605,0.6,0.61,0.0645,0.0242,-0.0242
0.615,0.61,0.62,0.0666,0.0253,-0.0253
0.625,0.62,0.63,0.0687,0.0263,-0.0263
0.635,0.63,0.64,0.0707,0.0273,-0.0273
0.645,0.64,0.65,0.0726,0.0283,-0.0283
0.655,0.65,0.66,0.0744,0.0293,-0.0293
0.665,0.66,0.67,0.0762,0.0303,-0.0303
0.675,0.67,0.68,0.0778,0.0313,-0.0313
0.685,0.68,0.69,0.0795,0.0323,-0.0323
0.695,0.69,0.7,0.081,0.0333,-0.0333
0.705,0.7,0.71,0.0825,0.0342,-0.0342
0.715,0.71,0.72,0.0839,0.0352,-0.0352
0.725,0.72,0.73,0.0852,0.0361,-0.0361
0.735,0.73,0.74,0.0864,0.0371,-0.0371
0.745,0.74,0.75,0.0876,0.038,-0.038
0.755,0.75,0.76,0.0887,0.0389,-0.0389
0.765,0.76,0.77,0.0897,0.0398,-0.0398
0.775,0.77,0.78,0.0906,0.0406,-0.0406
0.785,0.78,0.79,0.0915,0.0415,-0.0415
0.795,0.79,0.8,0.0923,0.0423,-0.0423
0.805,0.8,0.81,0.0931,0.0432,-0.0432
0.815,0.81,0.82,0.0938,0.044,-0.044
0.825,0.82,0.83,0.0944,0.0448,-0.0448
0.835,0.83,0.84,0.0949,0.0455,-0.0455
0.845,0.84,0.85,0.0954,0.0463,-0.0463
0.855,0.85,0.86,0.0959,0.047,-0.047
0.865,0.86,0.87,0.0962,0.0477,-0.0477
0.875,0.87,0.88,0.0966,0.0484,-0.0484
0.885,0.88,0.89,0.0968,0.0491,-0.0491
0.895,0.89,0.9,0.097,0.0498,-0.0498
0.905,0.9,0.91,0.0972,0.0504,-0.0504
0.915,0.91,0.92,0.0973,0.051,-0.051
0.925,0.92,0.93,0.0974,0.0516,-0.0516
0.935,0.93,0.94,0.0974,0.0522,-0.0522
0.945,0.94,0.95,0.0974,0.0527,-0.0527
0.955,0.95,0.96,0.0974,0.0532,-0.0532
0.965,0.96,0.97,0.0973,0.0537,-0.0537
0.975,0.97,0.98,0.0972,0.0542,-0.0542
0.985,0.98,0.99,0.0971,0.0547,-0.0547
0.995,0.99,1.0,0.097,0.0551,-0.0551
1.005,1.0,1.01,0.0968,0.0555,-0.0555
1.0150000000000001,1.01,1.02,0.0966,0.0559,-0.0559
1.025,1.02,1.03,0.0964,0.0563,-0.0563
1.0350000000000001,1.03,1.04,0.0962,0.0567,-0.0567
1.045,1.04,1.05,0.096,0.057,-0.057
1.0550000000000002,1.05,1.06,0.0958,0.0573,-0.0573
1.065,1.06,1.07,0.0956,0.0576,-0.0576
1.0750000000000002,1.07,1.08,0.0954,0.0579,-0.0579
1.085,1.08,1.09,0.0953,0.0582,-0.0582
1.0950000000000002,1.09,1.1,0.0951,0.0585,-0.0585
1.105,1.1,1.11,0.095,0.0588,-0.0588
1.1150000000000002,1.11,1.12,0.0949,0.0591,-0.0591
1.125,1.12,1.13,0.0948,0.0594,-0.0594
1.1349999999999998,1.13,1.14,0.0947,0.0597,-0.0597
1.145,1.14,1.15,0.0947,0.0601,-0.0601
1.1549999999999998,1.15,1.16,0.0948,0.0604,-0.0604
1.165,1.16,1.17,0.0949,0.0608,-0.0608
1.1749999999999998,1.17,1.18,0.095,0.0612,-0.0612
1.185,1.18,1.19,0.0952,0.0617,-0.0617
1.1949999999999998,1.19,1.2,0.0955,0.0622,-0.0622
1.205,1.2,1.21,0.0959,0.0628,-0.0628
1.2149999999999999,1.21,1.22,0.0963,0.0634,-0.0634
1.225,1.22,1.23,0.0968,0.0641,-0.0641
1.2349999999999999,1.23,1.24,0.0974,0.065,-0.065
1.245,1.24,1.25,0.0981,0.0659,-0.0659
1.255,1.25,1.26,0.0989,0.0669,-0.0669
1.2650000000000001,1.26,1.27,0.0998,0.0681,-0.0681
1.275,1.27,1.28,0.1009,0.0694,-0.0694
1.2850000000000001,1.28,1.29,0.102,0.0708,-0.0708
1.295,1.29,1.3,0.1033,0.0724,-0.0724
1.3050000000000002,1.3,1.31,0.1048,0.0742,-0.0742
1.315,1.31,1.32,0.1063,0.0761,-0.0761
1.3250000000000002,1.32,1.33,0.1081,0.0783,-0.0783
1.335,1.33,1.34,0.1099,0.0806,-0.0806
1.3450000000000002,1.34,1.35,0.112,0.0831,-0.0831
1.355,1.35,1.36,0.1142,0.0859,-0.0859
1.3650000000000002,1.36,1.37,0.1166,0.0889,-0.0889
1.375,1.37,1.38,0.1192,0.0921,-0.0921
1.3849999999999998,1.38,1.39,0.122,0.0955,-0.0955
1.395,1.39,1.4,0.125,0.0991,-0.0991

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0118,0.0086,-0.0086
0.415,0.41,0.42,0.0136,0.0099,-0.0099
0.425,0.42,0.43,0.0155,0.0113,-0.0113
0.435,0.43,0.44,0.0174,0.0128,-0.0128
0.445,0.44,0.45,0.0194,0.0143,-0.0143
0.455,0.45,0.46,0.0214,0.0158,-0.0158
0.46499999999999997,0.46,0.47,0.0234,0.0173,-0.0173
0.475,0.47,0.48,0.0254,0.0189,-0.0189
0.485,0.48,0.49,0.0274,0.0205,-0.0205
0.495,0.49,0.5,0.0294,0.0221,-0.0221
0.505,0.5,0.51,0.0314,0.0236,-0.0236
0.515,0.51,0.52,0.0334,0.0252,-0.0252
0.525,0.52,0.53,0.0354,0.0268,-0.0268
0.535,0.53,0.54,0.0373,0.0283,-0.0283
0.545,0.54,0.55,0.0392,0.0299,-0.0299
0.555,0.55,0.56,0.041,0.0314,-0.0314
0.565,0.56,0.57,0.0428,0.0329,-0.0329
0.575,0.57,0.58,0.0445,0.0344,-0.0344
0.585,0.58,0.59,0.0462,0.0358,-0.0358
0.595,0.59,0.6,0.0479,0.0372,-0.0372
0.605,0.6,0.61,0.0495,0.0386,-0.0386
0.615,0.61,0.62,0.051,0.04,-0.04
0.625,0.62,0.63,0.0525,0.0413,-0.0413
0.635,0.63,0.64,0.0539,0.0426,-0.0426
0.645,0.64,0.65,0.0552,0.0438,-0.0438
0.655,0.65,0.66,0.0565,0.045,-0.045
0.665,0.66,0.67,0.0578,0.0462,-0.0462
0.675,0.67,0.68,0.0589,0.0473,-0.0473
0.685,0.68,0.69,0.06,0.0483,-0.0483
0.695,0.69,0.7,0.0611,0.0494,-0.0494
0.705,0.7,0.71,0.0621,0.0503,-0.0503
0.715,0.71,0.72,0.063,0.0513,-0.0513
0.725,0.72,0.73,0.0639,0.0522,-0.0522
0.735,0.73,0.74,0.0647,0.053,-0.053
0.745,0.74,0.75,0.0655,0.0538,-0.0538
0.755,0.75,0.76,0.0662,0.0545,-0.0545
0.765,0.76,0.77,0.0668,0.0552,-0.0552
0.775,0.77,0.78,0.0674,0.0558,-0.0558
0.785,0.78,0.79,0.0679,0.0564,-0.0564
0.795,0.79,0.8,0.0684,0.0569,-0.0569
0.805,0.8,0.81,0.0688,0.0574,-0.0574
0.815,0.81,0.82,0.0692,0.0578,-0.0578
0.825,0.82,0.83,0.0696,0.0582,-0.0582
0.835,0.83,0.84,0.0699,0.0585,-0.0585
0.845,0.84,0.85,0.0701,0.0588,-0.0588
0.855,0.85,0.86,0.0704,0.059,-0.059
0.865,0.86,0.87,0.0705,0.0591,-0.0591
0.875,0.87,0.88,0.0707,0.0592,-0.0592
0.885,0.88,0.89,0.0708,0.0593,-0.0593
0.895,0.89,0.9,0.0709,0.0593,-0.0593
0.905,0.9,0.91,0.071,0.0592,-0.0592
0.915,0.91,0.92,0.071,0.0591,-0.0591
0.925,0.92,0.93,0.0711,0.0589,-0.0589
0.935,0.93,0.94,0.0711,0.0587,-0.0587
0.945,0.94,0.95,0.0711,0.0584,-0.0584
0.955,0.95,0.96,0.071,0.0581,-0.0581
0.965,0.96,0.97,0.071,0.0577,-0.0577
0.975,0.97,0.98,0.071,0.0572,-0.0572
0.985,0.98,0.99,0.071,0.0567,-0.0567
0.995,0.99,1.0,0.071,0.0562,-0.0562
1.005,1.0,1.01,0.071,0.0556,-0.0556
1.0150000000000001,1.01,1.02,0.071,0.055,-0.055
1.025,1.02,1.03,0.071,0.0543,-0.0543
1.0350000000000001,1.03,1.04,0.0711,0.0536,-0.0536
1.045,1.04,1.05,0.0711,0.0529,-0.0529
1.0550000000000002,1.05,1.06,0.0712,0.0521,-0.0521
1.065,1.06,1.07,0.0714,0.0513,-0.0513
1.0750000000000002,1.07,1.08,0.0716,0.0505,-0.0505
1.085,1.08,1.09,0.0718,0.0497,-0.0497
1.0950000000000002,1.09,1.1,0.0721,0.0489,-0.0489
1.105,1.1,1.11,0.0724,0.0481,-0.0481
1.1150000000000002,1.11,1.12,0.0728,0.0473,-0.0473
1.125,1.12,1.13,0.0733,0.0465,-0.0465
1.1349999999999998,1.13,1.14,0.0738,0.0458,-0.0458
1.145,1.14,1.15,0.0744,0.0452,-0.0452
1.1549999999999998,1.15,1.16,0.0751,0.0446,-0.0446
1.165,1.16,1.17,0.0759,0.0442,-0.0442
1.1749999999999998,1.17,1.18,0.0768,0.0438,-0.0438
1.185,1.18,1.19,0.0777,0.0436,-0.0436
1.1949999999999998,1.19,1.2,0.0788,0.0436,-0.0436
1.205,1.2,1.21,0.08,0.0438,-0.0438
1.2149999999999999,1.21,1.22,0.0814,0.0441,-0.0441
1.225,1.22,1.23,0.0828,0.0447,-0.0447
1.2349999999999999,1.23,1.24,0.0844,0.0456,-0.0456
1.245,1.24,1.25,0.0861,0.0467,-0.0467
1.255,1.25,1.26,0.088,0.0481,-0.0481
1.2650000000000001,1.26,1.27,0.0901,0.0497,-0.0497
1.275,1.27,1.28,0.0923,0.0516,-0.0516
1.2850000000000001,1.28,1.29,0.0946,0.0538,-0.0538
1.295,1.29,1.3,0.0972,0.0563,-0.0563
1.3050000000000002,1.3,1.31,0.0999,0.0591,-0.0591
1.315,1.31,1.32,0.1029,0.0621,-0.0621
1.3250000000000002,1.32,1.33,0.106,0.0653,-0.0653
1.335,1.33,1.34,0.1093,0.0689,-0.0689
1.3450000000000002,1.34,1.35,0.1129,0.0726,-0.0726
1.355,1.35,1.36,0.1167,0.0766,-0.0766
1.3650000000000002,1.36,1.37,0.1207,0.0809,-0.0809
1.375,1.37,1.38,0.125,0.0854,-0.0854
1.3849999999999998,1.38,1.39,0.1295,0.0901,-0.0901
1.395,1.39,1.4,0.1343,0.095,-0.095

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0122,0.0054,-0.0054
0.415,0.41,0.42,0.0141,0.0063,-0.0063
0.425,0.42,0.43,0.016,0.0071,-0.0071
0.435,0.43,0.44,0.0181,0.0081,-0.0081
0.445,0.44,0.45,0.0201,0.009,-0.009
0.455,0.45,0.46,0.0222,0.01,-0.01
0.46499999999999997,0.46,0.47,0.0243,0.0109,-0.0109
0.475,0.47,0.48,0.0264,0.0119,-0.0119
0.485,0.48,0.49,0.0285,0.0129,-0.0129
0.495,0.49,0.5,0.0306,0.0139,-0.0139
0.505,0.5,0.51,0.0327,0.0149,-0.0149
0.515,0.51,0.52,0.0348,0.016,-0.016
0.525,0.52,0.53,0.0369,0.017,-0.017
0.535,0.53,0.54,0.0389,0.0179,-0.0179
0.545,0.54,0.55,0.0409,0.0189,-0.0189
0.555,0.55,0.56,0.0428,0.0199,-0.0199
0.565,0.56,0.57,0.0448,0.0209,-0.0209
0.575,0.57,0.58,0.0466,0.0218,-0.0218
0.585,0.58,0.59,0.0484,0.0228,-0.0228
0.595,0.59,0.6,0.0502,0.0237,-0.0237
0.605,0.6,0.61,0.0519,0.0246,-0.0246
0.615,0.61,0.62,0.0535,0.0255,-0.0255
0.625,0.62,0.63,0.0551,0.0263,-0.0263
0.635,0.63,0.64,0.0567,0.0272,-0.0272
0.645,0.64,0.65,0.0581,0.028,-0.028
0.655,0.65,0.66,0.0595,0.0288,-0.0288
0.665,0.66,0.67,0.0609,0.0296,-0.0296
0.675,0.67,0.68,0.0622,0.0303,-0.0303
0.685,0.68,0.69,0.0634,0.0311,-0.0311
