#: table_doi: 10.17182/hepdata.74824.v1/t31
#: name: Table 31
#: description: Moments YLM(LM=22) of the di-pion angular distribution for -T.

#: data_file: Table31.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=22,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.0508,-0.0871,0.0871
0.415,0.41,0.42,-0.0766,-0.084,0.084
0.425,0.42,0.43,-0.1097,-0.1296,0.1296
0.435,0.43,0.44,-0.0844,-0.0934,0.0934
0.445,0.44,0.45,-0.0437,-0.1006,0.1006
0.455,0.45,0.46,-0.1327,-0.1607,0.1607
0.46499999999999997,0.46,0.47,-0.0876,-0.1468,0.1468
0.475,0.47,0.48,-0.116,-0.1372,0.1372
0.485,0.48,0.49,-0.1798,-0.1663,0.1663
0.495,0.49,0.5,-0.0335,-0.2172,0.2172
0.505,0.5,0.51,-0.2253,-0.1454,0.1454
0.515,0.51,0.52,-0.2072,-0.2121,0.2121
0.525,0.52,0.53,-0.2713,-0.1175,0.1175
0.535,0.53,0.54,-0.4142,-0.134,0.134
0.545,0.54,0.55,-0.2727,-0.1697,0.1697
0.555,0.55,0.56,-0.352,-0.1482,0.1482
0.565,0.56,0.57,-0.0494,-0.3092,0.3092
0.575,0.57,0.58,-0.3245,-0.1513,0.1513
0.585,0.58,0.59,-0.5144,-0.2004,0.2004
0.595,0.59,0.6,-0.4424,-0.1557,0.1557
0.605,0.6,0.61,-0.1982,-0.2226,0.2226
0.615,0.61,0.62,-0.001,-0.2927,0.2927
0.625,0.62,0.63,-0.0534,-0.3581,0.3581
0.635,0.63,0.64,-0.4043,-0.4033,0.4033
0.645,0.64,0.65,-0.0613,-0.3894,0.3894
0.655,0.65,0.66,0.312,0.2522,-0.2522
0.665,0.66,0.67,0.6797,0.6429,-0.6429
0.675,0.67,0.68,0.5477,0.7747,-0.7747
0.685,0.68,0.69,0.8618,0.727,-0.727
0.695,0.69,0.7,0.9208,0.6974,-0.6974
0.705,0.7,0.71,1.7,0.7606,-0.7606
0.715,0.71,0.72,1.485,0.6601,-0.6601
0.725,0.72,0.73,2.33,1.094,-1.094
0.735,0.73,0.74,3.003,0.8582,-0.8582
0.745,0.74,0.75,3.218,0.8418,-0.8418
0.755,0.75,0.76,3.279,0.5655,-0.5655
0.765,0.76,0.77,2.953,0.5784,-0.5784
0.775,0.77,0.78,3.233,0.562,-0.562
0.785,0.78,0.79,3.166,0.7871,-0.7871
0.795,0.79,0.8,3.349,0.647,-0.647
0.805,0.8,0.81,3.452,0.7733,-0.7733
0.815,0.81,0.82,3.085,1.041,-1.041
0.825,0.82,0.83,2.95,0.6325,-0.6325
0.835,0.83,0.84,2.564,0.5155,-0.5155
0.845,0.84,0.85,2.346,0.4009,-0.4009
0.855,0.85,0.86,2.298,0.4061,-0.4061
0.865,0.86,0.87,1.763,0.4495,-0.4495
0.875,0.87,0.88,1.365,0.4055,-0.4055
0.885,0.88,0.89,1.339,0.3644,-0.3644
0.895,0.89,0.9,1.178,0.4533,-0.4533
0.905,0.9,0.91,1.166,0.3138,-0.3138
0.915,0.91,0.92,1.097,0.2647,-0.2647
0.925,0.92,0.93,1.038,0.3248,-0.3248
0.935,0.93,0.94,0.9129,0.2691,-0.2691
0.945,0.94,0.95,0.7756,0.3413,-0.3413
0.955,0.95,0.96,0.8155,0.3468,-0.3468
0.965,0.96,0.97,0.6746,0.34,-0.34
0.975,0.97,0.98,0.8104,0.2589,-0.2589
0.985,0.98,0.99,0.8985,0.2193,-0.2193
0.995,0.99,1.0,0.6636,0.3477,-0.3477
1.005,1.0,1.01,0.6057,0.2374,-0.2374
1.0150000000000001,1.01,1.02,0.5274,0.2965,-0.2965
1.025,1.02,1.03,0.63,0.251,-0.251
1.0350000000000001,1.03,1.04,0.5106,0.2131,-0.2131
1.045,1.04,1.05,0.5424,0.2099,-0.2099
1.0550000000000002,1.05,1.06,0.5747,0.1978,-0.1978
1.065,1.06,1.07,0.6661,0.2215,-0.2215
1.0750000000000002,1.07,1.08,0.4901,0.1681,-0.1681
1.085,1.08,1.09,0.6093,0.2039,-0.2039
1.0950000000000002,1.09,1.1,0.4796,0.1395,-0.1395
1.105,1.1,1.11,0.4973,0.1326,-0.1326
1.1150000000000002,1.11,1.12,0.4721,0.1299,-0.1299
1.125,1.12,1.13,0.4643,0.1398,-0.1398
1.1349999999999998,1.13,1.14,0.5144,0.1091,-0.1091
1.145,1.14,1.15,0.544,0.133,-0.133
1.1549999999999998,1.15,1.16,0.4587,0.1739,-0.1739
1.165,1.16,1.17,0.5384,0.0987,-0.0987
1.1749999999999998,1.17,1.18,0.4024,0.1539,-0.1539
1.185,1.18,1.19,0.5264,0.1161,-0.1161
1.1949999999999998,1.19,1.2,0.4423,0.1176,-0.1176
1.205,1.2,1.21,0.5259,0.1491,-0.1491
1.2149999999999999,1.21,1.22,0.4826,0.1364,-0.1364
1.225,1.22,1.23,0.4215,0.1153,-0.1153
1.2349999999999999,1.23,1.24,0.4426,0.1106,-0.1106
1.245,1.24,1.25,0.5578,0.181,-0.181
1.255,1.25,1.26,0.4825,0.0992,-0.0992
1.2650000000000001,1.26,1.27,0.4311,0.0972,-0.0972
1.275,1.27,1.28,0.5171,0.1226,-0.1226
1.2850000000000001,1.28,1.29,0.3965,0.1017,-0.1017
1.295,1.29,1.3,0.3511,0.1494,-0.1494
1.3050000000000002,1.3,1.31,0.4042,0.1333,-0.1333
1.315,1.31,1.32,0.384,0.0846,-0.0846
1.3250000000000002,1.32,1.33,0.4182,0.1105,-0.1105
1.335,1.33,1.34,0.4983,0.0998,-0.0998
1.3450000000000002,1.34,1.35,0.3241,0.1066,-0.1066
1.355,1.35,1.36,0.4454,0.1031,-0.1031
1.3650000000000002,1.36,1.37,0.4433,0.1012,-0.1012
1.375,1.37,1.38,0.4255,0.0786,-0.0786
1.3849999999999998,1.38,1.39,0.34,0.0856,-0.0856
1.395,1.39,1.4,0.3389,0.0945,-0.0945

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=22,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.0181,-0.1213,0.1213
0.415,0.41,0.42,-0.0528,-0.1366,0.1366
0.425,0.42,0.43,0.136,0.1944,-0.1944
0.435,0.43,0.44,-0.0889,-0.1075,0.1075
0.445,0.44,0.45,-0.0952,-0.2746,0.2746
0.455,0.45,0.46,0.0034,0.19,-0.19
0.46499999999999997,0.46,0.47,-0.0454,-0.1554,0.1554
0.475,0.47,0.48,-0.2667,-0.2628,0.2628
0.485,0.48,0.49,-0.1636,-0.133,0.133
0.495,0.49,0.5,-0.3328,-0.2719,0.2719
0.505,0.5,0.51,-0.3764,-0.2859,0.2859
0.515,0.51,0.52,-0.379,-0.2294,0.2294
0.525,0.52,0.53,-0.1466,-0.1672,0.1672
0.535,0.53,0.54,-0.726,-0.7657,0.7657
0.545,0.54,0.55,-0.4505,-0.3136,0.3136
0.555,0.55,0.56,-0.2224,-0.2892,0.2892
0.565,0.56,0.57,-0.3257,-0.1567,0.1567
0.575,0.57,0.58,-0.4499,-0.1551,0.1551
0.585,0.58,0.59,-0.3013,-0.2207,0.2207
0.595,0.59,0.6,-0.4611,-0.1939,0.1939
0.605,0.6,0.61,-0.1821,-0.2562,0.2562
0.615,0.61,0.62,-0.465,-0.268,0.268
0.625,0.62,0.63,-0.559,-0.2244,0.2244
0.635,0.63,0.64,-0.4768,-0.3978,0.3978
0.645,0.64,0.65,0.0556,0.3622,-0.3622
0.655,0.65,0.66,-0.2971,-0.5048,0.5048
0.665,0.66,0.67,-0.5889,-0.6398,0.6398
0.675,0.67,0.68,-0.0766,-0.3967,0.3967
0.685,0.68,0.69,-0.1643,-0.5236,0.5236
0.695,0.69,0.7,0.5101,0.4616,-0.4616
0.705,0.7,0.71,0.9889,0.3614,-0.3614
0.715,0.71,0.72,0.5671,0.468,-0.468
0.725,0.72,0.73,0.7857,0.5862,-0.5862
0.735,0.73,0.74,2.241,0.4492,-0.4492
0.745,0.74,0.75,2.388,0.4276,-0.4276
0.755,0.75,0.76,2.757,0.7015,-0.7015
0.765,0.76,0.77,3.306,0.5189,-0.5189
0.775,0.77,0.78,3.064,0.6119,-0.6119
0.785,0.78,0.79,3.735,0.8606,-0.8606
0.795,0.79,0.8,3.535,0.6905,-0.6905
0.805,0.8,0.81,3.244,0.5433,-0.5433
0.815,0.81,0.82,3.036,0.4826,-0.4826
0.825,0.82,0.83,3.151,0.8932,-0.8932
0.835,0.83,0.84,2.902,0.6148,-0.6148
0.845,0.84,0.85,2.907,0.5512,-0.5512
0.855,0.85,0.86,2.317,0.3419,-0.3419
0.865,0.86,0.87,2.032,0.4692,-0.4692
0.875,0.87,0.88,2.047,0.371,-0.371
0.885,0.88,0.89,1.773,0.2832,-0.2832
0.895,0.89,0.9,1.472,0.2618,-0.2618
0.905,0.9,0.91,1.462,0.2973,-0.2973
0.915,0.91,0.92,1.342,0.3411,-0.3411
0.925,0.92,0.93,1.312,0.2952,-0.2952
0.935,0.93,0.94,1.124,0.3066,-0.3066
0.945,0.94,0.95,1.077,0.3003,-0.3003
0.955,0.95,0.96,0.7107,0.3446,-0.3446
0.965,0.96,0.97,0.9843,0.2342,-0.2342
0.975,0.97,0.98,0.6844,0.1774,-0.1774
0.985,0.98,0.99,0.6137,0.382,-0.382
0.995,0.99,1.0,0.6405,0.348,-0.348
1.005,1.0,1.01,0.6085,0.3177,-0.3177
1.0150000000000001,1.01,1.02,0.5482,0.2671,-0.2671
1.025,1.02,1.03,0.4832,0.3021,-0.3021
1.0350000000000001,1.03,1.04,0.5769,0.2533,-0.2533
1.045,1.04,1.05,0.6457,0.2518,-0.2518
1.0550000000000002,1.05,1.06,0.6068,0.2695,-0.2695
1.065,1.06,1.07,0.4815,0.2204,-0.2204
1.0750000000000002,1.07,1.08,0.4615,0.1608,-0.1608
1.085,1.08,1.09,0.442,0.1853,-0.1853
1.0950000000000002,1.09,1.1,0.5221,0.1728,-0.1728
1.105,1.1,1.11,0.4569,0.1969,-0.1969
1.1150000000000002,1.11,1.12,0.4468,0.1272,-0.1272
1.125,1.12,1.13,0.4253,0.1043,-0.1043
1.1349999999999998,1.13,1.14,0.4241,0.1254,-0.1254
1.145,1.14,1.15,0.4066,0.1387,-0.1387
1.1549999999999998,1.15,1.16,0.4454,0.1136,-0.1136
1.165,1.16,1.17,0.5809,0.1754,-0.1754
1.1749999999999998,1.17,1.18,0.4338,0.1154,-0.1154
1.185,1.18,1.19,0.5769,0.2198,-0.2198
1.1949999999999998,1.19,1.2,0.286,0.1342,-0.1342
1.205,1.2,1.21,0.371,0.1092,-0.1092
1.2149999999999999,1.21,1.22,0.3203,0.121,-0.121
1.225,1.22,1.23,0.5162,0.188,-0.188
1.2349999999999999,1.23,1.24,0.4391,0.1145,-0.1145
1.245,1.24,1.25,0.5136,0.1632,-0.1632
1.255,1.25,1.26,0.5153,0.1706,-0.1706
1.2650000000000001,1.26,1.27,0.4033,0.1152,-0.1152
1.275,1.27,1.28,0.5229,0.1167,-0.1167
1.2850000000000001,1.28,1.29,0.5314,0.1837,-0.1837
1.295,1.29,1.3,0.5385,0.1478,-0.1478
1.3050000000000002,1.3,1.31,0.4408,0.0952,-0.0952
1.315,1.31,1.32,0.5081,0.1449,-0.1449
1.3250000000000002,1.32,1.33,0.2557,0.1466,-0.1466
1.335,1.33,1.34,0.3758,0.0829,-0.0829
1.3450000000000002,1.34,1.35,0.352,0.1111,-0.1111
1.355,1.35,1.36,0.4375,0.1067,-0.1067
1.3650000000000002,1.36,1.37,0.4592,0.1156,-0.1156
1.375,1.37,1.38,0.3995,0.0867,-0.0867
1.3849999999999998,1.38,1.39,0.363,0.1081,-0.1081
1.395,1.39,1.4,0.202,0.122,-0.122

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=22,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.116,-0.1917,0.1917
0.415,0.41,0.42,-0.1758,-0.2427,0.2427
0.425,0.42,0.43,-0.0926,-0.1406,0.1406
0.435,0.43,0.44,0.0315,0.3145,-0.3145
0.445,0.44,0.45,-0.1447,-0.1646,0.1646
0.455,0.45,0.46,-0.1116,-0.1677,0.1677
0.46499999999999997,0.46,0.47,-0.243,-0.2162,0.2162
0.475,0.47,0.48,-0.2719,-0.1431,0.1431
0.485,0.48,0.49,-0.6655,-0.8394,0.8394
0.495,0.49,0.5,-0.2111,-0.1623,0.1623
0.505,0.5,0.51,-0.312,-0.2614,0.2614
0.515,0.51,0.52,-0.2244,-0.1582,0.1582
0.525,0.52,0.53,0.0313,0.3361,-0.3361
0.535,0.53,0.54,-0.1732,-0.2682,0.2682
0.545,0.54,0.55,-0.774,-0.6277,0.6277
0.555,0.55,0.56,-0.3291,-0.16,0.16
0.565,0.56,0.57,-0.5482,-0.4244,0.4244
0.575,0.57,0.58,-0.269,-0.3265,0.3265
0.585,0.58,0.59,-0.7007,-0.4246,0.4246
0.595,0.59,0.6,-0.2476,-0.217,0.217
0.605,0.6,0.61,-0.9208,-0.7006,0.7006
0.615,0.61,0.62,-0.7733,-0.5023,0.5023
0.625,0.62,0.63,-0.4807,-0.4538,0.4538
0.635,0.63,0.64,-0.1336,-0.3165,0.3165
0.645,0.64,0.65,-0.6988,-1.022,1.022
0.655,0.65,0.66,-0.3539,-0.7168,0.7168
0.665,0.66,0.67,-0.6466,-0.9843,0.9843
0.675,0.67,0.68,-0.6798,-0.9548,0.9548
0.685,0.68,0.69,-0.6752,-1.503,1.503
0.695,0.69,0.7,-0.3776,-1.225,1.225
0.705,0.7,0.71,-0.2024,-1.994,1.994
0.715,0.71,0.72,0.7247,0.4808,-0.4808
0.725,0.72,0.73,0.9919,0.5897,-0.5897
0.735,0.73,0.74,0.7081,1.212,-1.212
0.745,0.74,0.75,2.345,0.4867,-0.4867
0.755,0.75,0.76,2.538,0.903,-0.903
0.765,0.76,0.77,1.565,1.175,-1.175
0.775,0.77,0.78,2.801,1.022,-1.022
0.785,0.78,0.79,2.11,0.5453,-0.5453
0.795,0.79,0.8,2.86,0.6633,-0.6633
0.805,0.8,0.81,2.941,1.036,-1.036
0.815,0.81,0.82,3.701,0.7709,-0.7709
0.825,0.82,0.83,3.108,0.674,-0.674
0.835,0.83,0.84,3.011,0.5879,-0.5879
0.845,0.84,0.85,2.75,0.7705,-0.7705
0.855,0.85,0.86,2.915,0.8931,-0.8931
0.865,0.86,0.87,2.25,0.3608,-0.3608
0.875,0.87,0.88,1.622,0.3059,-0.3059
0.885,0.88,0.89,2.22,0.5296,-0.5296
0.895,0.89,0.9,2.305,0.5972,-0.5972
0.905,0.9,0.91,1.888,0.5077,-0.5077
0.915,0.91,0.92,1.432,0.3977,-0.3977
0.925,0.92,0.93,1.591,0.4102,-0.4102
0.935,0.93,0.94,1.205,0.3667,-0.3667
0.945,0.94,0.95,1.128,0.3272,-0.3272
0.955,0.95,0.96,1.215,0.214,-0.214
0.965,0.96,0.97,0.9927,0.2907,-0.2907
0.975,0.97,0.98,0.7065,0.3763,-0.3763
0.985,0.98,0.99,0.781,0.2127,-0.2127
0.995,0.99,1.0,0.934,0.2307,-0.2307
1.005,1.0,1.01,0.7424,0.1522,-0.1522
1.0150000000000001,1.01,1.02,0.6776,0.2906,-0.2906
1.025,1.02,1.03,0.702,0.1778,-0.1778
1.0350000000000001,1.03,1.04,0.7403,0.1489,-0.1489
1.045,1.04,1.05,0.6087,0.2799,-0.2799
1.0550000000000002,1.05,1.06,0.5464,0.2622,-0.2622
1.065,1.06,1.07,0.4334,0.203,-0.203
1.0750000000000002,1.07,1.08,0.3852,0.1899,-0.1899
1.085,1.08,1.09,0.4531,0.2117,-0.2117
1.0950000000000002,1.09,1.1,0.6448,0.1312,-0.1312
1.105,1.1,1.11,0.545,0.1087,-0.1087
1.1150000000000002,1.11,1.12,0.4607,0.1696,-0.1696
1.125,1.12,1.13,0.3919,0.1373,-0.1373
1.1349999999999998,1.13,1.14,0.4989,0.1479,-0.1479
1.145,1.14,1.15,0.3122,0.1183,-0.1183
1.1549999999999998,1.15,1.16,0.5859,0.1453,-0.1453
1.165,1.16,1.17,0.4518,0.1082,-0.1082
1.1749999999999998,1.17,1.18,0.5502,0.1538,-0.1538
1.185,1.18,1.19,0.3503,0.1132,-0.1132
1.1949999999999998,1.19,1.2,0.3745,0.1836,-0.1836
1.205,1.2,1.21,0.5234,0.1233,-0.1233
1.2149999999999999,1.21,1.22,0.3801,0.1216,-0.1216
1.225,1.22,1.23,0.3739,0.1081,-0.1081
1.2349999999999999,1.23,1.24,0.3543,0.1304,-0.1304
1.245,1.24,1.25,0.3006,0.105,-0.105
1.255,1.25,1.26,0.5062,0.2377,-0.2377
1.2650000000000001,1.26,1.27,0.5007,0.111,-0.111
1.275,1.27,1.28,0.4639,0.1158,-0.1158
1.2850000000000001,1.28,1.29,0.5073,0.1197,-0.1197
1.295,1.29,1.3,0.4317,0.1033,-0.1033
1.3050000000000002,1.3,1.31,0.4302,0.1246,-0.1246
1.315,1.31,1.32,0.4433,0.0987,-0.0987
