#: table_doi: 10.17182/hepdata.74824.v1/t31
#: name: Table 31
#: description: Moments YLM(LM=22) of the di-pion angular distribution for -T.

#: data_file: Table31.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=22,P=3_4) [MUB/GEV**3]",error +,error -
1.3250000000000002,1.32,1.33,0.395,0.0978,-0.0978
1.335,1.33,1.34,0.4209,0.109,-0.109
1.3450000000000002,1.34,1.35,0.4488,0.1489,-0.1489
1.355,1.35,1.36,0.46,0.1062,-0.1062
1.3650000000000002,1.36,1.37,0.4305,0.1067,-0.1067
1.375,1.37,1.38,0.3707,0.1006,-0.1006
1.3849999999999998,1.38,1.39,0.3689,0.0912,-0.0912
1.395,1.39,1.4,0.3689,0.1228,-0.1228

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=22,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,-0.1508,-0.3145,0.3145
0.415,0.41,0.42,-0.1339,-0.146,0.146
0.425,0.42,0.43,-0.2043,-0.2259,0.2259
0.435,0.43,0.44,-0.2024,-0.2473,0.2473
0.445,0.44,0.45,-0.2446,-0.4469,0.4469
0.455,0.45,0.46,-0.3242,-0.3662,0.3662
0.46499999999999997,0.46,0.47,-0.2928,-0.3893,0.3893
0.475,0.47,0.48,-0.2634,-0.2579,0.2579
0.485,0.48,0.49,-0.3458,-0.4723,0.4723
0.495,0.49,0.5,-0.544,-0.5656,0.5656
0.505,0.5,0.51,-0.523,-0.5998,0.5998
0.515,0.51,0.52,-0.3168,-0.3075,0.3075
0.525,0.52,0.53,-0.2613,-0.2736,0.2736
0.535,0.53,0.54,-0.3303,-0.3117,0.3117
0.545,0.54,0.55,-0.3441,-0.2208,0.2208
0.555,0.55,0.56,-0.4192,-0.1748,0.1748
0.565,0.56,0.57,-0.3322,-0.2061,0.2061
0.575,0.57,0.58,-0.8386,-0.9141,0.9141
0.585,0.58,0.59,-0.6852,-0.4575,0.4575
0.595,0.59,0.6,-0.2871,-0.2517,0.2517
0.605,0.6,0.61,-0.7045,-0.485,0.485
0.615,0.61,0.62,-0.563,-0.7782,0.7782
0.625,0.62,0.63,-1.091,-1.101,1.101
0.635,0.63,0.64,-0.986,-1.179,1.179
0.645,0.64,0.65,-0.4788,-0.8474,0.8474
0.655,0.65,0.66,-0.6988,-1.536,1.536
0.665,0.66,0.67,-0.5013,-1.27,1.27
0.675,0.67,0.68,-0.2276,-1.87,1.87
0.685,0.68,0.69,-0.319,-2.027,2.027
0.695,0.69,0.7,-0.5866,-2.694,2.694
0.705,0.7,0.71,0.2576,1.242,-1.242
0.715,0.71,0.72,0.2257,2.75,-2.75
0.725,0.72,0.73,1.196,1.736,-1.736
0.735,0.73,0.74,0.5314,2.818,-2.818
0.745,0.74,0.75,1.183,1.275,-1.275
0.755,0.75,0.76,1.498,1.987,-1.987
0.765,0.76,0.77,2.376,0.7332,-0.7332
0.775,0.77,0.78,2.128,0.8287,-0.8287
0.785,0.78,0.79,3.236,1.167,-1.167
0.795,0.79,0.8,2.517,0.65,-0.65
0.805,0.8,0.81,3.192,1.026,-1.026
0.815,0.81,0.82,2.872,0.5789,-0.5789
0.825,0.82,0.83,2.777,0.6408,-0.6408
0.835,0.83,0.84,2.804,0.9514,-0.9514
0.845,0.84,0.85,2.706,0.5886,-0.5886
0.855,0.85,0.86,3.034,0.7029,-0.7029
0.865,0.86,0.87,2.913,0.7527,-0.7527
0.875,0.87,0.88,2.355,0.4203,-0.4203
0.885,0.88,0.89,2.901,1.04,-1.04
0.895,0.89,0.9,2.085,0.3567,-0.3567
0.905,0.9,0.91,2.097,0.4041,-0.4041
0.915,0.91,0.92,2.11,0.5848,-0.5848
0.925,0.92,0.93,2.189,0.6231,-0.6231
0.935,0.93,0.94,1.625,0.3505,-0.3505
0.945,0.94,0.95,1.593,0.3518,-0.3518
0.955,0.95,0.96,1.581,0.4085,-0.4085
0.965,0.96,0.97,1.322,0.2643,-0.2643
0.975,0.97,0.98,1.206,0.2877,-0.2877
0.985,0.98,0.99,1.196,0.3067,-0.3067
0.995,0.99,1.0,1.059,0.2664,-0.2664
1.005,1.0,1.01,0.9887,0.2513,-0.2513
1.0150000000000001,1.01,1.02,0.9406,0.2287,-0.2287
1.025,1.02,1.03,0.8061,0.141,-0.141
1.0350000000000001,1.03,1.04,0.7878,0.1896,-0.1896
1.045,1.04,1.05,0.7056,0.1216,-0.1216
1.0550000000000002,1.05,1.06,0.6327,0.2223,-0.2223
1.065,1.06,1.07,0.7977,0.1871,-0.1871
1.0750000000000002,1.07,1.08,0.5866,0.3777,-0.3777
1.085,1.08,1.09,0.6226,0.1452,-0.1452
1.0950000000000002,1.09,1.1,0.6294,0.12,-0.12
1.105,1.1,1.11,0.5989,0.1539,-0.1539
1.1150000000000002,1.11,1.12,0.5669,0.1312,-0.1312
1.125,1.12,1.13,0.4552,0.1114,-0.1114
1.1349999999999998,1.13,1.14,0.5031,0.1055,-0.1055
1.145,1.14,1.15,0.5639,0.1691,-0.1691
1.1549999999999998,1.15,1.16,0.402,0.1145,-0.1145
1.165,1.16,1.17,0.42,0.1405,-0.1405
1.1749999999999998,1.17,1.18,0.5419,0.2216,-0.2216
1.185,1.18,1.19,0.5568,0.2661,-0.2661
1.1949999999999998,1.19,1.2,0.5001,0.1882,-0.1882
1.205,1.2,1.21,0.5525,0.2292,-0.2292
1.2149999999999999,1.21,1.22,0.4663,0.2483,-0.2483
1.225,1.22,1.23,0.3117,0.1081,-0.1081
1.2349999999999999,1.23,1.24,0.3511,0.1316,-0.1316
1.245,1.24,1.25,0.4641,0.1626,-0.1626
1.255,1.25,1.26,0.4439,0.1418,-0.1418
1.2650000000000001,1.26,1.27,0.4166,0.1241,-0.1241
1.275,1.27,1.28,0.3526,0.0997,-0.0997
1.2850000000000001,1.28,1.29,0.508,0.1661,-0.1661
1.295,1.29,1.3,0.3906,0.0952,-0.0952
1.3050000000000002,1.3,1.31,0.446,0.1238,-0.1238
1.315,1.31,1.32,0.4651,0.1058,-0.1058
1.3250000000000002,1.32,1.33,0.3776,0.0858,-0.0858
1.335,1.33,1.34,0.4963,0.1056,-0.1056
1.3450000000000002,1.34,1.35,0.455,0.1359,-0.1359
1.355,1.35,1.36,0.4883,0.1185,-0.1185
1.3650000000000002,1.36,1.37,0.3858,0.0906,-0.0906
1.375,1.37,1.38,0.4133,0.1069,-0.1069
1.3849999999999998,1.38,1.39,0.5861,0.1285,-0.1285
1.395,1.39,1.4,0.3518,0.1098,-0.1098

