#: table_doi: 10.17182/hepdata.74824.v1/t141
#: name: Table 141
#: description: Dp wave cross section for -T.

#: data_file: Table141.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0765,0.0698,-0.0698
0.415,0.41,0.42,0.0785,0.0697,-0.0697
0.425,0.42,0.43,0.0808,0.0696,-0.0696
0.435,0.43,0.44,0.0833,0.0696,-0.0696
0.445,0.44,0.45,0.086,0.0696,-0.0696
0.455,0.45,0.46,0.0888,0.0696,-0.0696
0.46499999999999997,0.46,0.47,0.0918,0.0697,-0.0697
0.475,0.47,0.48,0.0949,0.0699,-0.0699
0.485,0.48,0.49,0.0982,0.0701,-0.0701
0.495,0.49,0.5,0.1016,0.0704,-0.0704
0.505,0.5,0.51,0.105,0.0708,-0.0708
0.515,0.51,0.52,0.1086,0.0713,-0.0713
0.525,0.52,0.53,0.1122,0.0719,-0.0719
0.535,0.53,0.54,0.1159,0.0725,-0.0725
0.545,0.54,0.55,0.1197,0.0733,-0.0733
0.555,0.55,0.56,0.1236,0.0742,-0.0742
0.565,0.56,0.57,0.1275,0.0751,-0.0751
0.575,0.57,0.58,0.1314,0.0762,-0.0762
0.585,0.58,0.59,0.1354,0.0773,-0.0773
0.595,0.59,0.6,0.1394,0.0785,-0.0785
0.605,0.6,0.61,0.1435,0.0797,-0.0797
0.615,0.61,0.62,0.1475,0.081,-0.081
0.625,0.62,0.63,0.1516,0.0824,-0.0824
0.635,0.63,0.64,0.1557,0.0838,-0.0838
0.645,0.64,0.65,0.1597,0.0851,-0.0851
0.655,0.65,0.66,0.1638,0.0865,-0.0865
0.665,0.66,0.67,0.1678,0.0879,-0.0879
0.675,0.67,0.68,0.1718,0.0892,-0.0892
0.685,0.68,0.69,0.1757,0.0905,-0.0905
0.695,0.69,0.7,0.1796,0.0917,-0.0917
0.705,0.7,0.71,0.1834,0.0929,-0.0929
0.715,0.71,0.72,0.1871,0.0939,-0.0939
0.725,0.72,0.73,0.1907,0.0949,-0.0949
0.735,0.73,0.74,0.1942,0.0958,-0.0958
0.745,0.74,0.75,0.1976,0.0965,-0.0965
0.755,0.75,0.76,0.2009,0.0972,-0.0972
0.765,0.76,0.77,0.204,0.0977,-0.0977
0.775,0.77,0.78,0.2069,0.098,-0.098
0.785,0.78,0.79,0.2097,0.0983,-0.0983
0.795,0.79,0.8,0.2123,0.0983,-0.0983
0.805,0.8,0.81,0.2146,0.0983,-0.0983
0.815,0.81,0.82,0.2168,0.0981,-0.0981
0.825,0.82,0.83,0.2187,0.0977,-0.0977
0.835,0.83,0.84,0.2204,0.0973,-0.0973
0.845,0.84,0.85,0.2219,0.0967,-0.0967
0.855,0.85,0.86,0.223,0.096,-0.096
0.865,0.86,0.87,0.2239,0.0952,-0.0952
0.875,0.87,0.88,0.2245,0.0943,-0.0943
0.885,0.88,0.89,0.2249,0.0934,-0.0934
0.895,0.89,0.9,0.2249,0.0924,-0.0924
0.905,0.9,0.91,0.2246,0.0914,-0.0914
0.915,0.91,0.92,0.2239,0.0905,-0.0905
0.925,0.92,0.93,0.223,0.0896,-0.0896
0.935,0.93,0.94,0.2217,0.0888,-0.0888
0.945,0.94,0.95,0.2201,0.0881,-0.0881
0.955,0.95,0.96,0.2181,0.0876,-0.0876
0.965,0.96,0.97,0.2158,0.0872,-0.0872
0.975,0.97,0.98,0.2131,0.0871,-0.0871
0.985,0.98,0.99,0.2101,0.0871,-0.0871
0.995,0.99,1.0,0.2068,0.0874,-0.0874
1.005,1.0,1.01,0.2032,0.088,-0.088
1.0150000000000001,1.01,1.02,0.1992,0.0887,-0.0887
1.025,1.02,1.03,0.195,0.0896,-0.0896
1.0350000000000001,1.03,1.04,0.1905,0.0906,-0.0906
1.045,1.04,1.05,0.1858,0.0917,-0.0917
1.0550000000000002,1.05,1.06,0.1809,0.0929,-0.0929
1.065,1.06,1.07,0.1758,0.094,-0.094
1.0750000000000002,1.07,1.08,0.1707,0.0951,-0.0951
1.085,1.08,1.09,0.1655,0.096,-0.096
1.0950000000000002,1.09,1.1,0.1604,0.0967,-0.0967
1.105,1.1,1.11,0.1555,0.0971,-0.0971
1.1150000000000002,1.11,1.12,0.1508,0.0974,-0.0974
1.125,1.12,1.13,0.1466,0.0974,-0.0974
1.1349999999999998,1.13,1.14,0.1429,0.0974,-0.0974
1.145,1.14,1.15,0.1399,0.0974,-0.0974
1.1549999999999998,1.15,1.16,0.138,0.0978,-0.0978
1.165,1.16,1.17,0.1372,0.0989,-0.0989
1.1749999999999998,1.17,1.18,0.1378,0.1011,-0.1011
1.185,1.18,1.19,0.1401,0.105,-0.105
1.1949999999999998,1.19,1.2,0.1442,0.1109,-0.1109
1.205,1.2,1.21,0.1503,0.1188,-0.1188
1.2149999999999999,1.21,1.22,0.1583,0.1283,-0.1283
1.225,1.22,1.23,0.168,0.1386,-0.1386
1.2349999999999999,1.23,1.24,0.1787,0.1482,-0.1482
1.245,1.24,1.25,0.1895,0.1557,-0.1557
1.255,1.25,1.26,0.1991,0.1595,-0.1595
1.2650000000000001,1.26,1.27,0.2063,0.1593,-0.1593
1.275,1.27,1.28,0.2099,0.1557,-0.1557
1.2850000000000001,1.28,1.29,0.2092,0.1509,-0.1509
1.295,1.29,1.3,0.2044,0.1478,-0.1478
1.3050000000000002,1.3,1.31,0.1961,0.1488,-0.1488
1.315,1.31,1.32,0.1856,0.1541,-0.1541
1.3250000000000002,1.32,1.33,0.1743,0.1625,-0.1625
1.335,1.33,1.34,0.1635,0.1718,-0.1718
1.3450000000000002,1.34,1.35,0.1543,0.181,-0.181
1.355,1.35,1.36,0.1477,0.1896,-0.1896
