#: table_doi: 10.17182/hepdata.74824.v1/t97
#: name: Table 97
#: description: P wave cross section for -T.

#: data_file: Table97.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.6109,0.1275,-0.1275
0.415,0.41,0.42,0.6718,0.1431,-0.1431
0.425,0.42,0.43,0.7365,0.1601,-0.1601
0.435,0.43,0.44,0.806,0.1785,-0.1785
0.445,0.44,0.45,0.8812,0.1983,-0.1983
0.455,0.45,0.46,0.9632,0.2196,-0.2196
0.46499999999999997,0.46,0.47,1.0532,0.2425,-0.2425
0.475,0.47,0.48,1.1528,0.267,-0.267
0.485,0.48,0.49,1.2636,0.2932,-0.2932
0.495,0.49,0.5,1.3877,0.3211,-0.3211
0.505,0.5,0.51,1.5274,0.3509,-0.3509
0.515,0.51,0.52,1.6855,0.3827,-0.3827
0.525,0.52,0.53,1.8652,0.4167,-0.4167
0.535,0.53,0.54,2.0703,0.4531,-0.4531
0.545,0.54,0.55,2.3053,0.492,-0.492
0.555,0.55,0.56,2.5755,0.5339,-0.5339
0.565,0.56,0.57,2.8875,0.5792,-0.5792
0.575,0.57,0.58,3.2488,0.6283,-0.6283
0.585,0.58,0.59,3.6686,0.682,-0.682
0.595,0.59,0.6,4.158,0.7411,-0.7411
0.605,0.6,0.61,4.7304,0.8067,-0.8067
0.615,0.61,0.62,5.402,0.88,-0.88
0.625,0.62,0.63,6.192,0.9628,-0.9628
0.635,0.63,0.64,7.1234,1.057,-1.057
0.645,0.64,0.65,8.2234,1.1652,-1.1652
0.655,0.65,0.66,9.5226,1.2902,-1.2902
0.665,0.66,0.67,11.0545,1.4352,-1.4352
0.675,0.67,0.68,12.8525,1.6035,-1.6035
0.685,0.68,0.69,14.9433,1.7978,-1.7978
0.695,0.69,0.7,17.3366,2.0196,-2.0196
0.705,0.7,0.71,20.0066,2.2667,-2.2667
0.715,0.71,0.72,22.8676,2.5315,-2.5315
0.725,0.72,0.73,25.7489,2.7982,-2.7982
0.735,0.73,0.74,28.3834,3.042,-3.042
0.745,0.74,0.75,30.4356,3.2309,-3.2309
0.755,0.75,0.76,31.5831,3.3343,-3.3343
0.765,0.76,0.77,31.6304,3.333,-3.333
0.775,0.77,0.78,30.59,3.2279,-3.2279
0.785,0.78,0.79,28.6731,3.0388,-3.0388
0.795,0.79,0.8,26.1987,2.7961,-2.7961
0.805,0.8,0.81,23.4846,2.5302,-2.5302
0.815,0.81,0.82,20.778,2.265,-2.265
0.825,0.82,0.83,18.2357,2.0158,-2.0158
0.835,0.83,0.84,15.9375,1.7905,-1.7905
0.845,0.84,0.85,13.9097,1.5917,-1.5917
0.855,0.85,0.86,12.147,1.4193,-1.4193
0.865,0.86,0.87,10.6279,1.2711,-1.2711
0.875,0.87,0.88,9.3249,1.1446,-1.1446
0.885,0.88,0.89,8.2093,1.0371,-1.0371
0.895,0.89,0.9,7.2545,0.9461,-0.9461
0.905,0.9,0.91,6.4368,0.8693,-0.8693
0.915,0.91,0.92,5.7357,0.8047,-0.8047
0.925,0.92,0.93,5.1337,0.7507,-0.7507
0.935,0.93,0.94,4.6162,0.7059,-0.7059
0.945,0.94,0.95,4.171,0.669,-0.669
0.955,0.95,0.96,3.7875,0.6392,-0.6392
0.965,0.96,0.97,3.4573,0.6155,-0.6155
0.975,0.97,0.98,3.173,0.5973,-0.5973
0.985,0.98,0.99,2.9283,0.5839,-0.5839
0.995,0.99,1.0,2.7181,0.5747,-0.5747
1.005,1.0,1.01,2.5379,0.5693,-0.5693
1.0150000000000001,1.01,1.02,2.3839,0.5673,-0.5673
1.025,1.02,1.03,2.2526,0.5681,-0.5681
1.0350000000000001,1.03,1.04,2.1412,0.5714,-0.5714
1.045,1.04,1.05,2.0471,0.5768,-0.5768
1.0550000000000002,1.05,1.06,1.9682,0.5839,-0.5839
1.065,1.06,1.07,1.9024,0.5924,-0.5924
1.0750000000000002,1.07,1.08,1.8479,0.6019,-0.6019
1.085,1.08,1.09,1.8032,0.6122,-0.6122
1.0950000000000002,1.09,1.1,1.7667,0.6229,-0.6229
1.105,1.1,1.11,1.7373,0.6339,-0.6339
1.1150000000000002,1.11,1.12,1.7137,0.6447,-0.6447
1.125,1.12,1.13,1.6948,0.6553,-0.6553
1.1349999999999998,1.13,1.14,1.6797,0.6653,-0.6653
1.145,1.14,1.15,1.6673,0.6747,-0.6747
1.1549999999999998,1.15,1.16,1.657,0.6831,-0.6831
1.165,1.16,1.17,1.6478,0.6905,-0.6905
1.1749999999999998,1.17,1.18,1.6392,0.6968,-0.6968
1.185,1.18,1.19,1.6305,0.7017,-0.7017
1.1949999999999998,1.19,1.2,1.6212,0.7053,-0.7053
1.205,1.2,1.21,1.6108,0.7075,-0.7075
1.2149999999999999,1.21,1.22,1.5988,0.7083,-0.7083
1.225,1.22,1.23,1.5849,0.7075,-0.7075
