#: table_doi: 10.17182/hepdata.74824.v1/t184
#: name: Table 184
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table184.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0016,0.0164,-0.0164
0.415,0.41,0.42,-0.0006,0.0154,-0.0154
0.425,0.42,0.43,0.0005,0.0149,-0.0149
0.435,0.43,0.44,0.0017,0.0148,-0.0148
0.445,0.44,0.45,0.003,0.0148,-0.0148
0.455,0.45,0.46,0.0043,0.015,-0.015
0.46499999999999997,0.46,0.47,0.0057,0.0152,-0.0152
0.475,0.47,0.48,0.0072,0.0155,-0.0155
0.485,0.48,0.49,0.0087,0.0157,-0.0157
0.495,0.49,0.5,0.0104,0.0158,-0.0158
0.505,0.5,0.51,0.0121,0.016,-0.016
0.515,0.51,0.52,0.014,0.0161,-0.0161
0.525,0.52,0.53,0.016,0.0161,-0.0161
0.535,0.53,0.54,0.0182,0.0161,-0.0161
0.545,0.54,0.55,0.0205,0.016,-0.016
0.555,0.55,0.56,0.023,0.0158,-0.0158
0.565,0.56,0.57,0.0257,0.0155,-0.0155
0.575,0.57,0.58,0.0285,0.0152,-0.0152
0.585,0.58,0.59,0.0316,0.0148,-0.0148
0.595,0.59,0.6,0.0347,0.0143,-0.0143
0.605,0.6,0.61,0.0381,0.0137,-0.0137
0.615,0.61,0.62,0.0415,0.013,-0.013
0.625,0.62,0.63,0.0451,0.0123,-0.0123
0.635,0.63,0.64,0.0487,0.0116,-0.0116
0.645,0.64,0.65,0.0524,0.0108,-0.0108
0.655,0.65,0.66,0.056,0.0101,-0.0101
0.665,0.66,0.67,0.0596,0.0095,-0.0095
0.675,0.67,0.68,0.0631,0.0089,-0.0089
0.685,0.68,0.69,0.0666,0.0085,-0.0085
0.695,0.69,0.7,0.0698,0.0082,-0.0082
0.705,0.7,0.71,0.0729,0.008,-0.008
0.715,0.71,0.72,0.0757,0.0079,-0.0079
0.725,0.72,0.73,0.0783,0.0078,-0.0078
0.735,0.73,0.74,0.0805,0.0076,-0.0076
0.745,0.74,0.75,0.0822,0.0074,-0.0074
0.755,0.75,0.76,0.0835,0.0072,-0.0072
0.765,0.76,0.77,0.0842,0.0071,-0.0071
0.775,0.77,0.78,0.0844,0.0071,-0.0071
0.785,0.78,0.79,0.0838,0.0076,-0.0076
0.795,0.79,0.8,0.0824,0.0084,-0.0084
0.805,0.8,0.81,0.0803,0.0097,-0.0097
0.815,0.81,0.82,0.0773,0.0112,-0.0112
0.825,0.82,0.83,0.0735,0.0128,-0.0128
0.835,0.83,0.84,0.0688,0.0145,-0.0145
0.845,0.84,0.85,0.0633,0.0162,-0.0162
0.855,0.85,0.86,0.0571,0.0178,-0.0178
0.865,0.86,0.87,0.0502,0.0192,-0.0192
0.875,0.87,0.88,0.0426,0.0204,-0.0204
0.885,0.88,0.89,0.0346,0.0214,-0.0214
0.895,0.89,0.9,0.0263,0.022,-0.022
0.905,0.9,0.91,0.0178,0.0223,-0.0223
0.915,0.91,0.92,0.0091,0.0223,-0.0223
0.925,0.92,0.93,0.0005,0.0221,-0.0221
0.935,0.93,0.94,-0.008,0.0216,-0.0216
0.945,0.94,0.95,-0.0162,0.0208,-0.0208
0.955,0.95,0.96,-0.024,0.0199,-0.0199
0.965,0.96,0.97,-0.0313,0.0189,-0.0189
0.975,0.97,0.98,-0.0381,0.0178,-0.0178
0.985,0.98,0.99,-0.0448,0.0173,-0.0173
0.995,0.99,1.0,-0.0576,0.0182,-0.0182
1.005,1.0,1.01,-0.0645,0.0171,-0.0171
1.0150000000000001,1.01,1.02,-0.0714,0.0163,-0.0163
1.025,1.02,1.03,-0.0781,0.0158,-0.0158
1.0350000000000001,1.03,1.04,-0.0844,0.0156,-0.0156
1.045,1.04,1.05,-0.0903,0.0156,-0.0156
1.0550000000000002,1.05,1.06,-0.0958,0.0158,-0.0158
1.065,1.06,1.07,-0.101,0.0161,-0.0161
1.0750000000000002,1.07,1.08,-0.1057,0.0165,-0.0165
1.085,1.08,1.09,-0.11,0.017,-0.017
1.0950000000000002,1.09,1.1,-0.114,0.0176,-0.0176
1.105,1.1,1.11,-0.1175,0.0181,-0.0181
1.1150000000000002,1.11,1.12,-0.1207,0.0187,-0.0187
1.125,1.12,1.13,-0.1234,0.0193,-0.0193
1.1349999999999998,1.13,1.14,-0.1258,0.0198,-0.0198
1.145,1.14,1.15,-0.1277,0.0203,-0.0203
1.1549999999999998,1.15,1.16,-0.1291,0.0208,-0.0208
1.165,1.16,1.17,-0.1301,0.0212,-0.0212
1.1749999999999998,1.17,1.18,-0.1307,0.0216,-0.0216
1.185,1.18,1.19,-0.1308,0.0219,-0.0219
1.1949999999999998,1.19,1.2,-0.1305,0.022,-0.022
1.205,1.2,1.21,-0.1299,0.022,-0.022
1.2149999999999999,1.21,1.22,-0.129,0.0219,-0.0219
1.225,1.22,1.23,-0.128,0.0217,-0.0217
1.2349999999999999,1.23,1.24,-0.1272,0.0212,-0.0212
1.245,1.24,1.25,-0.1266,0.0207,-0.0207
1.255,1.25,1.26,-0.1266,0.02,-0.02
1.2650000000000001,1.26,1.27,-0.1274,0.0194,-0.0194
1.275,1.27,1.28,-0.1291,0.0187,-0.0187
1.2850000000000001,1.28,1.29,-0.1319,0.0182,-0.0182
1.295,1.29,1.3,-0.1356,0.0178,-0.0178
1.3050000000000002,1.3,1.31,-0.1402,0.0177,-0.0177
1.315,1.31,1.32,-0.1455,0.0177,-0.0177
1.3250000000000002,1.32,1.33,-0.1511,0.0179,-0.0179
1.335,1.33,1.34,-0.1569,0.0182,-0.0182
1.3450000000000002,1.34,1.35,-0.1623,0.0184,-0.0184
1.355,1.35,1.36,-0.167,0.0186,-0.0186
1.3650000000000002,1.36,1.37,-0.1706,0.0187,-0.0187
1.375,1.37,1.38,-0.1728,0.019,-0.019
1.3849999999999998,1.38,1.39,-0.1733,0.0195,-0.0195
1.395,1.39,1.4,-0.172,0.0206,-0.0206

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0262,0.0123,-0.0123
0.415,0.41,0.42,-0.0227,0.0137,-0.0137
0.425,0.42,0.43,-0.0194,0.0151,-0.0151
0.435,0.43,0.44,-0.0163,0.0165,-0.0165
0.445,0.44,0.45,-0.0135,0.0178,-0.0178
0.455,0.45,0.46,-0.0108,0.019,-0.019
0.46499999999999997,0.46,0.47,-0.0083,0.02,-0.02
0.475,0.47,0.48,-0.0059,0.0208,-0.0208
0.485,0.48,0.49,-0.0036,0.0214,-0.0214
0.495,0.49,0.5,-0.0013,0.0219,-0.0219
0.505,0.5,0.51,0.0009,0.0222,-0.0222
0.515,0.51,0.52,0.0032,0.0223,-0.0223
0.525,0.52,0.53,0.0057,0.0223,-0.0223
0.535,0.53,0.54,0.0082,0.0221,-0.0221
0.545,0.54,0.55,0.011,0.0218,-0.0218
0.555,0.55,0.56,0.014,0.0213,-0.0213
0.565,0.56,0.57,0.0174,0.0207,-0.0207
