#: table_doi: 10.17182/hepdata.74824.v1/t99
#: name: Table 99
#: description: P wave cross section for -T.

#: data_file: Table99.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.3011,0.0459,-0.0459
0.415,0.41,0.42,0.3294,0.0509,-0.0509
0.425,0.42,0.43,0.3589,0.0561,-0.0561
0.435,0.43,0.44,0.3898,0.0616,-0.0616
0.445,0.44,0.45,0.4224,0.0674,-0.0674
0.455,0.45,0.46,0.457,0.0734,-0.0734
0.46499999999999997,0.46,0.47,0.4938,0.0797,-0.0797
0.475,0.47,0.48,0.5333,0.0863,-0.0863
0.485,0.48,0.49,0.5759,0.0932,-0.0932
0.495,0.49,0.5,0.6222,0.1004,-0.1004
0.505,0.5,0.51,0.6727,0.1081,-0.1081
0.515,0.51,0.52,0.7284,0.1161,-0.1161
0.525,0.52,0.53,0.7899,0.1247,-0.1247
0.535,0.53,0.54,0.8584,0.1339,-0.1339
0.545,0.54,0.55,0.9352,0.1438,-0.1438
0.555,0.55,0.56,1.0216,0.1546,-0.1546
0.565,0.56,0.57,1.1196,0.1664,-0.1664
0.575,0.57,0.58,1.2312,0.1795,-0.1795
0.585,0.58,0.59,1.3591,0.1942,-0.1942
0.595,0.59,0.6,1.5065,0.2107,-0.2107
0.605,0.6,0.61,1.6772,0.2296,-0.2296
0.615,0.61,0.62,1.8759,0.2514,-0.2514
0.625,0.62,0.63,2.1083,0.2768,-0.2768
0.635,0.63,0.64,2.3812,0.3067,-0.3067
0.645,0.64,0.65,2.7026,0.3419,-0.3419
0.655,0.65,0.66,3.082,0.3837,-0.3837
0.665,0.66,0.67,3.5297,0.4334,-0.4334
0.675,0.67,0.68,4.0565,0.4923,-0.4923
0.685,0.68,0.69,4.6718,0.5617,-0.5617
0.695,0.69,0.7,5.3805,0.6423,-0.6423
0.705,0.7,0.71,6.1781,0.7337,-0.7337
0.715,0.71,0.72,7.0431,0.834,-0.834
0.725,0.72,0.73,7.9293,0.938,-0.938
0.735,0.73,0.74,8.7615,1.0375,-1.0375
0.745,0.74,0.75,9.4422,1.1215,-1.1215
0.755,0.75,0.76,9.8736,1.1789,-1.1789
0.765,0.76,0.77,9.9916,1.2022,-1.2022
0.775,0.77,0.78,9.7905,1.1902,-1.1902
0.785,0.78,0.79,9.3238,1.1486,-1.1486
0.795,0.79,0.8,8.6795,1.0869,-1.0869
0.805,0.8,0.81,7.9487,1.0153,-1.0153
0.815,0.81,0.82,7.2044,0.9419,-0.9419
0.825,0.82,0.83,6.4948,0.8722,-0.8722
0.835,0.83,0.84,5.846,0.8089,-0.8089
0.845,0.84,0.85,5.2681,0.7534,-0.7534
0.855,0.85,0.86,4.7617,0.7056,-0.7056
0.865,0.86,0.87,4.3219,0.665,-0.665
0.875,0.87,0.88,3.9421,0.6308,-0.6308
0.885,0.88,0.89,3.6146,0.6022,-0.6022
0.895,0.89,0.9,3.3322,0.5783,-0.5783
0.905,0.9,0.91,3.0885,0.5585,-0.5585
0.915,0.91,0.92,2.8777,0.5422,-0.5422
0.925,0.92,0.93,2.695,0.5288,-0.5288
0.935,0.93,0.94,2.5362,0.518,-0.518
0.945,0.94,0.95,2.3977,0.5093,-0.5093
0.955,0.95,0.96,2.2767,0.5025,-0.5025
0.965,0.96,0.97,2.1706,0.4974,-0.4974
0.975,0.97,0.98,2.0773,0.4938,-0.4938
