#: table_doi: 10.17182/hepdata.74824.v1/t124
#: name: Table 124
#: description: D wave cross section for -T.

#: data_file: Table124.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1813,0.0805,-0.0805
0.415,0.41,0.42,0.1784,0.0835,-0.0835
0.425,0.42,0.43,0.176,0.0867,-0.0867
0.435,0.43,0.44,0.1739,0.0898,-0.0898
0.445,0.44,0.45,0.1723,0.0929,-0.0929
0.455,0.45,0.46,0.1708,0.0958,-0.0958
0.46499999999999997,0.46,0.47,0.1697,0.0985,-0.0985
0.475,0.47,0.48,0.1687,0.1011,-0.1011
0.485,0.48,0.49,0.1679,0.1034,-0.1034
0.495,0.49,0.5,0.1672,0.1054,-0.1054
0.505,0.5,0.51,0.1667,0.1073,-0.1073
0.515,0.51,0.52,0.1662,0.1088,-0.1088
0.525,0.52,0.53,0.1659,0.1102,-0.1102
0.535,0.53,0.54,0.1656,0.1113,-0.1113
0.545,0.54,0.55,0.1655,0.1123,-0.1123
0.555,0.55,0.56,0.1654,0.1132,-0.1132
0.565,0.56,0.57,0.1655,0.1139,-0.1139
0.575,0.57,0.58,0.1657,0.1146,-0.1146
0.585,0.58,0.59,0.166,0.1152,-0.1152
0.595,0.59,0.6,0.1665,0.1158,-0.1158
0.605,0.6,0.61,0.1672,0.1166,-0.1166
0.615,0.61,0.62,0.1681,0.1174,-0.1174
0.625,0.62,0.63,0.1693,0.1183,-0.1183
0.635,0.63,0.64,0.1707,0.1195,-0.1195
0.645,0.64,0.65,0.1724,0.1208,-0.1208
0.655,0.65,0.66,0.1744,0.1224,-0.1224
0.665,0.66,0.67,0.1768,0.1242,-0.1242
0.675,0.67,0.68,0.1795,0.1263,-0.1263
0.685,0.68,0.69,0.1827,0.1286,-0.1286
0.695,0.69,0.7,0.1863,0.1312,-0.1312
0.705,0.7,0.71,0.1903,0.1341,-0.1341
0.715,0.71,0.72,0.1949,0.1373,-0.1373
0.725,0.72,0.73,0.2,0.1407,-0.1407
0.735,0.73,0.74,0.2056,0.1444,-0.1444
0.745,0.74,0.75,0.2117,0.1483,-0.1483
0.755,0.75,0.76,0.2184,0.1525,-0.1525
0.765,0.76,0.77,0.2257,0.1569,-0.1569
0.775,0.77,0.78,0.2336,0.1615,-0.1615
0.785,0.78,0.79,0.242,0.1662,-0.1662
0.795,0.79,0.8,0.2511,0.1712,-0.1712
0.805,0.8,0.81,0.2607,0.1764,-0.1764
0.815,0.81,0.82,0.2709,0.1817,-0.1817
0.825,0.82,0.83,0.2817,0.1872,-0.1872
0.835,0.83,0.84,0.293,0.1928,-0.1928
0.845,0.84,0.85,0.3048,0.1986,-0.1986
