#: table_doi: 10.17182/hepdata.74824.v1/t127
#: name: Table 127
#: description: Dm wave cross section for -T.

#: data_file: Table127.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2082,0.0853,-0.0853
0.415,0.41,0.42,0.195,0.0697,-0.0697
0.425,0.42,0.43,0.1836,0.0601,-0.0601
0.435,0.43,0.44,0.1741,0.0568,-0.0568
0.445,0.44,0.45,0.1662,0.0588,-0.0588
0.455,0.45,0.46,0.1601,0.0637,-0.0637
0.46499999999999997,0.46,0.47,0.1556,0.0698,-0.0698
0.475,0.47,0.48,0.1526,0.0758,-0.0758
0.485,0.48,0.49,0.1511,0.081,-0.081
0.495,0.49,0.5,0.1511,0.0851,-0.0851
0.505,0.5,0.51,0.1524,0.088,-0.088
0.515,0.51,0.52,0.155,0.0897,-0.0897
0.525,0.52,0.53,0.1588,0.0903,-0.0903
0.535,0.53,0.54,0.1638,0.0899,-0.0899
0.545,0.54,0.55,0.1699,0.0887,-0.0887
0.555,0.55,0.56,0.177,0.0869,-0.0869
0.565,0.56,0.57,0.1852,0.085,-0.085
0.575,0.57,0.58,0.1942,0.0832,-0.0832
0.585,0.58,0.59,0.2041,0.082,-0.082
0.595,0.59,0.6,0.2148,0.0819,-0.0819
0.605,0.6,0.61,0.2262,0.0835,-0.0835
0.615,0.61,0.62,0.2384,0.0869,-0.0869
0.625,0.62,0.63,0.2511,0.0923,-0.0923
0.635,0.63,0.64,0.2644,0.0998,-0.0998
0.645,0.64,0.65,0.2782,0.1091,-0.1091
0.655,0.65,0.66,0.2925,0.12,-0.12
0.665,0.66,0.67,0.3071,0.1322,-0.1322
0.675,0.67,0.68,0.3221,0.1455,-0.1455
0.685,0.68,0.69,0.3373,0.1595,-0.1595
0.695,0.69,0.7,0.3527,0.1742,-0.1742
0.705,0.7,0.71,0.3684,0.1893,-0.1893
0.715,0.71,0.72,0.3841,0.2046,-0.2046
0.725,0.72,0.73,0.3998,0.2201,-0.2201
0.735,0.73,0.74,0.4156,0.2356,-0.2356
0.745,0.74,0.75,0.4313,0.251,-0.251
0.755,0.75,0.76,0.4468,0.2661,-0.2661
0.765,0.76,0.77,0.4622,0.281,-0.281
0.775,0.77,0.78,0.4774,0.2954,-0.2954
0.785,0.78,0.79,0.4923,0.3094,-0.3094
0.795,0.79,0.8,0.5069,0.3229,-0.3229
0.805,0.8,0.81,0.5211,0.3357,-0.3357
0.815,0.81,0.82,0.5348,0.348,-0.348
0.825,0.82,0.83,0.5481,0.3595,-0.3595
0.835,0.83,0.84,0.5609,0.3702,-0.3702
0.845,0.84,0.85,0.573,0.3802,-0.3802
0.855,0.85,0.86,0.5845,0.3894,-0.3894
0.865,0.86,0.87,0.5954,0.3977,-0.3977
0.875,0.87,0.88,0.6054,0.4051,-0.4051
0.885,0.88,0.89,0.6147,0.4116,-0.4116
0.895,0.89,0.9,0.6232,0.4171,-0.4171
0.905,0.9,0.91,0.6308,0.4217,-0.4217
0.915,0.91,0.92,0.6374,0.4253,-0.4253
0.925,0.92,0.93,0.6431,0.4279,-0.4279
0.935,0.93,0.94,0.6477,0.4294,-0.4294
0.945,0.94,0.95,0.6513,0.4299,-0.4299
0.955,0.95,0.96,0.6537,0.4293,-0.4293
0.965,0.96,0.97,0.6551,0.4275,-0.4275
0.975,0.97,0.98,0.6552,0.4247,-0.4247
0.985,0.98,0.99,0.6541,0.4206,-0.4206
0.995,0.99,1.0,0.6519,0.4153,-0.4153
1.005,1.0,1.01,0.6483,0.4088,-0.4088
1.0150000000000001,1.01,1.02,0.6435,0.4009,-0.4009
1.025,1.02,1.03,0.6375,0.3916,-0.3916
1.0350000000000001,1.03,1.04,0.6303,0.381,-0.381
1.045,1.04,1.05,0.6219,0.3688,-0.3688
1.0550000000000002,1.05,1.06,0.6123,0.355,-0.355
1.065,1.06,1.07,0.6017,0.3396,-0.3396
1.0750000000000002,1.07,1.08,0.5901,0.3226,-0.3226
