#: table_doi: 10.17182/hepdata.74824.v1/t138
#: name: Table 138
#: description: D0 wave cross section for -T.

#: data_file: Table138.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0891,0.041,-0.041
0.415,0.41,0.42,0.0878,0.0427,-0.0427
0.425,0.42,0.43,0.0867,0.0445,-0.0445
0.435,0.43,0.44,0.0859,0.0463,-0.0463
0.445,0.44,0.45,0.0853,0.048,-0.048
0.455,0.45,0.46,0.0849,0.0498,-0.0498
0.46499999999999997,0.46,0.47,0.0848,0.0515,-0.0515
0.475,0.47,0.48,0.0848,0.0532,-0.0532
0.485,0.48,0.49,0.0851,0.0548,-0.0548
0.495,0.49,0.5,0.0855,0.0563,-0.0563
0.505,0.5,0.51,0.0862,0.0577,-0.0577
0.515,0.51,0.52,0.087,0.0592,-0.0592
0.525,0.52,0.53,0.0879,0.0605,-0.0605
0.535,0.53,0.54,0.089,0.0619,-0.0619
0.545,0.54,0.55,0.0903,0.0632,-0.0632
0.555,0.55,0.56,0.0917,0.0644,-0.0644
0.565,0.56,0.57,0.0932,0.0657,-0.0657
0.575,0.57,0.58,0.0949,0.0669,-0.0669
0.585,0.58,0.59,0.0967,0.0682,-0.0682
0.595,0.59,0.6,0.0986,0.0694,-0.0694
0.605,0.6,0.61,0.1006,0.0706,-0.0706
0.615,0.61,0.62,0.1027,0.0718,-0.0718
0.625,0.62,0.63,0.1049,0.073,-0.073
0.635,0.63,0.64,0.1072,0.0742,-0.0742
0.645,0.64,0.65,0.1095,0.0754,-0.0754
0.655,0.65,0.66,0.112,0.0766,-0.0766
0.665,0.66,0.67,0.1145,0.0778,-0.0778
0.675,0.67,0.68,0.117,0.0789,-0.0789
0.685,0.68,0.69,0.1196,0.0801,-0.0801
0.695,0.69,0.7,0.1223,0.0812,-0.0812
0.705,0.7,0.71,0.125,0.0823,-0.0823
0.715,0.71,0.72,0.1278,0.0834,-0.0834
0.725,0.72,0.73,0.1306,0.0845,-0.0845
0.735,0.73,0.74,0.1334,0.0855,-0.0855
0.745,0.74,0.75,0.1362,0.0866,-0.0866
0.755,0.75,0.76,0.1391,0.0876,-0.0876
0.765,0.76,0.77,0.142,0.0886,-0.0886
0.775,0.77,0.78,0.1449,0.0896,-0.0896
0.785,0.78,0.79,0.1477,0.0906,-0.0906
0.795,0.79,0.8,0.1507,0.0915,-0.0915
0.805,0.8,0.81,0.1536,0.0925,-0.0925
0.815,0.81,0.82,0.1565,0.0935,-0.0935
0.825,0.82,0.83,0.1593,0.0944,-0.0944
0.835,0.83,0.84,0.1622,0.0954,-0.0954
0.845,0.84,0.85,0.1651,0.0964,-0.0964
0.855,0.85,0.86,0.168,0.0974,-0.0974
0.865,0.86,0.87,0.1708,0.0984,-0.0984
0.875,0.87,0.88,0.1737,0.0995,-0.0995
0.885,0.88,0.89,0.1765,0.1005,-0.1005
0.895,0.89,0.9,0.1793,0.1017,-0.1017
0.905,0.9,0.91,0.1821,0.1028,-0.1028
0.915,0.91,0.92,0.1849,0.104,-0.104
0.925,0.92,0.93,0.1877,0.1052,-0.1052
0.935,0.93,0.94,0.1905,0.1064,-0.1064
0.945,0.94,0.95,0.1933,0.1077,-0.1077
0.955,0.95,0.96,0.1961,0.109,-0.109
0.965,0.96,0.97,0.199,0.1104,-0.1104
0.975,0.97,0.98,0.2018,0.1117,-0.1117
0.985,0.98,0.99,0.2048,0.1131,-0.1131
0.995,0.99,1.0,0.2078,0.1145,-0.1145
1.005,1.0,1.01,0.211,0.116,-0.116
1.0150000000000001,1.01,1.02,0.2142,0.1174,-0.1174
1.025,1.02,1.03,0.2177,0.1188,-0.1188
1.0350000000000001,1.03,1.04,0.2214,0.1203,-0.1203
1.045,1.04,1.05,0.2254,0.1217,-0.1217
1.0550000000000002,1.05,1.06,0.2298,0.1232,-0.1232
1.065,1.06,1.07,0.2346,0.1246,-0.1246
1.0750000000000002,1.07,1.08,0.2399,0.1261,-0.1261
1.085,1.08,1.09,0.2459,0.1275,-0.1275
1.0950000000000002,1.09,1.1,0.2527,0.129,-0.129
1.105,1.1,1.11,0.2604,0.1305,-0.1305
1.1150000000000002,1.11,1.12,0.2692,0.1321,-0.1321
1.125,1.12,1.13,0.2792,0.1336,-0.1336
1.1349999999999998,1.13,1.14,0.2908,0.1352,-0.1352
1.145,1.14,1.15,0.304,0.1368,-0.1368
1.1549999999999998,1.15,1.16,0.3191,0.1385,-0.1385
1.165,1.16,1.17,0.3362,0.1401,-0.1401
1.1749999999999998,1.17,1.18,0.3555,0.1416,-0.1416
1.185,1.18,1.19,0.3768,0.1431,-0.1431
1.1949999999999998,1.19,1.2,0.3999,0.1445,-0.1445
1.205,1.2,1.21,0.4242,0.1457,-0.1457
1.2149999999999999,1.21,1.22,0.4486,0.1468,-0.1468
1.225,1.22,1.23,0.4715,0.1482,-0.1482
1.2349999999999999,1.23,1.24,0.4907,0.1499,-0.1499
1.245,1.24,1.25,0.5034,0.1526,-0.1526
1.255,1.25,1.26,0.5069,0.1564,-0.1564
1.2650000000000001,1.26,1.27,0.4991,0.1612,-0.1612
1.275,1.27,1.28,0.4788,0.1664,-0.1664
1.2850000000000001,1.28,1.29,0.4468,0.1709,-0.1709
1.295,1.29,1.3,0.4053,0.1736,-0.1736
1.3050000000000002,1.3,1.31,0.3573,0.1737,-0.1737
1.315,1.31,1.32,0.3066,0.1707,-0.1707
1.3250000000000002,1.32,1.33,0.2563,0.1646,-0.1646
1.335,1.33,1.34,0.2089,0.1558,-0.1558
1.3450000000000002,1.34,1.35,0.166,0.1448,-0.1448
1.355,1.35,1.36,0.1287,0.1324,-0.1324
1.3650000000000002,1.36,1.37,0.0975,0.1191,-0.1191
1.375,1.37,1.38,0.0725,0.1059,-0.1059
1.3849999999999998,1.38,1.39,0.0537,0.0937,-0.0937
1.395,1.39,1.4,0.0412,0.0843,-0.0843

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0408,0.024,-0.024
0.415,0.41,0.42,0.044,0.0243,-0.0243
0.425,0.42,0.43,0.0477,0.0247,-0.0247
0.435,0.43,0.44,0.0517,0.0255,-0.0255
0.445,0.44,0.45,0.056,0.0264,-0.0264
0.455,0.45,0.46,0.0605,0.0276,-0.0276
0.46499999999999997,0.46,0.47,0.0651,0.029,-0.029
0.475,0.47,0.48,0.0697,0.0304,-0.0304
0.485,0.48,0.49,0.0743,0.032,-0.032
0.495,0.49,0.5,0.0789,0.0335,-0.0335
0.505,0.5,0.51,0.0833,0.0352,-0.0352
0.515,0.51,0.52,0.0876,0.0368,-0.0368
0.525,0.52,0.53,0.0917,0.0383,-0.0383
0.535,0.53,0.54,0.0955,0.0398,-0.0398
0.545,0.54,0.55,0.0992,0.0413,-0.0413
0.555,0.55,0.56,0.1025,0.0426,-0.0426
0.565,0.56,0.57,0.1056,0.0439,-0.0439
0.575,0.57,0.58,0.1085,0.0451,-0.0451
0.585,0.58,0.59,0.111,0.0462,-0.0462
0.595,0.59,0.6,0.1132,0.0471,-0.0471
0.605,0.6,0.61,0.1152,0.0481,-0.0481
0.615,0.61,0.62,0.1168,0.0489,-0.0489
0.625,0.62,0.63,0.1182,0.0496,-0.0496
0.635,0.63,0.64,0.1193,0.0503,-0.0503
0.645,0.64,0.65,0.1201,0.051,-0.051
0.655,0.65,0.66,0.1207,0.0516,-0.0516
0.665,0.66,0.67,0.1211,0.0522,-0.0522
0.675,0.67,0.68,0.1213,0.0528,-0.0528
0.685,0.68,0.69,0.1212,0.0535,-0.0535
0.695,0.69,0.7,0.121,0.0541,-0.0541
0.705,0.7,0.71,0.1207,0.0549,-0.0549
0.715,0.71,0.72,0.1202,0.0557,-0.0557
0.725,0.72,0.73,0.1197,0.0566,-0.0566
0.735,0.73,0.74,0.119,0.0576,-0.0576
0.745,0.74,0.75,0.1183,0.0587,-0.0587
0.755,0.75,0.76,0.1176,0.0599,-0.0599
0.765,0.76,0.77,0.1169,0.0612,-0.0612
0.775,0.77,0.78,0.1161,0.0626,-0.0626
0.785,0.78,0.79,0.1154,0.0641,-0.0641
0.795,0.79,0.8,0.1148,0.0658,-0.0658
0.805,0.8,0.81,0.1142,0.0675,-0.0675
0.815,0.81,0.82,0.1137,0.0693,-0.0693
0.825,0.82,0.83,0.1133,0.0711,-0.0711
0.835,0.83,0.84,0.113,0.073,-0.073
0.845,0.84,0.85,0.1128,0.0749,-0.0749
0.855,0.85,0.86,0.1128,0.0769,-0.0769
0.865,0.86,0.87,0.1129,0.0788,-0.0788
0.875,0.87,0.88,0.1131,0.0808,-0.0808
0.885,0.88,0.89,0.1135,0.0827,-0.0827
0.895,0.89,0.9,0.114,0.0845,-0.0845
0.905,0.9,0.91,0.1146,0.0864,-0.0864
0.915,0.91,0.92,0.1153,0.0881,-0.0881
0.925,0.92,0.93,0.1162,0.0898,-0.0898
0.935,0.93,0.94,0.1171,0.0914,-0.0914
0.945,0.94,0.95,0.1182,0.093,-0.093
0.955,0.95,0.96,0.1193,0.0944,-0.0944
0.965,0.96,0.97,0.1205,0.0958,-0.0958
0.975,0.97,0.98,0.1217,0.097,-0.097
0.985,0.98,0.99,0.123,0.0982,-0.0982
0.995,0.99,1.0,0.1243,0.0992,-0.0992
