#: table_doi: 10.17182/hepdata.74824.v1/t158
#: name: Table 158
#: description: F0 wave cross section for -T.

#: data_file: Table158.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0527,0.0689,-0.0689
0.415,0.41,0.42,0.0609,0.0795,-0.0795
0.425,0.42,0.43,0.0693,0.0905,-0.0905
0.435,0.43,0.44,0.078,0.1019,-0.1019
0.445,0.44,0.45,0.0869,0.1134,-0.1134
0.455,0.45,0.46,0.0959,0.1251,-0.1251
0.46499999999999997,0.46,0.47,0.105,0.137,-0.137
0.475,0.47,0.48,0.1142,0.1488,-0.1488
0.485,0.48,0.49,0.1234,0.1607,-0.1607
0.495,0.49,0.5,0.1325,0.1725,-0.1725
0.505,0.5,0.51,0.1416,0.1842,-0.1842
0.515,0.51,0.52,0.1506,0.1958,-0.1958
0.525,0.52,0.53,0.1595,0.2072,-0.2072
0.535,0.53,0.54,0.1683,0.2184,-0.2184
0.545,0.54,0.55,0.1769,0.2294,-0.2294
0.555,0.55,0.56,0.1853,0.2401,-0.2401
0.565,0.56,0.57,0.1935,0.2505,-0.2505
0.575,0.57,0.58,0.2015,0.2607,-0.2607
0.585,0.58,0.59,0.2093,0.2705,-0.2705
0.595,0.59,0.6,0.2169,0.2799,-0.2799
0.605,0.6,0.61,0.2242,0.289,-0.289
0.615,0.61,0.62,0.2313,0.2978,-0.2978
0.625,0.62,0.63,0.2381,0.3061,-0.3061
0.635,0.63,0.64,0.2447,0.3141,-0.3141
0.645,0.64,0.65,0.251,0.3217,-0.3217
0.655,0.65,0.66,0.257,0.3289,-0.3289
0.665,0.66,0.67,0.2627,0.3356,-0.3356
0.675,0.67,0.68,0.2681,0.3419,-0.3419
0.685,0.68,0.69,0.2733,0.3478,-0.3478
0.695,0.69,0.7,0.2781,0.3533,-0.3533
0.705,0.7,0.71,0.2827,0.3583,-0.3583
0.715,0.71,0.72,0.287,0.3629,-0.3629
0.725,0.72,0.73,0.291,0.3671,-0.3671
0.735,0.73,0.74,0.2948,0.3708,-0.3708
0.745,0.74,0.75,0.2982,0.3741,-0.3741
0.755,0.75,0.76,0.3014,0.3769,-0.3769
0.765,0.76,0.77,0.3043,0.3793,-0.3793
0.775,0.77,0.78,0.3069,0.3812,-0.3812
0.785,0.78,0.79,0.3092,0.3828,-0.3828
0.795,0.79,0.8,0.3113,0.3838,-0.3838
0.805,0.8,0.81,0.3131,0.3845,-0.3845
0.815,0.81,0.82,0.3146,0.3847,-0.3847
0.825,0.82,0.83,0.3159,0.3845,-0.3845
0.835,0.83,0.84,0.317,0.3839,-0.3839
0.845,0.84,0.85,0.3178,0.3829,-0.3829
0.855,0.85,0.86,0.3184,0.3814,-0.3814
