#: table_doi: 10.17182/hepdata.74824.v1/t100
#: name: Table 100
#: description: P wave cross section for -T.

#: data_file: Table100.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2128,0.0532,-0.0532
0.415,0.41,0.42,0.2318,0.0573,-0.0573
0.425,0.42,0.43,0.2518,0.0617,-0.0617
0.435,0.43,0.44,0.2732,0.0663,-0.0663
0.445,0.44,0.45,0.2961,0.0713,-0.0713
0.455,0.45,0.46,0.3209,0.0768,-0.0768
0.46499999999999997,0.46,0.47,0.3479,0.0827,-0.0827
0.475,0.47,0.48,0.3775,0.0892,-0.0892
0.485,0.48,0.49,0.4102,0.0964,-0.0964
0.495,0.49,0.5,0.4465,0.1042,-0.1042
0.505,0.5,0.51,0.487,0.1126,-0.1126
0.515,0.51,0.52,0.5324,0.1218,-0.1218
0.525,0.52,0.53,0.5835,0.1318,-0.1318
0.535,0.53,0.54,0.6413,0.1425,-0.1425
0.545,0.54,0.55,0.7069,0.154,-0.154
0.555,0.55,0.56,0.7817,0.1664,-0.1664
0.565,0.56,0.57,0.8672,0.1797,-0.1797
0.575,0.57,0.58,0.9654,0.1941,-0.1941
0.585,0.58,0.59,1.0785,0.2097,-0.2097
0.595,0.59,0.6,1.2092,0.2267,-0.2267
0.605,0.6,0.61,1.3608,0.2454,-0.2454
0.615,0.61,0.62,1.5371,0.2662,-0.2662
0.625,0.62,0.63,1.7428,0.2895,-0.2895
0.635,0.63,0.64,1.9834,0.3159,-0.3159
0.645,0.64,0.65,2.2652,0.3462,-0.3462
0.655,0.65,0.66,2.5954,0.3811,-0.3811
0.665,0.66,0.67,2.9818,0.4217,-0.4217
0.675,0.67,0.68,3.4318,0.4689,-0.4689
0.685,0.68,0.69,3.951,0.5236,-0.5236
0.695,0.69,0.7,4.5406,0.586,-0.586
0.705,0.7,0.71,5.1926,0.6556,-0.6556
0.715,0.71,0.72,5.8846,0.73,-0.73
0.725,0.72,0.73,6.5734,0.8046,-0.8046
0.735,0.73,0.74,7.1934,0.8722,-0.8722
0.745,0.74,0.75,7.6637,0.924,-0.924
0.755,0.75,0.76,7.9085,0.9517,-0.9517
0.765,0.76,0.77,7.8847,0.9505,-0.9505
0.775,0.77,0.78,7.6003,0.9215,-0.9215
0.785,0.78,0.79,7.1104,0.8709,-0.8709
0.795,0.79,0.8,6.4947,0.8076,-0.8076
0.805,0.8,0.81,5.8302,0.7401,-0.7401
0.815,0.81,0.82,5.176,0.6747,-0.6747
0.825,0.82,0.83,4.5685,0.6152,-0.6152
0.835,0.83,0.84,4.0252,0.5631,-0.5631
0.845,0.84,0.85,3.5511,0.5186,-0.5186
0.855,0.85,0.86,3.1438,0.481,-0.481
0.865,0.86,0.87,2.7972,0.4493,-0.4493
0.875,0.87,0.88,2.504,0.4225,-0.4225
0.885,0.88,0.89,2.2567,0.3995,-0.3995
0.895,0.89,0.9,2.0485,0.3795,-0.3795
0.905,0.9,0.91,1.8735,0.3619,-0.3619
0.915,0.91,0.92,1.7265,0.3461,-0.3461
0.925,0.92,0.93,1.6032,0.3317,-0.3317
0.935,0.93,0.94,1.4998,0.3185,-0.3185
0.945,0.94,0.95,1.4134,0.3063,-0.3063
0.955,0.95,0.96,1.3413,0.295,-0.295
0.965,0.96,0.97,1.2813,0.2845,-0.2845
0.975,0.97,0.98,1.2316,0.2748,-0.2748
0.985,0.98,0.99,1.1907,0.266,-0.266
0.995,0.99,1.0,1.1571,0.258,-0.258
1.005,1.0,1.01,1.1299,0.2511,-0.2511
1.0150000000000001,1.01,1.02,1.1078,0.2451,-0.2451
1.025,1.02,1.03,1.0902,0.2403,-0.2403
1.0350000000000001,1.03,1.04,1.0762,0.2366,-0.2366
1.045,1.04,1.05,1.0651,0.2341,-0.2341
1.0550000000000002,1.05,1.06,1.0564,0.2327,-0.2327
1.065,1.06,1.07,1.0494,0.2325,-0.2325
1.0750000000000002,1.07,1.08,1.0438,0.2332,-0.2332
1.085,1.08,1.09,1.0391,0.2349,-0.2349
1.0950000000000002,1.09,1.1,1.035,0.2373,-0.2373
1.105,1.1,1.11,1.0309,0.2404,-0.2404
1.1150000000000002,1.11,1.12,1.0267,0.244,-0.244
1.125,1.12,1.13,1.0221,0.248,-0.248
1.1349999999999998,1.13,1.14,1.0168,0.2521,-0.2521
1.145,1.14,1.15,1.0105,0.2563,-0.2563
1.1549999999999998,1.15,1.16,1.0032,0.2604,-0.2604
1.165,1.16,1.17,0.9946,0.2644,-0.2644
1.1749999999999998,1.17,1.18,0.9846,0.2682,-0.2682
1.185,1.18,1.19,0.9731,0.2717,-0.2717
1.1949999999999998,1.19,1.2,0.9601,0.2748,-0.2748
1.205,1.2,1.21,0.9455,0.2777,-0.2777
1.2149999999999999,1.21,1.22,0.9294,0.2803,-0.2803
1.225,1.22,1.23,0.9117,0.2826,-0.2826
1.2349999999999999,1.23,1.24,0.8927,0.2847,-0.2847
