#: table_doi: 10.17182/hepdata.74824.v1/t101
#: name: Table 101
#: description: P wave cross section for -T.

#: data_file: Table101.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2641,0.0762,-0.0762
0.415,0.41,0.42,0.2873,0.0826,-0.0826
0.425,0.42,0.43,0.3115,0.0893,-0.0893
0.435,0.43,0.44,0.3369,0.0964,-0.0964
0.445,0.44,0.45,0.3636,0.1038,-0.1038
0.455,0.45,0.46,0.3919,0.1116,-0.1116
0.46499999999999997,0.46,0.47,0.4221,0.1198,-0.1198
0.475,0.47,0.48,0.4545,0.1283,-0.1283
0.485,0.48,0.49,0.4894,0.1373,-0.1373
0.495,0.49,0.5,0.5273,0.1467,-0.1467
0.505,0.5,0.51,0.5686,0.1564,-0.1564
0.515,0.51,0.52,0.6139,0.1666,-0.1666
0.525,0.52,0.53,0.6637,0.1773,-0.1773
0.535,0.53,0.54,0.7189,0.1883,-0.1883
0.545,0.54,0.55,0.7803,0.1998,-0.1998
0.555,0.55,0.56,0.8489,0.2118,-0.2118
0.565,0.56,0.57,0.9258,0.2243,-0.2243
0.575,0.57,0.58,1.0125,0.2373,-0.2373
0.585,0.58,0.59,1.1105,0.251,-0.251
0.595,0.59,0.6,1.2218,0.2654,-0.2654
0.605,0.6,0.61,1.3487,0.2807,-0.2807
0.615,0.61,0.62,1.4938,0.297,-0.297
0.625,0.62,0.63,1.6603,0.3146,-0.3146
0.635,0.63,0.64,1.8518,0.3338,-0.3338
0.645,0.64,0.65,2.0723,0.3551,-0.3551
0.655,0.65,0.66,2.3262,0.3787,-0.3787
0.665,0.66,0.67,2.6179,0.4054,-0.4054
0.675,0.67,0.68,2.951,0.4356,-0.4356
0.685,0.68,0.69,3.3273,0.4697,-0.4697
0.695,0.69,0.7,3.7444,0.5079,-0.5079
0.705,0.7,0.71,4.1928,0.5496,-0.5496
0.715,0.71,0.72,4.652,0.5931,-0.5931
0.725,0.72,0.73,5.0872,0.6352,-0.6352
0.735,0.73,0.74,5.4493,0.6711,-0.6711
0.745,0.74,0.75,5.6823,0.6949,-0.6949
0.755,0.75,0.76,5.7389,0.7015,-0.7015
0.765,0.76,0.77,5.5994,0.6884,-0.6884
0.775,0.77,0.78,5.2823,0.6574,-0.6574
0.785,0.78,0.79,4.8367,0.6134,-0.6134
0.795,0.79,0.8,4.3247,0.563,-0.563
0.805,0.8,0.81,3.8017,0.5122,-0.5122
0.815,0.81,0.82,3.3067,0.4651,-0.4651
0.825,0.82,0.83,2.8615,0.424,-0.424
0.835,0.83,0.84,2.4743,0.3895,-0.3895
0.845,0.84,0.85,2.145,0.3612,-0.3612
0.855,0.85,0.86,1.869,0.3382,-0.3382
0.865,0.86,0.87,1.64,0.3196,-0.3196
0.875,0.87,0.88,1.4511,0.3043,-0.3043
0.885,0.88,0.89,1.2961,0.2915,-0.2915
0.895,0.89,0.9,1.1694,0.2805,-0.2805
0.905,0.9,0.91,1.0664,0.2708,-0.2708
0.915,0.91,0.92,0.9831,0.2621,-0.2621
0.925,0.92,0.93,0.9163,0.2541,-0.2541
0.935,0.93,0.94,0.8631,0.2467,-0.2467
0.945,0.94,0.95,0.8214,0.2397,-0.2397
0.955,0.95,0.96,0.7892,0.2333,-0.2333
0.965,0.96,0.97,0.7651,0.2273,-0.2273
0.975,0.97,0.98,0.7477,0.2219,-0.2219
0.985,0.98,0.99,0.736,0.2172,-0.2172
0.995,0.99,1.0,0.729,0.2132,-0.2132
1.005,1.0,1.01,0.7259,0.21,-0.21
1.0150000000000001,1.01,1.02,0.726,0.2077,-0.2077
1.025,1.02,1.03,0.7287,0.2064,-0.2064
1.0350000000000001,1.03,1.04,0.7336,0.2061,-0.2061
1.045,1.04,1.05,0.7401,0.2068,-0.2068
1.0550000000000002,1.05,1.06,0.7478,0.2085,-0.2085
1.065,1.06,1.07,0.7563,0.2111,-0.2111
1.0750000000000002,1.07,1.08,0.7654,0.2146,-0.2146
1.085,1.08,1.09,0.7747,0.2188,-0.2188
1.0950000000000002,1.09,1.1,0.784,0.2237,-0.2237
1.105,1.1,1.11,0.7929,0.2291,-0.2291
1.1150000000000002,1.11,1.12,0.8014,0.2349,-0.2349
1.125,1.12,1.13,0.8091,0.241,-0.241
1.1349999999999998,1.13,1.14,0.816,0.2472,-0.2472
1.145,1.14,1.15,0.8217,0.2534,-0.2534
1.1549999999999998,1.15,1.16,0.8263,0.2596,-0.2596
