#: table_doi: 10.17182/hepdata.74824.v1/t115
#: name: Table 115
#: description: Pp wave cross section for -T.

#: data_file: Table115.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
1.395,1.39,1.4,0.2193,0.1778,-0.1778

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2315,0.1746,-0.1746
0.415,0.41,0.42,0.2572,0.1874,-0.1874
0.425,0.42,0.43,0.2854,0.2007,-0.2007
0.435,0.43,0.44,0.3166,0.2147,-0.2147
0.445,0.44,0.45,0.3514,0.2295,-0.2295
0.455,0.45,0.46,0.3905,0.2453,-0.2453
0.46499999999999997,0.46,0.47,0.4343,0.2622,-0.2622
0.475,0.47,0.48,0.484,0.2805,-0.2805
0.485,0.48,0.49,0.5402,0.3003,-0.3003
0.495,0.49,0.5,0.6044,0.3219,-0.3219
0.505,0.5,0.51,0.6776,0.3456,-0.3456
0.515,0.51,0.52,0.7615,0.3717,-0.3717
0.525,0.52,0.53,0.858,0.4005,-0.4005
0.535,0.53,0.54,0.9692,0.4324,-0.4324
0.545,0.54,0.55,1.0978,0.4679,-0.4679
0.555,0.55,0.56,1.2467,0.5075,-0.5075
0.565,0.56,0.57,1.4199,0.5518,-0.5518
0.575,0.57,0.58,1.6216,0.6014,-0.6014
0.585,0.58,0.59,1.8574,0.6574,-0.6574
0.595,0.59,0.6,2.1339,0.7205,-0.7205
0.605,0.6,0.61,2.459,0.7919,-0.7919
0.615,0.61,0.62,2.8423,0.8731,-0.8731
0.625,0.62,0.63,3.2957,0.9655,-0.9655
0.635,0.63,0.64,3.833,1.0709,-1.0709
0.645,0.64,0.65,4.4709,1.1915,-1.1915
0.655,0.65,0.66,5.2286,1.3294,-1.3294
0.665,0.66,0.67,6.1273,1.487,-1.487
0.675,0.67,0.68,7.1886,1.666,-1.666
0.685,0.68,0.69,8.4313,1.8674,-1.8674
0.695,0.69,0.7,9.8645,2.0903,-2.0903
0.705,0.7,0.71,11.4776,2.33,-2.33
0.715,0.71,0.72,13.2246,2.5763,-2.5763
0.725,0.72,0.73,15.0085,2.8118,-2.8118
0.735,0.73,0.74,16.6728,3.0115,-3.0115
0.745,0.74,0.75,18.0157,3.1467,-3.1467
0.755,0.75,0.76,18.8373,3.1928,-3.1928
0.765,0.76,0.77,19.0081,3.1385,-3.1385
0.775,0.77,0.78,18.5208,2.9919,-2.9919
0.785,0.78,0.79,17.4895,2.7769,-2.7769
0.795,0.79,0.8,16.0982,2.5242,-2.5242
0.805,0.8,0.81,14.5357,2.2616,-2.2616
0.815,0.81,0.82,12.9527,2.0093,-2.0093
0.825,0.82,0.83,11.4475,1.7784,-1.7784
0.835,0.83,0.84,10.0726,1.5736,-1.5736
0.845,0.84,0.85,8.8479,1.3951,-1.3951
0.855,0.85,0.86,7.7735,1.241,-1.241
0.865,0.86,0.87,6.8393,1.1084,-1.1084
0.875,0.87,0.88,6.0302,0.9942,-0.9942
0.885,0.88,0.89,5.3306,0.8955,-0.8955
0.895,0.89,0.9,4.7254,0.8098,-0.8098
0.905,0.9,0.91,4.201,0.7349,-0.7349
0.915,0.91,0.92,3.7454,0.6692,-0.6692
0.925,0.92,0.93,3.3486,0.6112,-0.6112
0.935,0.93,0.94,3.002,0.5598,-0.5598
0.945,0.94,0.95,2.6982,0.514,-0.514
0.955,0.95,0.96,2.4313,0.4731,-0.4731
0.965,0.96,0.97,2.196,0.4366,-0.4366
0.975,0.97,0.98,1.9881,0.4039,-0.4039
0.985,0.98,0.99,1.8039,0.3747,-0.3747
0.995,0.99,1.0,1.6403,0.3487,-0.3487
