Mpipi     YLM       dYLM      
0.405     0.035     0.006     
0.415     0.040     0.007     
0.425     0.046     0.007     
0.435     0.054     0.007     
0.445     0.064     0.008     
0.455     0.076     0.008     
0.465     0.090     0.009     
0.475     0.104     0.009     
0.485     0.120     0.009     
0.495     0.136     0.010     
0.505     0.150     0.009     
0.515     0.163     0.009     
0.525     0.173     0.009     
0.535     0.180     0.009     
0.545     0.186     0.009     
0.555     0.191     0.009     
0.565     0.196     0.009     
0.575     0.200     0.009     
0.585     0.206     0.010     
0.595     0.214     0.010     
0.605     0.223     0.011     
0.615     0.233     0.012     
0.625     0.247     0.012     
0.635     0.264     0.013     
0.645     0.284     0.014     
0.655     0.307     0.014     
0.665     0.335     0.015     
0.675     0.368     0.015     
0.685     0.406     0.015     
0.695     0.448     0.015     
0.705     0.492     0.015     
0.715     0.538     0.015     
0.725     0.580     0.015     
0.735     0.612     0.016     
0.745     0.626     0.018     
0.755     0.618     0.021     
0.765     0.582     0.024     
0.775     0.523     0.027     
0.785     0.451     0.028     
0.795     0.371     0.027     
0.805     0.295     0.026     
0.815     0.226     0.024     
0.825     0.167     0.022     
0.835     0.119     0.020     
0.845     0.080     0.018     
0.855     0.050     0.016     
0.865     0.025     0.015     
0.875     0.005     0.014     
0.885     -0.009    0.013     
0.895     -0.021    0.013     
0.905     -0.030    0.013     
0.915     -0.037    0.013     
0.925     -0.043    0.013     
0.935     -0.047    0.013     
0.945     -0.051    0.013     
0.955     -0.054    0.014     
0.965     -0.057    0.014     
0.975     -0.059    0.014     
0.985     -0.061    0.015     
0.995     -0.061    0.016     
1.005     -0.061    0.016     
1.015     -0.061    0.017     
1.025     -0.062    0.017     
1.035     -0.063    0.017     
1.045     -0.064    0.016     
1.055     -0.065    0.016     
1.065     -0.065    0.016     
1.075     -0.067    0.016     
1.085     -0.066    0.016     
1.095     -0.067    0.016     
1.105     -0.067    0.017     
1.115     -0.067    0.017     
1.125     -0.067    0.017     
1.135     -0.068    0.017     
1.145     -0.068    0.017     
1.155     -0.069    0.017     
1.165     -0.061    0.017     
1.175     -0.062    0.018     
1.185     -0.063    0.018     
1.195     -0.065    0.019     
1.205     -0.067    0.020     
1.215     -0.069    0.021     
1.225     -0.072    0.021     
1.235     -0.070    0.023     
1.245     -0.073    0.023     
1.255     -0.077    0.024     
1.265     -0.080    0.025     
1.275     -0.076    0.026     
1.285     -0.076    0.026     
1.295     -0.075    0.026     
1.305     -0.073    0.026     
1.315     -0.068    0.025     
1.325     -0.063    0.025     
1.335     -0.064    0.023     
1.345     -0.059    0.022     
1.355     -0.053    0.022     
1.365     -0.048    0.021     
1.375     -0.044    0.021     
1.385     -0.041    0.021     
1.395     -0.037    0.021     
