Mpipi     YLM       dYLM      
0.405     -0.014    0.001     
0.415     -0.017    0.001     
0.425     -0.021    0.002     
0.435     -0.025    0.002     
0.445     -0.030    0.002     
0.455     -0.035    0.003     
0.465     -0.041    0.003     
0.475     -0.046    0.004     
0.485     -0.052    0.005     
0.495     -0.058    0.005     
0.505     -0.064    0.006     
0.515     -0.070    0.007     
0.525     -0.075    0.008     
0.535     -0.081    0.009     
0.545     -0.085    0.010     
0.555     -0.090    0.011     
0.565     -0.094    0.012     
0.575     -0.097    0.014     
0.585     -0.099    0.015     
0.595     -0.101    0.017     
0.605     -0.102    0.019     
0.615     -0.101    0.021     
0.625     -0.101    0.023     
0.635     -0.099    0.025     
0.645     -0.097    0.028     
0.655     -0.096    0.031     
0.665     -0.095    0.034     
0.675     -0.096    0.037     
0.685     -0.100    0.040     
0.695     -0.109    0.044     
0.705     -0.125    0.047     
0.715     -0.152    0.050     
0.725     -0.189    0.052     
0.735     -0.243    0.052     
0.745     -0.308    0.050     
0.755     -0.383    0.047     
0.765     -0.457    0.042     
0.775     -0.524    0.035     
0.785     -0.573    0.029     
0.795     -0.606    0.024     
0.805     -0.621    0.021     
0.815     -0.620    0.019     
0.825     -0.609    0.018     
0.835     -0.592    0.018     
0.845     -0.569    0.018     
0.855     -0.545    0.018     
0.865     -0.521    0.018     
0.875     -0.498    0.018     
0.885     -0.475    0.017     
0.895     -0.452    0.017     
0.905     -0.432    0.016     
0.915     -0.412    0.016     
0.925     -0.394    0.015     
0.935     -0.377    0.015     
0.945     -0.361    0.014     
0.955     -0.346    0.014     
0.965     -0.332    0.013     
0.975     -0.318    0.013     
0.985     -0.304    0.012     
0.995     -0.291    0.012     
1.005     -0.278    0.011     
1.015     -0.268    0.011     
1.025     -0.257    0.011     
1.035     -0.247    0.010     
1.045     -0.237    0.010     
1.055     -0.226    0.010     
1.065     -0.216    0.010     
1.075     -0.206    0.010     
1.085     -0.196    0.010     
1.095     -0.186    0.010     
1.105     -0.176    0.010     
1.115     -0.165    0.010     
1.125     -0.155    0.011     
1.135     -0.145    0.011     
1.145     -0.135    0.012     
1.155     -0.124    0.013     
1.165     -0.114    0.013     
1.175     -0.104    0.014     
1.185     -0.093    0.016     
1.195     -0.082    0.017     
1.205     -0.071    0.018     
1.215     -0.059    0.020     
1.225     -0.046    0.022     
1.235     -0.033    0.024     
1.245     -0.019    0.026     
1.255     -0.005    0.028     
1.265     0.009     0.030     
1.275     0.024     0.031     
1.285     0.037     0.032     
1.295     0.049     0.033     
1.305     0.060     0.033     
1.315     0.070     0.033     
1.325     0.077     0.032     
1.335     0.083     0.031     
1.345     0.088     0.030     
1.355     0.092     0.030     
1.365     0.095     0.029     
1.375     0.097     0.028     
1.385     0.099     0.027     
1.395     0.099     0.026     
