Mpipi     YLM       dYLM      
0.405     0.001     0.000     
0.415     0.001     0.000     
0.425     0.002     0.001     
0.435     0.002     0.001     
0.445     0.002     0.001     
0.455     0.002     0.001     
0.465     0.003     0.001     
0.475     0.003     0.001     
0.485     0.003     0.001     
0.495     0.004     0.002     
0.505     0.004     0.002     
0.515     0.005     0.002     
0.525     0.005     0.002     
0.535     0.005     0.003     
0.545     0.006     0.003     
0.555     0.006     0.003     
0.565     0.007     0.003     
0.575     0.007     0.004     
0.585     0.007     0.004     
0.595     0.008     0.005     
0.605     0.008     0.005     
0.615     0.008     0.005     
0.625     0.009     0.006     
0.635     0.009     0.006     
0.645     0.009     0.007     
0.655     0.010     0.008     
0.665     0.010     0.009     
0.675     0.010     0.009     
0.685     0.010     0.011     
0.695     0.009     0.012     
0.705     0.009     0.013     
0.715     0.007     0.014     
0.725     0.006     0.016     
0.735     0.003     0.018     
0.745     0.000     0.019     
0.755     -0.003    0.020     
0.765     -0.006    0.021     
0.775     -0.009    0.021     
0.785     -0.011    0.021     
0.795     -0.012    0.020     
0.805     -0.012    0.019     
0.815     -0.012    0.018     
0.825     -0.010    0.017     
0.835     -0.009    0.016     
0.845     -0.007    0.015     
0.855     -0.005    0.014     
0.865     -0.003    0.013     
0.875     -0.000    0.013     
0.885     0.002     0.012     
0.895     0.005     0.011     
0.905     0.007     0.011     
0.915     0.009     0.010     
0.925     0.012     0.010     
0.935     0.015     0.010     
0.945     0.017     0.009     
0.955     0.019     0.009     
0.965     0.022     0.009     
0.975     0.024     0.008     
0.985     0.026     0.008     
0.995     0.031     0.008     
1.005     0.036     0.007     
1.015     0.041     0.007     
1.025     0.046     0.007     
1.035     0.051     0.007     
1.045     0.056     0.008     
1.055     0.061     0.008     
1.065     0.066     0.008     
1.075     0.071     0.008     
1.085     0.076     0.009     
1.095     0.082     0.010     
1.105     0.088     0.010     
1.115     0.094     0.011     
1.125     0.101     0.012     
1.135     0.108     0.013     
1.145     0.116     0.015     
1.155     0.124     0.016     
1.165     0.133     0.018     
1.175     0.143     0.020     
1.185     0.154     0.023     
1.195     0.165     0.026     
1.205     0.178     0.029     
1.215     0.192     0.033     
1.225     0.206     0.037     
1.235     0.221     0.041     
1.245     0.237     0.045     
1.255     0.252     0.049     
1.265     0.267     0.052     
1.275     0.280     0.055     
1.285     0.290     0.056     
1.295     0.298     0.057     
1.305     0.303     0.056     
1.315     0.307     0.054     
1.325     0.310     0.052     
1.335     0.311     0.050     
1.345     0.313     0.047     
1.355     0.315     0.045     
1.365     0.317     0.042     
1.375     0.320     0.040     
1.385     0.324     0.039     
1.395     0.328     0.037     
