Mpipi     YLM       dYLM      
0.405     0.022     0.001     
0.415     0.023     0.001     
0.425     0.025     0.001     
0.435     0.027     0.001     
0.445     0.029     0.001     
0.455     0.032     0.002     
0.465     0.036     0.002     
0.475     0.039     0.002     
0.485     0.044     0.002     
0.495     0.048     0.003     
0.505     0.052     0.004     
0.515     0.055     0.004     
0.525     0.057     0.006     
0.535     0.058     0.007     
0.545     0.059     0.008     
0.555     0.059     0.009     
0.565     0.058     0.009     
0.575     0.058     0.010     
0.585     0.057     0.011     
0.595     0.056     0.012     
0.605     0.056     0.012     
0.615     0.056     0.013     
0.625     0.056     0.013     
0.635     0.056     0.014     
0.645     0.057     0.014     
0.655     0.059     0.015     
0.665     0.060     0.016     
0.675     0.063     0.017     
0.685     0.065     0.018     
0.695     0.068     0.020     
0.705     0.069     0.023     
0.715     0.071     0.026     
0.725     0.071     0.030     
0.735     0.070     0.034     
0.745     0.066     0.038     
0.755     0.059     0.042     
0.765     0.050     0.045     
0.775     0.040     0.047     
0.785     0.030     0.048     
0.795     0.021     0.047     
0.805     0.014     0.046     
0.815     0.009     0.044     
0.825     0.005     0.041     
0.835     0.002     0.039     
0.845     0.002     0.037     
0.855     0.002     0.035     
0.865     0.003     0.033     
0.875     0.005     0.031     
0.885     0.007     0.030     
0.895     0.007     0.029     
0.905     0.009     0.027     
0.915     0.012     0.026     
0.925     0.014     0.026     
0.935     0.014     0.025     
0.945     0.016     0.024     
0.955     0.018     0.024     
0.965     0.017     0.023     
0.975     0.018     0.022     
0.985     0.017     0.021     
0.995     0.021     0.020     
1.005     0.024     0.019     
1.015     0.026     0.019     
1.025     0.028     0.019     
1.035     0.031     0.019     
1.045     0.032     0.019     
1.055     0.031     0.019     
1.065     0.031     0.019     
1.075     0.030     0.020     
1.085     0.030     0.020     
1.095     0.029     0.020     
1.105     0.025     0.021     
1.115     0.026     0.022     
1.125     0.023     0.022     
1.135     0.018     0.023     
1.145     0.014     0.024     
1.155     0.008     0.025     
1.165     0.000     0.026     
1.175     -0.008    0.027     
1.185     -0.016    0.029     
1.195     -0.028    0.031     
1.205     -0.041    0.033     
1.215     -0.054    0.036     
1.225     -0.071    0.039     
1.235     -0.088    0.043     
1.245     -0.108    0.046     
1.255     -0.124    0.050     
1.265     -0.142    0.052     
1.275     -0.156    0.055     
1.285     -0.162    0.057     
1.295     -0.166    0.057     
1.305     -0.166    0.057     
1.315     -0.161    0.057     
1.325     -0.153    0.056     
1.335     -0.142    0.055     
1.345     -0.135    0.053     
1.355     -0.124    0.051     
1.365     -0.112    0.050     
1.375     -0.102    0.049     
1.385     -0.095    0.047     
1.395     -0.088    0.046     
