Mpipi     YLM       dYLM      
0.405     0.428     0.021     
0.415     0.459     0.022     
0.425     0.485     0.022     
0.435     0.515     0.023     
0.445     0.543     0.023     
0.455     0.577     0.024     
0.465     0.611     0.025     
0.475     0.642     0.025     
0.485     0.675     0.025     
0.495     0.710     0.026     
0.505     0.747     0.026     
0.515     0.787     0.026     
0.525     0.822     0.026     
0.535     0.863     0.026     
0.545     0.904     0.026     
0.555     0.953     0.026     
0.565     1.005     0.026     
0.575     1.060     0.026     
0.585     1.131     0.027     
0.595     1.208     0.027     
0.605     1.297     0.029     
0.615     1.401     0.031     
0.625     1.526     0.033     
0.635     1.677     0.037     
0.645     1.857     0.042     
0.655     2.075     0.048     
0.665     2.336     0.055     
0.675     2.649     0.064     
0.685     3.019     0.075     
0.695     3.461     0.087     
0.705     3.971     0.100     
0.715     4.542     0.115     
0.725     5.156     0.130     
0.735     5.756     0.145     
0.745     6.281     0.156     
0.755     6.649     0.164     
0.765     6.800     0.166     
0.775     6.716     0.161     
0.785     6.417     0.152     
0.795     5.972     0.140     
0.805     5.461     0.126     
0.815     4.928     0.113     
0.825     4.429     0.101     
0.835     3.976     0.090     
0.845     3.582     0.081     
0.855     3.243     0.073     
0.865     2.956     0.067     
0.875     2.711     0.062     
0.885     2.509     0.058     
0.895     2.338     0.055     
0.905     2.198     0.052     
0.915     2.083     0.050     
0.925     1.984     0.048     
0.935     1.906     0.048     
0.945     1.847     0.048     
0.955     1.791     0.049     
0.965     1.750     0.053     
0.975     1.723     0.058     
0.985     1.685     0.062     
0.995     1.654     0.059     
1.005     1.613     0.051     
1.015     1.584     0.045     
1.025     1.569     0.042     
1.035     1.560     0.039     
1.045     1.560     0.038     
1.055     1.559     0.038     
1.065     1.565     0.037     
1.075     1.575     0.037     
1.085     1.584     0.037     
1.095     1.590     0.037     
1.105     1.599     0.037     
1.115     1.621     0.037     
1.125     1.630     0.037     
1.135     1.651     0.037     
1.145     1.661     0.038     
1.155     1.686     0.038     
1.165     1.705     0.039     
1.175     1.733     0.040     
1.185     1.757     0.041     
1.195     1.792     0.042     
1.205     1.836     0.044     
1.215     1.873     0.047     
1.225     1.912     0.050     
1.235     1.950     0.054     
1.245     1.998     0.058     
1.255     2.028     0.062     
1.265     2.054     0.065     
1.275     2.071     0.067     
1.285     2.077     0.068     
1.295     2.048     0.068     
1.305     2.022     0.067     
1.315     1.972     0.064     
1.325     1.919     0.061     
1.335     1.869     0.060     
1.345     1.824     0.059     
1.355     1.782     0.061     
1.365     1.739     0.062     
1.375     1.714     0.067     
1.385     1.700     0.072     
1.395     1.691     0.079     
