Mpipi     YLM       dYLM      
0.405     -0.005    0.001     
0.415     -0.005    0.001     
0.425     -0.005    0.001     
0.435     -0.004    0.001     
0.445     -0.003    0.001     
0.455     -0.001    0.001     
0.465     0.001     0.001     
0.475     0.003     0.001     
0.485     0.006     0.001     
0.495     0.009     0.001     
0.505     0.013     0.001     
0.515     0.016     0.001     
0.525     0.020     0.001     
0.535     0.024     0.002     
0.545     0.028     0.002     
0.555     0.032     0.002     
0.565     0.037     0.003     
0.575     0.040     0.003     
0.585     0.044     0.004     
0.595     0.047     0.004     
0.605     0.050     0.005     
0.615     0.052     0.006     
0.625     0.054     0.007     
0.635     0.055     0.008     
0.645     0.055     0.009     
0.655     0.053     0.011     
0.665     0.052     0.012     
0.675     0.049     0.014     
0.685     0.044     0.016     
0.695     0.037     0.018     
0.705     0.027     0.020     
0.715     0.014     0.023     
0.725     -0.004    0.026     
0.735     -0.027    0.029     
0.745     -0.054    0.031     
0.755     -0.087    0.033     
0.765     -0.118    0.035     
0.775     -0.148    0.035     
0.785     -0.175    0.035     
0.795     -0.195    0.034     
0.805     -0.209    0.032     
0.815     -0.218    0.030     
0.825     -0.225    0.029     
0.835     -0.228    0.027     
0.845     -0.230    0.026     
0.855     -0.231    0.024     
0.865     -0.231    0.023     
0.875     -0.231    0.023     
0.885     -0.231    0.022     
0.895     -0.231    0.021     
0.905     -0.231    0.021     
0.915     -0.232    0.021     
0.925     -0.233    0.021     
0.935     -0.234    0.021     
0.945     -0.236    0.022     
0.955     -0.239    0.022     
0.965     -0.242    0.023     
0.975     -0.245    0.023     
0.985     -0.245    0.023     
0.995     -0.241    0.022     
1.005     -0.238    0.022     
1.015     -0.237    0.021     
1.025     -0.239    0.022     
1.035     -0.241    0.023     
1.045     -0.245    0.024     
1.055     -0.250    0.025     
1.065     -0.255    0.027     
1.075     -0.261    0.028     
1.085     -0.266    0.030     
1.095     -0.273    0.033     
1.105     -0.281    0.035     
1.115     -0.289    0.038     
1.125     -0.297    0.041     
1.135     -0.307    0.044     
1.145     -0.317    0.048     
1.155     -0.328    0.052     
1.165     -0.340    0.057     
1.175     -0.353    0.063     
1.185     -0.366    0.069     
1.195     -0.380    0.076     
1.205     -0.393    0.084     
1.215     -0.406    0.093     
1.225     -0.418    0.102     
1.235     -0.427    0.112     
1.245     -0.432    0.121     
1.255     -0.434    0.131     
1.265     -0.429    0.139     
1.275     -0.418    0.145     
1.285     -0.403    0.149     
1.295     -0.382    0.150     
1.305     -0.359    0.149     
1.315     -0.335    0.146     
1.325     -0.310    0.141     
1.335     -0.287    0.136     
1.345     -0.265    0.129     
1.355     -0.245    0.123     
1.365     -0.226    0.116     
1.375     -0.209    0.110     
1.385     -0.193    0.104     
1.395     -0.179    0.098     
