Mpipi     YLM       dYLM      
0.405     0.023     0.002     
0.415     0.029     0.002     
0.425     0.035     0.002     
0.435     0.042     0.002     
0.445     0.049     0.002     
0.455     0.057     0.002     
0.465     0.066     0.002     
0.475     0.076     0.002     
0.485     0.086     0.002     
0.495     0.097     0.002     
0.505     0.108     0.003     
0.515     0.119     0.003     
0.525     0.130     0.003     
0.535     0.142     0.003     
0.545     0.153     0.003     
0.555     0.163     0.003     
0.565     0.174     0.003     
0.575     0.184     0.004     
0.585     0.194     0.004     
0.595     0.203     0.005     
0.605     0.211     0.006     
0.615     0.219     0.007     
0.625     0.227     0.008     
0.635     0.233     0.009     
0.645     0.238     0.010     
0.655     0.241     0.012     
0.665     0.242     0.013     
0.675     0.239     0.015     
0.685     0.231     0.017     
0.695     0.215     0.020     
0.705     0.190     0.022     
0.715     0.153     0.024     
0.725     0.100     0.027     
0.735     0.031     0.028     
0.745     -0.054    0.029     
0.755     -0.148    0.029     
0.765     -0.243    0.028     
0.775     -0.328    0.025     
0.785     -0.395    0.022     
0.795     -0.442    0.019     
0.805     -0.469    0.015     
0.815     -0.478    0.013     
0.825     -0.477    0.012     
0.835     -0.467    0.011     
0.845     -0.453    0.011     
0.855     -0.435    0.012     
0.865     -0.417    0.013     
0.875     -0.398    0.014     
0.885     -0.380    0.015     
0.895     -0.362    0.016     
0.905     -0.345    0.017     
0.915     -0.330    0.018     
0.925     -0.315    0.019     
0.935     -0.301    0.020     
0.945     -0.289    0.021     
0.955     -0.277    0.022     
0.965     -0.265    0.023     
0.975     -0.250    0.025     
0.985     -0.229    0.027     
0.995     -0.202    0.029     
1.005     -0.177    0.030     
1.015     -0.159    0.030     
1.025     -0.146    0.029     
1.035     -0.134    0.029     
1.045     -0.123    0.029     
1.055     -0.113    0.030     
1.065     -0.102    0.030     
1.075     -0.092    0.030     
1.085     -0.081    0.030     
1.095     -0.072    0.030     
1.105     -0.062    0.031     
1.115     -0.051    0.031     
1.125     -0.042    0.031     
1.135     -0.031    0.031     
1.145     -0.022    0.032     
1.155     -0.012    0.032     
1.165     -0.004    0.032     
1.175     0.004     0.032     
1.185     0.011     0.032     
1.195     0.018     0.032     
1.205     0.023     0.032     
1.215     0.028     0.032     
1.225     0.031     0.032     
1.235     0.031     0.032     
1.245     0.030     0.032     
1.255     0.027     0.031     
1.265     0.021     0.031     
1.275     0.014     0.030     
1.285     0.006     0.030     
1.295     -0.003    0.029     
1.305     -0.012    0.028     
1.315     -0.019    0.028     
1.325     -0.027    0.027     
1.335     -0.033    0.027     
1.345     -0.037    0.026     
1.355     -0.041    0.026     
1.365     -0.045    0.026     
1.375     -0.046    0.026     
1.385     -0.048    0.026     
1.395     -0.049    0.026     
