Mpipi     YLM       dYLM      
0.405     0.015     0.008     
0.415     0.011     0.008     
0.425     0.006     0.009     
0.435     -0.001    0.009     
0.445     -0.010    0.010     
0.455     -0.022    0.010     
0.465     -0.035    0.011     
0.475     -0.051    0.011     
0.485     -0.069    0.012     
0.495     -0.089    0.012     
0.505     -0.111    0.013     
0.515     -0.133    0.013     
0.525     -0.157    0.014     
0.535     -0.181    0.015     
0.545     -0.206    0.015     
0.555     -0.232    0.016     
0.565     -0.260    0.016     
0.575     -0.288    0.017     
0.585     -0.318    0.017     
0.595     -0.349    0.017     
0.605     -0.381    0.018     
0.615     -0.414    0.018     
0.625     -0.449    0.019     
0.635     -0.484    0.020     
0.645     -0.519    0.021     
0.655     -0.556    0.022     
0.665     -0.593    0.024     
0.675     -0.631    0.026     
0.685     -0.669    0.028     
0.695     -0.707    0.031     
0.705     -0.744    0.034     
0.715     -0.779    0.037     
0.725     -0.809    0.040     
0.735     -0.830    0.043     
0.745     -0.840    0.045     
0.755     -0.833    0.046     
0.765     -0.808    0.046     
0.775     -0.769    0.045     
0.785     -0.718    0.043     
0.795     -0.663    0.041     
0.805     -0.608    0.039     
0.815     -0.557    0.037     
0.825     -0.509    0.035     
0.835     -0.466    0.033     
0.845     -0.429    0.031     
0.855     -0.395    0.029     
0.865     -0.363    0.028     
0.875     -0.335    0.027     
0.885     -0.309    0.026     
0.895     -0.285    0.025     
0.905     -0.262    0.025     
0.915     -0.240    0.025     
0.925     -0.220    0.025     
0.935     -0.201    0.026     
0.945     -0.183    0.028     
0.955     -0.169    0.029     
0.965     -0.159    0.031     
0.975     -0.155    0.033     
0.985     -0.154    0.033     
0.995     -0.147    0.032     
1.005     -0.128    0.030     
1.015     -0.103    0.027     
1.025     -0.080    0.024     
1.035     -0.060    0.021     
1.045     -0.043    0.019     
1.055     -0.029    0.018     
1.065     -0.017    0.017     
1.075     -0.006    0.017     
1.085     0.002     0.017     
1.095     0.008     0.017     
1.105     0.013     0.018     
1.115     0.015     0.018     
1.125     0.016     0.018     
1.135     0.015     0.019     
1.145     0.011     0.019     
1.155     0.007     0.020     
1.165     0.000     0.020     
1.175     -0.009    0.020     
1.185     -0.018    0.020     
1.195     -0.028    0.021     
1.205     -0.039    0.021     
1.215     -0.049    0.022     
1.225     -0.058    0.023     
1.235     -0.066    0.024     
1.245     -0.072    0.026     
1.255     -0.076    0.027     
1.265     -0.078    0.029     
1.275     -0.078    0.029     
1.285     -0.078    0.029     
1.295     -0.079    0.029     
1.305     -0.079    0.027     
1.315     -0.078    0.026     
1.325     -0.075    0.025     
1.335     -0.069    0.025     
1.345     -0.057    0.026     
1.355     -0.039    0.028     
1.365     -0.013    0.030     
1.375     0.019     0.033     
1.385     0.059     0.036     
1.395     0.103     0.039     
