Mpipi     YLM       dYLM      
0.405     0.298     0.014     
0.415     0.322     0.014     
0.425     0.351     0.015     
0.435     0.380     0.015     
0.445     0.410     0.016     
0.455     0.442     0.016     
0.465     0.477     0.016     
0.475     0.513     0.017     
0.485     0.548     0.017     
0.495     0.587     0.018     
0.505     0.628     0.018     
0.515     0.670     0.019     
0.525     0.714     0.019     
0.535     0.760     0.020     
0.545     0.807     0.021     
0.555     0.859     0.021     
0.565     0.913     0.022     
0.575     0.971     0.023     
0.585     1.034     0.025     
0.595     1.105     0.026     
0.605     1.184     0.028     
0.615     1.273     0.030     
0.625     1.378     0.032     
0.635     1.496     0.035     
0.645     1.637     0.039     
0.655     1.805     0.043     
0.665     2.004     0.049     
0.675     2.237     0.055     
0.685     2.516     0.062     
0.695     2.840     0.071     
0.705     3.212     0.082     
0.715     3.623     0.094     
0.725     4.055     0.107     
0.735     4.472     0.122     
0.745     4.821     0.136     
0.755     5.048     0.150     
0.765     5.109     0.159     
0.775     4.993     0.165     
0.785     4.727     0.164     
0.795     4.365     0.159     
0.805     3.960     0.150     
0.815     3.556     0.139     
0.825     3.179     0.127     
0.835     2.848     0.115     
0.845     2.563     0.102     
0.855     2.326     0.091     
0.865     2.128     0.080     
0.875     1.968     0.071     
0.885     1.840     0.063     
0.895     1.738     0.056     
0.905     1.659     0.052     
0.915     1.601     0.049     
0.925     1.561     0.050     
0.935     1.535     0.053     
0.945     1.525     0.059     
0.955     1.520     0.068     
0.965     1.511     0.080     
0.975     1.470     0.094     
0.985     1.345     0.100     
0.995     1.163     0.092     
1.005     1.032     0.074     
1.015     0.992     0.058     
1.025     1.000     0.048     
1.035     1.027     0.044     
1.045     1.060     0.042     
1.055     1.089     0.042     
1.065     1.127     0.042     
1.075     1.155     0.042     
1.085     1.181     0.042     
1.095     1.206     0.043     
1.105     1.237     0.042     
1.115     1.259     0.042     
1.125     1.288     0.041     
1.135     1.310     0.041     
1.145     1.338     0.040     
1.155     1.365     0.039     
1.165     1.395     0.039     
1.175     1.426     0.039     
1.185     1.466     0.040     
1.195     1.506     0.042     
1.205     1.551     0.044     
1.215     1.598     0.047     
1.225     1.651     0.051     
1.235     1.699     0.055     
1.245     1.751     0.060     
1.255     1.796     0.064     
1.265     1.831     0.068     
1.275     1.847     0.070     
1.285     1.847     0.070     
1.295     1.825     0.069     
1.305     1.786     0.067     
1.315     1.744     0.063     
1.325     1.692     0.061     
1.335     1.644     0.060     
1.345     1.599     0.062     
1.355     1.574     0.069     
1.365     1.553     0.079     
1.375     1.552     0.093     
1.385     1.557     0.109     
1.395     1.578     0.126     
