Mpipi     YLM       dYLM      
0.405     0.001     0.000     
0.415     0.002     0.000     
0.425     0.002     0.000     
0.435     0.002     0.000     
0.445     0.003     0.000     
0.455     0.004     0.000     
0.465     0.004     0.001     
0.475     0.005     0.001     
0.485     0.006     0.001     
0.495     0.007     0.001     
0.505     0.009     0.001     
0.515     0.010     0.001     
0.525     0.011     0.001     
0.535     0.013     0.001     
0.545     0.015     0.001     
0.555     0.017     0.002     
0.565     0.019     0.002     
0.575     0.021     0.002     
0.585     0.024     0.002     
0.595     0.027     0.002     
0.605     0.030     0.002     
0.615     0.034     0.003     
0.625     0.038     0.003     
0.635     0.043     0.003     
0.645     0.049     0.003     
0.655     0.055     0.004     
0.665     0.062     0.004     
0.675     0.071     0.004     
0.685     0.080     0.005     
0.695     0.090     0.005     
0.705     0.101     0.006     
0.715     0.111     0.006     
0.725     0.119     0.007     
0.735     0.125     0.008     
0.745     0.126     0.009     
0.755     0.121     0.010     
0.765     0.110     0.011     
0.775     0.094     0.012     
0.785     0.075     0.012     
0.795     0.055     0.011     
0.805     0.037     0.011     
0.815     0.021     0.010     
0.825     0.008     0.009     
0.835     -0.001    0.009     
0.845     -0.009    0.008     
0.855     -0.015    0.007     
0.865     -0.019    0.006     
0.875     -0.021    0.006     
0.885     -0.022    0.005     
0.895     -0.023    0.005     
0.905     -0.023    0.005     
0.915     -0.023    0.005     
0.925     -0.022    0.005     
0.935     -0.021    0.005     
0.945     -0.019    0.005     
0.955     -0.017    0.005     
0.965     -0.015    0.006     
0.975     -0.013    0.006     
0.985     -0.011    0.007     
0.995     -0.009    0.008     
1.005     -0.007    0.008     
1.015     -0.006    0.008     
1.025     -0.004    0.009     
1.035     -0.002    0.009     
1.045     -0.000    0.010     
1.055     0.001     0.011     
1.065     0.003     0.011     
1.075     0.006     0.012     
1.085     0.008     0.013     
1.095     0.010     0.014     
1.105     0.012     0.015     
1.115     0.014     0.016     
1.125     0.017     0.018     
1.135     0.019     0.019     
1.145     0.022     0.021     
1.155     0.025     0.023     
1.165     0.028     0.025     
1.175     0.031     0.028     
1.185     0.036     0.031     
1.195     0.040     0.035     
1.205     0.045     0.038     
1.215     0.052     0.043     
1.225     0.059     0.047     
1.235     0.067     0.052     
1.245     0.075     0.056     
1.255     0.084     0.061     
1.265     0.094     0.064     
1.275     0.103     0.067     
1.285     0.111     0.068     
1.295     0.119     0.067     
1.305     0.124     0.066     
1.315     0.129     0.063     
1.325     0.133     0.060     
1.335     0.135     0.056     
1.345     0.137     0.053     
1.355     0.139     0.049     
1.365     0.140     0.046     
1.375     0.141     0.043     
1.385     0.142     0.040     
1.395     0.144     0.038     
