Mpipi     YLM       dYLM      
0.405     -0.002    0.001     
0.415     -0.003    0.001     
0.425     -0.003    0.001     
0.435     -0.004    0.001     
0.445     -0.005    0.001     
0.455     -0.005    0.001     
0.465     -0.006    0.001     
0.475     -0.007    0.001     
0.485     -0.007    0.001     
0.495     -0.008    0.002     
0.505     -0.009    0.002     
0.515     -0.010    0.002     
0.525     -0.011    0.002     
0.535     -0.012    0.002     
0.545     -0.014    0.002     
0.555     -0.015    0.002     
0.565     -0.016    0.002     
0.575     -0.018    0.003     
0.585     -0.020    0.003     
0.595     -0.022    0.003     
0.605     -0.024    0.004     
0.615     -0.027    0.004     
0.625     -0.030    0.005     
0.635     -0.033    0.006     
0.645     -0.036    0.007     
0.655     -0.039    0.008     
0.665     -0.043    0.009     
0.675     -0.046    0.011     
0.685     -0.049    0.014     
0.695     -0.051    0.016     
0.705     -0.051    0.020     
0.715     -0.050    0.024     
0.725     -0.045    0.028     
0.735     -0.037    0.032     
0.745     -0.025    0.037     
0.755     -0.010    0.040     
0.765     0.008     0.042     
0.775     0.025     0.042     
0.785     0.040     0.040     
0.795     0.053     0.038     
0.805     0.061     0.035     
0.815     0.066     0.031     
0.825     0.069     0.028     
0.835     0.069     0.025     
0.845     0.068     0.022     
0.855     0.066     0.020     
0.865     0.064     0.018     
0.875     0.061     0.017     
0.885     0.058     0.015     
0.895     0.055     0.014     
0.905     0.052     0.013     
0.915     0.049     0.013     
0.925     0.047     0.012     
0.935     0.045     0.011     
0.945     0.043     0.011     
0.955     0.042     0.011     
0.965     0.040     0.010     
0.975     0.039     0.010     
0.985     0.035     0.010     
0.995     0.028     0.010     
1.005     0.022     0.010     
1.015     0.019     0.010     
1.025     0.017     0.010     
1.035     0.016     0.011     
1.045     0.015     0.011     
1.055     0.015     0.011     
1.065     0.015     0.012     
1.075     0.015     0.012     
1.085     0.016     0.013     
1.095     0.015     0.013     
1.105     0.016     0.014     
1.115     0.016     0.015     
1.125     0.016     0.016     
1.135     0.016     0.016     
1.145     0.016     0.018     
1.155     0.016     0.019     
1.165     0.016     0.020     
1.175     0.015     0.022     
1.185     0.015     0.024     
1.195     0.014     0.026     
1.205     0.013     0.028     
1.215     0.011     0.031     
1.225     0.010     0.034     
1.235     0.008     0.037     
1.245     0.005     0.040     
1.255     0.002     0.042     
1.265     -0.001    0.044     
1.275     -0.005    0.046     
1.285     -0.009    0.046     
1.295     -0.014    0.046     
1.305     -0.019    0.045     
1.315     -0.023    0.044     
1.325     -0.026    0.042     
1.335     -0.030    0.041     
1.345     -0.031    0.039     
1.355     -0.033    0.038     
1.365     -0.033    0.038     
1.375     -0.032    0.037     
1.385     -0.031    0.037     
1.395     -0.028    0.037     
