Mpipi     YLM       dYLM      
0.405     -0.004    0.001     
0.415     -0.005    0.001     
0.425     -0.006    0.002     
0.435     -0.007    0.002     
0.445     -0.008    0.002     
0.455     -0.009    0.002     
0.465     -0.011    0.003     
0.475     -0.012    0.003     
0.485     -0.014    0.003     
0.495     -0.015    0.003     
0.505     -0.018    0.004     
0.515     -0.020    0.004     
0.525     -0.023    0.005     
0.535     -0.026    0.005     
0.545     -0.029    0.005     
0.555     -0.034    0.006     
0.565     -0.039    0.007     
0.575     -0.045    0.007     
0.585     -0.052    0.008     
0.595     -0.061    0.009     
0.605     -0.071    0.009     
0.615     -0.084    0.010     
0.625     -0.099    0.012     
0.635     -0.118    0.013     
0.645     -0.139    0.014     
0.655     -0.167    0.016     
0.665     -0.202    0.018     
0.675     -0.245    0.020     
0.685     -0.297    0.023     
0.695     -0.359    0.026     
0.705     -0.434    0.029     
0.715     -0.519    0.033     
0.725     -0.613    0.037     
0.735     -0.710    0.040     
0.745     -0.799    0.043     
0.755     -0.870    0.045     
0.765     -0.908    0.045     
0.775     -0.910    0.044     
0.785     -0.876    0.041     
0.795     -0.817    0.037     
0.805     -0.743    0.034     
0.815     -0.664    0.031     
0.825     -0.586    0.028     
0.835     -0.511    0.025     
0.845     -0.443    0.023     
0.855     -0.380    0.020     
0.865     -0.327    0.019     
0.875     -0.279    0.018     
0.885     -0.237    0.017     
0.895     -0.197    0.016     
0.905     -0.164    0.015     
0.915     -0.135    0.015     
0.925     -0.105    0.014     
0.935     -0.080    0.014     
0.945     -0.059    0.015     
0.955     -0.037    0.015     
0.965     -0.020    0.016     
0.975     -0.004    0.018     
0.985     0.006     0.019     
0.995     0.017     0.018     
1.005     0.027     0.017     
1.015     0.039     0.016     
1.025     0.053     0.015     
1.035     0.066     0.014     
1.045     0.078     0.014     
1.055     0.089     0.014     
1.065     0.098     0.014     
1.075     0.111     0.014     
1.085     0.118     0.014     
1.095     0.127     0.015     
1.105     0.136     0.016     
1.115     0.145     0.017     
1.125     0.151     0.017     
1.135     0.159     0.018     
1.145     0.167     0.020     
1.155     0.174     0.021     
1.165     0.178     0.022     
1.175     0.185     0.023     
1.185     0.187     0.024     
1.195     0.192     0.026     
1.205     0.196     0.028     
1.215     0.197     0.030     
1.225     0.198     0.032     
1.235     0.200     0.034     
1.245     0.200     0.036     
1.255     0.201     0.038     
1.265     0.205     0.039     
1.275     0.210     0.040     
1.285     0.217     0.040     
1.295     0.230     0.038     
1.305     0.242     0.037     
1.315     0.260     0.034     
1.325     0.277     0.034     
1.335     0.294     0.035     
1.345     0.312     0.037     
1.355     0.330     0.041     
1.365     0.342     0.046     
1.375     0.356     0.050     
1.385     0.366     0.055     
1.395     0.377     0.059     
