Mpipi     YLM       dYLM      
0.405     0.002     0.003     
0.415     0.003     0.003     
0.425     0.004     0.004     
0.435     0.006     0.004     
0.445     0.007     0.005     
0.455     0.009     0.006     
0.465     0.012     0.006     
0.475     0.014     0.007     
0.485     0.017     0.008     
0.495     0.021     0.008     
0.505     0.025     0.009     
0.515     0.029     0.010     
0.525     0.033     0.010     
0.535     0.038     0.011     
0.545     0.044     0.012     
0.555     0.049     0.012     
0.565     0.055     0.013     
0.575     0.061     0.013     
0.585     0.067     0.014     
0.595     0.074     0.014     
0.605     0.082     0.015     
0.615     0.090     0.015     
0.625     0.098     0.015     
0.635     0.107     0.016     
0.645     0.117     0.016     
0.655     0.127     0.015     
0.665     0.139     0.015     
0.675     0.151     0.015     
0.685     0.164     0.014     
0.695     0.178     0.013     
0.705     0.192     0.013     
0.715     0.205     0.013     
0.725     0.216     0.015     
0.735     0.222     0.019     
0.745     0.224     0.024     
0.755     0.218     0.029     
0.765     0.204     0.035     
0.775     0.185     0.039     
0.785     0.163     0.041     
0.795     0.141     0.042     
0.805     0.121     0.041     
0.815     0.104     0.040     
0.825     0.090     0.038     
0.835     0.080     0.035     
0.845     0.072     0.033     
0.855     0.067     0.031     
0.865     0.064     0.029     
0.875     0.062     0.028     
0.885     0.061     0.027     
0.895     0.062     0.026     
0.905     0.063     0.025     
0.915     0.065     0.024     
0.925     0.068     0.024     
0.935     0.071     0.024     
0.945     0.075     0.025     
0.955     0.080     0.026     
0.965     0.085     0.027     
0.975     0.087     0.029     
0.985     0.084     0.030     
0.995     0.075     0.030     
1.005     0.067     0.028     
1.015     0.063     0.026     
1.025     0.063     0.025     
1.035     0.065     0.024     
1.045     0.068     0.024     
1.055     0.070     0.024     
1.065     0.073     0.024     
1.075     0.075     0.025     
1.085     0.077     0.026     
1.095     0.080     0.026     
1.105     0.082     0.027     
1.115     0.084     0.028     
1.125     0.086     0.028     
1.135     0.089     0.030     
1.145     0.091     0.031     
1.155     0.093     0.032     
1.165     0.096     0.034     
1.175     0.098     0.035     
1.185     0.101     0.037     
1.195     0.104     0.040     
1.205     0.106     0.043     
1.215     0.109     0.046     
1.225     0.111     0.050     
1.235     0.113     0.055     
1.245     0.113     0.059     
1.255     0.111     0.063     
1.265     0.107     0.066     
1.275     0.099     0.068     
1.285     0.089     0.069     
1.295     0.076     0.068     
1.305     0.060     0.066     
1.315     0.042     0.063     
1.325     0.023     0.060     
1.335     0.004     0.056     
1.345     -0.015    0.053     
1.355     -0.033    0.050     
1.365     -0.051    0.047     
1.375     -0.068    0.044     
1.385     -0.085    0.043     
1.395     -0.100    0.041     
