Mpipi     YLM       dYLM      
0.405     0.060     0.004     
0.415     0.063     0.004     
0.425     0.067     0.005     
0.435     0.071     0.005     
0.445     0.075     0.005     
0.455     0.080     0.006     
0.465     0.084     0.007     
0.475     0.086     0.008     
0.485     0.087     0.009     
0.495     0.084     0.010     
0.505     0.076     0.011     
0.515     0.064     0.013     
0.525     0.048     0.014     
0.535     0.027     0.015     
0.545     0.004     0.016     
0.555     -0.022    0.017     
0.565     -0.049    0.018     
0.575     -0.077    0.019     
0.585     -0.105    0.020     
0.595     -0.134    0.021     
0.605     -0.162    0.022     
0.615     -0.190    0.023     
0.625     -0.217    0.024     
0.635     -0.243    0.025     
0.645     -0.267    0.027     
0.655     -0.288    0.028     
0.665     -0.307    0.030     
0.675     -0.321    0.032     
0.685     -0.331    0.033     
0.695     -0.335    0.035     
0.705     -0.332    0.037     
0.715     -0.321    0.038     
0.725     -0.302    0.039     
0.735     -0.276    0.038     
0.745     -0.245    0.037     
0.755     -0.212    0.034     
0.765     -0.186    0.030     
0.775     -0.169    0.026     
0.785     -0.163    0.023     
0.795     -0.166    0.021     
0.805     -0.178    0.020     
0.815     -0.196    0.020     
0.825     -0.217    0.021     
0.835     -0.237    0.021     
0.845     -0.257    0.022     
0.855     -0.275    0.022     
0.865     -0.292    0.022     
0.875     -0.308    0.023     
0.885     -0.321    0.023     
0.895     -0.333    0.023     
0.905     -0.345    0.023     
0.915     -0.354    0.023     
0.925     -0.362    0.023     
0.935     -0.369    0.023     
0.945     -0.375    0.023     
0.955     -0.380    0.023     
0.965     -0.384    0.023     
0.975     -0.387    0.023     
0.985     -0.392    0.023     
0.995     -0.396    0.023     
1.005     -0.401    0.023     
1.015     -0.404    0.024     
1.025     -0.405    0.024     
1.035     -0.405    0.024     
1.045     -0.405    0.024     
1.055     -0.403    0.025     
1.065     -0.402    0.025     
1.075     -0.399    0.025     
1.085     -0.395    0.026     
1.095     -0.392    0.026     
1.105     -0.387    0.027     
1.115     -0.382    0.027     
1.125     -0.377    0.028     
1.135     -0.370    0.028     
1.145     -0.363    0.029     
1.155     -0.356    0.030     
1.165     -0.348    0.031     
1.175     -0.330    0.033     
1.185     -0.320    0.035     
1.195     -0.310    0.036     
1.205     -0.300    0.037     
1.215     -0.289    0.039     
1.225     -0.277    0.040     
1.235     -0.266    0.042     
1.245     -0.254    0.044     
1.255     -0.232    0.047     
1.265     -0.221    0.047     
1.275     -0.208    0.048     
1.285     -0.197    0.048     
1.295     -0.186    0.048     
1.305     -0.175    0.047     
1.315     -0.164    0.045     
1.325     -0.152    0.044     
1.335     -0.141    0.043     
1.345     -0.129    0.041     
1.355     -0.117    0.040     
1.365     -0.115    0.037     
1.375     -0.101    0.035     
1.385     -0.088    0.034     
1.395     -0.074    0.033     
