Mpipi     YLM       dYLM      
0.405     -0.003    0.001     
0.415     -0.004    0.001     
0.425     -0.005    0.002     
0.435     -0.006    0.002     
0.445     -0.008    0.002     
0.455     -0.011    0.003     
0.465     -0.013    0.003     
0.475     -0.016    0.004     
0.485     -0.019    0.004     
0.495     -0.022    0.005     
0.505     -0.025    0.006     
0.515     -0.028    0.007     
0.525     -0.032    0.008     
0.535     -0.035    0.009     
0.545     -0.039    0.011     
0.555     -0.041    0.012     
0.565     -0.044    0.014     
0.575     -0.047    0.015     
0.585     -0.048    0.017     
0.595     -0.050    0.019     
0.605     -0.051    0.020     
0.615     -0.051    0.022     
0.625     -0.051    0.024     
0.635     -0.050    0.026     
0.645     -0.048    0.028     
0.655     -0.045    0.030     
0.665     -0.042    0.032     
0.675     -0.038    0.034     
0.685     -0.033    0.036     
0.695     -0.027    0.038     
0.705     -0.020    0.039     
0.715     -0.012    0.040     
0.725     -0.003    0.041     
0.735     0.006     0.041     
0.745     0.014     0.040     
0.755     0.020     0.038     
0.765     0.023     0.036     
0.775     0.022     0.032     
0.785     0.017     0.029     
0.795     0.010     0.026     
0.805     0.001     0.023     
0.815     -0.009    0.020     
0.825     -0.020    0.018     
0.835     -0.030    0.017     
0.845     -0.039    0.016     
0.855     -0.049    0.015     
0.865     -0.058    0.015     
0.875     -0.066    0.015     
0.885     -0.074    0.015     
0.895     -0.083    0.015     
0.905     -0.090    0.016     
0.915     -0.098    0.016     
0.925     -0.106    0.017     
0.935     -0.113    0.018     
0.945     -0.121    0.019     
0.955     -0.128    0.020     
0.965     -0.134    0.022     
0.975     -0.135    0.025     
0.985     -0.128    0.027     
0.995     -0.115    0.026     
1.005     -0.106    0.023     
1.015     -0.105    0.021     
1.025     -0.107    0.019     
1.035     -0.112    0.018     
1.045     -0.117    0.018     
1.055     -0.121    0.018     
1.065     -0.125    0.018     
1.075     -0.128    0.019     
1.085     -0.132    0.019     
1.095     -0.134    0.020     
1.105     -0.136    0.021     
1.115     -0.138    0.022     
1.125     -0.140    0.023     
1.135     -0.141    0.024     
1.145     -0.143    0.025     
1.155     -0.144    0.026     
1.165     -0.145    0.028     
1.175     -0.147    0.030     
1.185     -0.149    0.032     
1.195     -0.151    0.034     
1.205     -0.154    0.037     
1.215     -0.156    0.039     
1.225     -0.160    0.042     
1.235     -0.163    0.044     
1.245     -0.165    0.046     
1.255     -0.166    0.046     
1.265     -0.164    0.046     
1.275     -0.160    0.045     
1.285     -0.154    0.043     
1.295     -0.144    0.041     
1.305     -0.131    0.039     
1.315     -0.116    0.038     
1.325     -0.100    0.038     
1.335     -0.085    0.038     
1.345     -0.069    0.039     
1.355     -0.053    0.041     
1.365     -0.040    0.043     
1.375     -0.028    0.044     
1.385     -0.016    0.045     
1.395     -0.007    0.046     
