Mpipi     YLM       dYLM      
0.405     -0.007    0.002     
0.415     -0.008    0.002     
0.425     -0.009    0.002     
0.435     -0.010    0.002     
0.445     -0.011    0.002     
0.455     -0.010    0.003     
0.465     -0.010    0.003     
0.475     -0.009    0.003     
0.485     -0.008    0.003     
0.495     -0.007    0.003     
0.505     -0.006    0.003     
0.515     -0.004    0.003     
0.525     -0.003    0.004     
0.535     -0.000    0.004     
0.545     0.002     0.004     
0.555     0.005     0.005     
0.565     0.007     0.005     
0.575     0.010     0.005     
0.585     0.013     0.006     
0.595     0.017     0.007     
0.605     0.021     0.007     
0.615     0.026     0.008     
0.625     0.031     0.009     
0.635     0.038     0.010     
0.645     0.045     0.011     
0.655     0.054     0.013     
0.665     0.064     0.014     
0.675     0.076     0.016     
0.685     0.090     0.018     
0.695     0.107     0.021     
0.705     0.127     0.023     
0.715     0.149     0.026     
0.725     0.173     0.029     
0.735     0.198     0.031     
0.745     0.222     0.033     
0.755     0.242     0.033     
0.765     0.257     0.033     
0.775     0.266     0.032     
0.785     0.269     0.031     
0.795     0.267     0.029     
0.805     0.262     0.027     
0.815     0.257     0.025     
0.825     0.252     0.024     
0.835     0.248     0.023     
0.845     0.246     0.022     
0.855     0.245     0.021     
0.865     0.245     0.021     
0.875     0.246     0.020     
0.885     0.249     0.020     
0.895     0.252     0.019     
0.905     0.257     0.019     
0.915     0.262     0.019     
0.925     0.267     0.018     
0.935     0.273     0.018     
0.945     0.279     0.018     
0.955     0.285     0.017     
0.965     0.292     0.017     
0.975     0.298     0.017     
0.985     0.304     0.017     
0.995     0.310     0.016     
1.005     0.316     0.016     
1.015     0.322     0.016     
1.025     0.329     0.016     
1.035     0.335     0.016     
1.045     0.342     0.016     
1.055     0.348     0.016     
1.065     0.355     0.016     
1.075     0.361     0.016     
1.085     0.367     0.016     
1.095     0.373     0.016     
1.105     0.379     0.016     
1.115     0.385     0.016     
1.125     0.391     0.016     
1.135     0.397     0.017     
1.145     0.403     0.017     
1.155     0.410     0.017     
1.165     0.418     0.018     
1.175     0.425     0.018     
1.185     0.434     0.019     
1.195     0.445     0.020     
1.205     0.457     0.021     
1.215     0.471     0.021     
1.225     0.486     0.022     
1.235     0.503     0.023     
1.245     0.520     0.024     
1.255     0.537     0.024     
1.265     0.554     0.025     
1.275     0.568     0.026     
1.285     0.576     0.026     
1.295     0.581     0.026     
1.305     0.579     0.026     
1.315     0.574     0.026     
1.325     0.565     0.027     
1.335     0.554     0.027     
1.345     0.541     0.028     
1.355     0.529     0.030     
1.365     0.516     0.031     
1.375     0.505     0.033     
1.385     0.496     0.035     
1.395     0.488     0.036     
