Mpipi     YLM       dYLM      
0.405     -0.010    0.000     
0.415     -0.012    0.001     
0.425     -0.015    0.001     
0.435     -0.017    0.001     
0.445     -0.020    0.001     
0.455     -0.024    0.001     
0.465     -0.027    0.002     
0.475     -0.030    0.002     
0.485     -0.033    0.003     
0.495     -0.036    0.003     
0.505     -0.039    0.004     
0.515     -0.042    0.004     
0.525     -0.045    0.005     
0.535     -0.048    0.005     
0.545     -0.051    0.006     
0.555     -0.054    0.007     
0.565     -0.057    0.008     
0.575     -0.060    0.009     
0.585     -0.065    0.010     
0.595     -0.069    0.011     
0.605     -0.075    0.012     
0.615     -0.081    0.013     
0.625     -0.089    0.014     
0.635     -0.099    0.015     
0.645     -0.111    0.016     
0.655     -0.125    0.017     
0.665     -0.143    0.018     
0.675     -0.164    0.019     
0.685     -0.190    0.020     
0.695     -0.221    0.021     
0.705     -0.257    0.021     
0.715     -0.298    0.021     
0.725     -0.344    0.020     
0.735     -0.390    0.019     
0.745     -0.432    0.017     
0.755     -0.465    0.014     
0.765     -0.483    0.012     
0.775     -0.485    0.009     
0.785     -0.471    0.008     
0.795     -0.445    0.007     
0.805     -0.413    0.007     
0.815     -0.379    0.007     
0.825     -0.346    0.007     
0.835     -0.315    0.007     
0.845     -0.288    0.007     
0.855     -0.263    0.007     
0.865     -0.242    0.007     
0.875     -0.224    0.006     
0.885     -0.208    0.006     
0.895     -0.194    0.006     
0.905     -0.182    0.006     
0.915     -0.171    0.006     
0.925     -0.161    0.007     
0.935     -0.151    0.007     
0.945     -0.143    0.007     
0.955     -0.135    0.008     
0.965     -0.127    0.008     
0.975     -0.119    0.009     
0.985     -0.111    0.011     
0.995     -0.101    0.013     
1.005     -0.092    0.014     
1.015     -0.083    0.015     
1.025     -0.075    0.016     
1.035     -0.067    0.017     
1.045     -0.060    0.018     
1.055     -0.053    0.018     
1.065     -0.046    0.019     
1.075     -0.039    0.020     
1.085     -0.032    0.021     
1.095     -0.025    0.022     
1.105     -0.019    0.023     
1.115     -0.012    0.023     
1.125     -0.006    0.024     
1.135     0.000     0.025     
1.145     0.007     0.026     
1.155     0.013     0.027     
1.165     0.019     0.028     
1.175     0.025     0.028     
1.185     0.031     0.029     
1.195     0.037     0.030     
1.205     0.043     0.031     
1.215     0.050     0.032     
1.225     0.056     0.033     
1.235     0.062     0.034     
1.245     0.067     0.035     
1.255     0.072     0.037     
1.265     0.076     0.038     
1.275     0.077     0.039     
1.285     0.078     0.040     
1.295     0.076     0.041     
1.305     0.073     0.042     
1.315     0.069     0.043     
1.325     0.065     0.044     
1.335     0.060     0.045     
1.345     0.055     0.045     
1.355     0.051     0.046     
1.365     0.047     0.047     
1.375     0.044     0.047     
1.385     0.041     0.048     
1.395     0.039     0.049     
