Mpipi     YLM       dYLM      
0.405     0.250     0.010     
0.415     0.275     0.011     
0.425     0.300     0.011     
0.435     0.329     0.011     
0.445     0.357     0.012     
0.455     0.388     0.012     
0.465     0.421     0.013     
0.475     0.455     0.014     
0.485     0.492     0.014     
0.495     0.528     0.015     
0.505     0.568     0.016     
0.515     0.608     0.016     
0.525     0.650     0.017     
0.535     0.692     0.018     
0.545     0.737     0.019     
0.555     0.783     0.020     
0.565     0.832     0.021     
0.575     0.885     0.022     
0.585     0.939     0.023     
0.595     0.998     0.024     
0.605     1.065     0.026     
0.615     1.137     0.027     
0.625     1.222     0.030     
0.635     1.318     0.032     
0.645     1.431     0.035     
0.655     1.563     0.039     
0.665     1.719     0.044     
0.675     1.907     0.049     
0.685     2.127     0.056     
0.695     2.388     0.063     
0.705     2.687     0.072     
0.715     3.017     0.081     
0.725     3.367     0.092     
0.735     3.704     0.103     
0.745     3.988     0.113     
0.755     4.171     0.123     
0.765     4.219     0.130     
0.775     4.121     0.133     
0.785     3.898     0.133     
0.795     3.593     0.129     
0.805     3.253     0.122     
0.815     2.914     0.114     
0.825     2.599     0.104     
0.835     2.321     0.095     
0.845     2.082     0.085     
0.855     1.879     0.075     
0.865     1.711     0.066     
0.875     1.576     0.058     
0.885     1.466     0.050     
0.895     1.379     0.044     
0.905     1.312     0.039     
0.915     1.260     0.036     
0.925     1.225     0.035     
0.935     1.201     0.036     
0.945     1.189     0.039     
0.955     1.183     0.045     
0.965     1.178     0.053     
0.975     1.153     0.060     
0.985     1.084     0.064     
0.995     0.987     0.059     
1.005     0.920     0.049     
1.015     0.906     0.041     
1.025     0.921     0.037     
1.035     0.946     0.035     
1.045     0.974     0.036     
1.055     1.005     0.037     
1.065     1.034     0.038     
1.075     1.060     0.039     
1.085     1.090     0.040     
1.095     1.115     0.040     
1.105     1.142     0.040     
1.115     1.169     0.040     
1.125     1.195     0.039     
1.135     1.223     0.038     
1.145     1.249     0.037     
1.155     1.278     0.036     
1.165     1.306     0.036     
1.175     1.339     0.035     
1.185     1.373     0.035     
1.195     1.412     0.036     
1.205     1.451     0.037     
1.215     1.496     0.040     
1.225     1.542     0.043     
1.235     1.589     0.047     
1.245     1.639     0.052     
1.255     1.680     0.057     
1.265     1.714     0.061     
1.275     1.738     0.065     
1.285     1.746     0.067     
1.295     1.740     0.069     
1.305     1.724     0.071     
1.315     1.697     0.072     
1.325     1.670     0.073     
1.335     1.647     0.075     
1.345     1.628     0.078     
1.355     1.619     0.083     
1.365     1.619     0.090     
1.375     1.634     0.098     
1.385     1.656     0.108     
1.395     1.685     0.120     
