#: table_doi: 10.17182/hepdata.74824.v1/t179
#: name: Table 179
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table179.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0199,0.0311,-0.0311
0.415,0.41,0.42,0.0122,0.0255,-0.0255
0.425,0.42,0.43,0.0047,0.0209,-0.0209
0.435,0.43,0.44,-0.002,0.0173,-0.0173
0.445,0.44,0.45,-0.0078,0.015,-0.015
0.455,0.45,0.46,-0.0125,0.0138,-0.0138
0.46499999999999997,0.46,0.47,-0.016,0.0134,-0.0134
0.475,0.47,0.48,-0.0183,0.0136,-0.0136
0.485,0.48,0.49,-0.0196,0.0145,-0.0145
0.495,0.49,0.5,-0.0199,0.0159,-0.0159
0.505,0.5,0.51,-0.0193,0.0178,-0.0178
0.515,0.51,0.52,-0.0181,0.0202,-0.0202
0.525,0.52,0.53,-0.0162,0.0228,-0.0228
0.535,0.53,0.54,-0.014,0.0254,-0.0254
0.545,0.54,0.55,-0.0115,0.028,-0.028
0.555,0.55,0.56,-0.0089,0.0303,-0.0303
0.565,0.56,0.57,-0.0064,0.0322,-0.0322
0.575,0.57,0.58,-0.0041,0.0336,-0.0336
0.585,0.58,0.59,-0.0021,0.0343,-0.0343
0.595,0.59,0.6,-0.0005,0.0345,-0.0345
0.605,0.6,0.61,0.0007,0.034,-0.034
0.615,0.61,0.62,0.0014,0.0328,-0.0328
0.625,0.62,0.63,0.0016,0.0312,-0.0312
0.635,0.63,0.64,0.0014,0.029,-0.029
0.645,0.64,0.65,0.0008,0.0266,-0.0266
0.655,0.65,0.66,0.0,0.0238,-0.0238
0.665,0.66,0.67,-0.0011,0.021,-0.021
0.675,0.67,0.68,-0.0022,0.0182,-0.0182
0.685,0.68,0.69,-0.0033,0.0155,-0.0155
0.695,0.69,0.7,-0.0043,0.0132,-0.0132
0.705,0.7,0.71,-0.0049,0.0111,-0.0111
0.715,0.71,0.72,-0.0052,0.0095,-0.0095
0.725,0.72,0.73,-0.0051,0.0083,-0.0083
0.735,0.73,0.74,-0.0044,0.0075,-0.0075
0.745,0.74,0.75,-0.0031,0.0068,-0.0068
0.755,0.75,0.76,-0.0012,0.0064,-0.0064
0.765,0.76,0.77,0.0013,0.006,-0.006
0.775,0.77,0.78,0.0044,0.0056,-0.0056
0.785,0.78,0.79,0.008,0.0054,-0.0054
0.795,0.79,0.8,0.012,0.0052,-0.0052
0.805,0.8,0.81,0.0162,0.0052,-0.0052
