#: table_doi: 10.17182/hepdata.74824.v1/t146
#: name: Table 146
#: description: F wave cross section for -T.

#: data_file: Table146.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1902,0.0834,-0.0834
0.415,0.41,0.42,0.2193,0.0962,-0.0962
0.425,0.42,0.43,0.2493,0.1094,-0.1094
0.435,0.43,0.44,0.2802,0.123,-0.123
0.445,0.44,0.45,0.3116,0.1368,-0.1368
0.455,0.45,0.46,0.3434,0.1508,-0.1508
0.46499999999999997,0.46,0.47,0.3754,0.1649,-0.1649
0.475,0.47,0.48,0.4074,0.1791,-0.1791
0.485,0.48,0.49,0.4394,0.1932,-0.1932
0.495,0.49,0.5,0.471,0.2072,-0.2072
0.505,0.5,0.51,0.5024,0.2211,-0.2211
0.515,0.51,0.52,0.5332,0.2347,-0.2347
0.525,0.52,0.53,0.5635,0.2482,-0.2482
0.535,0.53,0.54,0.5932,0.2614,-0.2614
0.545,0.54,0.55,0.6221,0.2742,-0.2742
0.555,0.55,0.56,0.6502,0.2868,-0.2868
0.565,0.56,0.57,0.6775,0.2989,-0.2989
0.575,0.57,0.58,0.7038,0.3107,-0.3107
0.585,0.58,0.59,0.7292,0.3221,-0.3221
0.595,0.59,0.6,0.7536,0.333,-0.333
0.605,0.6,0.61,0.7769,0.3436,-0.3436
0.615,0.61,0.62,0.7991,0.3536,-0.3536
0.625,0.62,0.63,0.8203,0.3632,-0.3632
0.635,0.63,0.64,0.8403,0.3723,-0.3723
0.645,0.64,0.65,0.8591,0.3809,-0.3809
0.655,0.65,0.66,0.8768,0.389,-0.389
0.665,0.66,0.67,0.8934,0.3966,-0.3966
0.675,0.67,0.68,0.9087,0.4038,-0.4038
0.685,0.68,0.69,0.9229,0.4104,-0.4104
0.695,0.69,0.7,0.9359,0.4165,-0.4165
0.705,0.7,0.71,0.9476,0.4221,-0.4221
0.715,0.71,0.72,0.9582,0.4272,-0.4272
0.725,0.72,0.73,0.9676,0.4318,-0.4318
0.735,0.73,0.74,0.9758,0.4358,-0.4358
0.745,0.74,0.75,0.9829,0.4394,-0.4394
0.755,0.75,0.76,0.9888,0.4425,-0.4425
0.765,0.76,0.77,0.9935,0.4451,-0.4451
0.775,0.77,0.78,0.9971,0.4473,-0.4473
0.785,0.78,0.79,0.9996,0.4489,-0.4489
0.795,0.79,0.8,1.001,0.4501,-0.4501
0.805,0.8,0.81,1.0014,0.4509,-0.4509
0.815,0.81,0.82,1.0007,0.4512,-0.4512
0.825,0.82,0.83,0.9989,0.451,-0.451
0.835,0.83,0.84,0.9962,0.4505,-0.4505
0.845,0.84,0.85,0.9925,0.4495,-0.4495
0.855,0.85,0.86,0.9879,0.4481,-0.4481
0.865,0.86,0.87,0.9823,0.4464,-0.4464
0.875,0.87,0.88,0.9759,0.4443,-0.4443
0.885,0.88,0.89,0.9686,0.4418,-0.4418
0.895,0.89,0.9,0.9605,0.439,-0.439
0.905,0.9,0.91,0.9517,0.4358,-0.4358
0.915,0.91,0.92,0.9421,0.4324,-0.4324
0.925,0.92,0.93,0.9319,0.4287,-0.4287
0.935,0.93,0.94,0.921,0.4247,-0.4247
0.945,0.94,0.95,0.9095,0.4204,-0.4204
0.955,0.95,0.96,0.8974,0.4159,-0.4159
0.965,0.96,0.97,0.8848,0.4112,-0.4112
0.975,0.97,0.98,0.8718,0.4063,-0.4063
0.985,0.98,0.99,0.8584,0.4013,-0.4013
0.995,0.99,1.0,0.8446,0.396,-0.396
1.005,1.0,1.01,0.8305,0.3907,-0.3907
1.0150000000000001,1.01,1.02,0.8162,0.3852,-0.3852
1.025,1.02,1.03,0.8017,0.3797,-0.3797
1.0350000000000001,1.03,1.04,0.7871,0.3741,-0.3741
1.045,1.04,1.05,0.7724,0.3684,-0.3684
1.0550000000000002,1.05,1.06,0.7577,0.3627,-0.3627
1.065,1.06,1.07,0.7431,0.357,-0.357
1.0750000000000002,1.07,1.08,0.7286,0.3513,-0.3513
1.085,1.08,1.09,0.7143,0.3457,-0.3457
1.0950000000000002,1.09,1.1,0.7003,0.3401,-0.3401
1.105,1.1,1.11,0.6866,0.3346,-0.3346
1.1150000000000002,1.11,1.12,0.6733,0.3292,-0.3292
1.125,1.12,1.13,0.6605,0.3239,-0.3239
1.1349999999999998,1.13,1.14,0.6483,0.3188,-0.3188
1.145,1.14,1.15,0.6367,0.3138,-0.3138
1.1549999999999998,1.15,1.16,0.6259,0.3089,-0.3089
1.165,1.16,1.17,0.6158,0.3042,-0.3042
1.1749999999999998,1.17,1.18,0.6067,0.2998,-0.2998
1.185,1.18,1.19,0.5985,0.2955,-0.2955
1.1949999999999998,1.19,1.2,0.5914,0.2914,-0.2914
1.205,1.2,1.21,0.5855,0.2875,-0.2875
1.2149999999999999,1.21,1.22,0.5808,0.2839,-0.2839
1.225,1.22,1.23,0.5775,0.2806,-0.2806
1.2349999999999999,1.23,1.24,0.5756,0.2775,-0.2775
1.245,1.24,1.25,0.5753,0.2746,-0.2746
1.255,1.25,1.26,0.5766,0.2721,-0.2721
1.2650000000000001,1.26,1.27,0.5796,0.2699,-0.2699
1.275,1.27,1.28,0.5845,0.268,-0.268
1.2850000000000001,1.28,1.29,0.5914,0.2665,-0.2665
1.295,1.29,1.3,0.6003,0.2654,-0.2654
1.3050000000000002,1.3,1.31,0.6114,0.2647,-0.2647
1.315,1.31,1.32,0.6248,0.2645,-0.2645
1.3250000000000002,1.32,1.33,0.6406,0.2649,-0.2649
1.335,1.33,1.34,0.659,0.2659,-0.2659
1.3450000000000002,1.34,1.35,0.68,0.2676,-0.2676
1.355,1.35,1.36,0.7037,0.27,-0.27
1.3650000000000002,1.36,1.37,0.7304,0.2733,-0.2733
1.375,1.37,1.38,0.76,0.2776,-0.2776
1.3849999999999998,1.38,1.39,0.7928,0.283,-0.283
1.395,1.39,1.4,0.8289,0.2896,-0.2896

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1427,0.0317,-0.0317
0.415,0.41,0.42,0.1644,0.0366,-0.0366
0.425,0.42,0.43,0.1868,0.0416,-0.0416
0.435,0.43,0.44,0.2097,0.0467,-0.0467
0.445,0.44,0.45,0.2331,0.052,-0.052
0.455,0.45,0.46,0.2566,0.0573,-0.0573
0.46499999999999997,0.46,0.47,0.2803,0.0626,-0.0626
0.475,0.47,0.48,0.3039,0.0679,-0.0679
0.485,0.48,0.49,0.3275,0.0733,-0.0733
0.495,0.49,0.5,0.3507,0.0785,-0.0785
0.505,0.5,0.51,0.3737,0.0837,-0.0837
0.515,0.51,0.52,0.3962,0.0889,-0.0889
0.525,0.52,0.53,0.4183,0.0939,-0.0939
0.535,0.53,0.54,0.4398,0.0988,-0.0988
0.545,0.54,0.55,0.4607,0.1036,-0.1036
0.555,0.55,0.56,0.4809,0.1083,-0.1083
0.565,0.56,0.57,0.5005,0.1128,-0.1128
0.575,0.57,0.58,0.5192,0.1171,-0.1171
0.585,0.58,0.59,0.5372,0.1213,-0.1213
0.595,0.59,0.6,0.5544,0.1254,-0.1254
0.605,0.6,0.61,0.5707,0.1292,-0.1292
0.615,0.61,0.62,0.5862,0.1329,-0.1329
0.625,0.62,0.63,0.6007,0.1363,-0.1363
0.635,0.63,0.64,0.6144,0.1396,-0.1396
0.645,0.64,0.65,0.6271,0.1427,-0.1427
0.655,0.65,0.66,0.6389,0.1456,-0.1456
0.665,0.66,0.67,0.6498,0.1483,-0.1483
0.675,0.67,0.68,0.6597,0.1508,-0.1508
