#: table_doi: 10.17182/hepdata.74824.v1/t168
#: name: Table 168
#: description: Fp wave cross section for -T.

#: data_file: Table168.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.025,0.0153,-0.0153
0.415,0.41,0.42,0.0289,0.0176,-0.0176
0.425,0.42,0.43,0.0329,0.0201,-0.0201
0.435,0.43,0.44,0.037,0.0226,-0.0226
0.445,0.44,0.45,0.0411,0.0252,-0.0252
0.455,0.45,0.46,0.0454,0.0279,-0.0279
0.46499999999999997,0.46,0.47,0.0497,0.0305,-0.0305
0.475,0.47,0.48,0.0539,0.0333,-0.0333
0.485,0.48,0.49,0.0582,0.036,-0.036
0.495,0.49,0.5,0.0625,0.0387,-0.0387
0.505,0.5,0.51,0.0668,0.0414,-0.0414
0.515,0.51,0.52,0.071,0.0441,-0.0441
0.525,0.52,0.53,0.0751,0.0468,-0.0468
0.535,0.53,0.54,0.0792,0.0494,-0.0494
0.545,0.54,0.55,0.0832,0.0521,-0.0521
0.555,0.55,0.56,0.0871,0.0546,-0.0546
0.565,0.56,0.57,0.0909,0.0572,-0.0572
0.575,0.57,0.58,0.0946,0.0597,-0.0597
0.585,0.58,0.59,0.0982,0.0622,-0.0622
0.595,0.59,0.6,0.1017,0.0646,-0.0646
0.605,0.6,0.61,0.1051,0.067,-0.067
0.615,0.61,0.62,0.1083,0.0693,-0.0693
0.625,0.62,0.63,0.1115,0.0716,-0.0716
0.635,0.63,0.64,0.1145,0.0738,-0.0738
0.645,0.64,0.65,0.1174,0.0759,-0.0759
0.655,0.65,0.66,0.1202,0.0781,-0.0781
0.665,0.66,0.67,0.1228,0.0801,-0.0801
0.675,0.67,0.68,0.1253,0.0821,-0.0821
0.685,0.68,0.69,0.1277,0.0841,-0.0841
0.695,0.69,0.7,0.13,0.086,-0.086
0.705,0.7,0.71,0.1321,0.0878,-0.0878
0.715,0.71,0.72,0.1342,0.0896,-0.0896
0.725,0.72,0.73,0.1361,0.0914,-0.0914
0.735,0.73,0.74,0.1379,0.0931,-0.0931
0.745,0.74,0.75,0.1395,0.0947,-0.0947
0.755,0.75,0.76,0.1411,0.0963,-0.0963
0.765,0.76,0.77,0.1425,0.0979,-0.0979
0.775,0.77,0.78,0.1439,0.0994,-0.0994
0.785,0.78,0.79,0.1451,0.1008,-0.1008
0.795,0.79,0.8,0.1463,0.1022,-0.1022
0.805,0.8,0.81,0.1473,0.1036,-0.1036
0.815,0.81,0.82,0.1483,0.1049,-0.1049
0.825,0.82,0.83,0.1491,0.1062,-0.1062
0.835,0.83,0.84,0.1499,0.1074,-0.1074
0.845,0.84,0.85,0.1506,0.1086,-0.1086
0.855,0.85,0.86,0.1513,0.1097,-0.1097
0.865,0.86,0.87,0.1519,0.1108,-0.1108
0.875,0.87,0.88,0.1524,0.1118,-0.1118
0.885,0.88,0.89,0.1528,0.1128,-0.1128
0.895,0.89,0.9,0.1533,0.1138,-0.1138
0.905,0.9,0.91,0.1537,0.1147,-0.1147
0.915,0.91,0.92,0.154,0.1155,-0.1155
0.925,0.92,0.93,0.1543,0.1163,-0.1163
0.935,0.93,0.94,0.1547,0.1171,-0.1171
0.945,0.94,0.95,0.155,0.1178,-0.1178
0.955,0.95,0.96,0.1553,0.1185,-0.1185
0.965,0.96,0.97,0.1556,0.1191,-0.1191
0.975,0.97,0.98,0.1559,0.1196,-0.1196
0.985,0.98,0.99,0.1563,0.1201,-0.1201
0.995,0.99,1.0,0.1566,0.1206,-0.1206
1.005,1.0,1.01,0.1571,0.1209,-0.1209
1.0150000000000001,1.01,1.02,0.1576,0.1213,-0.1213
1.025,1.02,1.03,0.1581,0.1215,-0.1215
1.0350000000000001,1.03,1.04,0.1587,0.1217,-0.1217
1.045,1.04,1.05,0.1594,0.1218,-0.1218
1.0550000000000002,1.05,1.06,0.1602,0.1219,-0.1219
1.065,1.06,1.07,0.1611,0.1219,-0.1219
1.0750000000000002,1.07,1.08,0.1621,0.1218,-0.1218
1.085,1.08,1.09,0.1633,0.1217,-0.1217
1.0950000000000002,1.09,1.1,0.1645,0.1214,-0.1214
1.105,1.1,1.11,0.166,0.1212,-0.1212
1.1150000000000002,1.11,1.12,0.1676,0.1208,-0.1208
1.125,1.12,1.13,0.1693,0.1204,-0.1204
1.1349999999999998,1.13,1.14,0.1713,0.12,-0.12
1.145,1.14,1.15,0.1735,0.1195,-0.1195
1.1549999999999998,1.15,1.16,0.1758,0.1189,-0.1189
1.165,1.16,1.17,0.1785,0.1183,-0.1183
1.1749999999999998,1.17,1.18,0.1813,0.1177,-0.1177
1.185,1.18,1.19,0.1844,0.1171,-0.1171
1.1949999999999998,1.19,1.2,0.1878,0.1164,-0.1164
1.205,1.2,1.21,0.1915,0.1158,-0.1158
1.2149999999999999,1.21,1.22,0.1954,0.1152,-0.1152
1.225,1.22,1.23,0.1997,0.1147,-0.1147
1.2349999999999999,1.23,1.24,0.2044,0.1143,-0.1143
1.245,1.24,1.25,0.2093,0.1139,-0.1139
1.255,1.25,1.26,0.2147,0.1138,-0.1138
1.2650000000000001,1.26,1.27,0.2204,0.1138,-0.1138
