#: table_doi: 10.17182/hepdata.74824.v1/t133
#: name: Table 133
#: description: D0 wave cross section for -T.

#: data_file: Table133.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0639,0.0375,-0.0375
0.415,0.41,0.42,0.0645,0.0394,-0.0394
0.425,0.42,0.43,0.066,0.0414,-0.0414
0.435,0.43,0.44,0.0683,0.0432,-0.0432
0.445,0.44,0.45,0.0714,0.0448,-0.0448
0.455,0.45,0.46,0.0751,0.046,-0.046
0.46499999999999997,0.46,0.47,0.0794,0.0469,-0.0469
0.475,0.47,0.48,0.0843,0.0475,-0.0475
0.485,0.48,0.49,0.0896,0.0479,-0.0479
0.495,0.49,0.5,0.0953,0.048,-0.048
0.505,0.5,0.51,0.1013,0.048,-0.048
0.515,0.51,0.52,0.1076,0.0479,-0.0479
0.525,0.52,0.53,0.1142,0.0478,-0.0478
0.535,0.53,0.54,0.1209,0.0477,-0.0477
0.545,0.54,0.55,0.1277,0.0477,-0.0477
0.555,0.55,0.56,0.1347,0.0479,-0.0479
0.565,0.56,0.57,0.1416,0.0483,-0.0483
0.575,0.57,0.58,0.1487,0.049,-0.049
0.585,0.58,0.59,0.1556,0.0501,-0.0501
0.595,0.59,0.6,0.1626,0.0514,-0.0514
0.605,0.6,0.61,0.1694,0.0531,-0.0531
0.615,0.61,0.62,0.1761,0.055,-0.055
0.625,0.62,0.63,0.1827,0.0573,-0.0573
0.635,0.63,0.64,0.1892,0.0598,-0.0598
0.645,0.64,0.65,0.1954,0.0625,-0.0625
0.655,0.65,0.66,0.2015,0.0653,-0.0653
0.665,0.66,0.67,0.2073,0.0683,-0.0683
0.675,0.67,0.68,0.2128,0.0714,-0.0714
0.685,0.68,0.69,0.2182,0.0745,-0.0745
0.695,0.69,0.7,0.2232,0.0776,-0.0776
0.705,0.7,0.71,0.228,0.0807,-0.0807
0.715,0.71,0.72,0.2325,0.0837,-0.0837
0.725,0.72,0.73,0.2367,0.0866,-0.0866
0.735,0.73,0.74,0.2406,0.0894,-0.0894
0.745,0.74,0.75,0.2442,0.092,-0.092
0.755,0.75,0.76,0.2475,0.0945,-0.0945
0.765,0.76,0.77,0.2505,0.0967,-0.0967
0.775,0.77,0.78,0.2533,0.0987,-0.0987
0.785,0.78,0.79,0.2557,0.1005,-0.1005
0.795,0.79,0.8,0.2579,0.102,-0.102
0.805,0.8,0.81,0.2598,0.1032,-0.1032
0.815,0.81,0.82,0.2614,0.1041,-0.1041
0.825,0.82,0.83,0.2628,0.1048,-0.1048
0.835,0.83,0.84,0.264,0.1052,-0.1052
0.845,0.84,0.85,0.265,0.1053,-0.1053
0.855,0.85,0.86,0.2657,0.1051,-0.1051
0.865,0.86,0.87,0.2663,0.1047,-0.1047
0.875,0.87,0.88,0.2667,0.104,-0.104
0.885,0.88,0.89,0.267,0.1032,-0.1032
0.895,0.89,0.9,0.2672,0.1022,-0.1022
0.905,0.9,0.91,0.2673,0.1012,-0.1012
0.915,0.91,0.92,0.2673,0.1002,-0.1002
0.925,0.92,0.93,0.2673,0.0993,-0.0993
0.935,0.93,0.94,0.2673,0.0986,-0.0986
0.945,0.94,0.95,0.2674,0.0984,-0.0984
0.955,0.95,0.96,0.2674,0.0987,-0.0987
0.965,0.96,0.97,0.2676,0.0997,-0.0997
0.975,0.97,0.98,0.2679,0.1017,-0.1017
0.985,0.98,0.99,0.2684,0.1046,-0.1046
0.995,0.99,1.0,0.269,0.1087,-0.1087
1.005,1.0,1.01,0.27,0.114,-0.114
1.0150000000000001,1.01,1.02,0.2713,0.1207,-0.1207
1.025,1.02,1.03,0.2729,0.1286,-0.1286
1.0350000000000001,1.03,1.04,0.275,0.1379,-0.1379
1.045,1.04,1.05,0.2776,0.1485,-0.1485
1.0550000000000002,1.05,1.06,0.2808,0.1603,-0.1603
1.065,1.06,1.07,0.2848,0.1734,-0.1734
1.0750000000000002,1.07,1.08,0.2895,0.1876,-0.1876
