#: table_doi: 10.17182/hepdata.74824.v1/t173
#: name: Table 173
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table173.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=00)",error +,error -
0.405,0.4,0.41,0.5674,0.0691,-0.0691
0.415,0.41,0.42,0.5851,0.0739,-0.0739
0.425,0.42,0.43,0.599,0.0775,-0.0775
0.435,0.43,0.44,0.6092,0.0794,-0.0794
0.445,0.44,0.45,0.6161,0.0799,-0.0799
0.455,0.45,0.46,0.6203,0.0791,-0.0791
0.46499999999999997,0.46,0.47,0.6221,0.0772,-0.0772
0.475,0.47,0.48,0.6219,0.0746,-0.0746
0.485,0.48,0.49,0.6201,0.0714,-0.0714
0.495,0.49,0.5,0.6169,0.0678,-0.0678
0.505,0.5,0.51,0.6126,0.0639,-0.0639
0.515,0.51,0.52,0.6073,0.0598,-0.0598
0.525,0.52,0.53,0.6012,0.0556,-0.0556
0.535,0.53,0.54,0.5944,0.0515,-0.0515
0.545,0.54,0.55,0.587,0.0476,-0.0476
0.555,0.55,0.56,0.579,0.044,-0.044
0.565,0.56,0.57,0.5706,0.041,-0.041
0.575,0.57,0.58,0.5619,0.0385,-0.0385
0.585,0.58,0.59,0.5527,0.0366,-0.0366
0.595,0.59,0.6,0.5433,0.0353,-0.0353
0.605,0.6,0.61,0.5335,0.0343,-0.0343
0.615,0.61,0.62,0.5236,0.0336,-0.0336
0.625,0.62,0.63,0.5133,0.0328,-0.0328
0.635,0.63,0.64,0.5029,0.032,-0.032
0.645,0.64,0.65,0.4922,0.0309,-0.0309
0.655,0.65,0.66,0.4813,0.0295,-0.0295
0.665,0.66,0.67,0.4702,0.0278,-0.0278
0.675,0.67,0.68,0.459,0.0259,-0.0259
0.685,0.68,0.69,0.4476,0.0239,-0.0239
0.695,0.69,0.7,0.4361,0.022,-0.022
0.705,0.7,0.71,0.4245,0.0203,-0.0203
0.715,0.71,0.72,0.4128,0.019,-0.019
0.725,0.72,0.73,0.4011,0.0181,-0.0181
0.735,0.73,0.74,0.3895,0.0175,-0.0175
0.745,0.74,0.75,0.3779,0.0173,-0.0173
0.755,0.75,0.76,0.3665,0.0171,-0.0171
0.765,0.76,0.77,0.3554,0.017,-0.017
0.775,0.77,0.78,0.3447,0.0169,-0.0169
0.785,0.78,0.79,0.3345,0.0169,-0.0169
0.795,0.79,0.8,0.325,0.0171,-0.0171
0.805,0.8,0.81,0.3164,0.018,-0.018
0.815,0.81,0.82,0.3088,0.0197,-0.0197
0.825,0.82,0.83,0.3023,0.0224,-0.0224
0.835,0.83,0.84,0.297,0.026,-0.026
0.845,0.84,0.85,0.2929,0.0301,-0.0301
0.855,0.85,0.86,0.2899,0.0345,-0.0345
0.865,0.86,0.87,0.288,0.0389,-0.0389
0.875,0.87,0.88,0.2871,0.0431,-0.0431
0.885,0.88,0.89,0.287,0.0467,-0.0467
