#: table_doi: 10.17182/hepdata.74824.v1/t163
#: name: Table 163
#: description: Fp wave cross section for -T.

#: data_file: Table163.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1129,0.0534,-0.0534
0.415,0.41,0.42,0.1299,0.0614,-0.0614
0.425,0.42,0.43,0.1474,0.0697,-0.0697
0.435,0.43,0.44,0.1653,0.0781,-0.0781
0.445,0.44,0.45,0.1834,0.0866,-0.0866
0.455,0.45,0.46,0.2017,0.0951,-0.0951
0.46499999999999997,0.46,0.47,0.2199,0.1036,-0.1036
0.475,0.47,0.48,0.238,0.1121,-0.1121
0.485,0.48,0.49,0.256,0.1204,-0.1204
0.495,0.49,0.5,0.2737,0.1287,-0.1287
0.505,0.5,0.51,0.291,0.1367,-0.1367
0.515,0.51,0.52,0.308,0.1446,-0.1446
0.525,0.52,0.53,0.3244,0.1522,-0.1522
0.535,0.53,0.54,0.3404,0.1595,-0.1595
0.545,0.54,0.55,0.3558,0.1666,-0.1666
0.555,0.55,0.56,0.3706,0.1733,-0.1733
0.565,0.56,0.57,0.3847,0.1798,-0.1798
0.575,0.57,0.58,0.3982,0.1859,-0.1859
0.585,0.58,0.59,0.4109,0.1916,-0.1916
0.595,0.59,0.6,0.4229,0.197,-0.197
0.605,0.6,0.61,0.4341,0.202,-0.202
0.615,0.61,0.62,0.4446,0.2067,-0.2067
0.625,0.62,0.63,0.4543,0.2109,-0.2109
0.635,0.63,0.64,0.4632,0.2148,-0.2148
0.645,0.64,0.65,0.4712,0.2182,-0.2182
0.655,0.65,0.66,0.4785,0.2213,-0.2213
0.665,0.66,0.67,0.4849,0.224,-0.224
0.675,0.67,0.68,0.4904,0.2263,-0.2263
0.685,0.68,0.69,0.4952,0.2281,-0.2281
0.695,0.69,0.7,0.4991,0.2296,-0.2296
0.705,0.7,0.71,0.5022,0.2307,-0.2307
0.715,0.71,0.72,0.5045,0.2314,-0.2314
0.725,0.72,0.73,0.506,0.2317,-0.2317
0.735,0.73,0.74,0.5066,0.2317,-0.2317
0.745,0.74,0.75,0.5065,0.2312,-0.2312
0.755,0.75,0.76,0.5055,0.2304,-0.2304
0.765,0.76,0.77,0.5038,0.2292,-0.2292
0.775,0.77,0.78,0.5014,0.2277,-0.2277
0.785,0.78,0.79,0.4982,0.2258,-0.2258
0.795,0.79,0.8,0.4942,0.2236,-0.2236
0.805,0.8,0.81,0.4896,0.2211,-0.2211
0.815,0.81,0.82,0.4842,0.2183,-0.2183
0.825,0.82,0.83,0.4782,0.2152,-0.2152
0.835,0.83,0.84,0.4716,0.2118,-0.2118
0.845,0.84,0.85,0.4643,0.2081,-0.2081
0.855,0.85,0.86,0.4564,0.2041,-0.2041
0.865,0.86,0.87,0.4479,0.1999,-0.1999
0.875,0.87,0.88,0.4389,0.1955,-0.1955
0.885,0.88,0.89,0.4294,0.1909,-0.1909
0.895,0.89,0.9,0.4194,0.1861,-0.1861
0.905,0.9,0.91,0.4089,0.1811,-0.1811
0.915,0.91,0.92,0.398,0.176,-0.176
0.925,0.92,0.93,0.3866,0.1707,-0.1707
0.935,0.93,0.94,0.375,0.1653,-0.1653
0.945,0.94,0.95,0.363,0.1598,-0.1598
0.955,0.95,0.96,0.3507,0.1543,-0.1543
0.965,0.96,0.97,0.3381,0.1487,-0.1487
0.975,0.97,0.98,0.3254,0.1431,-0.1431
0.985,0.98,0.99,0.3125,0.1375,-0.1375
0.995,0.99,1.0,0.2994,0.1319,-0.1319
1.005,1.0,1.01,0.2863,0.1264,-0.1264
1.0150000000000001,1.01,1.02,0.2731,0.1209,-0.1209
1.025,1.02,1.03,0.2599,0.1156,-0.1156
1.0350000000000001,1.03,1.04,0.2468,0.1104,-0.1104
1.045,1.04,1.05,0.2338,0.1054,-0.1054
1.0550000000000002,1.05,1.06,0.2209,0.1006,-0.1006
1.065,1.06,1.07,0.2082,0.096,-0.096
1.0750000000000002,1.07,1.08,0.1958,0.0917,-0.0917
1.085,1.08,1.09,0.1837,0.0876,-0.0876
1.0950000000000002,1.09,1.1,0.172,0.0838,-0.0838
1.105,1.1,1.11,0.1606,0.0803,-0.0803
1.1150000000000002,1.11,1.12,0.1498,0.0772,-0.0772
1.125,1.12,1.13,0.1395,0.0743,-0.0743
1.1349999999999998,1.13,1.14,0.1298,0.0718,-0.0718
1.145,1.14,1.15,0.1207,0.0696,-0.0696
1.1549999999999998,1.15,1.16,0.1124,0.0677,-0.0677
1.165,1.16,1.17,0.1049,0.0662,-0.0662
1.1749999999999998,1.17,1.18,0.0982,0.0648,-0.0648
1.185,1.18,1.19,0.0924,0.0638,-0.0638
1.1949999999999998,1.19,1.2,0.0877,0.063,-0.063
1.205,1.2,1.21,0.084,0.0625,-0.0625
1.2149999999999999,1.21,1.22,0.0815,0.0623,-0.0623
1.225,1.22,1.23,0.0801,0.0624,-0.0624
1.2349999999999999,1.23,1.24,0.0801,0.063,-0.063
1.245,1.24,1.25,0.0814,0.064,-0.064
1.255,1.25,1.26,0.0842,0.0655,-0.0655
1.2650000000000001,1.26,1.27,0.0885,0.0678,-0.0678
1.275,1.27,1.28,0.0944,0.0708,-0.0708
1.2850000000000001,1.28,1.29,0.102,0.0749,-0.0749
1.295,1.29,1.3,0.1114,0.0799,-0.0799
1.3050000000000002,1.3,1.31,0.1227,0.0861,-0.0861
1.315,1.31,1.32,0.1359,0.0936,-0.0936
1.3250000000000002,1.32,1.33,0.1511,0.1024,-0.1024
1.335,1.33,1.34,0.1685,0.1126,-0.1126
1.3450000000000002,1.34,1.35,0.1882,0.1242,-0.1242
1.355,1.35,1.36,0.2101,0.1373,-0.1373
1.3650000000000002,1.36,1.37,0.2345,0.1518,-0.1518
1.375,1.37,1.38,0.2615,0.1679,-0.1679
1.3849999999999998,1.38,1.39,0.291,0.1856,-0.1856
