#: table_doi: 10.17182/hepdata.74824.v1/t125
#: name: Table 125
#: description: D wave cross section for -T.

#: data_file: Table125.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1484,0.0889,-0.0889
0.415,0.41,0.42,0.1475,0.0864,-0.0864
0.425,0.42,0.43,0.1481,0.085,-0.085
0.435,0.43,0.44,0.1501,0.085,-0.085
0.445,0.44,0.45,0.1534,0.0862,-0.0862
0.455,0.45,0.46,0.1578,0.0886,-0.0886
0.46499999999999997,0.46,0.47,0.1633,0.0922,-0.0922
0.475,0.47,0.48,0.1697,0.0969,-0.0969
0.485,0.48,0.49,0.1768,0.1024,-0.1024
0.495,0.49,0.5,0.1847,0.1086,-0.1086
0.505,0.5,0.51,0.1932,0.1154,-0.1154
0.515,0.51,0.52,0.2022,0.1226,-0.1226
0.525,0.52,0.53,0.2117,0.13,-0.13
0.535,0.53,0.54,0.2215,0.1377,-0.1377
0.545,0.54,0.55,0.2317,0.1454,-0.1454
0.555,0.55,0.56,0.2421,0.1532,-0.1532
0.565,0.56,0.57,0.2526,0.1608,-0.1608
0.575,0.57,0.58,0.2634,0.1684,-0.1684
0.585,0.58,0.59,0.2742,0.1757,-0.1757
0.595,0.59,0.6,0.285,0.1829,-0.1829
0.605,0.6,0.61,0.2959,0.1897,-0.1897
0.615,0.61,0.62,0.3067,0.1963,-0.1963
0.625,0.62,0.63,0.3175,0.2026,-0.2026
0.635,0.63,0.64,0.3282,0.2085,-0.2085
0.645,0.64,0.65,0.3388,0.2141,-0.2141
0.655,0.65,0.66,0.3493,0.2193,-0.2193
0.665,0.66,0.67,0.3596,0.2242,-0.2242
0.675,0.67,0.68,0.3698,0.2287,-0.2287
0.685,0.68,0.69,0.3797,0.2329,-0.2329
0.695,0.69,0.7,0.3895,0.2366,-0.2366
0.705,0.7,0.71,0.3991,0.2401,-0.2401
