#: table_doi: 10.17182/hepdata.74824.v1/t108
#: name: Table 108
#: description: Pm wave cross section for -T.

#: data_file: Table108.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0302,0.0205,-0.0205
0.415,0.41,0.42,0.0315,0.022,-0.022
0.425,0.42,0.43,0.0327,0.0234,-0.0234
0.435,0.43,0.44,0.0338,0.0247,-0.0247
0.445,0.44,0.45,0.0347,0.0259,-0.0259
0.455,0.45,0.46,0.0356,0.0269,-0.0269
0.46499999999999997,0.46,0.47,0.0364,0.0279,-0.0279
0.475,0.47,0.48,0.0371,0.0286,-0.0286
0.485,0.48,0.49,0.0377,0.0293,-0.0293
0.495,0.49,0.5,0.0382,0.0298,-0.0298
0.505,0.5,0.51,0.0388,0.0303,-0.0303
0.515,0.51,0.52,0.0393,0.0306,-0.0306
0.525,0.52,0.53,0.0399,0.0308,-0.0308
0.535,0.53,0.54,0.0406,0.0309,-0.0309
0.545,0.54,0.55,0.0414,0.0309,-0.0309
0.555,0.55,0.56,0.0425,0.0309,-0.0309
0.565,0.56,0.57,0.0438,0.0309,-0.0309
0.575,0.57,0.58,0.0454,0.0309,-0.0309
0.585,0.58,0.59,0.0476,0.031,-0.031
0.595,0.59,0.6,0.0504,0.0313,-0.0313
0.605,0.6,0.61,0.054,0.0319,-0.0319
0.615,0.61,0.62,0.0586,0.033,-0.033
0.625,0.62,0.63,0.0646,0.0346,-0.0346
0.635,0.63,0.64,0.0723,0.037,-0.037
0.645,0.64,0.65,0.0821,0.0404,-0.0404
0.655,0.65,0.66,0.0946,0.045,-0.045
0.665,0.66,0.67,0.1105,0.051,-0.051
0.675,0.67,0.68,0.1305,0.0586,-0.0586
0.685,0.68,0.69,0.1555,0.0681,-0.0681
0.695,0.69,0.7,0.1863,0.0796,-0.0796
0.705,0.7,0.71,0.2234,0.0934,-0.0934
0.715,0.71,0.72,0.2667,0.1092,-0.1092
0.725,0.72,0.73,0.3149,0.1267,-0.1267
0.735,0.73,0.74,0.3652,0.145,-0.145
0.745,0.74,0.75,0.4129,0.1625,-0.1625
0.755,0.75,0.76,0.4526,0.1777,-0.1777
0.765,0.76,0.77,0.4794,0.1889,-0.1889
0.775,0.77,0.78,0.4909,0.1953,-0.1953
0.785,0.78,0.79,0.4875,0.197,-0.197
0.795,0.79,0.8,0.4722,0.1947,-0.1947
