#: table_doi: 10.17182/hepdata.74824.v1/t186
#: name: Table 186
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table186.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0184,0.0109,-0.0109
0.415,0.41,0.42,-0.0132,0.009,-0.009
0.425,0.42,0.43,-0.0076,0.0081,-0.0081
0.435,0.43,0.44,-0.0017,0.0077,-0.0077
0.445,0.44,0.45,0.0044,0.0078,-0.0078
0.455,0.45,0.46,0.0104,0.0081,-0.0081
0.46499999999999997,0.46,0.47,0.0163,0.0086,-0.0086
0.475,0.47,0.48,0.0222,0.0092,-0.0092
0.485,0.48,0.49,0.0279,0.01,-0.01
0.495,0.49,0.5,0.0336,0.0109,-0.0109
0.505,0.5,0.51,0.0393,0.0119,-0.0119
0.515,0.51,0.52,0.0449,0.013,-0.013
0.525,0.52,0.53,0.0504,0.0143,-0.0143
0.535,0.53,0.54,0.056,0.0156,-0.0156
0.545,0.54,0.55,0.0615,0.0169,-0.0169
0.555,0.55,0.56,0.0671,0.0182,-0.0182
0.565,0.56,0.57,0.0726,0.0195,-0.0195
0.575,0.57,0.58,0.078,0.0208,-0.0208
0.585,0.58,0.59,0.0833,0.0219,-0.0219
0.595,0.59,0.6,0.0884,0.0229,-0.0229
0.605,0.6,0.61,0.0934,0.0237,-0.0237
0.615,0.61,0.62,0.0982,0.0243,-0.0243
0.625,0.62,0.63,0.1028,0.0248,-0.0248
0.635,0.63,0.64,0.1071,0.025,-0.025
0.645,0.64,0.65,0.1113,0.025,-0.025
0.655,0.65,0.66,0.1153,0.0248,-0.0248
0.665,0.66,0.67,0.1192,0.0245,-0.0245
0.675,0.67,0.68,0.123,0.0241,-0.0241
0.685,0.68,0.69,0.1269,0.0237,-0.0237
0.695,0.69,0.7,0.1308,0.0232,-0.0232
0.705,0.7,0.71,0.1348,0.0226,-0.0226
0.715,0.71,0.72,0.1389,0.0221,-0.0221
0.725,0.72,0.73,0.1432,0.0216,-0.0216
0.735,0.73,0.74,0.1475,0.0212,-0.0212
0.745,0.74,0.75,0.1519,0.0208,-0.0208
0.755,0.75,0.76,0.1561,0.0207,-0.0207
0.765,0.76,0.77,0.16,0.0209,-0.0209
0.775,0.77,0.78,0.1634,0.0214,-0.0214
0.785,0.78,0.79,0.1661,0.0222,-0.0222
0.795,0.79,0.8,0.1679,0.0232,-0.0232
0.805,0.8,0.81,0.1684,0.0243,-0.0243
0.815,0.81,0.82,0.1676,0.0253,-0.0253
0.825,0.82,0.83,0.1652,0.0262,-0.0262
0.835,0.83,0.84,0.1612,0.0269,-0.0269
0.845,0.84,0.85,0.1557,0.0273,-0.0273
0.855,0.85,0.86,0.1486,0.0275,-0.0275
0.865,0.86,0.87,0.1401,0.0274,-0.0274
0.875,0.87,0.88,0.1303,0.027,-0.027
0.885,0.88,0.89,0.1195,0.0264,-0.0264
0.895,0.89,0.9,0.1079,0.0256,-0.0256
0.905,0.9,0.91,0.0957,0.0247,-0.0247
0.915,0.91,0.92,0.083,0.0237,-0.0237
0.925,0.92,0.93,0.07,0.0228,-0.0228
0.935,0.93,0.94,0.0568,0.0219,-0.0219
0.945,0.94,0.95,0.0435,0.0211,-0.0211
0.955,0.95,0.96,0.0302,0.0205,-0.0205
0.965,0.96,0.97,0.0168,0.0202,-0.0202
0.975,0.97,0.98,0.0033,0.0203,-0.0203
0.985,0.98,0.99,-0.011,0.0211,-0.0211
0.995,0.99,1.0,-0.0267,0.0223,-0.0223
1.005,1.0,1.01,-0.0428,0.023,-0.023
1.0150000000000001,1.01,1.02,-0.0585,0.0236,-0.0236
1.025,1.02,1.03,-0.0733,0.0241,-0.0241
1.0350000000000001,1.03,1.04,-0.0871,0.0246,-0.0246
1.045,1.04,1.05,-0.0995,0.0252,-0.0252
1.0550000000000002,1.05,1.06,-0.1107,0.0258,-0.0258
1.065,1.06,1.07,-0.1207,0.0264,-0.0264
1.0750000000000002,1.07,1.08,-0.1295,0.027,-0.027
1.085,1.08,1.09,-0.1373,0.0275,-0.0275
1.0950000000000002,1.09,1.1,-0.1441,0.0279,-0.0279
1.105,1.1,1.11,-0.15,0.0283,-0.0283
1.1150000000000002,1.11,1.12,-0.1553,0.0286,-0.0286
1.125,1.12,1.13,-0.1599,0.0288,-0.0288
1.1349999999999998,1.13,1.14,-0.164,0.029,-0.029
1.145,1.14,1.15,-0.1676,0.029,-0.029
1.1549999999999998,1.15,1.16,-0.1707,0.029,-0.029
1.165,1.16,1.17,-0.1736,0.0289,-0.0289
1.1749999999999998,1.17,1.18,-0.1761,0.0286,-0.0286
1.185,1.18,1.19,-0.1784,0.0283,-0.0283
1.1949999999999998,1.19,1.2,-0.1805,0.0278,-0.0278
1.205,1.2,1.21,-0.1825,0.0272,-0.0272
1.2149999999999999,1.21,1.22,-0.1845,0.0266,-0.0266
1.225,1.22,1.23,-0.1866,0.0258,-0.0258
1.2349999999999999,1.23,1.24,-0.189,0.0251,-0.0251
1.245,1.24,1.25,-0.1919,0.0243,-0.0243
1.255,1.25,1.26,-0.1956,0.0236,-0.0236
1.2650000000000001,1.26,1.27,-0.2001,0.0231,-0.0231
1.275,1.27,1.28,-0.2057,0.0229,-0.0229
1.2850000000000001,1.28,1.29,-0.2125,0.0229,-0.0229
1.295,1.29,1.3,-0.2205,0.0234,-0.0234
1.3050000000000002,1.3,1.31,-0.2295,0.0243,-0.0243
1.315,1.31,1.32,-0.2393,0.0256,-0.0256
1.3250000000000002,1.32,1.33,-0.2497,0.0275,-0.0275
1.335,1.33,1.34,-0.2602,0.0297,-0.0297
1.3450000000000002,1.34,1.35,-0.2707,0.0323,-0.0323
1.355,1.35,1.36,-0.2805,0.0352,-0.0352
1.3650000000000002,1.36,1.37,-0.2893,0.0382,-0.0382
1.375,1.37,1.38,-0.2967,0.0413,-0.0413
1.3849999999999998,1.38,1.39,-0.3022,0.0443,-0.0443
1.395,1.39,1.4,-0.3054,0.0474,-0.0474

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0337,0.0126,-0.0126
0.415,0.41,0.42,-0.0276,0.0104,-0.0104
0.425,0.42,0.43,-0.0205,0.0091,-0.0091
0.435,0.43,0.44,-0.0128,0.0086,-0.0086
0.445,0.44,0.45,-0.0048,0.0089,-0.0089
0.455,0.45,0.46,0.0034,0.0099,-0.0099
0.46499999999999997,0.46,0.47,0.0115,0.0113,-0.0113
0.475,0.47,0.48,0.0194,0.013,-0.013
0.485,0.48,0.49,0.0273,0.0148,-0.0148
0.495,0.49,0.5,0.035,0.0168,-0.0168
0.505,0.5,0.51,0.0426,0.0188,-0.0188
0.515,0.51,0.52,0.0501,0.0209,-0.0209
0.525,0.52,0.53,0.0575,0.023,-0.023
0.535,0.53,0.54,0.0649,0.0251,-0.0251
0.545,0.54,0.55,0.0722,0.0271,-0.0271
0.555,0.55,0.56,0.0794,0.0291,-0.0291
0.565,0.56,0.57,0.0866,0.0311,-0.0311
0.575,0.57,0.58,0.0936,0.0328,-0.0328
0.585,0.58,0.59,0.1004,0.0344,-0.0344
0.595,0.59,0.6,0.107,0.0358,-0.0358
0.605,0.6,0.61,0.1133,0.0369,-0.0369
0.615,0.61,0.62,0.1192,0.0377,-0.0377
0.625,0.62,0.63,0.1248,0.0382,-0.0382
0.635,0.63,0.64,0.1299,0.0385,-0.0385
0.645,0.64,0.65,0.1346,0.0384,-0.0384
0.655,0.65,0.66,0.1389,0.0381,-0.0381
0.665,0.66,0.67,0.1428,0.0376,-0.0376
0.675,0.67,0.68,0.1463,0.0368,-0.0368
0.685,0.68,0.69,0.1496,0.0359,-0.0359
0.695,0.69,0.7,0.1527,0.0349,-0.0349
0.705,0.7,0.71,0.1556,0.0338,-0.0338
0.715,0.71,0.72,0.1585,0.0327,-0.0327
0.725,0.72,0.73,0.1613,0.0315,-0.0315
0.735,0.73,0.74,0.1641,0.0303,-0.0303
0.745,0.74,0.75,0.1668,0.0292,-0.0292
0.755,0.75,0.76,0.1695,0.0281,-0.0281
0.765,0.76,0.77,0.1721,0.0273,-0.0273
0.775,0.77,0.78,0.1744,0.0268,-0.0268
0.785,0.78,0.79,0.1762,0.0266,-0.0266
0.795,0.79,0.8,0.1774,0.0268,-0.0268
0.805,0.8,0.81,0.1777,0.0273,-0.0273
0.815,0.81,0.82,0.1771,0.0281,-0.0281
0.825,0.82,0.83,0.1751,0.0292,-0.0292
0.835,0.83,0.84,0.1719,0.0304,-0.0304
0.845,0.84,0.85,0.1672,0.0316,-0.0316
0.855,0.85,0.86,0.161,0.0328,-0.0328
0.865,0.86,0.87,0.1535,0.0338,-0.0338
0.875,0.87,0.88,0.1446,0.0346,-0.0346
0.885,0.88,0.89,0.1347,0.0352,-0.0352
0.895,0.89,0.9,0.1239,0.0355,-0.0355
0.905,0.9,0.91,0.1123,0.0356,-0.0356
0.915,0.91,0.92,0.1003,0.0353,-0.0353
0.925,0.92,0.93,0.088,0.0349,-0.0349
0.935,0.93,0.94,0.0755,0.0342,-0.0342
0.945,0.94,0.95,0.063,0.0333,-0.0333
0.955,0.95,0.96,0.0506,0.0324,-0.0324
0.965,0.96,0.97,0.0383,0.0314,-0.0314
0.975,0.97,0.98,0.0264,0.0307,-0.0307
0.985,0.98,0.99,0.0143,0.0309,-0.0309
0.995,0.99,1.0,0.0014,0.0306,-0.0306
1.005,1.0,1.01,-0.0134,0.0292,-0.0292
1.0150000000000001,1.01,1.02,-0.0286,0.028,-0.028
1.025,1.02,1.03,-0.0439,0.027,-0.027
1.0350000000000001,1.03,1.04,-0.0588,0.026,-0.026
1.045,1.04,1.05,-0.0733,0.0252,-0.0252
1.0550000000000002,1.05,1.06,-0.0872,0.0244,-0.0244
1.065,1.06,1.07,-0.1002,0.0239,-0.0239
1.0750000000000002,1.07,1.08,-0.1124,0.0237,-0.0237
1.085,1.08,1.09,-0.1237,0.0237,-0.0237
1.0950000000000002,1.09,1.1,-0.1341,0.0241,-0.0241
1.105,1.1,1.11,-0.1436,0.0246,-0.0246
1.1150000000000002,1.11,1.12,-0.1522,0.0254,-0.0254
1.125,1.12,1.13,-0.1599,0.0263,-0.0263
1.1349999999999998,1.13,1.14,-0.1666,0.0272,-0.0272
1.145,1.14,1.15,-0.1725,0.0281,-0.0281
1.1549999999999998,1.15,1.16,-0.1774,0.0289,-0.0289
1.165,1.16,1.17,-0.1814,0.0295,-0.0295
1.1749999999999998,1.17,1.18,-0.1845,0.0299,-0.0299
1.185,1.18,1.19,-0.1867,0.03,-0.03
1.1949999999999998,1.19,1.2,-0.1881,0.0298,-0.0298
1.205,1.2,1.21,-0.1888,0.0293,-0.0293
1.2149999999999999,1.21,1.22,-0.1891,0.0286,-0.0286
1.225,1.22,1.23,-0.1891,0.0278,-0.0278
1.2349999999999999,1.23,1.24,-0.1893,0.0268,-0.0268
1.245,1.24,1.25,-0.1902,0.0259,-0.0259
1.255,1.25,1.26,-0.1922,0.0252,-0.0252
1.2650000000000001,1.26,1.27,-0.1957,0.0248,-0.0248
1.275,1.27,1.28,-0.2011,0.0247,-0.0247
1.2850000000000001,1.28,1.29,-0.2086,0.0253,-0.0253
1.295,1.29,1.3,-0.218,0.0264,-0.0264
1.3050000000000002,1.3,1.31,-0.2293,0.0281,-0.0281
1.315,1.31,1.32,-0.2418,0.0303,-0.0303
1.3250000000000002,1.32,1.33,-0.2549,0.0328,-0.0328
1.335,1.33,1.34,-0.2678,0.0354,-0.0354
1.3450000000000002,1.34,1.35,-0.2795,0.0378,-0.0378
1.355,1.35,1.36,-0.2888,0.0395,-0.0395
1.3650000000000002,1.36,1.37,-0.2948,0.0405,-0.0405
1.375,1.37,1.38,-0.2965,0.041,-0.041
1.3849999999999998,1.38,1.39,-0.2932,0.0414,-0.0414
1.395,1.39,1.4,-0.2846,0.0424,-0.0424

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0128,0.0151,-0.0151
