#: table_doi: 10.17182/hepdata.74824.v1/t175
#: name: Table 175
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table175.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0053,0.0284,-0.0284
0.415,0.41,0.42,-0.0008,0.0284,-0.0284
0.425,0.42,0.43,-0.0056,0.0283,-0.0283
0.435,0.43,0.44,-0.0094,0.0279,-0.0279
0.445,0.44,0.45,-0.0123,0.0274,-0.0274
0.455,0.45,0.46,-0.0144,0.0268,-0.0268
0.46499999999999997,0.46,0.47,-0.016,0.0262,-0.0262
0.475,0.47,0.48,-0.0172,0.0256,-0.0256
0.485,0.48,0.49,-0.0182,0.0251,-0.0251
0.495,0.49,0.5,-0.019,0.0248,-0.0248
0.505,0.5,0.51,-0.0197,0.0245,-0.0245
0.515,0.51,0.52,-0.0204,0.0243,-0.0243
0.525,0.52,0.53,-0.0211,0.024,-0.024
0.535,0.53,0.54,-0.0218,0.0236,-0.0236
0.545,0.54,0.55,-0.0225,0.0231,-0.0231
0.555,0.55,0.56,-0.023,0.0225,-0.0225
0.565,0.56,0.57,-0.0234,0.0217,-0.0217
0.575,0.57,0.58,-0.0236,0.0208,-0.0208
0.585,0.58,0.59,-0.0234,0.0198,-0.0198
0.595,0.59,0.6,-0.023,0.019,-0.019
0.605,0.6,0.61,-0.0221,0.0184,-0.0184
0.615,0.61,0.62,-0.0208,0.0179,-0.0179
0.625,0.62,0.63,-0.0191,0.0178,-0.0178
0.635,0.63,0.64,-0.0168,0.0178,-0.0178
0.645,0.64,0.65,-0.0142,0.018,-0.018
0.655,0.65,0.66,-0.011,0.0183,-0.0183
0.665,0.66,0.67,-0.0075,0.0185,-0.0185
0.675,0.67,0.68,-0.0035,0.0185,-0.0185
0.685,0.68,0.69,0.0009,0.0184,-0.0184
0.695,0.69,0.7,0.0057,0.0181,-0.0181
0.705,0.7,0.71,0.0108,0.0175,-0.0175
0.715,0.71,0.72,0.0162,0.0169,-0.0169
0.725,0.72,0.73,0.022,0.016,-0.016
0.735,0.73,0.74,0.028,0.0152,-0.0152
0.745,0.74,0.75,0.0344,0.0143,-0.0143
0.755,0.75,0.76,0.041,0.0135,-0.0135
0.765,0.76,0.77,0.0479,0.0127,-0.0127
0.775,0.77,0.78,0.0551,0.0122,-0.0122
0.785,0.78,0.79,0.0626,0.0117,-0.0117
0.795,0.79,0.8,0.0703,0.0115,-0.0115
0.805,0.8,0.81,0.0784,0.0113,-0.0113
0.815,0.81,0.82,0.0866,0.0113,-0.0113
0.825,0.82,0.83,0.0951,0.0115,-0.0115
0.835,0.83,0.84,0.1038,0.0117,-0.0117
0.845,0.84,0.85,0.1126,0.0121,-0.0121
0.855,0.85,0.86,0.1214,0.0127,-0.0127
0.865,0.86,0.87,0.1302,0.0135,-0.0135
0.875,0.87,0.88,0.1388,0.0144,-0.0144
0.885,0.88,0.89,0.1472,0.0154,-0.0154
0.895,0.89,0.9,0.1553,0.0166,-0.0166
0.905,0.9,0.91,0.163,0.0176,-0.0176
0.915,0.91,0.92,0.1701,0.0186,-0.0186
0.925,0.92,0.93,0.1766,0.0192,-0.0192
0.935,0.93,0.94,0.1825,0.0194,-0.0194
0.945,0.94,0.95,0.1875,0.019,-0.019
0.955,0.95,0.96,0.1918,0.0177,-0.0177
0.965,0.96,0.97,0.1953,0.0154,-0.0154
0.975,0.97,0.98,0.1987,0.0136,-0.0136
0.985,0.98,0.99,0.2075,0.0194,-0.0194
0.995,0.99,1.0,0.22,0.0222,-0.0222
1.005,1.0,1.01,0.2202,0.0186,-0.0186
1.0150000000000001,1.01,1.02,0.2239,0.0169,-0.0169
1.025,1.02,1.03,0.2285,0.0158,-0.0158
1.0350000000000001,1.03,1.04,0.2332,0.0152,-0.0152
1.045,1.04,1.05,0.2378,0.015,-0.015
1.0550000000000002,1.05,1.06,0.2421,0.0152,-0.0152
1.065,1.06,1.07,0.246,0.0155,-0.0155
1.0750000000000002,1.07,1.08,0.2495,0.0161,-0.0161
1.085,1.08,1.09,0.2524,0.0167,-0.0167
1.0950000000000002,1.09,1.1,0.2547,0.0174,-0.0174
1.105,1.1,1.11,0.2564,0.018,-0.018
1.1150000000000002,1.11,1.12,0.2576,0.0187,-0.0187
1.125,1.12,1.13,0.2581,0.0192,-0.0192
1.1349999999999998,1.13,1.14,0.2581,0.0198,-0.0198
1.145,1.14,1.15,0.2576,0.0202,-0.0202
1.1549999999999998,1.15,1.16,0.2565,0.0206,-0.0206
1.165,1.16,1.17,0.2549,0.021,-0.021
1.1749999999999998,1.17,1.18,0.2529,0.0213,-0.0213
1.185,1.18,1.19,0.2505,0.0215,-0.0215
