#: table_doi: 10.17182/hepdata.74824.v1/t117
#: name: Table 117
#: description: Pp wave cross section for -T.

#: data_file: Table117.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.099,0.0273,-0.0273
0.415,0.41,0.42,0.1098,0.0296,-0.0296
0.425,0.42,0.43,0.1214,0.0321,-0.0321
0.435,0.43,0.44,0.1341,0.0349,-0.0349
0.445,0.44,0.45,0.1479,0.0378,-0.0378
0.455,0.45,0.46,0.1631,0.0411,-0.0411
0.46499999999999997,0.46,0.47,0.1799,0.0446,-0.0446
0.475,0.47,0.48,0.1985,0.0486,-0.0486
0.485,0.48,0.49,0.2192,0.053,-0.053
0.495,0.49,0.5,0.2424,0.058,-0.058
0.505,0.5,0.51,0.2683,0.0637,-0.0637
0.515,0.51,0.52,0.2977,0.0701,-0.0701
0.525,0.52,0.53,0.3309,0.0774,-0.0774
0.535,0.53,0.54,0.3687,0.0857,-0.0857
0.545,0.54,0.55,0.4119,0.0951,-0.0951
0.555,0.55,0.56,0.4615,0.1058,-0.1058
0.565,0.56,0.57,0.5187,0.1178,-0.1178
0.575,0.57,0.58,0.585,0.1315,-0.1315
0.585,0.58,0.59,0.6622,0.1469,-0.1469
0.595,0.59,0.6,0.7525,0.1644,-0.1644
0.605,0.6,0.61,0.8586,0.1841,-0.1841
0.615,0.61,0.62,0.9837,0.2062,-0.2062
0.625,0.62,0.63,1.132,0.2312,-0.2312
0.635,0.63,0.64,1.3084,0.2594,-0.2594
