#: table_doi: 10.17182/hepdata.74824.v1/t106
#: name: Table 106
#: description: Pm wave cross section for -T.

#: data_file: Table106.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0567,0.032,-0.032
0.415,0.41,0.42,0.062,0.0339,-0.0339
0.425,0.42,0.43,0.0674,0.0356,-0.0356
0.435,0.43,0.44,0.0732,0.0372,-0.0372
0.445,0.44,0.45,0.0792,0.0387,-0.0387
0.455,0.45,0.46,0.0857,0.0401,-0.0401
0.46499999999999997,0.46,0.47,0.0925,0.0414,-0.0414
0.475,0.47,0.48,0.0998,0.0426,-0.0426
0.485,0.48,0.49,0.1077,0.0439,-0.0439
0.495,0.49,0.5,0.1162,0.0452,-0.0452
0.505,0.5,0.51,0.1254,0.0467,-0.0467
0.515,0.51,0.52,0.1355,0.0486,-0.0486
0.525,0.52,0.53,0.1465,0.051,-0.051
0.535,0.53,0.54,0.1585,0.0542,-0.0542
0.545,0.54,0.55,0.1719,0.0586,-0.0586
0.555,0.55,0.56,0.1866,0.0643,-0.0643
0.565,0.56,0.57,0.203,0.0718,-0.0718
0.575,0.57,0.58,0.2214,0.0813,-0.0813
0.585,0.58,0.59,0.242,0.0934,-0.0934
0.595,0.59,0.6,0.2652,0.1082,-0.1082
0.605,0.6,0.61,0.2915,0.1263,-0.1263
0.615,0.61,0.62,0.3213,0.1482,-0.1482
0.625,0.62,0.63,0.3553,0.1744,-0.1744
0.635,0.63,0.64,0.3943,0.2055,-0.2055
0.645,0.64,0.65,0.4389,0.2425,-0.2425
0.655,0.65,0.66,0.49,0.2861,-0.2861
0.665,0.66,0.67,0.5487,0.3372,-0.3372
0.675,0.67,0.68,0.6155,0.3967,-0.3967
0.685,0.68,0.69,0.6909,0.4651,-0.4651
0.695,0.69,0.7,0.7746,0.5424,-0.5424
0.705,0.7,0.71,0.8648,0.6273,-0.6273
0.715,0.71,0.72,0.9577,0.7166,-0.7166
0.725,0.72,0.73,1.0467,0.8045,-0.8045
0.735,0.73,0.74,1.1224,0.8824,-0.8824
0.745,0.74,0.75,1.1738,0.9402,-0.9402
0.755,0.75,0.76,1.1916,0.9688,-0.9688
0.765,0.76,0.77,1.1717,0.9639,-0.9639
0.775,0.77,0.78,1.117,0.9274,-0.9274
0.785,0.78,0.79,1.037,0.8673,-0.8673
0.795,0.79,0.8,0.9433,0.7943,-0.7943
0.805,0.8,0.81,0.8467,0.7182,-0.7182
0.815,0.81,0.82,0.7548,0.6463,-0.6463
0.825,0.82,0.83,0.6719,0.5825,-0.5825
0.835,0.83,0.84,0.5999,0.5286,-0.5286
0.845,0.84,0.85,0.5388,0.4843,-0.4843
0.855,0.85,0.86,0.4878,0.4489,-0.4489
0.865,0.86,0.87,0.4456,0.4209,-0.4209
0.875,0.87,0.88,0.4112,0.3989,-0.3989
0.885,0.88,0.89,0.3831,0.3817,-0.3817
0.895,0.89,0.9,0.3605,0.3681,-0.3681
0.905,0.9,0.91,0.3424,0.3574,-0.3574
0.915,0.91,0.92,0.328,0.3487,-0.3487
0.925,0.92,0.93,0.3166,0.3417,-0.3417
0.935,0.93,0.94,0.3079,0.3358,-0.3358
0.945,0.94,0.95,0.3012,0.3309,-0.3309
0.955,0.95,0.96,0.2964,0.3267,-0.3267
0.965,0.96,0.97,0.2929,0.323,-0.323
0.975,0.97,0.98,0.2907,0.3198,-0.3198
0.985,0.98,0.99,0.2894,0.3169,-0.3169
0.995,0.99,1.0,0.2889,0.3143,-0.3143
1.005,1.0,1.01,0.289,0.3119,-0.3119
1.0150000000000001,1.01,1.02,0.2895,0.3096,-0.3096
1.025,1.02,1.03,0.2904,0.3075,-0.3075
1.0350000000000001,1.03,1.04,0.2916,0.3055,-0.3055
1.045,1.04,1.05,0.2929,0.3035,-0.3035
1.0550000000000002,1.05,1.06,0.2942,0.3015,-0.3015
1.065,1.06,1.07,0.2956,0.2996,-0.2996
1.0750000000000002,1.07,1.08,0.2968,0.2976,-0.2976
1.085,1.08,1.09,0.2979,0.2957,-0.2957
1.0950000000000002,1.09,1.1,0.2988,0.2936,-0.2936
1.105,1.1,1.11,0.2995,0.2916,-0.2916
1.1150000000000002,1.11,1.12,0.2998,0.2894,-0.2894
1.125,1.12,1.13,0.2999,0.2871,-0.2871
1.1349999999999998,1.13,1.14,0.2995,0.2847,-0.2847
1.145,1.14,1.15,0.2988,0.2821,-0.2821
1.1549999999999998,1.15,1.16,0.2976,0.2794,-0.2794
1.165,1.16,1.17,0.2961,0.2766,-0.2766
1.1749999999999998,1.17,1.18,0.294,0.2736,-0.2736
1.185,1.18,1.19,0.2916,0.2704,-0.2704
1.1949999999999998,1.19,1.2,0.2887,0.2671,-0.2671
1.205,1.2,1.21,0.2854,0.2636,-0.2636
1.2149999999999999,1.21,1.22,0.2816,0.2599,-0.2599
1.225,1.22,1.23,0.2775,0.2561,-0.2561
1.2349999999999999,1.23,1.24,0.273,0.2523,-0.2523
1.245,1.24,1.25,0.2682,0.2483,-0.2483
1.255,1.25,1.26,0.2632,0.2443,-0.2443
1.2650000000000001,1.26,1.27,0.2579,0.2404,-0.2404
1.275,1.27,1.28,0.2525,0.2365,-0.2365
1.2850000000000001,1.28,1.29,0.2471,0.2327,-0.2327
1.295,1.29,1.3,0.2417,0.2292,-0.2292
1.3050000000000002,1.3,1.31,0.2365,0.226,-0.226
1.315,1.31,1.32,0.2316,0.2231,-0.2231
1.3250000000000002,1.32,1.33,0.2271,0.2207,-0.2207
1.335,1.33,1.34,0.2231,0.219,-0.219
1.3450000000000002,1.34,1.35,0.2199,0.2179,-0.2179
1.355,1.35,1.36,0.2177,0.2176,-0.2176
1.3650000000000002,1.36,1.37,0.2165,0.2183,-0.2183
1.375,1.37,1.38,0.2167,0.2199,-0.2199
1.3849999999999998,1.38,1.39,0.2185,0.2227,-0.2227
1.395,1.39,1.4,0.2222,0.2267,-0.2267

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.072,0.0458,-0.0458
0.415,0.41,0.42,0.0763,0.0502,-0.0502
0.425,0.42,0.43,0.0805,0.0549,-0.0549
0.435,0.43,0.44,0.0845,0.0599,-0.0599
0.445,0.44,0.45,0.0884,0.0653,-0.0653
0.455,0.45,0.46,0.0922,0.0711,-0.0711
0.46499999999999997,0.46,0.47,0.096,0.0773,-0.0773
0.475,0.47,0.48,0.0999,0.084,-0.084
0.485,0.48,0.49,0.1037,0.0911,-0.0911
0.495,0.49,0.5,0.1077,0.0988,-0.0988
0.505,0.5,0.51,0.1119,0.1071,-0.1071
0.515,0.51,0.52,0.1164,0.1159,-0.1159
0.525,0.52,0.53,0.1212,0.1253,-0.1253
0.535,0.53,0.54,0.1264,0.1354,-0.1354
0.545,0.54,0.55,0.1323,0.146,-0.146
0.555,0.55,0.56,0.1389,0.1573,-0.1573
0.565,0.56,0.57,0.1464,0.1693,-0.1693
0.575,0.57,0.58,0.1551,0.1819,-0.1819
0.585,0.58,0.59,0.1652,0.1952,-0.1952
0.595,0.59,0.6,0.177,0.2091,-0.2091
0.605,0.6,0.61,0.1909,0.2238,-0.2238
0.615,0.61,0.62,0.2074,0.2391,-0.2391
0.625,0.62,0.63,0.227,0.2551,-0.2551
0.635,0.63,0.64,0.2504,0.2717,-0.2717
0.645,0.64,0.65,0.2785,0.2889,-0.2889
0.655,0.65,0.66,0.3121,0.3067,-0.3067
0.665,0.66,0.67,0.3524,0.3251,-0.3251
0.675,0.67,0.68,0.4004,0.3442,-0.3442
0.685,0.68,0.69,0.4572,0.3643,-0.3643
0.695,0.69,0.7,0.5233,0.3858,-0.3858
0.705,0.7,0.71,0.5986,0.4098,-0.4098
0.715,0.71,0.72,0.6812,0.4375,-0.4375
0.725,0.72,0.73,0.7668,0.4701,-0.4701
0.735,0.73,0.74,0.8483,0.5078,-0.5078
0.745,0.74,0.75,0.9164,0.5484,-0.5484
0.755,0.75,0.76,0.9613,0.5874,-0.5874
0.765,0.76,0.77,0.9764,0.6183,-0.6183
0.775,0.77,0.78,0.9606,0.6358,-0.6358
0.785,0.78,0.79,0.9186,0.6373,-0.6373
0.795,0.79,0.8,0.8587,0.6237,-0.6237
0.805,0.8,0.81,0.7895,0.5984,-0.5984
0.815,0.81,0.82,0.7183,0.5652,-0.5652
0.825,0.82,0.83,0.6498,0.5278,-0.5278
0.835,0.83,0.84,0.5867,0.489,-0.489
0.845,0.84,0.85,0.5302,0.4507,-0.4507
0.855,0.85,0.86,0.4804,0.4141,-0.4141
0.865,0.86,0.87,0.4371,0.3799,-0.3799
0.875,0.87,0.88,0.3995,0.3482,-0.3482
0.885,0.88,0.89,0.3671,0.3192,-0.3192
0.895,0.89,0.9,0.3391,0.2929,-0.2929
0.905,0.9,0.91,0.315,0.2691,-0.2691
0.915,0.91,0.92,0.2943,0.2475,-0.2475
0.925,0.92,0.93,0.2763,0.2282,-0.2282
0.935,0.93,0.94,0.2609,0.2108,-0.2108
0.945,0.94,0.95,0.2476,0.1953,-0.1953
0.955,0.95,0.96,0.2361,0.1815,-0.1815
