#: table_doi: 10.17182/hepdata.74824.v1/t105
#: name: Table 105
#: description: Pm wave cross section for -T.

#: data_file: Table105.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0923,0.0389,-0.0389
0.415,0.41,0.42,0.099,0.0415,-0.0415
0.425,0.42,0.43,0.1057,0.0441,-0.0441
0.435,0.43,0.44,0.1122,0.0466,-0.0466
0.445,0.44,0.45,0.1187,0.0491,-0.0491
0.455,0.45,0.46,0.125,0.0517,-0.0517
0.46499999999999997,0.46,0.47,0.1314,0.0542,-0.0542
0.475,0.47,0.48,0.1376,0.0567,-0.0567
0.485,0.48,0.49,0.1439,0.0592,-0.0592
0.495,0.49,0.5,0.1502,0.0617,-0.0617
0.505,0.5,0.51,0.1565,0.0643,-0.0643
0.515,0.51,0.52,0.1629,0.0668,-0.0668
0.525,0.52,0.53,0.1694,0.0695,-0.0695
0.535,0.53,0.54,0.176,0.0722,-0.0722
0.545,0.54,0.55,0.183,0.0751,-0.0751
0.555,0.55,0.56,0.1902,0.078,-0.078
0.565,0.56,0.57,0.1978,0.0812,-0.0812
0.575,0.57,0.58,0.2059,0.0845,-0.0845
0.585,0.58,0.59,0.2146,0.0882,-0.0882
0.595,0.59,0.6,0.224,0.0921,-0.0921
0.605,0.6,0.61,0.2343,0.0965,-0.0965
0.615,0.61,0.62,0.2457,0.1014,-0.1014
0.625,0.62,0.63,0.2584,0.1068,-0.1068
0.635,0.63,0.64,0.2726,0.1129,-0.1129
0.645,0.64,0.65,0.2886,0.1197,-0.1197
0.655,0.65,0.66,0.3068,0.1275,-0.1275
0.665,0.66,0.67,0.3274,0.1362,-0.1362
0.675,0.67,0.68,0.3506,0.146,-0.146
0.685,0.68,0.69,0.3766,0.1569,-0.1569
0.695,0.69,0.7,0.4052,0.1688,-0.1688
0.705,0.7,0.71,0.4356,0.1812,-0.1812
0.715,0.71,0.72,0.4667,0.1938,-0.1938
0.725,0.72,0.73,0.4958,0.2055,-0.2055
0.735,0.73,0.74,0.5197,0.2151,-0.2151
0.745,0.74,0.75,0.5346,0.2212,-0.2212
0.755,0.75,0.76,0.5374,0.223,-0.223
0.765,0.76,0.77,0.5268,0.22,-0.22
0.775,0.77,0.78,0.504,0.2128,-0.2128
0.785,0.78,0.79,0.4727,0.2026,-0.2026
0.795,0.79,0.8,0.4368,0.1908,-0.1908
0.805,0.8,0.81,0.4004,0.1786,-0.1786
0.815,0.81,0.82,0.3659,0.1669,-0.1669
0.825,0.82,0.83,0.3349,0.1561,-0.1561
0.835,0.83,0.84,0.3079,0.1464,-0.1464
0.845,0.84,0.85,0.2848,0.1379,-0.1379
0.855,0.85,0.86,0.2654,0.1303,-0.1303
0.865,0.86,0.87,0.2491,0.1238,-0.1238
0.875,0.87,0.88,0.2356,0.118,-0.118
0.885,0.88,0.89,0.2244,0.1131,-0.1131
0.895,0.89,0.9,0.2152,0.1088,-0.1088
0.905,0.9,0.91,0.2076,0.1051,-0.1051
0.915,0.91,0.92,0.2013,0.102,-0.102
0.925,0.92,0.93,0.1962,0.0994,-0.0994
0.935,0.93,0.94,0.1921,0.0972,-0.0972
0.945,0.94,0.95,0.1887,0.0954,-0.0954
0.955,0.95,0.96,0.1861,0.0941,-0.0941
0.965,0.96,0.97,0.1842,0.0931,-0.0931
0.975,0.97,0.98,0.1827,0.0924,-0.0924
0.985,0.98,0.99,0.1817,0.0921,-0.0921
0.995,0.99,1.0,0.1811,0.092,-0.092
1.005,1.0,1.01,0.1809,0.0922,-0.0922
1.0150000000000001,1.01,1.02,0.1811,0.0927,-0.0927
1.025,1.02,1.03,0.1815,0.0934,-0.0934
1.0350000000000001,1.03,1.04,0.1823,0.0944,-0.0944
1.045,1.04,1.05,0.1833,0.0956,-0.0956
1.0550000000000002,1.05,1.06,0.1845,0.097,-0.097
1.065,1.06,1.07,0.186,0.0987,-0.0987
1.0750000000000002,1.07,1.08,0.1877,0.1005,-0.1005
1.085,1.08,1.09,0.1897,0.1026,-0.1026
1.0950000000000002,1.09,1.1,0.1919,0.105,-0.105
1.105,1.1,1.11,0.1943,0.1076,-0.1076
1.1150000000000002,1.11,1.12,0.197,0.1104,-0.1104
1.125,1.12,1.13,0.1999,0.1136,-0.1136
1.1349999999999998,1.13,1.14,0.2031,0.117,-0.117
1.145,1.14,1.15,0.2065,0.1208,-0.1208
1.1549999999999998,1.15,1.16,0.2103,0.1249,-0.1249
1.165,1.16,1.17,0.2143,0.1294,-0.1294
1.1749999999999998,1.17,1.18,0.2187,0.1343,-0.1343
1.185,1.18,1.19,0.2234,0.1396,-0.1396
1.1949999999999998,1.19,1.2,0.2286,0.1454,-0.1454
1.205,1.2,1.21,0.2341,0.1516,-0.1516
1.2149999999999999,1.21,1.22,0.2402,0.1584,-0.1584
1.225,1.22,1.23,0.2467,0.1658,-0.1658
1.2349999999999999,1.23,1.24,0.2538,0.1737,-0.1737
1.245,1.24,1.25,0.2616,0.1823,-0.1823
1.255,1.25,1.26,0.27,0.1914,-0.1914
1.2650000000000001,1.26,1.27,0.2792,0.2013,-0.2013
1.275,1.27,1.28,0.2892,0.2119,-0.2119
1.2850000000000001,1.28,1.29,0.3002,0.2232,-0.2232
