#: table_doi: 10.17182/hepdata.74824.v1/t177
#: name: Table 177
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table177.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0253,0.0283,-0.0283
0.415,0.41,0.42,0.0132,0.0233,-0.0233
0.425,0.42,0.43,0.0028,0.0202,-0.0202
0.435,0.43,0.44,-0.0057,0.019,-0.019
0.445,0.44,0.45,-0.0124,0.0189,-0.0189
0.455,0.45,0.46,-0.0173,0.0194,-0.0194
0.46499999999999997,0.46,0.47,-0.0206,0.0203,-0.0203
0.475,0.47,0.48,-0.0226,0.0214,-0.0214
0.485,0.48,0.49,-0.0232,0.0227,-0.0227
0.495,0.49,0.5,-0.0228,0.0243,-0.0243
0.505,0.5,0.51,-0.0215,0.0259,-0.0259
0.515,0.51,0.52,-0.0195,0.0276,-0.0276
0.525,0.52,0.53,-0.017,0.0291,-0.0291
0.535,0.53,0.54,-0.014,0.0303,-0.0303
0.545,0.54,0.55,-0.0106,0.0312,-0.0312
0.555,0.55,0.56,-0.0071,0.0316,-0.0316
0.565,0.56,0.57,-0.0035,0.0314,-0.0314
0.575,0.57,0.58,0.0001,0.0307,-0.0307
0.585,0.58,0.59,0.0036,0.0295,-0.0295
0.595,0.59,0.6,0.007,0.0277,-0.0277
0.605,0.6,0.61,0.0101,0.0255,-0.0255
0.615,0.61,0.62,0.0131,0.0231,-0.0231
0.625,0.62,0.63,0.0157,0.0204,-0.0204
0.635,0.63,0.64,0.0182,0.0178,-0.0178
0.645,0.64,0.65,0.0204,0.0153,-0.0153
0.655,0.65,0.66,0.0224,0.0131,-0.0131
0.665,0.66,0.67,0.0242,0.0115,-0.0115
0.675,0.67,0.68,0.0261,0.0105,-0.0105
0.685,0.68,0.69,0.0279,0.0101,-0.0101
0.695,0.69,0.7,0.0298,0.0101,-0.0101
0.705,0.7,0.71,0.0318,0.0103,-0.0103
0.715,0.71,0.72,0.034,0.0106,-0.0106
0.725,0.72,0.73,0.0366,0.0106,-0.0106
0.735,0.73,0.74,0.0394,0.0106,-0.0106
0.745,0.74,0.75,0.0426,0.0103,-0.0103
0.755,0.75,0.76,0.0461,0.0101,-0.0101
0.765,0.76,0.77,0.05,0.0099,-0.0099
0.775,0.77,0.78,0.0542,0.0098,-0.0098
0.785,0.78,0.79,0.0587,0.0099,-0.0099
0.795,0.79,0.8,0.0634,0.0102,-0.0102
0.805,0.8,0.81,0.0683,0.0108,-0.0108
0.815,0.81,0.82,0.0733,0.0116,-0.0116
0.825,0.82,0.83,0.0783,0.0125,-0.0125
0.835,0.83,0.84,0.0833,0.0135,-0.0135
0.845,0.84,0.85,0.0882,0.0146,-0.0146
0.855,0.85,0.86,0.093,0.0157,-0.0157
0.865,0.86,0.87,0.0975,0.0168,-0.0168
0.875,0.87,0.88,0.1018,0.0179,-0.0179
0.885,0.88,0.89,0.1059,0.0191,-0.0191
0.895,0.89,0.9,0.1097,0.0203,-0.0203
0.905,0.9,0.91,0.1131,0.0215,-0.0215
0.915,0.91,0.92,0.1163,0.0229,-0.0229
0.925,0.92,0.93,0.1192,0.0244,-0.0244
0.935,0.93,0.94,0.1218,0.026,-0.026
0.945,0.94,0.95,0.1241,0.0278,-0.0278
0.955,0.95,0.96,0.126,0.03,-0.03
0.965,0.96,0.97,0.1276,0.0326,-0.0326
0.975,0.97,0.98,0.1292,0.036,-0.036
0.985,0.98,0.99,0.1333,0.0409,-0.0409
0.995,0.99,1.0,0.1436,0.0352,-0.0352
1.005,1.0,1.01,0.1456,0.0345,-0.0345
1.0150000000000001,1.01,1.02,0.1484,0.0345,-0.0345
1.025,1.02,1.03,0.1512,0.0345,-0.0345
1.0350000000000001,1.03,1.04,0.1539,0.0343,-0.0343
1.045,1.04,1.05,0.1565,0.034,-0.034
1.0550000000000002,1.05,1.06,0.1589,0.0335,-0.0335
1.065,1.06,1.07,0.1612,0.0329,-0.0329
1.0750000000000002,1.07,1.08,0.1633,0.0321,-0.0321
1.085,1.08,1.09,0.1654,0.0312,-0.0312
1.0950000000000002,1.09,1.1,0.1673,0.0303,-0.0303
1.105,1.1,1.11,0.1691,0.0294,-0.0294
1.1150000000000002,1.11,1.12,0.1708,0.0285,-0.0285
1.125,1.12,1.13,0.1725,0.0276,-0.0276
1.1349999999999998,1.13,1.14,0.1741,0.0266,-0.0266
1.145,1.14,1.15,0.1758,0.0258,-0.0258
1.1549999999999998,1.15,1.16,0.1774,0.0249,-0.0249
1.165,1.16,1.17,0.1789,0.024,-0.024
1.1749999999999998,1.17,1.18,0.1805,0.0232,-0.0232
1.185,1.18,1.19,0.182,0.0224,-0.0224
1.1949999999999998,1.19,1.2,0.1835,0.0217,-0.0217
1.205,1.2,1.21,0.1849,0.021,-0.021
1.2149999999999999,1.21,1.22,0.1861,0.0205,-0.0205
1.225,1.22,1.23,0.1873,0.0201,-0.0201
1.2349999999999999,1.23,1.24,0.1883,0.02,-0.02
1.245,1.24,1.25,0.189,0.0201,-0.0201
1.255,1.25,1.26,0.1897,0.0206,-0.0206
1.2650000000000001,1.26,1.27,0.1901,0.0214,-0.0214
1.275,1.27,1.28,0.1905,0.0226,-0.0226
1.2850000000000001,1.28,1.29,0.1908,0.0242,-0.0242
1.295,1.29,1.3,0.1911,0.0259,-0.0259
1.3050000000000002,1.3,1.31,0.1914,0.0275,-0.0275
1.315,1.31,1.32,0.1916,0.029,-0.029
1.3250000000000002,1.32,1.33,0.1917,0.0302,-0.0302
1.335,1.33,1.34,0.1914,0.0309,-0.0309
1.3450000000000002,1.34,1.35,0.1906,0.0311,-0.0311
1.355,1.35,1.36,0.189,0.0308,-0.0308
1.3650000000000002,1.36,1.37,0.1865,0.0302,-0.0302
