#: table_doi: 10.17182/hepdata.74824.v1/t118
#: name: Table 118
#: description: Pp wave cross section for -T.

#: data_file: Table118.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0513,0.0279,-0.0279
0.415,0.41,0.42,0.0558,0.0285,-0.0285
0.425,0.42,0.43,0.0606,0.0292,-0.0292
0.435,0.43,0.44,0.0659,0.0302,-0.0302
0.445,0.44,0.45,0.0718,0.0317,-0.0317
0.455,0.45,0.46,0.0785,0.034,-0.034
0.46499999999999997,0.46,0.47,0.0861,0.0372,-0.0372
0.475,0.47,0.48,0.0948,0.0416,-0.0416
0.485,0.48,0.49,0.105,0.0472,-0.0472
0.495,0.49,0.5,0.1167,0.0542,-0.0542
0.505,0.5,0.51,0.1304,0.0626,-0.0626
0.515,0.51,0.52,0.1463,0.0725,-0.0725
0.525,0.52,0.53,0.165,0.084,-0.084
0.535,0.53,0.54,0.1869,0.0972,-0.0972
0.545,0.54,0.55,0.2127,0.1122,-0.1122
0.555,0.55,0.56,0.2429,0.1293,-0.1293
0.565,0.56,0.57,0.2786,0.1488,-0.1488
0.575,0.57,0.58,0.3207,0.1707,-0.1707
0.585,0.58,0.59,0.3705,0.1957,-0.1957
0.595,0.59,0.6,0.4294,0.224,-0.224
0.605,0.6,0.61,0.4994,0.2561,-0.2561
0.615,0.61,0.62,0.5827,0.2927,-0.2927
0.625,0.62,0.63,0.682,0.3343,-0.3343
0.635,0.63,0.64,0.8006,0.3818,-0.3818
0.645,0.64,0.65,0.9424,0.4359,-0.4359
0.655,0.65,0.66,1.1119,0.4974,-0.4974
0.665,0.66,0.67,1.3142,0.5669,-0.5669
0.675,0.67,0.68,1.5547,0.645,-0.645
0.685,0.68,0.69,1.8381,0.7314,-0.7314
0.695,0.69,0.7,2.1673,0.8247,-0.8247
0.705,0.7,0.71,2.5406,0.9217,-0.9217
0.715,0.71,0.72,2.9486,1.0167,-1.0167
0.725,0.72,0.73,3.3702,1.1007,-1.1007
0.735,0.73,0.74,3.7701,1.1622,-1.1622
0.745,0.74,0.75,4.1021,1.1894,-1.1894
0.755,0.75,0.76,4.319,1.1737,-1.1737
0.765,0.76,0.77,4.389,1.1143,-1.1143
0.775,0.77,0.78,4.3076,1.0194,-1.0194
0.785,0.78,0.79,4.0985,0.9035,-0.9035
0.795,0.79,0.8,3.8027,0.7826,-0.7826
0.805,0.8,0.81,3.4629,0.6699,-0.6699
0.815,0.81,0.82,3.1143,0.5738,-0.5738
0.825,0.82,0.83,2.78,0.4978,-0.4978
0.835,0.83,0.84,2.4731,0.4419,-0.4419
0.845,0.84,0.85,2.1988,0.4035,-0.4035
0.855,0.85,0.86,1.9579,0.379,-0.379
0.865,0.86,0.87,1.7483,0.3642,-0.3642
0.875,0.87,0.88,1.5672,0.3557,-0.3557
0.885,0.88,0.89,1.411,0.351,-0.351
0.895,0.89,0.9,1.2764,0.3483,-0.3483
0.905,0.9,0.91,1.1605,0.3465,-0.3465
0.915,0.91,0.92,1.0606,0.345,-0.345
0.925,0.92,0.93,0.9743,0.3435,-0.3435
0.935,0.93,0.94,0.8998,0.3416,-0.3416
0.945,0.94,0.95,0.8354,0.3394,-0.3394
0.955,0.95,0.96,0.7796,0.3368,-0.3368
0.965,0.96,0.97,0.7312,0.3338,-0.3338
0.975,0.97,0.98,0.6892,0.3305,-0.3305
0.985,0.98,0.99,0.6528,0.3269,-0.3269
0.995,0.99,1.0,0.6212,0.3231,-0.3231
1.005,1.0,1.01,0.5938,0.3191,-0.3191
1.0150000000000001,1.01,1.02,0.5699,0.315,-0.315
1.025,1.02,1.03,0.5492,0.3107,-0.3107
1.0350000000000001,1.03,1.04,0.5312,0.3063,-0.3063
1.045,1.04,1.05,0.5154,0.3019,-0.3019
1.0550000000000002,1.05,1.06,0.5016,0.2973,-0.2973
1.065,1.06,1.07,0.4895,0.2928,-0.2928
1.0750000000000002,1.07,1.08,0.4788,0.2881,-0.2881
1.085,1.08,1.09,0.4692,0.2834,-0.2834
1.0950000000000002,1.09,1.1,0.4606,0.2786,-0.2786
1.105,1.1,1.11,0.4527,0.2737,-0.2737
1.1150000000000002,1.11,1.12,0.4453,0.2687,-0.2687
1.125,1.12,1.13,0.4383,0.2636,-0.2636
1.1349999999999998,1.13,1.14,0.4316,0.2583,-0.2583
1.145,1.14,1.15,0.425,0.2529,-0.2529
1.1549999999999998,1.15,1.16,0.4183,0.2472,-0.2472
1.165,1.16,1.17,0.4115,0.2414,-0.2414
1.1749999999999998,1.17,1.18,0.4044,0.2354,-0.2354
1.185,1.18,1.19,0.3971,0.2291,-0.2291
1.1949999999999998,1.19,1.2,0.3894,0.2227,-0.2227
1.205,1.2,1.21,0.3812,0.2161,-0.2161
1.2149999999999999,1.21,1.22,0.3726,0.2094,-0.2094
1.225,1.22,1.23,0.3634,0.2026,-0.2026
1.2349999999999999,1.23,1.24,0.3537,0.1957,-0.1957
1.245,1.24,1.25,0.3436,0.1889,-0.1889
1.255,1.25,1.26,0.3329,0.1822,-0.1822
1.2650000000000001,1.26,1.27,0.3218,0.1758,-0.1758
1.275,1.27,1.28,0.3103,0.1697,-0.1697
1.2850000000000001,1.28,1.29,0.2986,0.1641,-0.1641
1.295,1.29,1.3,0.2866,0.1591,-0.1591
1.3050000000000002,1.3,1.31,0.2745,0.1548,-0.1548
1.315,1.31,1.32,0.2626,0.1512,-0.1512
1.3250000000000002,1.32,1.33,0.2509,0.1484,-0.1484
1.335,1.33,1.34,0.2397,0.1464,-0.1464
1.3450000000000002,1.34,1.35,0.2292,0.1452,-0.1452
1.355,1.35,1.36,0.2197,0.1448,-0.1448
1.3650000000000002,1.36,1.37,0.2115,0.1451,-0.1451
1.375,1.37,1.38,0.205,0.1461,-0.1461
1.3849999999999998,1.38,1.39,0.2004,0.148,-0.148
1.395,1.39,1.4,0.1983,0.1509,-0.1509

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0658,0.0343,-0.0343
0.415,0.41,0.42,0.0706,0.0387,-0.0387
0.425,0.42,0.43,0.0756,0.0436,-0.0436
0.435,0.43,0.44,0.0809,0.049,-0.049
0.445,0.44,0.45,0.0866,0.0549,-0.0549
0.455,0.45,0.46,0.0929,0.0613,-0.0613
0.46499999999999997,0.46,0.47,0.0999,0.0681,-0.0681
0.475,0.47,0.48,0.1078,0.0753,-0.0753
0.485,0.48,0.49,0.1168,0.0829,-0.0829
0.495,0.49,0.5,0.1272,0.091,-0.091
0.505,0.5,0.51,0.1393,0.0995,-0.0995
0.515,0.51,0.52,0.1533,0.1084,-0.1084
0.525,0.52,0.53,0.1698,0.1177,-0.1177
0.535,0.53,0.54,0.1892,0.1274,-0.1274
0.545,0.54,0.55,0.212,0.1376,-0.1376
0.555,0.55,0.56,0.239,0.1482,-0.1482
0.565,0.56,0.57,0.2709,0.1594,-0.1594
0.575,0.57,0.58,0.3087,0.1713,-0.1713
0.585,0.58,0.59,0.3537,0.1839,-0.1839
0.595,0.59,0.6,0.4071,0.1976,-0.1976
0.605,0.6,0.61,0.4708,0.2124,-0.2124
0.615,0.61,0.62,0.5469,0.2287,-0.2287
0.625,0.62,0.63,0.6379,0.2469,-0.2469
0.635,0.63,0.64,0.7468,0.2675,-0.2675
0.645,0.64,0.65,0.8774,0.291,-0.291
0.655,0.65,0.66,1.0338,0.3181,-0.3181
0.665,0.66,0.67,1.2208,0.3495,-0.3495
0.675,0.67,0.68,1.4432,0.3859,-0.3859
0.685,0.68,0.69,1.7056,0.4279,-0.4279
0.695,0.69,0.7,2.0104,0.4758,-0.4758
0.705,0.7,0.71,2.356,0.5295,-0.5295
0.715,0.71,0.72,2.7335,0.5878,-0.5878
0.725,0.72,0.73,3.123,0.6484,-0.6484
0.735,0.73,0.74,3.4914,0.7077,-0.7077
0.745,0.74,0.75,3.7958,0.761,-0.761
0.755,0.75,0.76,3.9922,0.8037,-0.8037
0.765,0.76,0.77,4.0513,0.8326,-0.8326
0.775,0.77,0.78,3.9694,0.8472,-0.8472
0.785,0.78,0.79,3.769,0.8488,-0.8488
0.795,0.79,0.8,3.4885,0.8404,-0.8404
0.805,0.8,0.81,3.1678,0.8253,-0.8253
0.815,0.81,0.82,2.8397,0.806,-0.806
0.825,0.82,0.83,2.5258,0.7845,-0.7845
0.835,0.83,0.84,2.2379,0.7619,-0.7619
0.845,0.84,0.85,1.9811,0.7391,-0.7391
0.855,0.85,0.86,1.7557,0.7164,-0.7164
0.865,0.86,0.87,1.5599,0.6938,-0.6938
0.875,0.87,0.88,1.3909,0.6716,-0.6716
0.885,0.88,0.89,1.2455,0.6497,-0.6497
0.895,0.89,0.9,1.1205,0.628,-0.628
0.905,0.9,0.91,1.0132,0.6064,-0.6064
0.915,0.91,0.92,0.9209,0.585,-0.585
0.925,0.92,0.93,0.8417,0.5636,-0.5636
0.935,0.93,0.94,0.7736,0.5421,-0.5421
0.945,0.94,0.95,0.715,0.5207,-0.5207
0.955,0.95,0.96,0.6648,0.4992,-0.4992
0.965,0.96,0.97,0.6217,0.4776,-0.4776
0.975,0.97,0.98,0.5847,0.456,-0.456
0.985,0.98,0.99,0.5532,0.4343,-0.4343
0.995,0.99,1.0,0.5263,0.4127,-0.4127
1.005,1.0,1.01,0.5034,0.3911,-0.3911
1.0150000000000001,1.01,1.02,0.4841,0.3696,-0.3696
1.025,1.02,1.03,0.4679,0.3484,-0.3484
1.0350000000000001,1.03,1.04,0.4543,0.3274,-0.3274
1.045,1.04,1.05,0.4431,0.3068,-0.3068
1.0550000000000002,1.05,1.06,0.4338,0.2867,-0.2867
1.065,1.06,1.07,0.4262,0.2672,-0.2672
1.0750000000000002,1.07,1.08,0.42,0.2485,-0.2485
1.085,1.08,1.09,0.4149,0.2309,-0.2309
1.0950000000000002,1.09,1.1,0.4108,0.2144,-0.2144
1.105,1.1,1.11,0.4075,0.1993,-0.1993
1.1150000000000002,1.11,1.12,0.4047,0.1858,-0.1858
1.125,1.12,1.13,0.4023,0.1742,-0.1742
1.1349999999999998,1.13,1.14,0.4001,0.1647,-0.1647
1.145,1.14,1.15,0.398,0.1574,-0.1574
1.1549999999999998,1.15,1.16,0.3958,0.1523,-0.1523
1.165,1.16,1.17,0.3933,0.1494,-0.1494
1.1749999999999998,1.17,1.18,0.3906,0.1484,-0.1484
1.185,1.18,1.19,0.3875,0.1491,-0.1491
1.1949999999999998,1.19,1.2,0.3838,0.151,-0.151
1.205,1.2,1.21,0.3796,0.1538,-0.1538
1.2149999999999999,1.21,1.22,0.3747,0.1572,-0.1572
1.225,1.22,1.23,0.369,0.1608,-0.1608
1.2349999999999999,1.23,1.24,0.3626,0.1643,-0.1643
1.245,1.24,1.25,0.3554,0.1676,-0.1676
1.255,1.25,1.26,0.3474,0.1703,-0.1703
1.2650000000000001,1.26,1.27,0.3386,0.1725,-0.1725
1.275,1.27,1.28,0.3291,0.174,-0.174
1.2850000000000001,1.28,1.29,0.3187,0.1749,-0.1749
1.295,1.29,1.3,0.3077,0.175,-0.175
1.3050000000000002,1.3,1.31,0.2962,0.1746,-0.1746
1.315,1.31,1.32,0.2841,0.1735,-0.1735
1.3250000000000002,1.32,1.33,0.2716,0.1721,-0.1721
1.335,1.33,1.34,0.259,0.1704,-0.1704
1.3450000000000002,1.34,1.35,0.2464,0.1686,-0.1686
1.355,1.35,1.36,0.2339,0.167,-0.167
1.3650000000000002,1.36,1.37,0.222,0.1658,-0.1658
1.375,1.37,1.38,0.2107,0.1652,-0.1652
1.3849999999999998,1.38,1.39,0.2005,0.1654,-0.1654
1.395,1.39,1.4,0.1918,0.1667,-0.1667

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0692,0.0498,-0.0498
0.415,0.41,0.42,0.0743,0.0539,-0.0539
0.425,0.42,0.43,0.0797,0.0581,-0.0581
0.435,0.43,0.44,0.0854,0.0624,-0.0624
0.445,0.44,0.45,0.0916,0.0668,-0.0668
0.455,0.45,0.46,0.0983,0.0713,-0.0713
0.46499999999999997,0.46,0.47,0.1058,0.076,-0.076
0.475,0.47,0.48,0.114,0.0809,-0.0809
0.485,0.48,0.49,0.1233,0.0859,-0.0859
0.495,0.49,0.5,0.1338,0.0911,-0.0911
0.505,0.5,0.51,0.1457,0.0966,-0.0966
0.515,0.51,0.52,0.1594,0.1024,-0.1024
0.525,0.52,0.53,0.1752,0.1085,-0.1085
0.535,0.53,0.54,0.1935,0.1149,-0.1149
0.545,0.54,0.55,0.2148,0.1219,-0.1219
0.555,0.55,0.56,0.2397,0.1294,-0.1294
0.565,0.56,0.57,0.2688,0.1376,-0.1376
0.575,0.57,0.58,0.303,0.1468,-0.1468
0.585,0.58,0.59,0.3433,0.157,-0.157
0.595,0.59,0.6,0.3911,0.1686,-0.1686
0.605,0.6,0.61,0.4477,0.182,-0.182
0.615,0.61,0.62,0.5152,0.1974,-0.1974
0.625,0.62,0.63,0.5956,0.2155,-0.2155
0.635,0.63,0.64,0.6919,0.2366,-0.2366
0.645,0.64,0.65,0.8073,0.2615,-0.2615
0.655,0.65,0.66,0.9456,0.2906,-0.2906
0.665,0.66,0.67,1.1112,0.3245,-0.3245
0.675,0.67,0.68,1.3088,0.3635,-0.3635
0.685,0.68,0.69,1.5424,0.4076,-0.4076
0.695,0.69,0.7,1.815,0.4562,-0.4562
0.705,0.7,0.71,2.1256,0.5075,-0.5075
0.715,0.71,0.72,2.4669,0.5584,-0.5584
0.725,0.72,0.73,2.8219,0.6038,-0.6038
0.735,0.73,0.74,3.1616,0.6376,-0.6376
0.745,0.74,0.75,3.4476,0.6532,-0.6532
0.755,0.75,0.76,3.64,0.6465,-0.6465
0.765,0.76,0.77,3.7109,0.6178,-0.6178
0.775,0.77,0.78,3.6551,0.5726,-0.5726
0.785,0.78,0.79,3.4912,0.5198,-0.5198
0.795,0.79,0.8,3.2523,0.4689,-0.4689
0.805,0.8,0.81,2.9739,0.4265,-0.4265
0.815,0.81,0.82,2.6855,0.3957,-0.3957
0.825,0.82,0.83,2.4068,0.376,-0.376
0.835,0.83,0.84,2.1492,0.3649,-0.3649
0.845,0.84,0.85,1.9175,0.3595,-0.3595
0.855,0.85,0.86,1.7126,0.3572,-0.3572
0.865,0.86,0.87,1.5331,0.3562,-0.3562
0.875,0.87,0.88,1.3769,0.3554,-0.3554
0.885,0.88,0.89,1.2411,0.3541,-0.3541
0.895,0.89,0.9,1.1231,0.3521,-0.3521
0.905,0.9,0.91,1.0206,0.3493,-0.3493
0.915,0.91,0.92,0.9313,0.3454,-0.3454
0.925,0.92,0.93,0.8535,0.3407,-0.3407
0.935,0.93,0.94,0.7854,0.3351,-0.3351
