#: table_doi: 10.17182/hepdata.74824.v1/t135
#: name: Table 135
#: description: D0 wave cross section for -T.

#: data_file: Table135.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0828,0.0639,-0.0639
0.415,0.41,0.42,0.0902,0.0696,-0.0696
0.425,0.42,0.43,0.0978,0.0754,-0.0754
0.435,0.43,0.44,0.1056,0.0814,-0.0814
0.445,0.44,0.45,0.1134,0.0873,-0.0873
0.455,0.45,0.46,0.1211,0.0933,-0.0933
0.46499999999999997,0.46,0.47,0.1288,0.0991,-0.0991
0.475,0.47,0.48,0.1362,0.1047,-0.1047
0.485,0.48,0.49,0.1435,0.1102,-0.1102
0.495,0.49,0.5,0.1504,0.1155,-0.1155
0.505,0.5,0.51,0.1571,0.1205,-0.1205
0.515,0.51,0.52,0.1634,0.1254,-0.1254
0.525,0.52,0.53,0.1694,0.1301,-0.1301
0.535,0.53,0.54,0.175,0.1346,-0.1346
0.545,0.54,0.55,0.1803,0.139,-0.139
0.555,0.55,0.56,0.1851,0.1431,-0.1431
0.565,0.56,0.57,0.1896,0.1472,-0.1472
0.575,0.57,0.58,0.1937,0.1511,-0.1511
0.585,0.58,0.59,0.1975,0.1549,-0.1549
0.595,0.59,0.6,0.2008,0.1586,-0.1586
0.605,0.6,0.61,0.2039,0.1622,-0.1622
0.615,0.61,0.62,0.2066,0.1657,-0.1657
0.625,0.62,0.63,0.2089,0.1692,-0.1692
0.635,0.63,0.64,0.211,0.1726,-0.1726
0.645,0.64,0.65,0.2129,0.1759,-0.1759
0.655,0.65,0.66,0.2145,0.1792,-0.1792
0.665,0.66,0.67,0.2158,0.1824,-0.1824
0.675,0.67,0.68,0.217,0.1855,-0.1855
0.685,0.68,0.69,0.218,0.1885,-0.1885
0.695,0.69,0.7,0.2188,0.1914,-0.1914
0.705,0.7,0.71,0.2196,0.1942,-0.1942
0.715,0.71,0.72,0.2202,0.1968,-0.1968
0.725,0.72,0.73,0.2208,0.1992,-0.1992
0.735,0.73,0.74,0.2213,0.2015,-0.2015
0.745,0.74,0.75,0.2218,0.2035,-0.2035
0.755,0.75,0.76,0.2223,0.2054,-0.2054
0.765,0.76,0.77,0.2228,0.2069,-0.2069
0.775,0.77,0.78,0.2234,0.2082,-0.2082
0.785,0.78,0.79,0.224,0.2093,-0.2093
0.795,0.79,0.8,0.2247,0.21,-0.21
0.805,0.8,0.81,0.2254,0.2105,-0.2105
0.815,0.81,0.82,0.2263,0.2106,-0.2106
0.825,0.82,0.83,0.2272,0.2105,-0.2105
0.835,0.83,0.84,0.2283,0.2101,-0.2101
0.845,0.84,0.85,0.2294,0.2093,-0.2093
0.855,0.85,0.86,0.2307,0.2083,-0.2083
0.865,0.86,0.87,0.232,0.207,-0.207
0.875,0.87,0.88,0.2335,0.2055,-0.2055
0.885,0.88,0.89,0.235,0.2038,-0.2038
0.895,0.89,0.9,0.2366,0.2018,-0.2018
0.905,0.9,0.91,0.2382,0.1997,-0.1997
0.915,0.91,0.92,0.2399,0.1974,-0.1974
0.925,0.92,0.93,0.2416,0.1951,-0.1951
0.935,0.93,0.94,0.2432,0.1926,-0.1926
0.945,0.94,0.95,0.2449,0.1902,-0.1902
0.955,0.95,0.96,0.2465,0.1877,-0.1877
0.965,0.96,0.97,0.248,0.1852,-0.1852
0.975,0.97,0.98,0.2494,0.1829,-0.1829
0.985,0.98,0.99,0.2506,0.1805,-0.1805
0.995,0.99,1.0,0.2518,0.1783,-0.1783
