#: table_doi: 10.17182/hepdata.74824.v1/t107
#: name: Table 107
#: description: Pm wave cross section for -T.

#: data_file: Table107.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0271,0.0206,-0.0206
0.415,0.41,0.42,0.03,0.0223,-0.0223
0.425,0.42,0.43,0.0332,0.0239,-0.0239
0.435,0.43,0.44,0.0365,0.0255,-0.0255
0.445,0.44,0.45,0.0401,0.0272,-0.0272
0.455,0.45,0.46,0.0439,0.0288,-0.0288
0.46499999999999997,0.46,0.47,0.0481,0.0305,-0.0305
0.475,0.47,0.48,0.0526,0.0322,-0.0322
0.485,0.48,0.49,0.0575,0.0339,-0.0339
0.495,0.49,0.5,0.0629,0.0356,-0.0356
0.505,0.5,0.51,0.0689,0.0374,-0.0374
0.515,0.51,0.52,0.0754,0.0391,-0.0391
0.525,0.52,0.53,0.0827,0.0409,-0.0409
0.535,0.53,0.54,0.0908,0.0428,-0.0428
0.545,0.54,0.55,0.0999,0.0446,-0.0446
0.555,0.55,0.56,0.11,0.0466,-0.0466
0.565,0.56,0.57,0.1213,0.0486,-0.0486
0.575,0.57,0.58,0.1341,0.0507,-0.0507
0.585,0.58,0.59,0.1484,0.0529,-0.0529
0.595,0.59,0.6,0.1647,0.0553,-0.0553
0.605,0.6,0.61,0.1831,0.058,-0.058
0.615,0.61,0.62,0.204,0.061,-0.061
0.625,0.62,0.63,0.2278,0.0644,-0.0644
0.635,0.63,0.64,0.2548,0.0683,-0.0683
0.645,0.64,0.65,0.2857,0.073,-0.073
0.655,0.65,0.66,0.3208,0.0786,-0.0786
0.665,0.66,0.67,0.3606,0.0853,-0.0853
0.675,0.67,0.68,0.4054,0.0935,-0.0935
0.685,0.68,0.69,0.4552,0.1033,-0.1033
0.695,0.69,0.7,0.5094,0.1151,-0.1151
0.705,0.7,0.71,0.5665,0.1289,-0.1289
0.715,0.71,0.72,0.6233,0.1446,-0.1446
0.725,0.72,0.73,0.6752,0.1617,-0.1617
0.735,0.73,0.74,0.7158,0.1791,-0.1791
0.745,0.74,0.75,0.7382,0.195,-0.195
0.755,0.75,0.76,0.737,0.2078,-0.2078
0.765,0.76,0.77,0.711,0.2157,-0.2157
0.775,0.77,0.78,0.6637,0.2181,-0.2181
0.785,0.78,0.79,0.6022,0.2153,-0.2153
0.795,0.79,0.8,0.5348,0.2083,-0.2083
0.805,0.8,0.81,0.4685,0.1987,-0.1987
0.815,0.81,0.82,0.408,0.1876,-0.1876
0.825,0.82,0.83,0.3556,0.1761,-0.1761
0.835,0.83,0.84,0.3118,0.1646,-0.1646
0.845,0.84,0.85,0.2762,0.1537,-0.1537
0.855,0.85,0.86,0.2482,0.1434,-0.1434
0.865,0.86,0.87,0.2265,0.1339,-0.1339
0.875,0.87,0.88,0.2102,0.1252,-0.1252
0.885,0.88,0.89,0.1984,0.1173,-0.1173
0.895,0.89,0.9,0.1904,0.1101,-0.1101
0.905,0.9,0.91,0.1855,0.1036,-0.1036
0.915,0.91,0.92,0.1831,0.0979,-0.0979
0.925,0.92,0.93,0.1828,0.093,-0.093
0.935,0.93,0.94,0.1842,0.0888,-0.0888
0.945,0.94,0.95,0.1871,0.0855,-0.0855
0.955,0.95,0.96,0.1912,0.083,-0.083
0.965,0.96,0.97,0.1963,0.0814,-0.0814
0.975,0.97,0.98,0.2021,0.0806,-0.0806
0.985,0.98,0.99,0.2086,0.0807,-0.0807
0.995,0.99,1.0,0.2156,0.0816,-0.0816
1.005,1.0,1.01,0.223,0.0832,-0.0832
1.0150000000000001,1.01,1.02,0.2307,0.0855,-0.0855
1.025,1.02,1.03,0.2385,0.0884,-0.0884
1.0350000000000001,1.03,1.04,0.2465,0.0918,-0.0918
1.045,1.04,1.05,0.2545,0.0956,-0.0956
1.0550000000000002,1.05,1.06,0.2625,0.0997,-0.0997
1.065,1.06,1.07,0.2703,0.104,-0.104
1.0750000000000002,1.07,1.08,0.2779,0.1085,-0.1085
1.085,1.08,1.09,0.2854,0.113,-0.113
1.0950000000000002,1.09,1.1,0.2925,0.1176,-0.1176
1.105,1.1,1.11,0.2993,0.1221,-0.1221
1.1150000000000002,1.11,1.12,0.3056,0.1266,-0.1266
1.125,1.12,1.13,0.3116,0.1309,-0.1309
1.1349999999999998,1.13,1.14,0.317,0.1351,-0.1351
1.145,1.14,1.15,0.322,0.1391,-0.1391
1.1549999999999998,1.15,1.16,0.3263,0.1429,-0.1429
1.165,1.16,1.17,0.3301,0.1464,-0.1464
1.1749999999999998,1.17,1.18,0.3333,0.1497,-0.1497
1.185,1.18,1.19,0.3358,0.1528,-0.1528
1.1949999999999998,1.19,1.2,0.3377,0.1555,-0.1555
1.205,1.2,1.21,0.3388,0.158,-0.158
1.2149999999999999,1.21,1.22,0.3394,0.1602,-0.1602
1.225,1.22,1.23,0.3392,0.1622,-0.1622
1.2349999999999999,1.23,1.24,0.3383,0.164,-0.164
1.245,1.24,1.25,0.3368,0.1655,-0.1655
1.255,1.25,1.26,0.3347,0.1669,-0.1669
1.2650000000000001,1.26,1.27,0.332,0.1682,-0.1682
1.275,1.27,1.28,0.3287,0.1694,-0.1694
1.2850000000000001,1.28,1.29,0.3249,0.1707,-0.1707
1.295,1.29,1.3,0.3206,0.1719,-0.1719
1.3050000000000002,1.3,1.31,0.316,0.1733,-0.1733
1.315,1.31,1.32,0.311,0.1749,-0.1749
1.3250000000000002,1.32,1.33,0.3059,0.1768,-0.1768
1.335,1.33,1.34,0.3007,0.1791,-0.1791
1.3450000000000002,1.34,1.35,0.2956,0.1818,-0.1818
1.355,1.35,1.36,0.2907,0.185,-0.185
1.3650000000000002,1.36,1.37,0.2861,0.1888,-0.1888
1.375,1.37,1.38,0.2821,0.1932,-0.1932
1.3849999999999998,1.38,1.39,0.2788,0.1982,-0.1982
1.395,1.39,1.4,0.2765,0.2039,-0.2039

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0192,0.0102,-0.0102
0.415,0.41,0.42,0.0193,0.01,-0.01
0.425,0.42,0.43,0.0194,0.0099,-0.0099
0.435,0.43,0.44,0.0193,0.0098,-0.0098
0.445,0.44,0.45,0.0193,0.0098,-0.0098
0.455,0.45,0.46,0.0193,0.01,-0.01
0.46499999999999997,0.46,0.47,0.0194,0.0105,-0.0105
0.475,0.47,0.48,0.0196,0.0113,-0.0113
0.485,0.48,0.49,0.02,0.0124,-0.0124
0.495,0.49,0.5,0.0208,0.0139,-0.0139
0.505,0.5,0.51,0.0219,0.0156,-0.0156
0.515,0.51,0.52,0.0235,0.0175,-0.0175
0.525,0.52,0.53,0.0257,0.0197,-0.0197
0.535,0.53,0.54,0.0286,0.0221,-0.0221
0.545,0.54,0.55,0.0324,0.0247,-0.0247
0.555,0.55,0.56,0.0372,0.0274,-0.0274
0.565,0.56,0.57,0.0433,0.0304,-0.0304
0.575,0.57,0.58,0.0508,0.0337,-0.0337
0.585,0.58,0.59,0.0601,0.0374,-0.0374
0.595,0.59,0.6,0.0714,0.0417,-0.0417
0.605,0.6,0.61,0.0851,0.0468,-0.0468
0.615,0.61,0.62,0.1017,0.053,-0.053
0.625,0.62,0.63,0.1217,0.0607,-0.0607
0.635,0.63,0.64,0.1458,0.0705,-0.0705
0.645,0.64,0.65,0.1745,0.083,-0.083
0.655,0.65,0.66,0.2088,0.099,-0.099
0.665,0.66,0.67,0.2495,0.1191,-0.1191
0.675,0.67,0.68,0.2974,0.1444,-0.1444
0.685,0.68,0.69,0.3531,0.1756,-0.1756
0.695,0.69,0.7,0.4169,0.2132,-0.2132
0.705,0.7,0.71,0.4878,0.2573,-0.2573
0.715,0.71,0.72,0.5635,0.3069,-0.3069
0.725,0.72,0.73,0.6393,0.3595,-0.3595
0.735,0.73,0.74,0.7083,0.4108,-0.4108
0.745,0.74,0.75,0.7617,0.4546,-0.4546
0.755,0.75,0.76,0.7913,0.4845,-0.4845
0.765,0.76,0.77,0.7926,0.4958,-0.4958
0.775,0.77,0.78,0.7663,0.4873,-0.4873
0.785,0.78,0.79,0.7183,0.4615,-0.4615
0.795,0.79,0.8,0.6573,0.4235,-0.4235
0.805,0.8,0.81,0.5915,0.3788,-0.3788
0.815,0.81,0.82,0.5273,0.3321,-0.3321
0.825,0.82,0.83,0.4686,0.2867,-0.2867
0.835,0.83,0.84,0.4174,0.2447,-0.2447
0.845,0.84,0.85,0.374,0.2071,-0.2071
0.855,0.85,0.86,0.3383,0.1743,-0.1743
0.865,0.86,0.87,0.3096,0.1465,-0.1465
0.875,0.87,0.88,0.2872,0.1238,-0.1238
0.885,0.88,0.89,0.2701,0.1063,-0.1063
0.895,0.89,0.9,0.2576,0.0941,-0.0941
0.905,0.9,0.91,0.2491,0.0871,-0.0871
0.915,0.91,0.92,0.2439,0.0849,-0.0849
0.925,0.92,0.93,0.2416,0.0865,-0.0865
0.935,0.93,0.94,0.2418,0.0908,-0.0908
0.945,0.94,0.95,0.244,0.0967,-0.0967
0.955,0.95,0.96,0.248,0.1036,-0.1036
0.965,0.96,0.97,0.2535,0.111,-0.111
0.975,0.97,0.98,0.2602,0.1184,-0.1184
0.985,0.98,0.99,0.2679,0.1258,-0.1258
0.995,0.99,1.0,0.2764,0.133,-0.133
1.005,1.0,1.01,0.2855,0.14,-0.14
1.0150000000000001,1.01,1.02,0.2951,0.1467,-0.1467
1.025,1.02,1.03,0.3051,0.1532,-0.1532
1.0350000000000001,1.03,1.04,0.3152,0.1593,-0.1593
1.045,1.04,1.05,0.3254,0.1651,-0.1651
1.0550000000000002,1.05,1.06,0.3355,0.1705,-0.1705
1.065,1.06,1.07,0.3454,0.1757,-0.1757
1.0750000000000002,1.07,1.08,0.355,0.1805,-0.1805
1.085,1.08,1.09,0.3642,0.1851,-0.1851
1.0950000000000002,1.09,1.1,0.3728,0.1893,-0.1893
1.105,1.1,1.11,0.3809,0.1933,-0.1933
1.1150000000000002,1.11,1.12,0.3882,0.1969,-0.1969
1.125,1.12,1.13,0.3947,0.2003,-0.2003
1.1349999999999998,1.13,1.14,0.4004,0.2034,-0.2034
1.145,1.14,1.15,0.4051,0.2062,-0.2062
1.1549999999999998,1.15,1.16,0.4088,0.2088,-0.2088
1.165,1.16,1.17,0.4114,0.2111,-0.2111
1.1749999999999998,1.17,1.18,0.4129,0.2132,-0.2132
1.185,1.18,1.19,0.4132,0.215,-0.215
1.1949999999999998,1.19,1.2,0.4123,0.2166,-0.2166
1.205,1.2,1.21,0.4102,0.2181,-0.2181
1.2149999999999999,1.21,1.22,0.4069,0.2193,-0.2193
1.225,1.22,1.23,0.4023,0.2204,-0.2204
1.2349999999999999,1.23,1.24,0.3966,0.2214,-0.2214
1.245,1.24,1.25,0.3897,0.2222,-0.2222
1.255,1.25,1.26,0.3817,0.2229,-0.2229
1.2650000000000001,1.26,1.27,0.3727,0.2235,-0.2235
1.275,1.27,1.28,0.3628,0.224,-0.224
1.2850000000000001,1.28,1.29,0.352,0.2245,-0.2245
1.295,1.29,1.3,0.3406,0.2249,-0.2249
1.3050000000000002,1.3,1.31,0.3287,0.2253,-0.2253
1.315,1.31,1.32,0.3165,0.2257,-0.2257
1.3250000000000002,1.32,1.33,0.3042,0.2262,-0.2262
1.335,1.33,1.34,0.292,0.2268,-0.2268
1.3450000000000002,1.34,1.35,0.2804,0.2275,-0.2275
1.355,1.35,1.36,0.2695,0.2285,-0.2285
1.3650000000000002,1.36,1.37,0.2598,0.2301,-0.2301
1.375,1.37,1.38,0.2517,0.2323,-0.2323
1.3849999999999998,1.38,1.39,0.2455,0.2355,-0.2355
1.395,1.39,1.4,0.2418,0.24,-0.24

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0265,0.0251,-0.0251
0.415,0.41,0.42,0.0281,0.026,-0.026
0.425,0.42,0.43,0.0298,0.0269,-0.0269
0.435,0.43,0.44,0.0317,0.0277,-0.0277
0.445,0.44,0.45,0.0337,0.0284,-0.0284
0.455,0.45,0.46,0.036,0.0291,-0.0291
0.46499999999999997,0.46,0.47,0.0387,0.0297,-0.0297
0.475,0.47,0.48,0.0417,0.0304,-0.0304
0.485,0.48,0.49,0.0452,0.0312,-0.0312
0.495,0.49,0.5,0.0493,0.0321,-0.0321
0.505,0.5,0.51,0.0542,0.0332,-0.0332
0.515,0.51,0.52,0.0599,0.0344,-0.0344
0.525,0.52,0.53,0.0665,0.036,-0.036
0.535,0.53,0.54,0.0744,0.0378,-0.0378
0.545,0.54,0.55,0.0836,0.0399,-0.0399
0.555,0.55,0.56,0.0944,0.0425,-0.0425
0.565,0.56,0.57,0.1072,0.0454,-0.0454
0.575,0.57,0.58,0.1221,0.0488,-0.0488
0.585,0.58,0.59,0.1396,0.0527,-0.0527
0.595,0.59,0.6,0.1601,0.0571,-0.0571
0.605,0.6,0.61,0.1842,0.0621,-0.0621
0.615,0.61,0.62,0.2125,0.0677,-0.0677
0.625,0.62,0.63,0.2457,0.0742,-0.0742
0.635,0.63,0.64,0.2846,0.0815,-0.0815
0.645,0.64,0.65,0.3302,0.0899,-0.0899
