#: table_doi: 10.17182/hepdata.74824.v1/t176
#: name: Table 176
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table176.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,-0.0101,0.0147,-0.0147
0.415,0.41,0.42,-0.0111,0.0174,-0.0174
0.425,0.42,0.43,-0.0113,0.0206,-0.0206
0.435,0.43,0.44,-0.0109,0.0237,-0.0237
0.445,0.44,0.45,-0.01,0.0266,-0.0266
0.455,0.45,0.46,-0.0087,0.0293,-0.0293
0.46499999999999997,0.46,0.47,-0.0072,0.0316,-0.0316
0.475,0.47,0.48,-0.0056,0.0335,-0.0335
0.485,0.48,0.49,-0.004,0.035,-0.035
0.495,0.49,0.5,-0.0025,0.0359,-0.0359
0.505,0.5,0.51,-0.001,0.0364,-0.0364
0.515,0.51,0.52,0.0003,0.0362,-0.0362
0.525,0.52,0.53,0.0016,0.0356,-0.0356
0.535,0.53,0.54,0.0027,0.0345,-0.0345
0.545,0.54,0.55,0.0037,0.0329,-0.0329
0.555,0.55,0.56,0.0047,0.0309,-0.0309
0.565,0.56,0.57,0.0056,0.0286,-0.0286
0.575,0.57,0.58,0.0066,0.0262,-0.0262
0.585,0.58,0.59,0.0076,0.0236,-0.0236
0.595,0.59,0.6,0.0087,0.0212,-0.0212
0.605,0.6,0.61,0.0098,0.0189,-0.0189
0.615,0.61,0.62,0.0111,0.0169,-0.0169
0.625,0.62,0.63,0.0126,0.0153,-0.0153
0.635,0.63,0.64,0.0143,0.0142,-0.0142
0.645,0.64,0.65,0.0161,0.0135,-0.0135
0.655,0.65,0.66,0.0182,0.0132,-0.0132
0.665,0.66,0.67,0.0205,0.013,-0.013
0.675,0.67,0.68,0.023,0.0129,-0.0129
0.685,0.68,0.69,0.0259,0.0128,-0.0128
0.695,0.69,0.7,0.0291,0.0125,-0.0125
0.705,0.7,0.71,0.0326,0.0119,-0.0119
0.715,0.71,0.72,0.0364,0.0113,-0.0113
0.725,0.72,0.73,0.0405,0.0105,-0.0105
0.735,0.73,0.74,0.045,0.0096,-0.0096
0.745,0.74,0.75,0.0499,0.0089,-0.0089
0.755,0.75,0.76,0.055,0.0084,-0.0084
0.765,0.76,0.77,0.0604,0.0081,-0.0081
0.775,0.77,0.78,0.0661,0.0082,-0.0082
0.785,0.78,0.79,0.072,0.0084,-0.0084
0.795,0.79,0.8,0.0781,0.0088,-0.0088
0.805,0.8,0.81,0.0843,0.0093,-0.0093
0.815,0.81,0.82,0.0905,0.0096,-0.0096
0.825,0.82,0.83,0.0968,0.0099,-0.0099
0.835,0.83,0.84,0.1031,0.0101,-0.0101
0.845,0.84,0.85,0.1093,0.0102,-0.0102
0.855,0.85,0.86,0.1154,0.0102,-0.0102
0.865,0.86,0.87,0.1213,0.0102,-0.0102
0.875,0.87,0.88,0.127,0.0103,-0.0103
0.885,0.88,0.89,0.1324,0.0104,-0.0104
0.895,0.89,0.9,0.1374,0.0105,-0.0105
0.905,0.9,0.91,0.1422,0.0107,-0.0107
0.915,0.91,0.92,0.1465,0.0109,-0.0109
0.925,0.92,0.93,0.1504,0.0111,-0.0111
0.935,0.93,0.94,0.1539,0.0113,-0.0113
0.945,0.94,0.95,0.1567,0.0116,-0.0116
0.955,0.95,0.96,0.1589,0.012,-0.012
0.965,0.96,0.97,0.1603,0.013,-0.013
0.975,0.97,0.98,0.1611,0.016,-0.016
0.985,0.98,0.99,0.1659,0.0256,-0.0256
0.995,0.99,1.0,0.1732,0.0207,-0.0207
1.005,1.0,1.01,0.1743,0.0192,-0.0192
1.0150000000000001,1.01,1.02,0.1787,0.0188,-0.0188
1.025,1.02,1.03,0.1839,0.0185,-0.0185
1.0350000000000001,1.03,1.04,0.1892,0.0181,-0.0181
1.045,1.04,1.05,0.1943,0.0178,-0.0178
1.0550000000000002,1.05,1.06,0.1991,0.0175,-0.0175
1.065,1.06,1.07,0.2034,0.0173,-0.0173
1.0750000000000002,1.07,1.08,0.2071,0.0174,-0.0174
1.085,1.08,1.09,0.2102,0.0176,-0.0176
1.0950000000000002,1.09,1.1,0.2128,0.018,-0.018
1.105,1.1,1.11,0.2147,0.0185,-0.0185
1.1150000000000002,1.11,1.12,0.2161,0.019,-0.019
1.125,1.12,1.13,0.217,0.0195,-0.0195
1.1349999999999998,1.13,1.14,0.2173,0.0199,-0.0199
1.145,1.14,1.15,0.2172,0.0202,-0.0202
1.1549999999999998,1.15,1.16,0.2167,0.0203,-0.0203
1.165,1.16,1.17,0.2158,0.0202,-0.0202
1.1749999999999998,1.17,1.18,0.2146,0.0199,-0.0199
1.185,1.18,1.19,0.2132,0.0195,-0.0195
1.1949999999999998,1.19,1.2,0.2115,0.0191,-0.0191
1.205,1.2,1.21,0.2099,0.0188,-0.0188
1.2149999999999999,1.21,1.22,0.2083,0.0188,-0.0188
1.225,1.22,1.23,0.2071,0.0189,-0.0189
1.2349999999999999,1.23,1.24,0.2063,0.0193,-0.0193
1.245,1.24,1.25,0.2061,0.0197,-0.0197
1.255,1.25,1.26,0.2067,0.0201,-0.0201
1.2650000000000001,1.26,1.27,0.208,0.0203,-0.0203
1.275,1.27,1.28,0.2101,0.0206,-0.0206
1.2850000000000001,1.28,1.29,0.2127,0.0211,-0.0211
1.295,1.29,1.3,0.2155,0.0221,-0.0221
1.3050000000000002,1.3,1.31,0.2184,0.0236,-0.0236
1.315,1.31,1.32,0.221,0.0255,-0.0255
1.3250000000000002,1.32,1.33,0.2231,0.0276,-0.0276
1.335,1.33,1.34,0.2246,0.0297,-0.0297
1.3450000000000002,1.34,1.35,0.2251,0.0316,-0.0316
1.355,1.35,1.36,0.2245,0.0331,-0.0331
1.3650000000000002,1.36,1.37,0.2225,0.0343,-0.0343
1.375,1.37,1.38,0.219,0.035,-0.035
1.3849999999999998,1.38,1.39,0.2136,0.0353,-0.0353
1.395,1.39,1.4,0.2062,0.0352,-0.0352

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,-0.0003,0.025,-0.025
0.415,0.41,0.42,-0.0058,0.0244,-0.0244
0.425,0.42,0.43,-0.01,0.0249,-0.0249
0.435,0.43,0.44,-0.0129,0.0257,-0.0257
0.445,0.44,0.45,-0.0145,0.0267,-0.0267
0.455,0.45,0.46,-0.0151,0.0276,-0.0276
0.46499999999999997,0.46,0.47,-0.0149,0.0285,-0.0285
0.475,0.47,0.48,-0.0139,0.0293,-0.0293
0.485,0.48,0.49,-0.0126,0.0301,-0.0301
0.495,0.49,0.5,-0.011,0.0308,-0.0308
0.505,0.5,0.51,-0.0093,0.0314,-0.0314
0.515,0.51,0.52,-0.0076,0.0319,-0.0319
0.525,0.52,0.53,-0.0061,0.0321,-0.0321
0.535,0.53,0.54,-0.0047,0.032,-0.032
0.545,0.54,0.55,-0.0035,0.0316,-0.0316
0.555,0.55,0.56,-0.0026,0.0307,-0.0307
0.565,0.56,0.57,-0.0018,0.0295,-0.0295
0.575,0.57,0.58,-0.0011,0.028,-0.028
0.585,0.58,0.59,-0.0005,0.0263,-0.0263
0.595,0.59,0.6,0.0001,0.0244,-0.0244
0.605,0.6,0.61,0.0007,0.0224,-0.0224
0.615,0.61,0.62,0.0015,0.0205,-0.0205
0.625,0.62,0.63,0.0024,0.0188,-0.0188
0.635,0.63,0.64,0.0037,0.0175,-0.0175
0.645,0.64,0.65,0.0052,0.0164,-0.0164
0.655,0.65,0.66,0.0072,0.0158,-0.0158
0.665,0.66,0.67,0.0096,0.0154,-0.0154
0.675,0.67,0.68,0.0125,0.0153,-0.0153
0.685,0.68,0.69,0.0159,0.0152,-0.0152
0.695,0.69,0.7,0.0198,0.015,-0.015
0.705,0.7,0.71,0.0242,0.0147,-0.0147
0.715,0.71,0.72,0.0291,0.0142,-0.0142
0.725,0.72,0.73,0.0344,0.0136,-0.0136
0.735,0.73,0.74,0.0401,0.0128,-0.0128
0.745,0.74,0.75,0.0461,0.0119,-0.0119
0.755,0.75,0.76,0.0524,0.011,-0.011
0.765,0.76,0.77,0.0589,0.0102,-0.0102
0.775,0.77,0.78,0.0656,0.0095,-0.0095
0.785,0.78,0.79,0.0724,0.009,-0.009
0.795,0.79,0.8,0.0792,0.0087,-0.0087
0.805,0.8,0.81,0.086,0.0087,-0.0087
0.815,0.81,0.82,0.0928,0.0088,-0.0088
0.825,0.82,0.83,0.0995,0.009,-0.009
0.835,0.83,0.84,0.1061,0.0094,-0.0094
0.845,0.84,0.85,0.1126,0.0098,-0.0098
0.855,0.85,0.86,0.119,0.0102,-0.0102
0.865,0.86,0.87,0.1252,0.0107,-0.0107
0.875,0.87,0.88,0.1312,0.0113,-0.0113
0.885,0.88,0.89,0.137,0.0118,-0.0118
0.895,0.89,0.9,0.1427,0.0124,-0.0124
0.905,0.9,0.91,0.1481,0.0131,-0.0131
0.915,0.91,0.92,0.1534,0.0139,-0.0139
0.925,0.92,0.93,0.1584,0.0147,-0.0147
0.935,0.93,0.94,0.1633,0.0157,-0.0157
0.945,0.94,0.95,0.1679,0.0169,-0.0169
0.955,0.95,0.96,0.1721,0.0181,-0.0181
0.965,0.96,0.97,0.1759,0.0193,-0.0193
0.975,0.97,0.98,0.1789,0.0205,-0.0205
0.985,0.98,0.99,0.18,0.0261,-0.0261
0.995,0.99,1.0,0.1881,0.026,-0.026
1.005,1.0,1.01,0.1948,0.0234,-0.0234
1.0150000000000001,1.01,1.02,0.2001,0.023,-0.023
1.025,1.02,1.03,0.2048,0.0229,-0.0229
1.0350000000000001,1.03,1.04,0.2089,0.0226,-0.0226
1.045,1.04,1.05,0.2126,0.0223,-0.0223
1.0550000000000002,1.05,1.06,0.2158,0.0219,-0.0219
1.065,1.06,1.07,0.2185,0.0215,-0.0215
1.0750000000000002,1.07,1.08,0.2207,0.0211,-0.0211
1.085,1.08,1.09,0.2224,0.0208,-0.0208
1.0950000000000002,1.09,1.1,0.2236,0.0205,-0.0205
1.105,1.1,1.11,0.2243,0.0202,-0.0202
1.1150000000000002,1.11,1.12,0.2245,0.0201,-0.0201
1.125,1.12,1.13,0.2243,0.02,-0.02
1.1349999999999998,1.13,1.14,0.2237,0.0199,-0.0199
1.145,1.14,1.15,0.2228,0.0197,-0.0197
1.1549999999999998,1.15,1.16,0.2214,0.0194,-0.0194
1.165,1.16,1.17,0.2198,0.0191,-0.0191
1.1749999999999998,1.17,1.18,0.218,0.0186,-0.0186
1.185,1.18,1.19,0.2159,0.018,-0.018
1.1949999999999998,1.19,1.2,0.2138,0.0175,-0.0175
1.205,1.2,1.21,0.2116,0.017,-0.017
1.2149999999999999,1.21,1.22,0.2096,0.0167,-0.0167
1.225,1.22,1.23,0.2079,0.0166,-0.0166
1.2349999999999999,1.23,1.24,0.2067,0.0168,-0.0168
1.245,1.24,1.25,0.2062,0.0171,-0.0171
1.255,1.25,1.26,0.2067,0.0175,-0.0175
1.2650000000000001,1.26,1.27,0.2082,0.0179,-0.0179
1.275,1.27,1.28,0.2108,0.0185,-0.0185
1.2850000000000001,1.28,1.29,0.2144,0.0192,-0.0192
1.295,1.29,1.3,0.2188,0.0202,-0.0202
1.3050000000000002,1.3,1.31,0.2236,0.0216,-0.0216
1.315,1.31,1.32,0.2283,0.0232,-0.0232
1.3250000000000002,1.32,1.33,0.2325,0.0248,-0.0248
1.335,1.33,1.34,0.2357,0.0261,-0.0261
1.3450000000000002,1.34,1.35,0.2375,0.0271,-0.0271
1.355,1.35,1.36,0.2375,0.0276,-0.0276
1.3650000000000002,1.36,1.37,0.2355,0.0278,-0.0278
1.375,1.37,1.38,0.2314,0.0278,-0.0278
