#: table_doi: 10.17182/hepdata.74824.v1/t52
#: name: Table 52
#: description: Moments YLM(LM=32) of the di-pion angular distribution for -T.

#: data_file: Table52.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: YLM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=32,P=3_4) [MUB/GEV**3]",error +,error -
0.655,0.65,0.66,-0.0815,-0.0887,0.0887
0.665,0.66,0.67,-0.0961,-0.1044,0.1044
0.675,0.67,0.68,-0.043,-0.0819,0.0819
0.685,0.68,0.69,-0.0201,-0.0712,0.0712
0.695,0.69,0.7,-0.0349,-0.0844,0.0844
0.705,0.7,0.71,-0.0138,-0.0817,0.0817
0.715,0.71,0.72,0.0781,0.082,-0.082
0.725,0.72,0.73,0.1553,0.0847,-0.0847
0.735,0.73,0.74,0.2076,0.0823,-0.0823
0.745,0.74,0.75,0.2385,0.0938,-0.0938
0.755,0.75,0.76,0.2311,0.108,-0.108
0.765,0.76,0.77,0.2388,0.1181,-0.1181
0.775,0.77,0.78,0.445,0.1467,-0.1467
0.785,0.78,0.79,0.3055,0.1574,-0.1574
0.795,0.79,0.8,0.2332,0.1312,-0.1312
0.805,0.8,0.81,0.2857,0.1482,-0.1482
0.815,0.81,0.82,0.1825,0.1174,-0.1174
0.825,0.82,0.83,0.2365,0.1115,-0.1115
0.835,0.83,0.84,0.2057,0.152,-0.152
0.845,0.84,0.85,0.1541,0.1121,-0.1121
0.855,0.85,0.86,0.1951,0.1249,-0.1249
0.865,0.86,0.87,0.0996,0.0789,-0.0789
0.875,0.87,0.88,0.1449,0.1061,-0.1061
0.885,0.88,0.89,0.0598,0.0685,-0.0685
0.895,0.89,0.9,0.0906,0.0744,-0.0744
0.905,0.9,0.91,0.0779,0.0581,-0.0581
0.915,0.91,0.92,0.1097,0.0836,-0.0836
0.925,0.92,0.93,0.1237,0.0458,-0.0458
0.935,0.93,0.94,0.1304,0.0659,-0.0659
0.945,0.94,0.95,0.0954,0.055,-0.055
0.955,0.95,0.96,0.1437,0.0768,-0.0768
0.965,0.96,0.97,0.0442,0.0566,-0.0566
0.975,0.97,0.98,0.0807,0.0467,-0.0467
0.985,0.98,0.99,0.134,0.0555,-0.0555
0.995,0.99,1.0,0.0708,0.0605,-0.0605
1.005,1.0,1.01,0.0185,0.0566,-0.0566
1.0150000000000001,1.01,1.02,0.1217,0.0537,-0.0537
1.025,1.02,1.03,0.0972,0.0478,-0.0478
1.0350000000000001,1.03,1.04,0.0163,0.0567,-0.0567
1.045,1.04,1.05,0.0276,0.0546,-0.0546
1.0550000000000002,1.05,1.06,0.0978,0.0422,-0.0422
1.065,1.06,1.07,0.121,0.0483,-0.0483
1.0750000000000002,1.07,1.08,0.0454,0.0466,-0.0466
1.085,1.08,1.09,0.097,0.0463,-0.0463
1.0950000000000002,1.09,1.1,0.0322,0.058,-0.058
1.105,1.1,1.11,0.004,0.0818,-0.0818
1.1150000000000002,1.11,1.12,-0.0278,-0.0837,0.0837
1.125,1.12,1.13,0.0367,0.0503,-0.0503
1.1349999999999998,1.13,1.14,0.1429,0.0525,-0.0525
1.145,1.14,1.15,0.0375,0.0739,-0.0739
1.1549999999999998,1.15,1.16,0.1078,0.0485,-0.0485
1.165,1.16,1.17,0.0051,0.0651,-0.0651
1.1749999999999998,1.17,1.18,0.0504,0.095,-0.095
1.185,1.18,1.19,0.0799,0.0782,-0.0782
1.1949999999999998,1.19,1.2,0.1324,0.0566,-0.0566
1.205,1.2,1.21,0.0521,0.0703,-0.0703
1.2149999999999999,1.21,1.22,0.0887,0.0486,-0.0486
1.225,1.22,1.23,0.0139,0.0691,-0.0691
1.2349999999999999,1.23,1.24,0.0574,0.0602,-0.0602
1.245,1.24,1.25,0.122,0.0479,-0.0479
1.255,1.25,1.26,0.1179,0.0483,-0.0483
1.2650000000000001,1.26,1.27,0.0754,0.0667,-0.0667
1.275,1.27,1.28,0.0505,0.0819,-0.0819
1.2850000000000001,1.28,1.29,0.1053,0.0474,-0.0474
1.295,1.29,1.3,0.042,0.0787,-0.0787
1.3050000000000002,1.3,1.31,0.139,0.0497,-0.0497
1.315,1.31,1.32,0.1674,0.0638,-0.0638
1.3250000000000002,1.32,1.33,0.1207,0.0487,-0.0487
1.335,1.33,1.34,0.0947,0.0452,-0.0452
1.3450000000000002,1.34,1.35,0.0912,0.0458,-0.0458
1.355,1.35,1.36,0.1226,0.05,-0.05
1.3650000000000002,1.36,1.37,0.1427,0.0531,-0.0531
1.375,1.37,1.38,0.1083,0.0428,-0.0428
1.3849999999999998,1.38,1.39,0.1682,0.0818,-0.0818
1.395,1.39,1.4,0.149,0.0509,-0.0509

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=32,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0204,0.0249,-0.0249
0.415,0.41,0.42,-0.0055,-0.0221,0.0221
0.425,0.42,0.43,0.007,0.0228,-0.0228
0.435,0.43,0.44,0.0291,0.032,-0.032
0.445,0.44,0.45,-0.0085,-0.0297,0.0297
0.455,0.45,0.46,0.0138,0.0358,-0.0358
0.46499999999999997,0.46,0.47,0.0215,0.0341,-0.0341
0.475,0.47,0.48,0.0253,0.0524,-0.0524
0.485,0.48,0.49,0.0718,0.1067,-0.1067
0.495,0.49,0.5,-0.0086,-0.0461,0.0461
0.505,0.5,0.51,0.0304,0.0985,-0.0985
0.515,0.51,0.52,0.0064,0.0642,-0.0642
0.525,0.52,0.53,-0.0515,-0.0424,0.0424
0.535,0.53,0.54,-0.0146,-0.0542,0.0542
0.545,0.54,0.55,-0.0714,-0.0508,0.0508
0.555,0.55,0.56,0.0139,0.0724,-0.0724
0.565,0.56,0.57,0.0021,0.1132,-0.1132
0.575,0.57,0.58,0.0178,0.1238,-0.1238
0.585,0.58,0.59,-0.0247,-0.0713,0.0713
0.595,0.59,0.6,-0.0557,-0.0842,0.0842
0.605,0.6,0.61,0.0076,0.0889,-0.0889
0.615,0.61,0.62,-0.0545,-0.0669,0.0669
0.625,0.62,0.63,0.0109,0.1078,-0.1078
0.635,0.63,0.64,0.007,0.0987,-0.0987
0.645,0.64,0.65,-0.0098,-0.0605,0.0605
0.655,0.65,0.66,0.0,0.0919,-0.0919
0.665,0.66,0.67,-0.084,-0.0843,0.0843
0.675,0.67,0.68,-0.066,-0.0783,0.0783
0.685,0.68,0.69,-0.146,-0.111,0.111
0.695,0.69,0.7,-0.0695,-0.0801,0.0801
0.705,0.7,0.71,-0.0527,-0.0835,0.0835
0.715,0.71,0.72,-0.0203,-0.0945,0.0945
0.725,0.72,0.73,-0.0229,-0.0953,0.0953
0.735,0.73,0.74,-0.0636,-0.1753,0.1753
0.745,0.74,0.75,0.149,0.095,-0.095
0.755,0.75,0.76,0.1473,0.1509,-0.1509
0.765,0.76,0.77,0.2767,0.1064,-0.1064
0.775,0.77,0.78,0.2986,0.1315,-0.1315
0.785,0.78,0.79,0.2137,0.1392,-0.1392
0.795,0.79,0.8,0.1703,0.1268,-0.1268
0.805,0.8,0.81,0.2158,0.1842,-0.1842
0.815,0.81,0.82,0.2921,0.1096,-0.1096
0.825,0.82,0.83,0.1941,0.153,-0.153
0.835,0.83,0.84,0.0067,0.1358,-0.1358
0.845,0.84,0.85,0.0932,0.1232,-0.1232
0.855,0.85,0.86,0.2407,0.1415,-0.1415
0.865,0.86,0.87,0.101,0.1517,-0.1517
0.875,0.87,0.88,0.1349,0.1473,-0.1473
0.885,0.88,0.89,0.2074,0.105,-0.105
0.895,0.89,0.9,0.1426,0.1095,-0.1095
0.905,0.9,0.91,0.1209,0.0806,-0.0806
0.915,0.91,0.92,0.1266,0.0844,-0.0844
0.925,0.92,0.93,0.0703,0.1127,-0.1127
0.935,0.93,0.94,0.0757,0.0777,-0.0777
0.945,0.94,0.95,0.1337,0.0994,-0.0994
0.955,0.95,0.96,0.0598,0.0674,-0.0674
0.965,0.96,0.97,0.1086,0.0748,-0.0748
0.975,0.97,0.98,0.208,0.1107,-0.1107
0.985,0.98,0.99,0.0443,0.0645,-0.0645
0.995,0.99,1.0,0.027,0.0499,-0.0499
1.005,1.0,1.01,0.1362,0.057,-0.057
1.0150000000000001,1.01,1.02,0.0407,0.0335,-0.0335
1.025,1.02,1.03,0.1117,0.0455,-0.0455
1.0350000000000001,1.03,1.04,-0.0221,-0.0812,0.0812
1.045,1.04,1.05,0.0292,0.0664,-0.0664
1.0550000000000002,1.05,1.06,-0.0208,-0.1093,0.1093
1.065,1.06,1.07,0.0693,0.0561,-0.0561
1.0750000000000002,1.07,1.08,-0.0329,-0.1019,0.1019
1.085,1.08,1.09,0.0618,0.0629,-0.0629
1.0950000000000002,1.09,1.1,-0.0017,-0.0825,0.0825
1.105,1.1,1.11,0.0618,0.0553,-0.0553
1.1150000000000002,1.11,1.12,0.0486,0.0509,-0.0509
1.125,1.12,1.13,-0.0028,-0.0714,0.0714
1.1349999999999998,1.13,1.14,0.01,0.0747,-0.0747
1.145,1.14,1.15,0.0954,0.0512,-0.0512
1.1549999999999998,1.15,1.16,0.0959,0.0494,-0.0494
1.165,1.16,1.17,0.019,0.0812,-0.0812
1.1749999999999998,1.17,1.18,0.1085,0.0605,-0.0605
1.185,1.18,1.19,0.0325,0.0629,-0.0629
1.1949999999999998,1.19,1.2,0.0364,0.1129,-0.1129
1.205,1.2,1.21,0.0847,0.0771,-0.0771
1.2149999999999999,1.21,1.22,0.1055,0.0678,-0.0678
1.225,1.22,1.23,0.0413,0.0606,-0.0606
1.2349999999999999,1.23,1.24,0.0119,0.0828,-0.0828
1.245,1.24,1.25,0.0828,0.0548,-0.0548
1.255,1.25,1.26,0.0675,0.0826,-0.0826
1.2650000000000001,1.26,1.27,-0.0019,-0.0633,0.0633
1.275,1.27,1.28,0.0372,0.0801,-0.0801
1.2850000000000001,1.28,1.29,0.1013,0.0529,-0.0529
1.295,1.29,1.3,0.0291,0.065,-0.065
1.3050000000000002,1.3,1.31,0.0684,0.0764,-0.0764
1.315,1.31,1.32,0.0556,0.079,-0.079
1.3250000000000002,1.32,1.33,0.0175,0.0809,-0.0809
1.335,1.33,1.34,0.0777,0.05,-0.05
1.3450000000000002,1.34,1.35,0.0855,0.0608,-0.0608
1.355,1.35,1.36,0.0755,0.0694,-0.0694
1.3650000000000002,1.36,1.37,0.0777,0.0518,-0.0518
1.375,1.37,1.38,0.0584,0.0653,-0.0653
1.3849999999999998,1.38,1.39,0.0812,0.0677,-0.0677
1.395,1.39,1.4,0.113,0.0596,-0.0596

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=32,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0281,0.0256,-0.0256
0.415,0.41,0.42,0.0369,0.0307,-0.0307
0.425,0.42,0.43,0.0504,0.0342,-0.0342
0.435,0.43,0.44,-0.0219,-0.029,0.029
0.445,0.44,0.45,-0.0013,-0.0281,0.0281
0.455,0.45,0.46,0.0318,0.0362,-0.0362
0.46499999999999997,0.46,0.47,0.0208,0.0387,-0.0387
0.475,0.47,0.48,-0.0759,-0.0597,0.0597
0.485,0.48,0.49,-0.0031,-0.0574,0.0574
0.495,0.49,0.5,-0.0126,-0.0438,0.0438
0.505,0.5,0.51,-0.0047,-0.0631,0.0631
0.515,0.51,0.52,-0.0713,-0.0371,0.0371
0.525,0.52,0.53,-0.0049,-0.0961,0.0961
0.535,0.53,0.54,-0.011,-0.0531,0.0531
0.545,0.54,0.55,0.0018,0.0734,-0.0734
0.555,0.55,0.56,-0.0128,-0.0664,0.0664
0.565,0.56,0.57,-0.0255,-0.0542,0.0542
0.575,0.57,0.58,0.0045,0.0566,-0.0566
0.585,0.58,0.59,-0.0061,-0.0762,0.0762
0.595,0.59,0.6,0.004,0.0633,-0.0633
0.605,0.6,0.61,-0.0771,-0.0503,0.0503
0.615,0.61,0.62,-0.0771,-0.0514,0.0514
0.625,0.62,0.63,-0.0746,-0.0796,0.0796
0.635,0.63,0.64,-0.0483,-0.072,0.072
0.645,0.64,0.65,-0.0231,-0.083,0.083
0.655,0.65,0.66,-0.0132,-0.0761,0.0761
0.665,0.66,0.67,-0.0566,-0.0605,0.0605
0.675,0.67,0.68,-0.0563,-0.0621,0.0621
0.685,0.68,0.69,-0.0332,-0.074,0.074
0.695,0.69,0.7,-0.0117,-0.0861,0.0861
0.705,0.7,0.71,-0.0102,-0.076,0.076
0.715,0.71,0.72,-0.039,-0.0923,0.0923
0.725,0.72,0.73,-0.0553,-0.0999,0.0999
0.735,0.73,0.74,-0.0664,-0.152,0.152
0.745,0.74,0.75,0.0756,0.0745,-0.0745
0.755,0.75,0.76,0.0751,0.1211,-0.1211
0.765,0.76,0.77,0.1166,0.1021,-0.1021
0.775,0.77,0.78,0.2598,0.1046,-0.1046
0.785,0.78,0.79,0.1946,0.108,-0.108
0.795,0.79,0.8,0.1271,0.0924,-0.0924
0.805,0.8,0.81,0.1206,0.1181,-0.1181
0.815,0.81,0.82,0.1336,0.1157,-0.1157
0.825,0.82,0.83,0.1748,0.1198,-0.1198
0.835,0.83,0.84,0.137,0.1445,-0.1445
0.845,0.84,0.85,0.1563,0.12,-0.12
0.855,0.85,0.86,0.0681,0.1355,-0.1355
0.865,0.86,0.87,0.1005,0.1312,-0.1312
0.875,0.87,0.88,0.1317,0.0959,-0.0959
0.885,0.88,0.89,0.1023,0.1141,-0.1141
0.895,0.89,0.9,0.1228,0.1253,-0.1253
0.905,0.9,0.91,0.0811,0.0765,-0.0765
0.915,0.91,0.92,0.1391,0.118,-0.118
0.925,0.92,0.93,0.1664,0.0826,-0.0826
0.935,0.93,0.94,0.0697,0.0536,-0.0536
0.945,0.94,0.95,0.1636,0.0747,-0.0747
0.955,0.95,0.96,0.098,0.0705,-0.0705
0.965,0.96,0.97,0.0704,0.0664,-0.0664
0.975,0.97,0.98,0.0797,0.0637,-0.0637
0.985,0.98,0.99,0.2096,0.0833,-0.0833
0.995,0.99,1.0,0.056,0.0458,-0.0458
1.005,1.0,1.01,0.0437,0.04,-0.04
1.0150000000000001,1.01,1.02,0.0639,0.0599,-0.0599
1.025,1.02,1.03,0.0207,0.0319,-0.0319
1.0350000000000001,1.03,1.04,-0.0592,-0.0955,0.0955
1.045,1.04,1.05,0.0443,0.0479,-0.0479
1.0550000000000002,1.05,1.06,0.0506,0.0384,-0.0384
1.065,1.06,1.07,-0.026,-0.0887,0.0887
1.0750000000000002,1.07,1.08,-0.1319,-0.1717,0.1717
1.085,1.08,1.09,0.0687,0.0537,-0.0537
1.0950000000000002,1.09,1.1,-0.0583,-0.0937,0.0937
1.105,1.1,1.11,-0.0265,-0.0536,0.0536
1.1150000000000002,1.11,1.12,0.0194,0.068,-0.068
1.125,1.12,1.13,-0.1043,-0.0984,0.0984
1.1349999999999998,1.13,1.14,0.051,0.0888,-0.0888
1.145,1.14,1.15,-0.0112,-0.0886,0.0886
1.1549999999999998,1.15,1.16,-0.1287,-0.1335,0.1335
1.165,1.16,1.17,0.0326,0.0433,-0.0433
1.1749999999999998,1.17,1.18,0.0315,0.0588,-0.0588
1.185,1.18,1.19,0.0217,0.0705,-0.0705
1.1949999999999998,1.19,1.2,0.1124,0.0526,-0.0526
1.205,1.2,1.21,0.0383,0.0489,-0.0489
1.2149999999999999,1.21,1.22,0.0407,0.0493,-0.0493
1.225,1.22,1.23,0.0874,0.0707,-0.0707
1.2349999999999999,1.23,1.24,0.0109,0.0732,-0.0732
1.245,1.24,1.25,0.0596,0.0561,-0.0561
1.255,1.25,1.26,0.0172,0.0796,-0.0796
1.2650000000000001,1.26,1.27,0.0053,0.08,-0.08
1.275,1.27,1.28,0.0711,0.0503,-0.0503
1.2850000000000001,1.28,1.29,0.0183,0.0517,-0.0517
1.295,1.29,1.3,0.0206,0.0431,-0.0431
1.3050000000000002,1.3,1.31,0.0343,0.0944,-0.0944
1.315,1.31,1.32,0.0617,0.0478,-0.0478
1.3250000000000002,1.32,1.33,0.0372,0.1077,-0.1077
1.335,1.33,1.34,0.0279,0.0527,-0.0527
1.3450000000000002,1.34,1.35,0.009,0.0505,-0.0505
1.355,1.35,1.36,0.1201,0.0852,-0.0852
1.3650000000000002,1.36,1.37,0.0566,0.0545,-0.0545
1.375,1.37,1.38,0.0376,0.044,-0.044
1.3849999999999998,1.38,1.39,0.011,0.0646,-0.0646
1.395,1.39,1.4,0.0498,0.0609,-0.0609

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"YLM(LM=32,P=3_4) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0092,0.0244,-0.0244
0.415,0.41,0.42,-0.0228,-0.0254,0.0254
0.425,0.42,0.43,0.0339,0.0354,-0.0354
0.435,0.43,0.44,0.0157,0.029,-0.029
0.445,0.44,0.45,0.0267,0.036,-0.036
0.455,0.45,0.46,-0.0189,-0.0288,0.0288
0.46499999999999997,0.46,0.47,0.0421,0.072,-0.072
0.475,0.47,0.48,-0.0066,-0.0517,0.0517
0.485,0.48,0.49,0.0032,0.0454,-0.0454
0.495,0.49,0.5,-0.0033,-0.0613,0.0613
0.505,0.5,0.51,-0.0637,-0.0468,0.0468
0.515,0.51,0.52,-0.0097,-0.0386,0.0386
0.525,0.52,0.53,0.0462,0.0947,-0.0947
0.535,0.53,0.54,0.0078,0.0676,-0.0676
0.545,0.54,0.55,0.004,0.072,-0.072
0.555,0.55,0.56,0.0235,0.086,-0.086
0.565,0.56,0.57,-0.0374,-0.0466,0.0466
0.575,0.57,0.58,0.0186,0.0928,-0.0928
0.585,0.58,0.59,0.0084,0.0508,-0.0508
0.595,0.59,0.6,-0.0305,-0.0483,0.0483
0.605,0.6,0.61,-0.0169,-0.0565,0.0565
0.615,0.61,0.62,-0.0542,-0.0682,0.0682
0.625,0.62,0.63,0.019,0.0805,-0.0805
0.635,0.63,0.64,0.0095,0.0607,-0.0607
0.645,0.64,0.65,-0.0071,-0.052,0.052
0.655,0.65,0.66,0.0031,0.0573,-0.0573
0.665,0.66,0.67,0.0025,0.07,-0.07
0.675,0.67,0.68,-0.0535,-0.0652,0.0652
0.685,0.68,0.69,0.0155,0.0646,-0.0646
0.695,0.69,0.7,0.0062,0.0687,-0.0687
0.705,0.7,0.71,-0.0618,-0.0993,0.0993
0.715,0.71,0.72,0.0157,0.0779,-0.0779
0.725,0.72,0.73,0.0611,0.073,-0.073
0.735,0.73,0.74,0.1517,0.0925,-0.0925
0.745,0.74,0.75,-0.0217,-0.1395,0.1395
0.755,0.75,0.76,0.207,0.0836,-0.0836
0.765,0.76,0.77,0.077,0.1397,-0.1397
0.775,0.77,0.78,-0.0433,-0.1292,0.1292
0.785,0.78,0.79,0.0975,0.0968,-0.0968
0.795,0.79,0.8,0.0809,0.1033,-0.1033
0.805,0.8,0.81,0.0638,0.1129,-0.1129
0.815,0.81,0.82,0.1611,0.0673,-0.0673
0.825,0.82,0.83,0.1098,0.0973,-0.0973
0.835,0.83,0.84,0.0179,0.1043,-0.1043
0.845,0.84,0.85,0.0401,0.1483,-0.1483
0.855,0.85,0.86,0.0351,0.0944,-0.0944
0.865,0.86,0.87,0.0033,0.1106,-0.1106
0.875,0.87,0.88,0.1499,0.1238,-0.1238
0.885,0.88,0.89,0.1118,0.1362,-0.1362
0.895,0.89,0.9,0.0714,0.1195,-0.1195
0.905,0.9,0.91,0.0829,0.1252,-0.1252
0.915,0.91,0.92,0.1598,0.1347,-0.1347
0.925,0.92,0.93,0.0162,0.091,-0.091
0.935,0.93,0.94,0.0966,0.1254,-0.1254
0.945,0.94,0.95,0.0694,0.1042,-0.1042
0.955,0.95,0.96,0.0174,0.1068,-0.1068
0.965,0.96,0.97,0.0274,0.096,-0.096
0.975,0.97,0.98,0.1571,0.159,-0.159
0.985,0.98,0.99,0.0504,0.0522,-0.0522
0.995,0.99,1.0,0.0669,0.0578,-0.0578
1.005,1.0,1.01,-0.0219,-0.0921,0.0921
1.0150000000000001,1.01,1.02,0.1638,0.1222,-0.1222
1.025,1.02,1.03,0.0411,0.0509,-0.0509
1.0350000000000001,1.03,1.04,0.1065,0.0745,-0.0745
1.045,1.04,1.05,0.0644,0.0826,-0.0826
1.0550000000000002,1.05,1.06,-0.1277,-0.0957,0.0957
1.065,1.06,1.07,0.0209,0.0715,-0.0715
1.0750000000000002,1.07,1.08,0.0682,0.0553,-0.0553
1.085,1.08,1.09,0.0012,0.0762,-0.0762
1.0950000000000002,1.09,1.1,0.0459,0.0534,-0.0534
1.105,1.1,1.11,-0.0309,-0.0886,0.0886
1.1150000000000002,1.11,1.12,-0.0559,-0.0828,0.0828
1.125,1.12,1.13,0.08,0.1148,-0.1148
1.1349999999999998,1.13,1.14,0.0316,0.041,-0.041
1.145,1.14,1.15,-0.0322,-0.0829,0.0829
1.1549999999999998,1.15,1.16,-0.0232,-0.0977,0.0977
1.165,1.16,1.17,-0.0415,-0.0806,0.0806
1.1749999999999998,1.17,1.18,0.0022,0.0444,-0.0444
1.185,1.18,1.19,-0.0328,-0.0789,0.0789
1.1949999999999998,1.19,1.2,0.0342,0.0427,-0.0427
1.205,1.2,1.21,-0.0491,-0.0966,0.0966
1.2149999999999999,1.21,1.22,0.0204,0.1402,-0.1402
1.225,1.22,1.23,-0.0074,-0.067,0.067
1.2349999999999999,1.23,1.24,0.0399,0.0771,-0.0771
1.245,1.24,1.25,0.0225,0.0853,-0.0853
1.255,1.25,1.26,0.005,0.0537,-0.0537
1.2650000000000001,1.26,1.27,0.0641,0.083,-0.083
1.275,1.27,1.28,0.1186,0.0858,-0.0858
1.2850000000000001,1.28,1.29,0.051,0.061,-0.061
1.295,1.29,1.3,0.0999,0.0843,-0.0843
1.3050000000000002,1.3,1.31,0.0606,0.0621,-0.0621
1.315,1.31,1.32,-0.0214,-0.0925,0.0925
1.3250000000000002,1.32,1.33,0.0559,0.048,-0.048
1.335,1.33,1.34,0.0068,0.0662,-0.0662
1.3450000000000002,1.34,1.35,0.0164,0.0529,-0.0529
1.355,1.35,1.36,-0.0248,-0.0568,0.0568
1.3650000000000002,1.36,1.37,0.069,0.0567,-0.0567
1.375,1.37,1.38,-0.004,-0.0887,0.0887
1.3849999999999998,1.38,1.39,-0.007,-0.0513,0.0513
1.395,1.39,1.4,0.0556,0.041,-0.041

